
tpsa, NO = 4, NV = 7, INA = 48072
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -2.6675823902030837e-06   1  1  0  0  0  0  0
    2 -4.3296198210631063e-06   0  0  1  1  0  0  0
    2  1.2940600386249427e-04   0  0  0  0  2  0  0
    3 -7.8541446416503152e-08   3  0  0  0  0  0  0
    3 -3.7956837891242705e-08   2  1  0  0  0  0  0
    3 -3.7956837891242705e-08   1  2  0  0  0  0  0
    3 -7.8541446416503152e-08   0  3  0  0  0  0  0
    3 -1.7605371931676153e-08   2  0  1  0  0  0  0
    3 -2.3098990742990521e-08   1  1  1  0  0  0  0
    3 -1.4830417226021625e-08   0  2  1  0  0  0  0
    3  2.9669662487890488e-07   1  0  2  0  0  0  0
    3 -2.2523083460774527e-08   0  1  2  0  0  0  0
    3  2.1784603449078236e-08   0  0  3  0  0  0  0
    3 -1.4830417226021625e-08   2  0  0  1  0  0  0
    3 -2.3098990742990521e-08   1  1  0  1  0  0  0
    3 -1.7605371931676153e-08   0  2  0  1  0  0  0
    3 -1.2076073215618177e-07   1  0  1  1  0  0  0
    3 -1.2076073215618177e-07   0  1  1  1  0  0  0
    3 -3.1909329287063490e-08   0  0  2  1  0  0  0
    3 -2.2523083460774527e-08   1  0  0  2  0  0  0
    3  2.9669662487890488e-07   0  1  0  2  0  0  0
    3 -3.1909329287063490e-08   0  0  1  2  0  0  0
    3  2.1784603449078236e-08   0  0  0  3  0  0  0
    3 -2.6779422750739166e-07   2  0  0  0  1  0  0
    3 -2.0418896924677136e-06   1  1  0  0  1  0  0
    3 -2.6779422750739166e-07   0  2  0  0  1  0  0
    3  2.3967090494648703e-07   1  0  1  0  1  0  0
    3  3.1176489196922260e-09   0  1  1  0  1  0  0
    3  2.7030125538493373e-07   0  0  2  0  1  0  0
    3  3.1176489196922260e-09   1  0  0  1  1  0  0
    3  2.3967090494648703e-07   0  1  0  1  1  0  0
    3 -1.4425839841785597e-06   0  0  1  1  1  0  0
    3  2.7030125538493373e-07   0  0  0  2  1  0  0
    3  5.9196817605545141e-07   1  0  0  0  2  0  0
    3  5.9196817605545141e-07   0  1  0  0  2  0  0
    3  1.4244334161314984e-08   0  0  1  0  2  0  0
    3  1.4244334161314984e-08   0  0  0  1  2  0  0
    3 -9.4517454023578024e-07   0  0  0  0  3  0  0
    4  1.5060403418877475e-09   4  0  0  0  0  0  0
    4 -3.1916312407458237e-08   3  1  0  0  0  0  0
    4 -1.2164526448233265e-08   2  2  0  0  0  0  0
    4 -3.1916312407458237e-08   1  3  0  0  0  0  0
    4  1.5060403418877475e-09   0  4  0  0  0  0  0
    4  1.6546610261636888e-08   3  0  1  0  0  0  0
    4 -5.2021397062778241e-08   2  1  1  0  0  0  0
    4 -5.7065149684898759e-09   1  2  1  0  0  0  0
    4  4.3392150341533146e-09   0  3  1  0  0  0  0
    4  1.4103527916244442e-09   2  0  2  0  0  0  0
    4 -1.7143342882158036e-07   1  1  2  0  0  0  0
    4  3.5841939504862846e-08   0  2  2  0  0  0  0
    4  2.7859484129368394e-08   1  0  3  0  0  0  0
    4 -6.2016307476110277e-08   0  1  3  0  0  0  0
    4  1.3536631711066192e-08   0  0  4  0  0  0  0
    4  4.3392150341533146e-09   3  0  0  1  0  0  0
    4 -5.7065149684898759e-09   2  1  0  1  0  0  0
    4 -5.2021397062778241e-08   1  2  0  1  0  0  0
    4  1.6546610261636888e-08   0  3  0  1  0  0  0
    4 -6.5049381865370689e-08   2  0  1  1  0  0  0
    4 -8.3310389007086401e-08   1  1  1  1  0  0  0
    4 -6.5049381865370689e-08   0  2  1  1  0  0  0
    4 -4.9949374456529960e-08   1  0  2  1  0  0  0
    4 -1.1462097629386273e-08   0  1  2  1  0  0  0
    4 -2.4880646841113503e-08   0  0  3  1  0  0  0
    4  3.5841939504862846e-08   2  0  0  2  0  0  0
    4 -1.7143342882158036e-07   1  1  0  2  0  0  0
    4  1.4103527916244442e-09   0  2  0  2  0  0  0
    4 -1.1462097629386273e-08   1  0  1  2  0  0  0
    4 -4.9949374456529960e-08   0  1  1  2  0  0  0
    4  7.6082152696672504e-08   0  0  2  2  0  0  0
    4 -6.2016307476110277e-08   1  0  0  3  0  0  0
    4  2.7859484129368394e-08   0  1  0  3  0  0  0
    4 -2.4880646841113503e-08   0  0  1  3  0  0  0
    4  1.3536631711066192e-08   0  0  0  4  0  0  0
    4  3.2043196605462288e-08   3  0  0  0  1  0  0
    4 -1.5281957417895427e-07   2  1  0  0  1  0  0
    4 -1.5281957417895427e-07   1  2  0  0  1  0  0
    4  3.2043196605462288e-08   0  3  0  0  1  0  0
    4  4.1228952072062145e-08   2  0  1  0  1  0  0
    4  1.6106602367260098e-08   1  1  1  0  1  0  0
    4  6.4883852640698173e-09   0  2  1  0  1  0  0
    4 -6.6218796423246290e-08   1  0  2  0  1  0  0
    4  1.7801173540165043e-07   0  1  2  0  1  0  0
    4  1.6993808203639252e-08   0  0  3  0  1  0  0
    4  6.4883852640698173e-09   2  0  0  1  1  0  0
    4  1.6106602367260098e-08   1  1  0  1  1  0  0
    4  4.1228952072062145e-08   0  2  0  1  1  0  0
    4 -3.5528366155877438e-07   1  0  1  1  1  0  0
    4 -3.5528366155877438e-07   0  1  1  1  1  0  0
    4 -2.5186699791113006e-08   0  0  2  1  1  0  0
    4  1.7801173540165043e-07   1  0  0  2  1  0  0
    4 -6.6218796423246290e-08   0  1  0  2  1  0  0
    4 -2.5186699791113006e-08   0  0  1  2  1  0  0
    4  1.6993808203639252e-08   0  0  0  3  1  0  0
    4 -2.2671689032477374e-07   2  0  0  0  2  0  0
    4  7.2741258593149794e-07   1  1  0  0  2  0  0
    4 -2.2671689032477374e-07   0  2  0  0  2  0  0
    4  1.8255754175791354e-08   1  0  1  0  2  0  0
    4 -2.8193747316678719e-08   0  1  1  0  2  0  0
    4  2.1534668492175737e-07   0  0  2  0  2  0  0
    4 -2.8193747316678719e-08   1  0  0  1  2  0  0
    4  1.8255754175791354e-08   0  1  0  1  2  0  0
    4 -2.1020592227067748e-09   0  0  1  1  2  0  0
    4  2.1534668492175737e-07   0  0  0  2  2  0  0
    4  2.8932010208478884e-07   1  0  0  0  3  0  0
    4  2.8932010208478884e-07   0  1  0  0  3  0  0
    4 -5.5544964068531358e-08   0  0  1  0  3  0  0
    4 -5.5544964068531358e-08   0  0  0  1  3  0  0
    4  3.0356932083957024e-06   0  0  0  0  4  0  0
 -108  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 4, NV = 7, INA = 48073
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.8375986250846413e-08   3  0  0  0  0  0  0
    3 -2.6760774790279549e-07   2  1  0  0  0  0  0
    3  2.6760774790279549e-07   1  2  0  0  0  0  0
    3 -1.8375986250846413e-08   0  3  0  0  0  0  0
    3  6.3197489411654618e-08   2  0  1  0  0  0  0
    3 -2.0744065200516499e-07   1  1  1  0  0  0  0
    3  7.4098551553050688e-08   0  2  1  0  0  0  0
    3  5.3655187472047415e-08   1  0  2  0  0  0  0
    3 -2.9559057225065576e-07   0  1  2  0  0  0  0
    3  1.0878299361132757e-07   0  0  3  0  0  0  0
    3 -7.4098551553050688e-08   2  0  0  1  0  0  0
    3  2.0744065200516499e-07   1  1  0  1  0  0  0
    3 -6.3197489411654618e-08   0  2  0  1  0  0  0
    3  1.4321423935579065e-07   1  0  1  1  0  0  0
    3 -1.4321423935579065e-07   0  1  1  1  0  0  0
    3 -1.2651496943556529e-07   0  0  2  1  0  0  0
    3  2.9559057225065576e-07   1  0  0  2  0  0  0
    3 -5.3655187472047415e-08   0  1  0  2  0  0  0
    3  1.2651496943556529e-07   0  0  1  2  0  0  0
    3 -1.0878299361132757e-07   0  0  0  3  0  0  0
    3 -5.0069689097667830e-08   2  0  0  0  1  0  0
    3  5.0069689097667830e-08   0  2  0  0  1  0  0
    3 -5.3465672808427421e-08   1  0  1  0  1  0  0
    3  8.4411629747552441e-08   0  1  1  0  1  0  0
    3 -4.6524844509742428e-07   0  0  2  0  1  0  0
    3 -8.4411629747552441e-08   1  0  0  1  1  0  0
    3  5.3465672808427421e-08   0  1  0  1  1  0  0
    3  4.6524844509742428e-07   0  0  0  2  1  0  0
    3 -1.7665500575139679e-07   1  0  0  0  2  0  0
    3  1.7665500575139679e-07   0  1  0  0  2  0  0
    3 -1.8121409201720338e-07   0  0  1  0  2  0  0
    3  1.8121409201720338e-07   0  0  0  1  2  0  0
    4 -4.8421340366185379e-10   4  0  0  0  0  0  0
    4  4.5640857823315881e-08   3  1  0  0  0  0  0
    4 -4.5640857823315881e-08   1  3  0  0  0  0  0
    4  4.8421340366185379e-10   0  4  0  0  0  0  0
    4 -2.6814415576532718e-08   3  0  1  0  0  0  0
    4 -8.5185654866040534e-08   2  1  1  0  0  0  0
    4 -2.0497836189851189e-08   1  2  1  0  0  0  0
    4 -8.9453277672088452e-09   0  3  1  0  0  0  0
    4  4.4480328138188890e-08   2  0  2  0  0  0  0
    4  1.2079804784172192e-07   1  1  2  0  0  0  0
    4 -2.1078349007872371e-08   0  2  2  0  0  0  0
    4 -2.4776004000534158e-08   1  0  3  0  0  0  0
    4 -2.7747340796057485e-08   0  1  3  0  0  0  0
    4  2.6404130618035331e-08   0  0  4  0  0  0  0
    4  8.9453277672088452e-09   3  0  0  1  0  0  0
    4  2.0497836189851189e-08   2  1  0  1  0  0  0
    4  8.5185654866040534e-08   1  2  0  1  0  0  0
    4  2.6814415576532718e-08   0  3  0  1  0  0  0
    4  3.3845802031009956e-08   2  0  1  1  0  0  0
    4 -3.3845802031009956e-08   0  2  1  1  0  0  0
    4 -2.4891834893477404e-08   1  0  2  1  0  0  0
    4 -5.5112653711751466e-08   0  1  2  1  0  0  0
    4  3.0835265263702347e-08   0  0  3  1  0  0  0
    4  2.1078349007872371e-08   2  0  0  2  0  0  0
