
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.2454682759546640e-06   1  1  0  0  0  0  0
    2 -3.5438205222072472e-05   0  0  1  1  0  0  0
    2  5.8639258748412526e-05   0  0  0  0  2  0  0
    3 -2.7075181622907041e-07   3  0  0  0  0  0  0
    3 -1.8425159561648216e-07   2  1  0  0  0  0  0
    3 -1.8425159561648216e-07   1  2  0  0  0  0  0
    3 -2.7075181622907041e-07   0  3  0  0  0  0  0
    3  3.3508322881115602e-06   1  0  2  0  0  0  0
    3 -8.7552858213899900e-07   0  1  2  0  0  0  0
    3 -2.3236678362100727e-07   1  0  1  1  0  0  0
    3 -2.3236678362100727e-07   0  1  1  1  0  0  0
    3 -8.7552858213899900e-07   1  0  0  2  0  0  0
    3  3.3508322881115602e-06   0  1  0  2  0  0  0
    3 -3.7374708571652776e-07   2  0  0  0  1  0  0
    3 -2.2721852358760594e-06   1  1  0  0  1  0  0
    3 -3.7374708571652776e-07   0  2  0  0  1  0  0
    3  1.0723741891205052e-06   0  0  2  0  1  0  0
    3 -2.1018477385969588e-06   0  0  1  1  1  0  0
    3  1.0723741891205052e-06   0  0  0  2  1  0  0
    3  4.9148361102160518e-20   1  0  0  0  2  0  0
    3  4.9148361102160518e-20   0  1  0  0  2  0  0
    3 -5.0237472675752132e-07   0  0  0  0  3  0  0
    4 -6.3967882220786340e-08   4  0  0  0  0  0  0
    4 -1.6765040791217901e-08   3  1  0  0  0  0  0
    4  1.0900591476329175e-06   2  2  0  0  0  0  0
    4 -1.6765040791217901e-08   1  3  0  0  0  0  0
    4 -6.3967882220786340e-08   0  4  0  0  0  0  0
    4 -2.0968874903050794e-07   2  0  2  0  0  0  0
    4 -3.4409766898687456e-06   1  1  2  0  0  0  0
    4  2.0272070341053562e-06   0  2  2  0  0  0  0
    4  3.6211059924569330e-07   0  0  4  0  0  0  0
    4 -2.6107055351978795e-07   2  0  1  1  0  0  0
    4 -3.5631369093603581e-06   1  1  1  1  0  0  0
    4 -2.6107055351978795e-07   0  2  1  1  0  0  0
    4 -1.1635785514112036e-06   0  0  3  1  0  0  0
    4  2.0272070341053562e-06   2  0  0  2  0  0  0
    4 -3.4409766898687456e-06   1  1  0  2  0  0  0
    4 -2.0968874903050794e-07   0  2  0  2  0  0  0
    4  1.3704463525688454e-06   0  0  2  2  0  0  0
    4 -1.1635785514112036e-06   0  0  1  3  0  0  0
    4  3.6211059924569330e-07   0  0  0  4  0  0  0
    4 -1.3458463109244962e-08   3  0  0  0  1  0  0
    4 -5.3120841747791667e-07   2  1  0  0  1  0  0
    4 -5.3120841747791667e-07   1  2  0  0  1  0  0
    4 -1.3458463109244962e-08   0  3  0  0  1  0  0
    4 -1.9417827401308647e-06   1  0  2  0  1  0  0
    4  2.5444762146863778e-06   0  1  2  0  1  0  0
    4 -2.8348107100502939e-06   1  0  1  1  1  0  0
    4 -2.8348107100502939e-06   0  1  1  1  1  0  0
    4  2.5444762146863778e-06   1  0  0  2  1  0  0
    4 -1.9417827401308647e-06   0  1  0  2  1  0  0
    4 -4.1528948295422807e-07   2  0  0  0  2  0  0
    4  1.3186667893979235e-06   1  1  0  0  2  0  0
    4 -4.1528948295422807e-07   0  2  0  0  2  0  0
    4  2.7173471324551613e-06   0  0  2  0  2  0  0
    4 -1.0570146500973340e-06   0  0  1  1  2  0  0
    4  2.7173471324551613e-06   0  0  0  2  2  0  0
    4  7.7340148092057924e-21   1  0  0  0  3  0  0
    4  7.7340148092057924e-21   0  1  0  0  3  0  0
    4  1.8880853132544391e-06   0  0  0  0  4  0  0
    5  1.2682395679600265e-07   5  0  0  0  0  0  0
    5  1.2913142772510222e-07   4  1  0  0  0  0  0
    5  2.7858609119195854e-07   3  2  0  0  0  0  0
    5  2.7858609119195854e-07   2  3  0  0  0  0  0
    5  1.2913142772510222e-07   1  4  0  0  0  0  0
    5  1.2682395679600265e-07   0  5  0  0  0  0  0
    5  2.7152601627667124e-07   3  0  2  0  0  0  0
    5  4.7033537627105702e-07   2  1  2  0  0  0  0
    5 -2.0561409065781682e-06   1  2  2  0  0  0  0
    5 -3.0484943317690695e-08   0  3  2  0  0  0  0
    5  5.4740315389271676e-07   1  0  4  0  0  0  0
    5 -1.4926988833333299e-06   0  1  4  0  0  0  0
    5 -1.3831108544771691e-07   3  0  1  1  0  0  0
    5  8.7563349272138988e-07   2  1  1  1  0  0  0
    5  8.7563349272138988e-07   1  2  1  1  0  0  0
    5 -1.3831108544771691e-07   0  3  1  1  0  0  0
    5  5.3956213261415686e-07   1  0  3  1  0  0  0
    5 -1.2074212927134387e-06   0  1  3  1  0  0  0
    5 -3.0484943317690695e-08   3  0  0  2  0  0  0
    5 -2.0561409065781682e-06   2  1  0  2  0  0  0
    5  4.7033537627105702e-07   1  2  0  2  0  0  0
    5  2.7152601627667124e-07   0  3  0  2  0  0  0
    5  1.0471205314817781e-06   1  0  2  2  0  0  0
    5  1.0471205314817781e-06   0  1  2  2  0  0  0
    5 -1.2074212927134387e-06   1  0  1  3  0  0  0
    5  5.3956213261415686e-07   0  1  1  3  0  0  0
    5 -1.4926988833333299e-06   1  0  0  4  0  0  0
    5  5.4740315389271676e-07   0  1  0  4  0  0  0
    5 -1.7175083830747932e-07   4  0  0  0  1  0  0
    5  1.6910584813781950e-07   3  1  0  0  1  0  0
    5  5.0486790675166325e-06   2  2  0  0  1  0  0
    5  1.6910584813781950e-07   1  3  0  0  1  0  0
    5 -1.7175083830747932e-07   0  4  0  0  1  0  0
    5 -6.5354037466042025e-07   2  0  2  0  1  0  0
    5 -1.5831852959066967e-06   1  1  2  0  1  0  0
    5 -2.9843026786821001e-07   0  2  2  0  1  0  0
    5 -3.2110562605963150e-07   0  0  4  0  1  0  0
    5 -9.1581374455953458e-07   2  0  1  1  1  0  0
    5  4.3617705346406385e-06   1  1  1  1  1  0  0
    5 -9.1581374455953458e-07   0  2  1  1  1  0  0
    5  1.2481757710385712e-07   0  0  3  1  1  0  0
    5 -2.9843026786821001e-07   2  0  0  2  1  0  0
    5 -1.5831852959066967e-06   1  1  0  2  1  0  0
    5 -6.5354037466042025e-07   0  2  0  2  1  0  0
    5  4.5905167960813443e-07   0  0  2  2  1  0  0
    5  1.2481757710385712e-07   0  0  1  3  1  0  0
    5 -3.2110562605963150e-07   0  0  0  4  1  0  0
    5  1.6195704945983795e-07   3  0  0  0  2  0  0
    5 -2.2987953183073835e-07   2  1  0  0  2  0  0
    5 -2.2987953183073835e-07   1  2  0  0  2  0  0
    5  1.6195704945983795e-07   0  3  0  0  2  0  0
    5 -5.1868346215332709e-07   1  0  2  0  2  0  0
    5  3.5977828032692943e-06   0  1  2  0  2  0  0
    5 -8.6538451460805991e-07   1  0  1  1  2  0  0
    5 -8.6538451460805991e-07   0  1  1  1  2  0  0
    5  3.5977828032692943e-06   1  0  0  2  2  0  0
    5 -5.1868346215332709e-07   0  1  0  2  2  0  0
    5  1.0007996745612589e-07   2  0  0  0  3  0  0
    5  1.4641455245921112e-06   1  1  0  0  3  0  0
    5  1.0007996745612589e-07   0  2  0  0  3  0  0
    5 -7.0169618105811166e-07   0  0  2  0  3  0  0
    5 -1.2004415666149175e-06   0  0  1  1  3  0  0
    5 -7.0169618105811166e-07   0  0  0  2  3  0  0
    5 -4.4691488981250557e-21   1  0  0  0  4  0  0
    5 -4.4691488981250557e-21   0  1  0  0  4  0  0
    5 -4.7132290344041474e-07   0  0  0  0  5  0  0
    6 -5.3667286335847457e-08   6  0  0  0  0  0  0
    6  2.2458464003684478e-07   5  1  0  0  0  0  0
    6  1.2048546126019993e-07   4  2  0  0  0  0  0
    6 -1.6779489505653752e-06   3  3  0  0  0  0  0
    6  1.2048546126019993e-07   2  4  0  0  0  0  0
    6  2.2458464003684478e-07   1  5  0  0  0  0  0
    6 -5.3667286335847457e-08   0  6  0  0  0  0  0
    6 -1.6311827425269280e-06   4  0  2  0  0  0  0
    6  6.0629563573223369e-07   3  1  2  0  0  0  0
    6  8.3296308676864792e-07   2  2  2  0  0  0  0
    6  3.4701803339382691e-08   1  3  2  0  0  0  0
    6 -8.5047058078229097e-08   0  4  2  0  0  0  0
    6  1.9488159128367381e-07   2  0  4  0  0  0  0
    6  1.4967493704674982e-06   1  1  4  0  0  0  0
    6 -7.0127706638403673e-08   0  2  4  0  0  0  0
    6  2.1854179665054973e-07   0  0  6  0  0  0  0
    6  8.8553863242794496e-08   4  0  1  1  0  0  0
    6  1.1353940328060769e-06   3  1  1  1  0  0  0
    6 -4.4280633582115425e-06   2  2  1  1  0  0  0
    6  1.1353940328060769e-06   1  3  1  1  0  0  0
    6  8.8553863242794496e-08   0  4  1  1  0  0  0
    6  1.7410484830139249e-08   2  0  3  1  0  0  0
    6  1.7824816419607900e-06   1  1  3  1  0  0  0
    6 -7.3050696129331796e-07   0  2  3  1  0  0  0
    6  8.7187427071563351e-08   0  0  5  1  0  0  0
    6 -8.5047058078229097e-08   4  0  0  2  0  0  0
    6  3.4701803339382691e-08   3  1  0  2  0  0  0
    6  8.3296308676864792e-07   2  2  0  2  0  0  0
    6  6.0629563573223369e-07   1  3  0  2  0  0  0
    6 -1.6311827425269280e-06   0  4  0  2  0  0  0
    6  4.3124704799484653e-07   2  0  2  2  0  0  0
    6 -5.3178157116951299e-07   1  1  2  2  0  0  0
    6  4.3124704799484653e-07   0  2  2  2  0  0  0
    6 -1.8949054029886587e-07   0  0  4  2  0  0  0
    6 -7.3050696129331796e-07   2  0  1  3  0  0  0
    6  1.7824816419607900e-06   1  1  1  3  0  0  0
    6  1.7410484830139249e-08   0  2  1  3  0  0  0
    6 -6.3754855871463121e-07   0  0  3  3  0  0  0
    6 -7.0127706638403673e-08   2  0  0  4  0  0  0
    6  1.4967493704674982e-06   1  1  0  4  0  0  0
    6  1.9488159128367381e-07   0  2  0  4  0  0  0
    6 -1.8949054029886587e-07   0  0  2  4  0  0  0
