
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.0470223424626990e-01   1  1  0  0  0  0  0
    2 -1.2359268945631086e+00   0  0  1  1  0  0  0
    2  4.7868782651765321e-02   0  0  0  0  2  0  0
    3 -2.0943741557614683e+00   1  1  0  0  1  0  0
    3 -2.0943741625175685e+00   0  0  1  1  1  0  0
    3 -1.1717194793178337e-02   0  0  0  0  3  0  0
    4  1.3819361576087958e+03   2  2  0  0  0  0  0
    4 -9.2760871153034122e+02   1  1  1  1  0  0  0
    4  1.2662811781604883e+03   0  0  2  2  0  0  0
    4  3.7013740031078932e+01   1  1  0  0  2  0  0
    4  1.3431488036277932e+01   0  0  1  1  2  0  0
    4  1.2581992924644321e+00   0  0  0  0  4  0  0
    5  1.4569241630530340e+05   2  2  0  0  1  0  0
    5  6.1363855989208438e+04   1  1  1  1  1  0  0
    5 -8.2983096639871146e+03   0  0  2  2  1  0  0
    5  1.2023942623623559e+03   1  1  0  0  3  0  0
    5 -4.0655577050161405e+01   0  0  1  1  3  0  0
    5 -8.9738400131452760e+00   0  0  0  0  5  0  0
    6 -5.3509207647494823e+07   3  3  0  0  0  0  0
    6 -1.2873545032035884e+08   2  2  1  1  0  0  0
    6 -3.0236083400853474e+07   1  1  2  2  0  0  0
    6 -6.6475183456587587e+06   0  0  3  3  0  0  0
    6 -1.7892204896396473e+06   2  2  0  0  2  0  0
    6 -4.5512380918993778e+05   1  1  1  1  2  0  0
    6 -6.5050607814192961e+04   0  0  2  2  2  0  0
    6 -5.0655548518329641e+04   1  1  0  0  4  0  0
    6  4.2439772600446677e+03   0  0  1  1  4  0  0
    6 -3.1240321769191443e+01   0  0  0  0  6  0  0
    7  7.4190017549932551e+08   3  3  0  0  1  0  0
    7  1.1959841866374037e+09   2  2  1  1  1  0  0
    7  2.9103830456733704e-11   0  0  5  1  1  0  0
    7  1.4901161193847656e-08   2  0  2  2  1  0  0
    7  8.6373023115267706e+08   1  1  2  2  1  0  0
    7  1.4901161193847656e-08   0  2  2  2  1  0  0
    7 -9.0277267231432232e+05   0  0  3  3  1  0  0
    7  2.9103830456733704e-11   0  0  1  5  1  0  0
    7  3.8541842624361604e+07   2  2  0  0  3  0  0
    7 -1.9084854228147208e+06   1  1  1  1  3  0  0
    7  3.5653507749247700e+06   0  0  2  2  3  0  0
    7  1.4940623373132488e+06   1  1  0  0  5  0  0
    7  3.6060449176469570e+04   0  0  1  1  5  0  0
    7  2.2108850615608476e+03   0  0  0  0  7  0  0
    8 -4.0077744343790088e+11   4  4  0  0  0  0  0
    8 -1.3482554136583623e+12   3  3  1  1  0  0  0
    8 -7.6293945312500000e-06   4  0  2  2  0  0  0
    8 -8.8674951798665088e+11   2  2  2  2  0  0  0
    8 -7.6293945312500000e-06   0  4  2  2  0  0  0
    8 -7.6293945312500000e-06   2  0  4  2  0  0  0
    8 -1.5258789062500000e-05   1  1  4  2  0  0  0
    8 -7.6293945312500000e-06   0  2  4  2  0  0  0
    8 -1.5258789062500000e-05   2  0  3  3  0  0  0
    8 -1.0986406386377164e+12   1  1  3  3  0  0  0
    8 -1.5258789062500000e-05   0  2  3  3  0  0  0
    8  9.5367431640625000e-07   0  0  5  3  0  0  0
    8 -7.6293945312500000e-06   2  0  2  4  0  0  0
    8 -1.5258789062500000e-05   1  1  2  4  0  0  0
    8 -7.6293945312500000e-06   0  2  2  4  0  0  0
    8  3.2318902108615448e+10   0  0  4  4  0  0  0
    8  9.5367431640625000e-07   0  0  3  5  0  0  0
    8 -3.0067293461708717e+10   3  3  0  0  2  0  0
    8  1.8184576352858894e+10   2  2  1  1  2  0  0
    8 -4.7683715820312500e-07   2  0  2  2  2  0  0
    8  2.7979912332355911e+10   1  1  2  2  2  0  0
    8 -4.7683715820312500e-07   0  2  2  2  2  0  0
    8 -1.1920928955078125e-07   0  0  4  2  2  0  0
    8 -3.9340440667382336e+09   0  0  3  3  2  0  0
    8 -1.1920928955078125e-07   0  0  2  4  2  0  0
    8 -9.9884117064367104e+08   2  2  0  0  4  0  0
    8 -9.8003789667409217e+08   1  1  1  1  4  0  0
    8  1.3606413726928884e+08   0  0  2  2  4  0  0
    8 -2.6699397068853345e+07   1  1  0  0  6  0  0
    8 -2.5800055880518546e+06   0  0  1  1  6  0  0
    8 -4.9891250871511846e+04   0  0  0  0  8  0  0
  -73  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58476
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.2454682759546640e-06   1  1  0  0  0  0  0
    2 -3.5438205222072472e-05   0  0  1  1  0  0  0
    2  5.8639258748412526e-05   0  0  0  0  2  0  0
    3 -2.2721852358760594e-06   1  1  0  0  1  0  0
    3 -2.1018477385969584e-06   0  0  1  1  1  0  0
    3 -5.0237472675752132e-07   0  0  0  0  3  0  0
    4  1.3277943559660667e-06   2  2  0  0  0  0  0
    4 -8.2445161610243491e-07   1  1  1  1  0  0  0
    4  1.0410893972013523e-06   0  0  2  2  0  0  0
    4  1.4054664343109267e-06   1  1  0  0  2  0  0
    4  4.7177959607693174e-07   0  0  1  1  2  0  0
    4  1.8880853132544391e-06   0  0  0  0  4  0  0
    5  4.8994556263865427e-06   2  2  0  0  1  0  0
    5  1.9088906091654156e-06   1  1  1  1  1  0  0
    5 -2.3878967990720986e-07   0  0  2  2  1  0  0
    5  1.5979840764504795e-06   1  1  0  0  3  0  0
    5 -4.9980799472983967e-08   0  0  1  1  3  0  0
    5 -4.7132290344041474e-07   0  0  0  0  5  0  0
    6 -1.5936493773735798e-06   3  3  0  0  0  0  0
    6 -3.5466630524578849e-06   2  2  1  1  0  0  0
    6 -7.7055709847165335e-07   1  1  2  2  0  0  0
    6 -1.5670987073444595e-07   0  0  3  3  0  0  0
    6 -2.1059244646985678e-06   2  2  0  0  2  0  0
    6 -4.9552548968413526e-07   1  1  1  1  2  0  0
    6 -6.5515690018128559e-08   0  0  2  2  2  0  0
    6 -2.3562459384155323e-06   1  1  0  0  4  0  0
    6  1.8260983394521523e-07   0  0  1  1  4  0  0
    6 -5.7428009622243846e-08   0  0  0  0  6  0  0
    7  7.7335300158312338e-07   3  3  0  0  1  0  0
    7  1.1532282059295267e-06   2  2  1  1  1  0  0
    7  1.3291299615124555e-23   2  0  2  2  1  0  0
    7  7.7041628766695614e-07   1  1  2  2  1  0  0
    7  1.3291299615124555e-23   0  2  2  2  1  0  0
    7 -7.4487475624156110e-10   0  0  3  3  1  0  0
    7  1.5877402152790721e-06   2  2  0  0  3  0  0
    7 -7.2726608476600089e-08   1  1  1  1  3  0  0
    7  1.2567944929134906e-07   0  0  2  2  3  0  0
    7  2.4323740359183761e-06   1  1  0  0  5  0  0
    7  5.4306309421942712e-08   0  0  1  1  5  0  0
    7  1.4224679033226611e-07   0  0  0  0  7  0  0
    8 -3.6998911465090904e-07   4  4  0  0  0  0  0
    8 -1.1513712108066175e-06   3  3  1  1  0  0  0
    8 -6.0268555673973953e-24   4  0  2  2  0  0  0
    8 -7.0048956669818349e-07   2  2  2  2  0  0  0
    8 -6.0268555673973953e-24   0  4  2  2  0  0  0
    8 -5.5750440167952658e-24   2  0  4  2  0  0  0
    8 -1.1150088033590532e-23   1  1  4  2  0  0  0
    8 -5.5750440167952658e-24   0  2  4  2  0  0  0
    8 -1.1150088033590532e-23   2  0  3  3  0  0  0
    8 -8.0281205722910957e-07   1  1  3  3  0  0  0
    8 -1.1150088033590532e-23   0  2  3  3  0  0  0
    8  6.4463789287857865e-25   0  0  5  3  0  0  0
    8 -5.5750440167952658e-24   2  0  2  4  0  0  0
    8 -1.1150088033590532e-23   1  1  2  4  0  0  0
    8 -5.5750440167952658e-24   0  2  2  4  0  0  0
    8  2.1846020802946704e-08   0  0  4  4  0  0  0
    8  6.4463789287857865e-25   0  0  3  5  0  0  0
    8 -1.0969698276934792e-06   3  3  0  0  2  0  0
    8  6.1370696277223147e-07   2  2  1  1  2  0  0
    8 -1.4886255568939504e-23   2  0  2  2  2  0  0
    8  8.7349762620333190e-07   1  1  2  2  2  0  0
    8 -1.4886255568939504e-23   0  2  2  2  2  0  0
    8 -3.4425717156326352e-24   0  0  4  2  2  0  0
    8 -1.1360883772766913e-07   0  0  3  3  2  0  0
    8 -3.4425717156326352e-24   0  0  2  4  2  0  0
    8 -1.4401623419185916e-06   2  2  0  0  4  0  0
    8 -1.3071198261752927e-06   1  1  1  1  4  0  0
    8  1.6787024396592928e-07   0  0  2  2  4  0  0
    8 -1.5213570079417841e-06   1  1  0  0  6  0  0
    8 -1.3599027394611309e-07   0  0  1  1  6  0  0
    8 -1.1234888004505569e-07   0  0  0  0  8  0  0
  -71  0.0000000000000000e+00   0  0  0  0  0  0  0
