
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.3327756266118766e-02   0  0  0  0  0  0  0
    1  6.6665999914670571e-01   0  0  0  0  1  0  0
    2 -8.7976788208344169e+02   1  1  0  0  0  0  0
    2  2.9526702339031567e+02   0  0  1  1  0  0  0
    2 -1.1781839376529152e+01   0  0  0  0  2  0  0
    3 -9.2750672903965155e+04   1  1  0  0  1  0  0
    3 -1.9532722015723459e+04   0  0  1  1  1  0  0
    3 -3.8273398080060446e+02   0  0  0  0  3  0  0
    4  5.1097529388176702e+07   2  2  0  0  0  0  0
    4  8.1955533078584924e+07   1  1  1  1  0  0  0
    4  9.6244442659692727e+06   0  0  2  2  0  0  0
    4  1.1390531408298048e+06   1  1  0  0  2  0  0
    4  1.4487040790278238e+05   0  0  1  1  2  0  0
    4  1.6124161883446995e+04   0  0  0  0  4  0  0
    5 -7.0846248126877391e+08   2  2  0  0  1  0  0
    5 -7.6138718065233088e+08   1  1  1  1  1  0  0
    5 -2.7493387157170784e+08   0  0  2  2  1  0  0
    5 -2.4536499078148231e+07   1  1  0  0  3  0  0
    5  6.0748977771957743e+05   0  0  1  1  3  0  0
    5 -4.7557481254166854e+05   0  0  0  0  5  0  0
    6  5.1028568962299536e+11   3  3  0  0  0  0  0
    6  1.2874890818048188e+12   2  2  1  1  0  0  0
    6  5.6452227628772424e+11   1  1  2  2  0  0  0
    6  4.8570234097868453e-06   0  0  4  2  0  0  0
    6  3.4970817664165863e+11   0  0  3  3  0  0  0
    6  4.8570234097868453e-06   0  0  2  4  0  0  0
    6  2.8712150278953411e+10   2  2  0  0  2  0  0
    6 -1.1576660858357933e+10   1  1  1  1  2  0  0
    6 -8.9062827099446526e+09   0  0  2  2  2  0  0
    6  6.3588203868654239e+08   1  1  0  0  4  0  0
    6  3.1195575134613192e+08   0  0  1  1  4  0  0
    6  8.4986820421625432e+06   0  0  0  0  6  0  0
  -32  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58473
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.3327756266118766e-02   0  0  0  0  0  0  0
    1  2.3333099970134701e-02   0  0  0  0  1  0  0
    2 -2.7270275291258691e-02   1  1  0  0  0  0  0
    2  8.4663044523481581e-03   0  0  1  1  0  0  0
    2 -1.4432753236248213e-02   0  0  0  0  2  0  0
    3 -1.0062514809505775e-01   1  1  0  0  1  0  0
    3 -1.9602422686517931e-02   0  0  1  1  1  0  0
    3 -1.6409719426825922e-02   0  0  0  0  3  0  0
    4  4.9095619035563046e-02   2  2  0  0  0  0  0
    4  7.2841458747949464e-02   1  1  1  1  0  0  0
    4  7.9128609443692120e-03   0  0  2  2  0  0  0
    4  4.3251531863262568e-02   1  1  0  0  2  0  0
    4  5.0885577487224543e-03   0  0  1  1  2  0  0
    4  2.4196320426347655e-02   0  0  0  0  4  0  0
    5 -2.3824716330205536e-02   2  2  0  0  1  0  0
    5 -2.3685031125517352e-02   1  1  1  1  1  0  0
    5 -7.9114149563700824e-03   0  0  2  2  1  0  0
    5 -3.2609050164368346e-02   1  1  0  0  3  0  0
    5  7.4683049571840369e-04   0  0  1  1  3  0  0
    5 -2.4978080857461959e-02   0  0  0  0  5  0  0
    6  1.5197692272096414e-02   3  3  0  0  0  0  0
    6  3.5470338166502247e-02   2  2  1  1  0  0  0
    6  1.4386673084338801e-02   1  1  2  2  0  0  0
    6  1.1450040016797370e-19   0  0  4  2  0  0  0
    6  8.2440875386350296e-03   0  0  3  3  0  0  0
    6  1.1450040016797370e-19   0  0  2  4  0  0  0
    6  3.3794392617719070e-02   2  2  0  0  2  0  0
    6 -1.2604329689882118e-02   1  1  1  1  2  0  0
    6 -8.9699585729503609e-03   0  0  2  2  2  0  0
    6  2.9578091932503665e-02   1  1  0  0  4  0  0
    6  1.3422830628214165e-02   0  0  1  1  4  0  0
    6  1.5622835055912212e-02   0  0  0  0  6  0  0
  -32  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.9340774913986898e-01   0  0  0  0  0  0  0
    1  6.6666000129723912e-01   0  0  0  0  1  0  0
    2  2.9526702339031567e+02   1  1  0  0  0  0  0
    2 -8.0613963539388283e+02   0  0  1  1  0  0  0
    2 -4.2753754281065746e+00   0  0  0  0  2  0  0
    3 -1.9532722015723459e+04   1  1  0  0  1  0  0
    3  5.2828680093231778e+03   0  0  1  1  1  0  0
    3  1.2941072103573209e+01   0  0  0  0  3  0  0
    4  4.0977766539292462e+07   2  2  0  0  0  0  0
    4  1.9248888531938545e+07   1  1  1  1  0  0  0
    4  6.3479124240339007e+06   0  0  2  2  0  0  0
    4  1.4487040790278238e+05   1  1  0  0  2  0  0
    4  4.1412503139044333e+04   0  0  1  1  2  0  0
    4 -1.3508999186114140e+03   0  0  0  0  4  0  0
    5 -3.8069359032616544e+08   2  2  0  0  1  0  0
    5 -4.6320184800976233e-11   0  0  4  0  1  0  0
    5 -9.4863738472399322e-09   2  0  1  1  1  0  0
    5 -5.4986774314341569e+08   1  1  1  1  1  0  0
    5 -9.4863738472399322e-09   0  2  1  1  1  0  0
    5  8.6208439972262550e+05   0  0  2  2  1  0  0
    5 -9.2640369601952462e-12   0  0  0  4  1  0  0
    5  6.0748977771957743e+05   1  1  0  0  3  0  0
    5 -2.2697727987431870e+06   0  0  1  1  3  0  0
    5 -1.1478397473098397e+04   0  0  0  0  5  0  0
    6  4.2916302726827295e+11   3  3  0  0  0  0  0
    6  4.8570234097868453e-06   4  0  1  1  0  0  0
    6  5.6452227628772424e+11   2  2  1  1  0  0  0
    6  4.8570234097868453e-06   0  4  1  1  0  0  0
    6  9.7140468195736905e-06   2  0  3  1  0  0  0
    6  1.9428093639147381e-05   1  1  3  1  0  0  0
    6  9.7140468195736905e-06   0  2  3  1  0  0  0
    6  1.4571070229360535e-05   2  0  2  2  0  0  0
    6  1.0491245299249760e+12   1  1  2  2  0  0  0
    6  1.4571070229360535e-05   0  2  2  2  0  0  0
    6 -1.5178198155583892e-06   0  0  4  2  0  0  0
    6  4.8570234097868453e-06   2  0  1  3  0  0  0
    6  9.7140468195736905e-06   1  1  1  3  0  0  0
    6  4.8570234097868453e-06   0  2  1  3  0  0  0
    6 -4.1149704207113823e+10   0  0  3  3  0  0  0
    6 -9.1069188933503343e-07   0  0  2  4  0  0  0
    6 -5.7883304291789665e+09   2  2  0  0  2  0  0
    6  3.0356396311167783e-07   2  0  1  1  2  0  0
    6 -1.7812565419889305e+10   1  1  1  1  2  0  0
    6  3.0356396311167783e-07   0  2  1  1  2  0  0
    6  1.5178198155583891e-07   0  0  3  1  2  0  0
    6  3.7567353573763924e+09   0  0  2  2  2  0  0
    6  7.5890990777919457e-08   0  0  1  3  2  0  0
    6  3.1195575134613192e+08   1  1  0  0  4  0  0
    6 -8.6621120095766008e+07   0  0  1  1  4  0  0
    6  8.2124128508632979e+05   0  0  0  0  6  0  0
  -50  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58474
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.9340774913986898e-01   0  0  0  0  0  0  0
    1  2.3333100045403371e-02   0  0  0  0  1  0  0
    2  9.1524289261570631e-03   1  1  0  0  0  0  0
    2 -2.3114750526432821e-02   0  0  1  1  0  0  0
    2 -5.2373348994305549e-03   0  0  0  0  2  0  0
    3 -2.1191038123969691e-02   1  1  0  0  1  0  0
    3  5.3017194240759236e-03   0  0  1  1  1  0  0
    3  5.5484846644070153e-04   0  0  0  0  3  0  0
    4  3.9372330502673115e-02   2  2  0  0  0  0  0
    4  1.7108266730430845e-02   1  1  1  1  0  0  0
    4  5.2190180451271283e-03   0  0  2  2  0  0  0
    4  5.5009435809872118e-03   1  1  0  0  2  0  0
    4  1.4546097908662665e-03   0  0  1  1  2  0  0
    4 -2.0271941903662540e-03   0  0  0  0  4  0  0
    5 -1.2802254230887714e-02   2  2  0  0  1  0  0
    5 -1.3328958004386538e-21   0  0  4  0  1  0  0
    5 -2.9509960969879870e-19   2  0  1  1  1  0  0
    5 -1.7105140383518895e-02   1  1  1  1  1  0  0
    5 -2.9509960969879870e-19   0  2  1  1  1  0  0
    5  2.4807083152866606e-05   0  0  2  2  1  0  0
    5 -2.6657916008773073e-22   0  0  0  4  1  0  0
    5  8.0735497647424416e-04   1  1  0  0  3  0  0
    5 -2.7903935286233117e-03   0  0  1  1  3  0  0
    5 -6.0286695728239015e-04   0  0  0  0  5  0  0
    6  1.2781639296612983e-02   3  3  0  0  0  0  0
    6  1.3381104761389707e-19   4  0  1  1  0  0  0
    6  1.5552594833953525e-02   2  2  1  1  0  0  0
    6  1.3381104761389707e-19   0  4  1  1  0  0  0
    6  2.4755943527716325e-19   2  0  3  1  0  0  0
    6  4.9511887055432651e-19   1  1  3  1  0  0  0
    6  2.4755943527716325e-19   0  2  3  1  0  0  0
    6  3.7133915291574486e-19   2  0  2  2  0  0  0
    6  2.6736609467468520e-02   1  1  2  2  0  0  0
    6  3.7133915291574486e-19   0  2  2  2  0  0  0
    6 -3.5781375052491788e-20   0  0  4  2  0  0  0
    6  1.2377971763858163e-19   2  0  1  3  0  0  0
    6  2.4755943527716325e-19   1  1  1  3  0  0  0
    6  1.2377971763858163e-19   0  2  1  3  0  0  0
    6 -9.7007100871993924e-04   0  0  3  3  0  0  0
    6 -2.1468825031495069e-20   0  0  2  4  0  0  0
    6 -6.8129035695439601e-03   2  2  0  0  2  0  0
    6  3.3051156286265461e-19   2  0  1  1  2  0  0
    6 -1.9393800157217721e-02   1  1  1  1  2  0  0
    6  3.3051156286265461e-19   0  2  1  1  2  0  0
