# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.20667 1.07867
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2600057483350758e-04  4.8193905205813681e-19  4.1534726035352756e-03 -9.7203305558201539e-19  0.0000000000000000e+00  0.0000000000000000e+00
   1  5.2597740172056063e-05  4.6862566927804045e-04  3.6449741622283671e-03 -2.0145580050624527e-03  0.0000000000000000e+00  3.8305010703515931e-03
   2 -8.5689868858355338e-05  6.0604749812272045e-04  2.3484130742604170e-03 -3.5451025963945341e-03  0.0000000000000000e+00 -1.4746353965634888e-02
   3 -1.7826957380944592e-04  8.7453041716281868e-05  6.2116225842919598e-04 -4.2952362192002153e-03  0.0000000000000000e+00 -4.7634785206793338e-02
   4 -4.1623444395151420e-04 -5.6243660893342076e-04 -1.1752431750650110e-03 -4.2043590052231938e-03  0.0000000000000000e+00 -7.4645368478011703e-02
   5 -5.2101896401276343e-04 -5.6852615104992579e-04 -2.7027915889164329e-03 -3.1556782550829468e-03  0.0000000000000000e+00 -7.8730631730832293e-02
   6 -1.6817709079664311e-04  6.0005604405403621e-05 -3.7816434821483194e-03 -1.2988185275291688e-03  0.0000000000000000e+00 -6.3547703949760295e-02
   7  3.3358184559037057e-04  6.0764072472894266e-04 -4.0915129095154658e-03  7.6241984567334046e-04  0.0000000000000000e+00 -4.9058365600017674e-02
   8  4.3192015444809881e-04  5.4171975604384956e-04 -3.3231311126015284e-03  2.5211720321175585e-03  0.0000000000000000e+00 -5.4568401571683377e-02
   9 -4.0129328377672108e-05  4.5846659866131254e-05 -1.7321624014119182e-03  3.8117370286242431e-03  0.0000000000000000e+00 -8.1009993585781301e-02
  10 -6.7642098757134995e-04 -3.2947291343169994e-04  1.1990813351877138e-05  4.4421257379229683e-03  0.0000000000000000e+00 -1.1355139735092111e-01
  11 -7.9445064248152408e-04 -3.0053587943234346e-04  1.6027429402783360e-03  4.0215462673348131e-03  0.0000000000000000e+00 -1.3354879867833874e-01
  12 -2.0827161475144707e-04 -3.1800841408071418e-05  3.0883539386433170e-03  2.5789948027375321e-03  0.0000000000000000e+00 -1.3027096784298234e-01
  13  4.1853231103404384e-04  1.2737995710370998e-04  4.0862855730378570e-03  6.5125942455606636e-04  0.0000000000000000e+00 -1.1340292608265441e-01
  14  3.8952752417126008e-04  1.8211204477048458e-04  3.9542494411911964e-03 -1.3394144358216988e-03  0.0000000000000000e+00 -1.0486557390190861e-01
  15 -1.2112546136868566e-04  3.1864283885297108e-04  2.7876925272774869e-03 -3.0993533387597299e-03  0.0000000000000000e+00 -1.1658017955102562e-01
  16 -4.6534087874339734e-04  2.9231038140435878e-04  1.1927897655918623e-03 -4.2272285803799641e-03  0.0000000000000000e+00 -1.4610708430546326e-01
  17 -4.4307087637750859e-04 -9.7830166342209352e-05 -5.4024308233002142e-04 -4.3903311108295711e-03  0.0000000000000000e+00 -1.7684779616724908e-01
  18 -2.7528534292698494e-04 -4.9242336161516216e-04 -2.2552532762063256e-03 -3.5860042057121043e-03  0.0000000000000000e+00 -1.8967473764454273e-01
  19 -8.7505345858514391e-05 -3.9096330180339708e-04 -3.5862379481466171e-03 -1.9799433396586632e-03  0.0000000000000000e+00 -1.7910483468145327e-01
  20  7.1316719595283161e-05  1.8421253356148661e-04 -4.1121129719358775e-03  8.5863228748308165e-05  0.0000000000000000e+00 -1.6140135053038546e-01
  21  1.6516331669296671e-04  6.8446355992260715e-04 -3.6471627175622304e-03  2.0651324598225532e-03  0.0000000000000000e+00 -1.5819969904644898e-01
