
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -4.3098700834507442e-07   3  0  0  0  0  0  0
    3 -8.7988378157769020e-07   2  1  0  0  0  0  0
    3  8.7988378157769020e-07   1  2  0  0  0  0  0
    3  4.3098700834507442e-07   0  3  0  0  0  0  0
    3  6.5025411008249923e-07   1  0  2  0  0  0  0
    3 -1.8493293771876851e-07   0  1  2  0  0  0  0
    3 -1.1096553253794837e-06   1  0  1  1  0  0  0
    3  1.1096553253794837e-06   0  1  1  1  0  0  0
    3  1.8493293771876851e-07   1  0  0  2  0  0  0
    3 -6.5025411008249923e-07   0  1  0  2  0  0  0
    3 -8.9240475240823918e-07   2  0  0  0  1  0  0
    3  8.9240475240823918e-07   0  2  0  0  1  0  0
    3  2.1691699441081856e-07   0  0  2  0  1  0  0
    3 -2.1691699441081856e-07   0  0  0  2  1  0  0
    3  2.3470540746321978e-19   1  0  0  0  2  0  0
    3 -2.3470540746321978e-19   0  1  0  0  2  0  0
    4 -9.4994483686147127e-08   4  0  0  0  0  0  0
    4  1.0458007203345653e-07   3  1  0  0  0  0  0
    4 -1.0458007203345653e-07   1  3  0  0  0  0  0
    4  9.4994483686147127e-08   0  4  0  0  0  0  0
    4  2.9630756652391232e-08   2  0  2  0  0  0  0
    4 -1.0439652842556031e-06   1  1  2  0  0  0  0
    4  2.0765499424677965e-07   0  2  2  0  0  0  0
    4  3.6835773154867061e-08   0  0  4  0  0  0  0
    4 -8.1019780025640995e-07   2  0  1  1  0  0  0
    4  8.1019780025640995e-07   0  2  1  1  0  0  0
    4 -2.0466580592925856e-07   0  0  3  1  0  0  0
    4 -2.0765499424677965e-07   2  0  0  2  0  0  0
    4  1.0439652842556031e-06   1  1  0  2  0  0  0
    4 -2.9630756652391232e-08   0  2  0  2  0  0  0
    4  2.0466580592925856e-07   0  0  1  3  0  0  0
    4 -3.6835773154867061e-08   0  0  0  4  0  0  0
    4  2.6666940865328116e-07   3  0  0  0  1  0  0
    4 -1.1863994914455247e-06   2  1  0  0  1  0  0
    4  1.1863994914455247e-06   1  2  0  0  1  0  0
    4 -2.6666940865328116e-07   0  3  0  0  1  0  0
    4 -5.0297310459278113e-07   1  0  2  0  1  0  0
    4  3.7514682984083812e-07   0  1  2  0  1  0  0
    4 -3.2024202127973656e-06   1  0  1  1  1  0  0
    4  3.2024202127973656e-06   0  1  1  1  1  0  0
    4 -3.7514682984083812e-07   1  0  0  2  1  0  0
    4  5.0297310459278113e-07   0  1  0  2  1  0  0
    4 -3.6681490388194694e-07   2  0  0  0  2  0  0
    4  3.6681490388194694e-07   0  2  0  0  2  0  0
    4  5.3679234494742473e-07   0  0  2  0  2  0  0
    4 -5.3679234494742473e-07   0  0  0  2  2  0  0
    4 -1.6751672195376123e-19   1  0  0  0  3  0  0
    4  1.6751672195376123e-19   0  1  0  0  3  0  0
    5  1.3390079259793503e-07   5  0  0  0  0  0  0
    5  1.9796239736438576e-08   4  1  0  0  0  0  0
    5  5.1961981567117340e-07   3  2  0  0  0  0  0
    5 -5.1961981567117340e-07   2  3  0  0  0  0  0
    5 -1.9796239736438576e-08   1  4  0  0  0  0  0
    5 -1.3390079259793503e-07   0  5  0  0  0  0  0
    5  1.1469663834238895e-07   3  0  2  0  0  0  0
    5 -2.1282916563144276e-08   2  1  2  0  0  0  0
    5 -2.4510211896797649e-07   1  2  2  0  0  0  0
    5  5.5872689258466489e-08   0  3  2  0  0  0  0
    5  6.8698669022086982e-08   1  0  4  0  0  0  0
    5 -1.0891145396239369e-07   0  1  4  0  0  0  0
    5  1.0991121933582896e-07   3  0  1  1  0  0  0
    5  2.4820297405797602e-09   2  1  1  1  0  0  0
    5 -2.4820297405797602e-09   1  2  1  1  0  0  0
    5 -1.0991121933582896e-07   0  3  1  1  0  0  0
    5  4.7000824206987385e-08   1  0  3  1  0  0  0
    5 -1.3215565738886421e-07   0  1  3  1  0  0  0
    5 -5.5872689258466489e-08   3  0  0  2  0  0  0
    5  2.4510211896797649e-07   2  1  0  2  0  0  0
    5  2.1282916563144276e-08   1  2  0  2  0  0  0
    5 -1.1469663834238895e-07   0  3  0  2  0  0  0
    5  1.6332547233347248e-06   1  0  2  2  0  0  0
    5 -1.6332547233347248e-06   0  1  2  2  0  0  0
    5  1.3215565738886421e-07   1  0  1  3  0  0  0
    5 -4.7000824206987385e-08   0  1  1  3  0  0  0
    5  1.0891145396239369e-07   1  0  0  4  0  0  0
    5 -6.8698669022086982e-08   0  1  0  4  0  0  0
    5 -4.7413465412186490e-08   4  0  0  0  1  0  0
    5 -1.4649370860073800e-08   3  1  0  0  1  0  0
    5  1.4649370860073800e-08   1  3  0  0  1  0  0
    5  4.7413465412186490e-08   0  4  0  0  1  0  0
    5 -1.8604387830137245e-07   2  0  2  0  1  0  0
    5 -7.8836158815998106e-08   1  1  2  0  1  0  0
    5  1.8336699485887466e-07   0  2  2  0  1  0  0
    5 -8.5824875518572863e-09   0  0  4  0  1  0  0
    5  1.1068227302939736e-06   2  0  1  1  1  0  0
    5 -1.1068227302939736e-06   0  2  1  1  1  0  0
    5 -1.1064996510085525e-07   0  0  3  1  1  0  0
    5 -1.8336699485887466e-07   2  0  0  2  1  0  0
    5  7.8836158815998106e-08   1  1  0  2  1  0  0
    5  1.8604387830137245e-07   0  2  0  2  1  0  0
    5  1.1064996510085525e-07   0  0  1  3  1  0  0
    5  8.5824875518572863e-09   0  0  0  4  1  0  0
    5 -6.5993848071337174e-08   3  0  0  0  2  0  0
    5  3.0694038276401189e-07   2  1  0  0  2  0  0
    5 -3.0694038276401189e-07   1  2  0  0  2  0  0
    5  6.5993848071337174e-08   0  3  0  0  2  0  0
    5 -7.5669498294714970e-08   1  0  2  0  2  0  0
    5  6.5985951923783450e-07   0  1  2  0  2  0  0
    5  1.9534312532481514e-06   1  0  1  1  2  0  0
    5 -1.9534312532481514e-06   0  1  1  1  2  0  0
    5 -6.5985951923783450e-07   1  0  0  2  2  0  0
    5  7.5669498294714970e-08   0  1  0  2  2  0  0
    5  1.1726950104096695e-07   2  0  0  0  3  0  0
    5 -1.1726950104096695e-07   0  2  0  0  3  0  0
    5 -1.7400599294738213e-07   0  0  2  0  3  0  0
    5  1.7400599294738213e-07   0  0  0  2  3  0  0
    5  1.6365072471022762e-19   1  0  0  0  4  0  0
    5 -1.6365072471022762e-19   0  1  0  0  4  0  0
    6 -2.3220595320344181e-08   6  0  0  0  0  0  0
    6  4.7769365192922642e-08   5  1  0  0  0  0  0
    6 -8.3165641674894690e-08   4  2  0  0  0  0  0
    6  8.3165641674894690e-08   2  4  0  0  0  0  0
    6 -4.7769365192922642e-08   1  5  0  0  0  0  0
    6  2.3220595320344181e-08   0  6  0  0  0  0  0
    6 -2.4773106527997452e-07   4  0  2  0  0  0  0
    6  1.2856398897767245e-07   3  1  2  0  0  0  0
    6  1.4703987375075771e-07   2  2  2  0  0  0  0
    6 -3.8925697326923245e-08   1  3  2  0  0  0  0
    6 -2.9904847268129063e-08   0  4  2  0  0  0  0
    6  6.4825618806897315e-08   2  0  4  0  0  0  0
    6  1.4948268301183660e-07   1  1  4  0  0  0  0
    6  1.4907121608951287e-07   0  2  4  0  0  0  0
    6  1.4353329773109613e-08   0  0  6  0  0  0  0
    6 -1.3796527505077209e-08   4  0  1  1  0  0  0
    6 -4.2447922736250702e-07   3  1  1  1  0  0  0
    6  4.2447922736250702e-07   1  3  1  1  0  0  0
    6  1.3796527505077209e-08   0  4  1  1  0  0  0
    6  9.8418168990981620e-08   2  0  3  1  0  0  0
    6  3.2361958343662024e-07   1  1  3  1  0  0  0
    6  6.1575020748060840e-08   0  2  3  1  0  0  0
    6 -6.9693278388949014e-09   0  0  5  1  0  0  0
    6  2.9904847268129063e-08   4  0  0  2  0  0  0
    6  3.8925697326923245e-08   3  1  0  2  0  0  0
    6 -1.4703987375075771e-07   2  2  0  2  0  0  0
    6 -1.2856398897767245e-07   1  3  0  2  0  0  0
    6  2.4773106527997452e-07   0  4  0  2  0  0  0
    6 -2.7790101946132189e-07   2  0  2  2  0  0  0
    6  2.7790101946132189e-07   0  2  2  2  0  0  0
    6 -1.0062560999039390e-08   0  0  4  2  0  0  0
    6 -6.1575020748060840e-08   2  0  1  3  0  0  0
    6 -3.2361958343662024e-07   1  1  1  3  0  0  0
    6 -9.8418168990981620e-08   0  2  1  3  0  0  0
    6 -1.4907121608951287e-07   2  0  0  4  0  0  0
    6 -1.4948268301183660e-07   1  1  0  4  0  0  0
    6 -6.4825618806897315e-08   0  2  0  4  0  0  0
    6  1.0062560999039390e-08   0  0  2  4  0  0  0
    6  6.9693278388949014e-09   0  0  1  5  0  0  0
    6 -1.4353329773109613e-08   0  0  0  6  0  0  0
    6  2.7677325883433457e-07   5  0  0  0  1  0  0
    6 -4.0010873639529156e-07   4  1  0  0  1  0  0
    6  1.2615137449522084e-06   3  2  0  0  1  0  0
    6 -1.2615137449522084e-06   2  3  0  0  1  0  0
    6  4.0010873639529156e-07   1  4  0  0  1  0  0
    6 -2.7677325883433457e-07   0  5  0  0  1  0  0
    6 -1.8538693488969783e-08   3  0  2  0  1  0  0
    6  5.8939501630554813e-07   2  1  2  0  1  0  0
    6 -3.7664206275572616e-07   1  2  2  0  1  0  0
    6 -1.0350546337735102e-07   0  3  2  0  1  0  0
    6  4.7348072181287105e-08   1  0  4  0  1  0  0
    6 -2.9992144214152926e-08   0  1  4  0  1  0  0
    6 -7.9816979887167760e-08   3  0  1  1  1  0  0
    6 -2.6098615183880234e-06   2  1  1  1  1  0  0
    6  2.6098615183880234e-06   1  2  1  1  1  0  0
    6  7.9816979887167760e-08   0  3  1  1  1  0  0
    6  2.9243382561761030e-07   1  0  3  1  1  0  0
    6 -1.6854875215850764e-07   0  1  3  1  1  0  0
    6  1.0350546337735102e-07   3  0  0  2  1  0  0
    6  3.7664206275572616e-07   2  1  0  2  1  0  0
