
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2  1.2575093299556027e-25   1  1  0  0  0  0  0
    2  1.1338720584782265e-25   0  0  2  0  0  0  0
    2  1.1338720584782265e-25   0  0  0  2  0  0  0
    3 -2.5270505558494904e-07   3  0  0  0  0  0  0
    3 -2.2330136404252126e-07   2  1  0  0  0  0  0
    3 -2.2330136404252126e-07   1  2  0  0  0  0  0
    3 -2.5270505558494904e-07   0  3  0  0  0  0  0
    3 -6.0386369713426571e-07   1  0  2  0  0  0  0
    3 -1.0678881266844823e-06   0  1  2  0  0  0  0
    3 -2.0110450659975005e-07   1  0  1  1  0  0  0
    3 -2.0110450659975005e-07   0  1  1  1  0  0  0
    3 -1.0678881266844823e-06   1  0  0  2  0  0  0
    3 -6.0386369713426571e-07   0  1  0  2  0  0  0
    3 -3.6996273512143036e-07   2  0  0  0  1  0  0
    3 -2.2721852358761175e-06   1  1  0  0  1  0  0
    3 -3.6996273512143036e-07   0  2  0  0  1  0  0
    3 -1.0051568026089969e-06   0  0  2  0  1  0  0
    3 -2.1018477385969385e-06   0  0  1  1  1  0  0
    3 -1.0051568026089969e-06   0  0  0  2  1  0  0
    3  4.5249839216199558e-07   1  0  0  0  2  0  0
    3  4.5249839216199558e-07   0  1  0  0  2  0  0
    3 -5.0237472675751984e-07   0  0  0  0  3  0  0
    4 -7.4381064050491081e-08   4  0  0  0  0  0  0
    4  1.6155091721238060e-08   3  1  0  0  0  0  0
    4  1.0956687961466126e-06   2  2  0  0  0  0  0
    4  1.6155091721238060e-08   1  3  0  0  0  0  0
    4 -7.4381064050491081e-08   0  4  0  0  0  0  0
    4  6.2799202038942615e-08   2  0  2  0  0  0  0
    4  7.2985321350039667e-07   1  1  2  0  0  0  0
    4 -4.4053408318077534e-07   0  2  2  0  0  0  0
    4  1.8239884975050711e-07   0  0  4  0  0  0  0
    4 -2.5819275749059487e-07   2  0  1  1  0  0  0
    4 -1.6851737080963328e-07   1  1  1  1  0  0  0
    4 -2.5819275749059487e-07   0  2  1  1  0  0  0
    4  3.8224486865936252e-07   0  0  3  1  0  0  0
    4 -4.4053408318077534e-07   2  0  0  2  0  0  0
    4  7.2985321350039667e-07   1  1  0  2  0  0  0
    4  6.2799202038942615e-08   0  2  0  2  0  0  0
    4  9.1668756974496924e-07   0  0  2  2  0  0  0
    4  3.8224486865936252e-07   0  0  1  3  0  0  0
    4  1.8239884975050711e-07   0  0  0  4  0  0  0
    4 -3.1529804940484467e-08   3  0  0  0  1  0  0
    4 -4.9599101117022673e-07   2  1  0  0  1  0  0
    4 -4.9599101117022673e-07   1  2  0  0  1  0  0
    4 -3.1529804940484467e-08   0  3  0  0  1  0  0
    4  4.4807363363730601e-07   1  0  2  0  1  0  0
    4 -5.8478238804336338e-08   0  1  2  0  1  0  0
    4 -3.9870410312547655e-07   1  0  1  1  1  0  0
    4 -3.9870410312547655e-07   0  1  1  1  1  0  0
    4 -5.8478238804336338e-08   1  0  0  2  1  0  0
    4  4.4807363363730601e-07   0  1  0  2  1  0  0
    4 -2.7809684861383507e-07   2  0  0  0  2  0  0
    4  1.4422892819940337e-06   1  1  0  0  2  0  0
    4 -2.7809684861383507e-07   0  2  0  0  2  0  0
    4 -3.0814400357131623e-07   0  0  2  0  2  0  0
    4  8.2989994788559963e-07   0  0  1  1  2  0  0
    4 -3.0814400357131623e-07   0  0  0  2  2  0  0
    4  3.0235091763848729e-07   1  0  0  0  3  0  0
    4  3.0235091763848729e-07   0  1  0  0  3  0  0
    4  1.8252130882789307e-06   0  0  0  0  4  0  0
    5  1.3193227423293796e-07   5  0  0  0  0  0  0
    5  1.0191936326625546e-07   4  1  0  0  0  0  0
    5  2.8296528812677770e-07   3  2  0  0  0  0  0
    5  2.8296528812677770e-07   2  3  0  0  0  0  0
    5  1.0191936326625546e-07   1  4  0  0  0  0  0
    5  1.3193227423293796e-07   0  5  0  0  0  0  0
    5  5.1463763120836493e-08   3  0  2  0  0  0  0
    5  2.3050607284017734e-08   2  1  2  0  0  0  0
    5  5.9797486060100291e-07   1  2  2  0  0  0  0
    5  6.1175514911547161e-09   0  3  2  0  0  0  0
    5 -6.0551502170172643e-08   1  0  4  0  0  0  0
    5  3.6200440081628482e-07   0  1  4  0  0  0  0
    5  1.9829141055407317e-07   3  0  1  1  0  0  0
    5 -1.3648506157659211e-07   2  1  1  1  0  0  0
    5 -1.3648506157659211e-07   1  2  1  1  0  0  0
    5  1.9829141055407317e-07   0  3  1  1  0  0  0
    5 -1.6878306689752740e-07   1  0  3  1  0  0  0
    5  7.6458049189921583e-08   0  1  3  1  0  0  0
    5  6.1175514911547161e-09   3  0  0  2  0  0  0
    5  5.9797486060100291e-07   2  1  0  2  0  0  0
    5  2.3050607284017734e-08   1  2  0  2  0  0  0
    5  5.1463763120836493e-08   0  3  0  2  0  0  0
    5 -1.7977599277972904e-07   1  0  2  2  0  0  0
    5 -1.7977599277972904e-07   0  1  2  2  0  0  0
    5  7.6458049189921583e-08   1  0  1  3  0  0  0
    5 -1.6878306689752740e-07   0  1  1  3  0  0  0
    5  3.6200440081628482e-07   1  0  0  4  0  0  0
    5 -6.0551502170172643e-08   0  1  0  4  0  0  0
    5 -1.1495415910440137e-07   4  0  0  0  1  0  0
    5  1.1392468578410386e-07   3  1  0  0  1  0  0
    5  4.9915061081979839e-06   2  2  0  0  1  0  0
    5  1.1392468578410386e-07   1  3  0  0  1  0  0
    5 -1.1495415910440137e-07   0  4  0  0  1  0  0
    5  2.8937316465139014e-07   2  0  2  0  1  0  0
    5  1.4708397112097004e-07   1  1  2  0  1  0  0
    5  3.8108152614938649e-09   0  2  2  0  1  0  0
    5 -6.9441611851239669e-08   0  0  4  0  1  0  0
    5  2.3186886271919310e-07   2  0  1  1  1  0  0
    5  7.6543716645656319e-07   1  1  1  1  1  0  0
    5  2.3186886271919310e-07   0  2  1  1  1  0  0
    5 -4.2112918448190549e-07   0  0  3  1  1  0  0
    5  3.8108152614938649e-09   2  0  0  2  1  0  0
    5  1.4708397112097004e-07   1  1  0  2  1  0  0
    5  2.8937316465139014e-07   0  2  0  2  1  0  0
    5 -7.8187668973348343e-07   0  0  2  2  1  0  0
    5 -4.2112918448190549e-07   0  0  1  3  1  0  0
    5 -6.9441611851239669e-08   0  0  0  4  1  0  0
    5  2.2409276280174686e-07   3  0  0  0  2  0  0
    5 -5.4047672146086120e-07   2  1  0  0  2  0  0
    5 -5.4047672146086120e-07   1  2  0  0  2  0  0
    5  2.2409276280174686e-07   0  3  0  0  2  0  0
    5 -2.7598499099720046e-07   1  0  2  0  2  0  0
    5 -9.3857400866622207e-07   0  1  2  0  2  0  0
    5  2.2968820622177175e-07   1  0  1  1  2  0  0
    5  2.2968820622177175e-07   0  1  1  1  2  0  0
    5 -9.3857400866622207e-07   1  0  0  2  2  0  0
    5 -2.7598499099720046e-07   0  1  0  2  2  0  0
    5  1.3282559694400617e-07   2  0  0  0  3  0  0
    5  1.7414316490123871e-06   1  1  0  0  3  0  0
    5  1.3282559694400617e-07   0  2  0  0  3  0  0
    5  2.0119108546122147e-07   0  0  2  0  3  0  0
    5  4.3242407362815789e-07   0  0  1  1  3  0  0
    5  2.0119108546122147e-07   0  0  0  2  3  0  0
    5 -1.9802901761519187e-07   1  0  0  0  4  0  0
    5 -1.9802901761519187e-07   0  1  0  0  4  0  0
    5 -4.9800747824844764e-07   0  0  0  0  5  0  0
    6 -5.1742998211288936e-08   6  0  0  0  0  0  0
    6  2.2881831072961837e-07   5  1  0  0  0  0  0
    6  1.1874470842032114e-07   4  2  0  0  0  0  0
    6 -1.6477261351890746e-06   3  3  0  0  0  0  0
    6  1.1874470842032114e-07   2  4  0  0  0  0  0
    6  2.2881831072961837e-07   1  5  0  0  0  0  0
    6 -5.1742998211288936e-08   0  6  0  0  0  0  0
    6  1.4323896796837485e-07   4  0  2  0  0  0  0
    6 -1.6085953964560157e-07   3  1  2  0  0  0  0
    6 -2.0695644169688614e-07   2  2  2  0  0  0  0
    6  2.9591539211441052e-07   1  3  2  0  0  0  0
    6 -1.4961790543251891e-10   0  4  2  0  0  0  0
    6 -9.3191646096833056e-09   2  0  4  0  0  0  0
    6  2.1539600622040348e-08   1  1  4  0  0  0  0
    6  3.4981705931956461e-09   0  2  4  0  0  0  0
    6 -1.1945277987265083e-08   0  0  6  0  0  0  0
    6 -6.2579365392496626e-08   4  0  1  1  0  0  0
    6 -5.3371692552442727e-08   3  1  1  1  0  0  0
    6 -3.2857084784951401e-06   2  2  1  1  0  0  0
    6 -5.3371692552442727e-08   1  3  1  1  0  0  0
    6 -6.2579365392496626e-08   0  4  1  1  0  0  0
    6 -3.6070322965013541e-08   2  0  3  1  0  0  0
    6 -2.6321296973316378e-09   1  1  3  1  0  0  0
    6 -2.0847070764575850e-07   0  2  3  1  0  0  0
    6  2.6474069776744977e-08   0  0  5  1  0  0  0
    6 -1.4961790543251891e-10   4  0  0  2  0  0  0
    6  2.9591539211441052e-07   3  1  0  2  0  0  0
    6 -2.0695644169688614e-07   2  2  0  2  0  0  0
    6 -1.6085953964560157e-07   1  3  0  2  0  0  0
    6  1.4323896796837485e-07   0  4  0  2  0  0  0
    6 -2.6819582095973318e-07   2  0  2  2  0  0  0
    6 -1.0233206111830173e-06   1  1  2  2  0  0  0
    6 -2.6819582095973318e-07   0  2  2  2  0  0  0
    6  1.6184555512355739e-07   0  0  4  2  0  0  0
    6 -2.0847070764575850e-07   2  0  1  3  0  0  0
    6 -2.6321296973316378e-09   1  1  1  3  0  0  0
    6 -3.6070322965013541e-08   0  2  1  3  0  0  0
    6  5.6786526767252964e-08   0  0  3  3  0  0  0
    6  3.4981705931956461e-09   2  0  0  4  0  0  0
    6  2.1539600622040348e-08   1  1  0  4  0  0  0
    6 -9.3191646096833056e-09   0  2  0  4  0  0  0
    6  1.6184555512355739e-07   0  0  2  4  0  0  0
