
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  1.9960173011872805e-22   0  0  0  0  0  0  0
    1  9.7820104639278616e-01   1  0  0  0  0  0  0
    1  4.1914655907657794e+00   0  1  0  0  0  0  0
    1 -7.6144233349215825e-06   0  0  0  0  1  0  0
    2 -1.0517200667436697e+00   2  0  0  0  0  0  0
    2 -5.2031549761353354e+01   1  1  0  0  0  0  0
    2 -1.2666031156176871e+03   0  2  0  0  0  0  0
    2 -3.0007039832122345e+01   0  0  2  0  0  0  0
    2  2.5052723239472993e+01   0  0  1  1  0  0  0
    2  4.6587930525320189e+02   0  0  0  2  0  0  0
    2 -9.9564931504820986e-01   1  0  0  0  1  0  0
    2  5.5018511116176668e+01   0  1  0  0  1  0  0
    2  1.1503563985534103e-01   0  0  0  0  2  0  0
    3  7.1128721340655616e+01   3  0  0  0  0  0  0
    3 -6.3049809654544169e+03   2  1  0  0  0  0  0
    3  7.2697974358865918e+04   1  2  0  0  0  0  0
    3 -1.5760181547756433e+06   0  3  0  0  0  0  0
    3  1.2398093120389262e+03   1  0  2  0  0  0  0
    3 -3.7030338049089754e+04   0  1  2  0  0  0  0
    3  3.9682265222507763e+03   1  0  1  1  0  0  0
    3  1.0756828035131966e+05   0  1  1  1  0  0  0
    3 -1.8434183988067166e+03   1  0  0  2  0  0  0
    3  2.2696882349455601e+05   0  1  0  2  0  0  0
    3 -1.6117770242124664e+01   2  0  0  0  1  0  0
    3  1.4464405064446507e+03   1  1  0  0  1  0  0
    3  3.1230848630938635e+04   0  2  0  0  1  0  0
    3  8.1556059732499136e+02   0  0  2  0  1  0  0
    3  5.3512857085255723e+02   0  0  1  1  1  0  0
    3 -6.6771081827736234e+03   0  0  0  2  1  0  0
    3  3.8952461019307805e+00   1  0  0  0  2  0  0
    3 -2.1570463195919015e+03   0  1  0  0  2  0  0
    3  1.9646476558987584e+00   0  0  0  0  3  0  0
    4  1.4881453384426641e+03   4  0  0  0  0  0  0
    4  1.5022824731227590e+05   3  1  0  0  0  0  0
    4 -1.4884799409277202e+05   2  2  0  0  0  0  0
    4 -6.7822142764924511e+07   1  3  0  0  0  0  0
    4 -4.0543967380365002e+08   0  4  0  0  0  0  0
    4 -1.9711580769251756e+04   2  0  2  0  0  0  0
    4  2.5323082324187452e+05   1  1  2  0  0  0  0
    4 -1.6020540624805640e+07   0  2  2  0  0  0  0
    4 -1.3304652571040101e+05   0  0  4  0  0  0  0
    4 -1.3841223011832309e+05   2  0  1  1  0  0  0
    4 -3.2204029739235307e+05   1  1  1  1  0  0  0
    4 -1.3686398574898669e+08   0  2  1  1  0  0  0
    4 -1.2772776840094493e+06   0  0  3  1  0  0  0
    4 -1.9240295844541059e+05   2  0  0  2  0  0  0
    4  7.6439245496326443e+06   1  1  0  2  0  0  0
    4  2.3213432602347024e+07   0  2  0  2  0  0  0
    4  1.0572686809820230e+06   0  0  2  2  0  0  0
    4  1.0529974615869377e+07   0  0  1  3  0  0  0
    4 -7.6059991830150578e+06   0  0  0  4  0  0  0
    4  7.7013548104903275e+03   3  0  0  0  1  0  0
    4 -6.9865251681999827e+05   2  1  0  0  1  0  0
    4  1.0782789879282159e+06   1  2  0  0  1  0  0
    4 -2.0626353049693057e+08   0  3  0  0  1  0  0
    4 -6.0430419574891548e+03   1  0  2  0  1  0  0
    4 -2.5004093419471194e+05   0  1  2  0  1  0  0
    4 -1.4884699625256189e+03   1  0  1  1  1  0  0
    4  2.7690490651394404e+05   0  1  1  1  1  0  0
    4  9.3757827734311941e+03   1  0  0  2  1  0  0
    4 -1.2195539940127532e+06   0  1  0  2  1  0  0
    4 -7.0859241241933864e+02   2  0  0  0  2  0  0
    4  8.5130069554139802e+04   1  1  0  0  2  0  0
    4 -2.4665675372000935e+05   0  2  0  0  2  0  0
    4 -1.1071323244874065e+03   0  0  2  0  2  0  0
    4  1.1289337456337575e+05   0  0  1  1  2  0  0
    4  9.2447811708949623e+04   0  0  0  2  2  0  0
    4  9.5786060190806177e+02   1  0  0  0  3  0  0
    4 -3.9830711931537815e+04   0  1  0  0  3  0  0
    4 -5.8351102952800694e+01   0  0  0  0  4  0  0
    5 -1.7030664107768043e+05   5  0  0  0  0  0  0
    5  1.7873760112351961e+07   4  1  0  0  0  0  0
    5 -2.9435808497849381e+08   3  2  0  0  0  0  0
    5  2.3975474308421841e+10   2  3  0  0  0  0  0
    5 -3.1494961661378551e+10   1  4  0  0  0  0  0
    5  2.1729985621482222e+12   0  5  0  0  0  0  0
    5 -1.2852758567495111e+06   3  0  2  0  0  0  0
    5  1.5120550547917891e+08   2  1  2  0  0  0  0
    5 -1.6541905909725280e+09   1  2  2  0  0  0  0
    5  5.7658916687033066e+10   0  3  2  0  0  0  0
    5 -1.0556519113869141e+06   1  0  4  0  0  0  0
    5  5.6994973757815231e+06   0  1  4  0  0  0  0
    5  1.2704688281736060e+06   3  0  1  1  0  0  0
    5 -2.2200887104097068e+08   2  1  1  1  0  0  0
    5 -8.9154828768117085e+09   1  2  1  1  0  0  0
    5 -1.1391874632405178e+10   0  3  1  1  0  0  0
    5  3.1838208526209064e+07   1  0  3  1  0  0  0
    5 -1.3810496054512844e+09   0  1  3  1  0  0  0
    5 -2.1660183147582572e+07   3  0  0  2  0  0  0
    5  9.9858734319719136e+08   2  1  0  2  0  0  0
    5 -7.6259332507082767e+09   1  2  0  2  0  0  0
    5  4.3089174596963770e+11   0  3  0  2  0  0  0
    5 -6.1687183010149270e+07   1  0  2  2  0  0  0
    5  1.1576476004538503e+09   0  1  2  2  0  0  0
    5 -2.5989829294801688e+08   1  0  1  3  0  0  0
    5 -8.1386642945138330e+09   0  1  1  3  0  0  0
    5 -4.0842200022024786e+08   1  0  0  4  0  0  0
    5  2.9011257161084019e+10   0  1  0  4  0  0  0
    5  1.4312851755476088e+05   4  0  0  0  1  0  0
    5  1.2378737895432351e+07   3  1  0  0  1  0  0
    5  3.2114556991989005e+08   2  2  0  0  1  0  0
    5 -5.9243816710733442e+09   1  3  0  0  1  0  0
    5 -3.5385564572759689e+10   0  4  0  0  1  0  0
    5 -4.7156273664666864e+04   2  0  2  0  1  0  0
    5 -4.0912623819701672e+06   1  1  2  0  1  0  0
    5 -3.7179443269459903e+08   0  2  2  0  1  0  0
    5  3.1856297980413074e+06   0  0  4  0  1  0  0
    5 -2.4726979002967700e+06   2  0  1  1  1  0  0
    5 -1.6159661710735792e+08   1  1  1  1  1  0  0
    5 -6.9709510170719690e+09   0  2  1  1  1  0  0
    5 -5.6732778527374361e+06   0  0  3  1  1  0  0
    5  1.2144145505098511e+07   2  0  0  2  1  0  0
    5 -6.1725259714251137e+08   1  1  0  2  1  0  0
    5  7.4195687194971237e+09   0  2  0  2  1  0  0
    5  1.6624186022312809e+07   0  0  2  2  1  0  0
    5 -1.6930120717697546e+08   0  0  1  3  1  0  0
    5 -1.0344773489807770e+08   0  0  0  4  1  0  0
    5  3.9463592830164947e+04   3  0  0  0  2  0  0
    5  1.0258845926049903e+07   2  1  0  0  2  0  0
    5  2.2196178726129279e+07   1  2  0  0  2  0  0
    5  5.8437958370105743e+09   0  3  0  0  2  0  0
    5  2.1904345890783716e+05   1  0  2  0  2  0  0
    5  2.6664378521632567e+07   0  1  2  0  2  0  0
    5  2.9303793028673204e+05   1  0  1  1  2  0  0
    5  5.7919923151287168e+07   0  1  1  1  2  0  0
    5  4.2816517822271232e+06   1  0  0  2  2  0  0
    5  6.1147501328553565e+07   0  1  0  2  2  0  0
    5 -5.5320812039966608e+04   2  0  0  0  3  0  0
    5  2.8693122365632569e+06   1  1  0  0  3  0  0
    5 -1.5760251941783305e+07   0  2  0  0  3  0  0
    5 -2.3179707804887538e+05   0  0  2  0  3  0  0
    5 -3.1457448234567407e+05   0  0  1  1  3  0  0
    5 -8.3473476460095018e+05   0  0  0  2  3  0  0
    5 -1.0832453740868406e+04   1  0  0  0  4  0  0
    5  2.1949505980566498e+06   0  1  0  0  4  0  0
    5 -2.1348750880635357e+03   0  0  0  0  5  0  0
    6 -6.2854973468242250e+06   6  0  0  0  0  0  0
    6  1.3977005007874691e+08   5  1  0  0  0  0  0
    6 -6.8104625353291283e+09   4  2  0  0  0  0  0
    6 -2.7738738259478583e+11   3  3  0  0  0  0  0
    6 -1.6550258722645315e+12   2  4  0  0  0  0  0
    6  5.9068625615797656e+13   1  5  0  0  0  0  0
    6  4.5535819938787675e+14   0  6  0  0  0  0  0
    6 -2.9998064728052534e+07   4  0  2  0  0  0  0
    6 -1.6222752362134776e+09   3  1  2  0  0  0  0
    6  1.5871080975494269e+11   2  2  2  0  0  0  0
    6 -8.9320128720341235e+11   1  3  2  0  0  0  0
    6  3.8111017426471391e+13   0  4  2  0  0  0  0
    6  2.0453067531423920e+08   2  0  4  0  0  0  0
    6  8.6537829041382408e+08   1  1  4  0  0  0  0
    6  1.1597390112119620e+11   0  2  4  0  0  0  0
    6 -6.3420114001337266e+08   0  0  6  0  0  0  0
    6 -1.0928635735755813e+08   4  0  1  1  0  0  0
    6  1.1690169689985279e+10   3  1  1  1  0  0  0
    6  9.8456119218039624e+11   2  2  1  1  0  0  0
    6  4.0685018399320752e+11   1  3  1  1  0  0  0
    6  2.1604551135757638e+14   0  4  1  1  0  0  0
    6 -2.7097162403231859e+08   2  0  3  1  0  0  0
    6  1.7753952150947388e+10   1  1  3  1  0  0  0
    6  1.5433231652268760e+12   0  2  3  1  0  0  0
    6 -1.8657860508790646e+09   0  0  5  1  0  0  0
    6 -1.1179913354472980e+09   4  0  0  2  0  0  0
    6  6.3098114298495094e+10   3  1  0  2  0  0  0
    6 -1.5651764049964910e+12   2  2  0  2  0  0  0
    6  8.1990791583625830e+12   1  3  0  2  0  0  0
    6 -2.3470168892741544e+14   0  4  0  2  0  0  0
    6 -4.8151441217506695e+09   2  0  2  2  0  0  0
    6 -1.3276051815374484e+11   1  1  2  2  0  0  0
