# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.20667 1.07867
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2600057483350758e-04  4.8193905205813681e-19  4.1534726035352756e-03 -9.7203305558201539e-19  0.0000000000000000e+00  0.0000000000000000e+00
   1  3.4385591221187794e-05  4.1047282242982351e-04  3.6539154315970383e-03 -2.0162998896767056e-03  0.0000000000000000e+00  2.6714274952608281e-03
   2 -8.4414458205002513e-05  5.7498651160520968e-04  2.3621911891664573e-03 -3.5371991776318684e-03  0.0000000000000000e+00 -1.7971630293468821e-02
   3 -1.1702081625966938e-04  9.2839528876381190e-05  6.0474437849664965e-04 -4.2528113692678216e-03  0.0000000000000000e+00 -5.0846794961287023e-02
   4 -3.3641243734725158e-04 -5.6428940060244785e-04 -1.2548786264820644e-03 -4.1192432813168065e-03  0.0000000000000000e+00 -7.4782391354701869e-02
   5 -5.1457042847457418e-04 -5.6903223256043513e-04 -2.8014240938755873e-03 -3.0498064840452466e-03  0.0000000000000000e+00 -7.3854776171837430e-02
   6 -2.4824931560244015e-04  1.0236798390068386e-04 -3.8117165489295894e-03 -1.1792000566574286e-03  0.0000000000000000e+00 -5.5363182992294119e-02
   7  2.7027078022069212e-04  6.8278118693143890e-04 -4.0493034435101459e-03  8.8677414903020235e-04  0.0000000000000000e+00 -4.1109769554230825e-02
   8  4.7906112996738031e-04  5.6885911689770138e-04 -3.2650528919129021e-03  2.6024455030682560e-03  0.0000000000000000e+00 -4.9679651839744189e-02
   9  6.6245090912379906e-05 -4.3171664905338427e-05 -1.6489173238355269e-03  3.8074420015871413e-03  0.0000000000000000e+00 -7.9173278788532392e-02
  10 -6.3262425238837933e-04 -4.5070242321141419e-04  1.5396745386996109e-04  4.3562923264907783e-03  0.0000000000000000e+00 -1.1043914085196152e-01
  11 -8.3135004613150900e-04 -2.9976669745232688e-04  1.7694551384335538e-03  3.8748635994422355e-03  0.0000000000000000e+00 -1.2512761282887822e-01
  12 -2.3804389248511984e-04  1.0551427521056497e-04  3.2081588939635226e-03  2.3804107734120466e-03  0.0000000000000000e+00 -1.1622290487845109e-01
  13  4.3718495802085944e-04  2.5755103151342741e-04  4.1071557949158019e-03  4.2487135024883938e-04  0.0000000000000000e+00 -9.7058312562913890e-02
  14  4.1880472173550166e-04  1.8683994244889169e-04  3.8809391091731075e-03 -1.5451038465474640e-03  0.0000000000000000e+00 -9.1335429472556628e-02
  15 -1.1980780274737953e-04  2.1596648048446005e-04  2.6473967292611469e-03 -3.2335630040640296e-03  0.0000000000000000e+00 -1.0792241648694538e-01
  16 -4.8542172523155703e-04  1.9050962326878638e-04  9.9646842393047853e-04 -4.2578345588380343e-03  0.0000000000000000e+00 -1.3930211051816874e-01
  17 -4.3603490726197125e-04 -1.1161789855674362e-04 -7.8648120129826778e-04 -4.2941212861566051e-03  0.0000000000000000e+00 -1.6621305755911253e-01
  18 -2.2021305655354264e-04 -4.2193387373988756e-04 -2.5129300478412475e-03 -3.3575028962770661e-03  0.0000000000000000e+00 -1.7149967140549180e-01
  19 -5.0170363610344195e-05 -3.0288523491690816e-04 -3.7516636571905998e-03 -1.6549474192428910e-03  0.0000000000000000e+00 -1.5494560191661194e-01
  20  3.3813861604192001e-05  2.4679355191848393e-04 -4.0969974600487333e-03  4.4030935705280367e-04  0.0000000000000000e+00 -1.3725977804112977e-01
  21  1.1834798432387726e-04  7.0123462998775826e-04 -3.4779937527797435e-03  2.3629125847024575e-03  0.0000000000000000e+00 -1.3920648736287047e-01
  22  1.5807090885341295e-04  4.6877521359378399e-04 -2.0625086219900925e-03  3.6667343095341015e-03  0.0000000000000000e+00 -1.6411853074240029e-01
  23 -1.3991387868969024e-04 -2.9107893449009388e-04 -2.0835934467835297e-04  4.2550244593352344e-03  0.0000000000000000e+00 -1.9776555092026851e-01
  24 -6.3050501595737741e-04 -6.7991639824354071e-04  1.5526908964388973e-03  4.0132396768035820e-03  0.0000000000000000e+00 -2.1699129931552899e-01
  25 -6.2670346799379676e-04 -2.5640808500090618e-04  2.9615159854531111e-03  2.7420935176222369e-03  0.0000000000000000e+00 -2.1204414839667421e-01
