
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.2454682759546640e-06   1  1  0  0  0  0  0
    2 -3.5438205222072472e-05   0  0  1  1  0  0  0
    2  5.8639258748412526e-05   0  0  0  0  2  0  0
    3 -3.7268163548907659e-07   3  0  0  0  0  0  0
    3 -1.7221623019233437e-07   2  1  0  0  0  0  0
    3 -1.7221623019233437e-07   1  2  0  0  0  0  0
    3 -3.7268163548907659e-07   0  3  0  0  0  0  0
    3  3.5111695406073451e-06   1  0  2  0  0  0  0
    3  9.6037355385173021e-07   0  1  2  0  0  0  0
    3 -1.9481759224590689e-07   1  0  1  1  0  0  0
    3 -1.9481759224590689e-07   0  1  1  1  0  0  0
    3  9.6037355385173021e-07   1  0  0  2  0  0  0
    3  3.5111695406073451e-06   0  1  0  2  0  0  0
    3 -3.7370068188285572e-07   2  0  0  0  1  0  0
    3 -2.2721852403683313e-06   1  1  0  0  1  0  0
    3 -3.7370068188285572e-07   0  2  0  0  1  0  0
    3  2.9387527606402780e-06   0  0  2  0  1  0  0
    3 -2.1018477330210608e-06   0  0  1  1  1  0  0
    3  2.9387527606402780e-06   0  0  0  2  1  0  0
    3  2.8136097355047075e-20   1  0  0  0  2  0  0
    3  2.8136097355047075e-20   0  1  0  0  2  0  0
    3 -4.9812134987889291e-07   0  0  0  0  3  0  0
    4 -1.1328114772885527e-07   4  0  0  0  0  0  0
    4  5.7302396461114532e-08   3  1  0  0  0  0  0
    4  4.7898730532875265e-07   2  2  0  0  0  0  0
    4  5.7302396461114532e-08   1  3  0  0  0  0  0
    4 -1.1328114772885527e-07   0  4  0  0  0  0  0
    4 -2.9954178891842403e-07   2  0  2  0  0  0  0
    4 -1.3737353544530006e-06   1  1  2  0  0  0  0
    4  2.3415943178131146e-06   0  2  2  0  0  0  0
    4  5.4704469399915650e-07   0  0  4  0  0  0  0
    4 -2.1489422859140695e-07   2  0  1  1  0  0  0
    4 -4.3174200052366745e-07   1  1  1  1  0  0  0
    4 -2.1489422859140695e-07   0  2  1  1  0  0  0
    4 -1.4290897882174931e-06   0  0  3  1  0  0  0
    4  2.3415943178131146e-06   2  0  0  2  0  0  0
    4 -1.3737353544530006e-06   1  1  0  2  0  0  0
    4 -2.9954178891842403e-07   0  2  0  2  0  0  0
    4  4.1572544015004221e-07   0  0  2  2  0  0  0
    4 -1.4290897882174931e-06   0  0  1  3  0  0  0
    4  5.4704469399915650e-07   0  0  0  4  0  0  0
    4 -9.4162544381634117e-08   3  0  0  0  1  0  0
    4 -5.4648089297757556e-07   2  1  0  0  1  0  0
    4 -5.4648089297757556e-07   1  2  0  0  1  0  0
    4 -9.4162544381634117e-08   0  3  0  0  1  0  0
    4 -1.9149387834136242e-06   1  0  2  0  1  0  0
    4  4.6554493790173533e-07   0  1  2  0  1  0  0
    4 -1.1048654828716625e-06   1  0  1  1  1  0  0
    4 -1.1048654828716625e-06   0  1  1  1  1  0  0
    4  4.6554493790173533e-07   1  0  0  2  1  0  0
    4 -1.9149387834136242e-06   0  1  0  2  1  0  0
    4 -4.4302756462632805e-07   2  0  0  0  2  0  0
    4  2.2427791377186693e-06   1  1  0  0  2  0  0
    4 -4.4302756462632805e-07   0  2  0  0  2  0  0
    4  2.4635179838249948e-06   0  0  2  0  2  0  0
    4  1.3455271929725993e-07   0  0  1  1  2  0  0
    4  2.4635179838249948e-06   0  0  0  2  2  0  0
    4  5.1711908077419700e-21   1  0  0  0  3  0  0
    4  5.1711908077419700e-21   0  1  0  0  3  0  0
    4  1.9186714661249386e-06   0  0  0  0  4  0  0
    5  1.6617560296943398e-07   5  0  0  0  0  0  0
    5  5.9639517027136796e-08   4  1  0  0  0  0  0
    5  1.7639089520884426e-07   3  2  0  0  0  0  0
    5  1.7639089520884426e-07   2  3  0  0  0  0  0
    5  5.9639517027136796e-08   1  4  0  0  0  0  0
    5  1.6617560296943398e-07   0  5  0  0  0  0  0
    5  9.2597273306395457e-07   3  0  2  0  0  0  0
    5  5.4000658562641959e-07   2  1  2  0  0  0  0
    5 -1.0413003244216015e-06   1  2  2  0  0  0  0
    5 -2.0634726792981340e-07   0  3  2  0  0  0  0
    5  4.5780852864795321e-07   1  0  4  0  0  0  0
    5 -2.7340941839671265e-06   0  1  4  0  0  0  0
    5 -2.6781040241356261e-07   3  0  1  1  0  0  0
    5  5.7614531867228205e-07   2  1  1  1  0  0  0
    5  5.7614531867228205e-07   1  2  1  1  0  0  0
    5 -2.6781040241356261e-07   0  3  1  1  0  0  0
    5 -1.3213032005579761e-07   1  0  3  1  0  0  0
    5 -5.9949693079553921e-06   0  1  3  1  0  0  0
    5 -2.0634726792981340e-07   3  0  0  2  0  0  0
    5 -1.0413003244216015e-06   2  1  0  2  0  0  0
    5  5.4000658562641959e-07   1  2  0  2  0  0  0
    5  9.2597273306395457e-07   0  3  0  2  0  0  0
    5  7.2049128195810422e-07   1  0  2  2  0  0  0
    5  7.2049128195810422e-07   0  1  2  2  0  0  0
    5 -5.9949693079553921e-06   1  0  1  3  0  0  0
    5 -1.3213032005579761e-07   0  1  1  3  0  0  0
    5 -2.7340941839671265e-06   1  0  0  4  0  0  0
    5  4.5780852864795321e-07   0  1  0  4  0  0  0
    5 -2.3905329676375728e-07   4  0  0  0  1  0  0
    5  3.6798394604369452e-08   3  1  0  0  1  0  0
    5  3.5007865471580856e-06   2  2  0  0  1  0  0
    5  3.6798394604369452e-08   1  3  0  0  1  0  0
    5 -2.3905329676375728e-07   0  4  0  0  1  0  0
    5 -2.6755822376355987e-07   2  0  2  0  1  0  0
    5 -5.6514176401343244e-07   1  1  2  0  1  0  0
    5 -7.8748450317280561e-07   0  2  2  0  1  0  0
    5 -1.6284177158109326e-07   0  0  4  0  1  0  0
    5 -1.4610875541214655e-07   2  0  1  1  1  0  0
    5 -1.0988147359375830e-06   1  1  1  1  1  0  0
    5 -1.4610875541214655e-07   0  2  1  1  1  0  0
    5 -1.8542980263187474e-06   0  0  3  1  1  0  0
    5 -7.8748450317280561e-07   2  0  0  2  1  0  0
    5 -5.6514176401343244e-07   1  1  0  2  1  0  0
    5 -2.6755822376355987e-07   0  2  0  2  1  0  0
    5  3.8002368370095073e-06   0  0  2  2  1  0  0
    5 -1.8542980263187474e-06   0  0  1  3  1  0  0
    5 -1.6284177158109326e-07   0  0  0  4  1  0  0
    5  2.9470384585153364e-07   3  0  0  0  2  0  0
    5 -1.7209064858149812e-07   2  1  0  0  2  0  0
    5 -1.7209064858149812e-07   1  2  0  0  2  0  0
    5  2.9470384585153364e-07   0  3  0  0  2  0  0
    5 -2.0845416260520560e-07   1  0  2  0  2  0  0
    5  7.2436603491941220e-06   0  1  2  0  2  0  0
    5 -6.2866921349418743e-07   1  0  1  1  2  0  0
    5 -6.2866921349418743e-07   0  1  1  1  2  0  0
    5  7.2436603491941220e-06   1  0  0  2  2  0  0
    5 -2.0845416260520560e-07   0  1  0  2  2  0  0
    5  1.7641471021948642e-07   2  0  0  0  3  0  0
    5  1.3340452017804543e-06   1  1  0  0  3  0  0
    5  1.7641471021948642e-07   0  2  0  0  3  0  0
    5 -1.7106406868421081e-07   0  0  2  0  3  0  0
    5 -2.3921692630709396e-06   0  0  1  1  3  0  0
    5 -1.7106406868421081e-07   0  0  0  2  3  0  0
    5 -1.8318543642427405e-20   1  0  0  0  4  0  0
    5 -1.8318543642427405e-20   0  1  0  0  4  0  0
    5 -5.0891443228536747e-07   0  0  0  0  5  0  0
    6 -7.2309371652505596e-08   6  0  0  0  0  0  0
    6  2.3702469946595771e-07   5  1  0  0  0  0  0
    6  1.3051665827063524e-07   4  2  0  0  0  0  0
    6 -1.2254664258839789e-06   3  3  0  0  0  0  0
    6  1.3051665827063524e-07   2  4  0  0  0  0  0
    6  2.3702469946595771e-07   1  5  0  0  0  0  0
    6 -7.2309371652505596e-08   0  6  0  0  0  0  0
    6 -1.3804068348378845e-06   4  0  2  0  0  0  0
    6  7.4460283994287860e-07   3  1  2  0  0  0  0
    6  1.2940154866917357e-06   2  2  2  0  0  0  0
    6  4.3781826587106877e-08   1  3  2  0  0  0  0
    6 -8.8497371137966643e-08   0  4  2  0  0  0  0
    6  1.2940078431872115e-07   2  0  4  0  0  0  0
    6  2.6947402863289351e-06   1  1  4  0  0  0  0
    6  4.5592830419913117e-07   0  2  4  0  0  0  0
    6  4.7365933619542288e-07   0  0  6  0  0  0  0
    6 -2.0126999234322197e-08   4  0  1  1  0  0  0
    6  2.0784778826998134e-07   3  1  1  1  0  0  0
    6 -3.7669624118561951e-06   2  2  1  1  0  0  0
    6  2.0784778826998134e-07   1  3  1  1  0  0  0
    6 -2.0126999234322197e-08   0  4  1  1  0  0  0
    6 -2.0980467710991042e-07   2  0  3  1  0  0  0
    6 -8.1468939064794882e-07   1  1  3  1  0  0  0
    6  9.3264506724208125e-07   0  2  3  1  0  0  0
    6  7.7910514182026543e-07   0  0  5  1  0  0  0
    6 -8.8497371137966643e-08   4  0  0  2  0  0  0
    6  4.3781826587106877e-08   3  1  0  2  0  0  0
    6  1.2940154866917357e-06   2  2  0  2  0  0  0
    6  7.4460283994287860e-07   1  3  0  2  0  0  0
    6 -1.3804068348378845e-06   0  4  0  2  0  0  0
    6  1.1057046952767998e-06   2  0  2  2  0  0  0
    6  1.0304916260109983e-06   1  1  2  2  0  0  0
    6  1.1057046952767998e-06   0  2  2  2  0  0  0
    6  6.9548138628088714e-08   0  0  4  2  0  0  0
    6  9.3264506724208125e-07   2  0  1  3  0  0  0
    6 -8.1468939064794882e-07   1  1  1  3  0  0  0
    6 -2.0980467710991042e-07   0  2  1  3  0  0  0
    6 -1.1152243115944421e-06   0  0  3  3  0  0  0
    6  4.5592830419913117e-07   2  0  0  4  0  0  0
    6  2.6947402863289351e-06   1  1  0  4  0  0  0
    6  1.2940078431872115e-07   0  2  0  4  0  0  0
    6  6.9548138628088714e-08   0  0  2  4  0  0  0
