
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.0470223424626990e-01   1  1  0  0  0  0  0
    2 -1.2359268945631086e+00   0  0  1  1  0  0  0
    2  4.7868782651765321e-02   0  0  0  0  2  0  0
    3 -2.0943741599021948e+00   1  1  0  0  1  0  0
    3 -2.0943741569614973e+00   0  0  1  1  1  0  0
    3 -1.1617990667729278e-02   0  0  0  0  3  0  0
    4  8.0724687800824699e+02   2  2  0  0  0  0  0
    4  2.2288773166317660e+02   1  1  1  1  0  0  0
    4  7.2640516731671005e+02   0  0  2  2  0  0  0
    4  6.1347497564902611e+01   1  1  0  0  2  0  0
    4  2.8236722078697071e+01   0  0  1  1  2  0  0
    4  1.2785815684297794e+00   0  0  0  0  4  0  0
    5  9.8459367635155271e+04   2  2  0  0  1  0  0
    5 -7.9739108985107901e+04   1  1  1  1  1  0  0
    5  9.3470139439716426e+04   0  0  2  2  1  0  0
    5  1.1136176533488372e+03   1  1  0  0  3  0  0
    5 -8.4372841658837638e+02   0  0  1  1  3  0  0
    5 -9.6895709127933323e+00   0  0  0  0  5  0  0
    6 -1.1641532182693481e-10   6  0  0  0  0  0  0
    6 -3.7237063620940380e+07   3  3  0  0  0  0  0
    6 -1.1641532182693481e-10   0  6  0  0  0  0  0
    6 -1.2260837816510734e+08   2  2  1  1  0  0  0
    6 -1.1641532182693481e-10   2  0  2  2  0  0  0
    6  8.7976163798378445e+06   1  1  2  2  0  0  0
    6 -1.1641532182693481e-10   0  2  2  2  0  0  0
    6 -2.9031083211010754e+07   0  0  3  3  0  0  0
    6 -2.7580956807075450e+06   2  2  0  0  2  0  0
    6  3.3515701343961288e+06   1  1  1  1  2  0  0
    6 -1.4814571307416435e+06   0  0  2  2  2  0  0
    6 -4.5574643937988134e+04   1  1  0  0  4  0  0
    6  2.4451449089433023e+04   0  0  1  1  4  0  0
    6 -1.8222883764162006e+01   0  0  0  0  6  0  0
    7  1.8626451492309570e-09   6  0  0  0  1  0  0
    7  9.2064852134086776e+08   3  3  0  0  1  0  0
    7  1.8626451492309570e-09   0  6  0  0  1  0  0
    7  5.2690531909857929e+07   2  2  1  1  1  0  0
    7  4.8939077391076374e+08   1  1  2  2  1  0  0
    7 -2.9802322387695312e-08   0  0  4  2  1  0  0
    7  9.6524931676262116e+08   0  0  3  3  1  0  0
    7 -2.9802322387695312e-08   0  0  2  4  1  0  0
    7  4.4857061315403759e+07   2  2  0  0  3  0  0
    7 -5.9079698688159116e+07   1  1  1  1  3  0  0
    7  3.4788440308886964e+05   0  0  2  2  3  0  0
    7  1.4430772479153378e+06   1  1  0  0  5  0  0
    7 -3.2724324405184446e+05   0  0  1  1  5  0  0
    7  2.0430970721391545e+03   0  0  0  0  7  0  0
    8 -4.7683715820312500e-07   8  0  0  0  0  0  0
    8 -3.9311838067727942e+11   4  4  0  0  0  0  0
    8 -4.7683715820312500e-07   0  8  0  0  0  0  0
    8 -1.4408037197106833e+12   3  3  1  1  0  0  0
    8 -3.8146972656250000e-06   4  0  2  2  0  0  0
    8 -1.5258789062500000e-05   3  1  2  2  0  0  0
    8 -7.4692738006556616e+11   2  2  2  2  0  0  0
    8 -1.5258789062500000e-05   1  3  2  2  0  0  0
    8 -3.8146972656250000e-06   0  4  2  2  0  0  0
    8  1.9073486328125000e-06   0  0  6  2  0  0  0
    8 -2.6477391372215005e+12   1  1  3  3  0  0  0
    8  3.8146972656250000e-06   0  0  5  3  0  0  0
    8  1.2772095188305351e+11   0  0  4  4  0  0  0
    8  3.8146972656250000e-06   0  0  3  5  0  0  0
    8  1.9073486328125000e-06   0  0  2  6  0  0  0
    8 -9.5367431640625000e-07   4  2  0  0  2  0  0
    8 -2.7052984155498589e+10   3  3  0  0  2  0  0
    8 -9.5367431640625000e-07   2  4  0  0  2  0  0
    8  5.2581686859800331e+10   2  2  1  1  2  0  0
    8  1.1755050244218481e+11   1  1  2  2  2  0  0
    8 -2.3209782975243805e+10   0  0  3  3  2  0  0
    8 -1.0531232230736641e+09   2  2  0  0  4  0  0
    8 -9.8100669517290461e+08   1  1  1  1  4  0  0
    8  7.1433704888002896e+08   0  0  2  2  4  0  0
    8 -2.8045477351718910e+07   1  1  0  0  6  0  0
    8  2.3301878051874614e+06   0  0  1  1  6  0  0
    8 -4.8503143682786220e+04   0  0  0  0  8  0  0
  -73  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58476
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.2454682759546640e-06   1  1  0  0  0  0  0
    2 -3.5438205222072472e-05   0  0  1  1  0  0  0
    2  5.8639258748412526e-05   0  0  0  0  2  0  0
    3 -2.2721852403683313e-06   1  1  0  0  1  0  0
    3 -2.1018477330210612e-06   0  0  1  1  1  0  0
    3 -4.9812134987889291e-07   0  0  0  0  3  0  0
    4  7.7562038057188187e-07   2  2  0  0  0  0  0
    4  1.9810093231654733e-07   1  1  1  1  0  0  0
    4  5.9722337408844724e-07   0  0  2  2  0  0  0
    4  2.3294551856701037e-06   1  1  0  0  2  0  0
    4  9.9181187526232394e-07   0  0  1  1  2  0  0
    4  1.9186714661249386e-06   0  0  0  0  4  0  0
    5  3.3110666633439769e-06   2  2  0  0  1  0  0
    5 -2.4805031214410416e-06   1  1  1  1  1  0  0
    5  2.6896688098486962e-06   0  0  2  2  1  0  0
    5  1.4799998078910535e-06   1  1  0  0  3  0  0
    5 -1.0372554974962409e-06   0  0  1  1  3  0  0
    5 -5.0891443228536747e-07   0  0  0  0  5  0  0
    6 -3.4671641256292354e-24   6  0  0  0  0  0  0
    6 -1.1090207809778755e-06   3  3  0  0  0  0  0
    6 -3.4671641256292354e-24   0  6  0  0  0  0  0
    6 -3.3778621481327972e-06   2  2  1  1  0  0  0
    6 -2.9668079498045880e-24   2  0  2  2  0  0  0
    6  2.2420449306351591e-07   1  1  2  2  0  0  0
    6 -2.9668079498045880e-24   0  2  2  2  0  0  0
    6 -6.8438431617861080e-07   0  0  3  3  0  0  0
    6 -3.2462970347222440e-06   2  2  0  0  2  0  0
    6  3.6490915186646819e-06   1  1  1  1  2  0  0
    6 -1.4920488741634646e-06   0  0  2  2  2  0  0
    6 -2.1199073510133140e-06   1  1  0  0  4  0  0
    6  1.0520968384958438e-06   0  0  1  1  4  0  0
    6 -3.3498500812029642e-08   0  0  0  0  6  0  0
    7  1.9416119103523720e-24   6  0  0  0  1  0  0
    7  9.5967937587133192e-07   3  3  0  0  1  0  0
    7  1.9416119103523720e-24   0  6  0  0  1  0  0
    7  5.0806865394032441e-08   2  2  1  1  1  0  0
    7  4.3651896119419584e-07   1  1  2  2  1  0  0
    7 -2.4589797968804535e-23   0  0  4  2  1  0  0
    7  7.9642402964271053e-07   0  0  3  3  1  0  0
    7 -2.4589797968804535e-23   0  0  2  4  1  0  0
    7  1.8478971253099344e-06   2  2  0  0  3  0  0
    7 -2.2513486684495258e-06   1  1  1  1  3  0  0
    7  1.2263006631705509e-08   0  0  2  2  3  0  0
    7  2.3493689265777112e-06   1  1  0  0  5  0  0
    7 -4.9282172778136344e-07   0  0  1  1  5  0  0
    7  1.3145142906880443e-07   0  0  0  0  7  0  0
    8 -4.4020580720023993e-25   8  0  0  0  0  0  0
    8 -3.6291843266454330e-07   4  4  0  0  0  0  0
    8 -4.4020580720023993e-25   0  8  0  0  0  0  0
    8 -1.2304047931071912e-06   3  3  1  1  0  0  0
    8 -3.0134277836986977e-24   4  0  2  2  0  0  0
    8 -1.2053711134794791e-23   3  1  2  2  0  0  0
    8 -5.9003678739525892e-07   2  2  2  2  0  0  0
    8 -1.2053711134794791e-23   1  3  2  2  0  0  0
    8 -3.0134277836986977e-24   0  4  2  2  0  0  0
    8  1.2892757857571573e-24   0  0  6  2  0  0  0
    8 -1.9347881636661017e-06   1  1  3  3  0  0  0
    8  2.5785515715143146e-24   0  0  5  3  0  0  0
    8  8.6333210281470018e-08   0  0  4  4  0  0  0
    8  2.5785515715143146e-24   0  0  3  5  0  0  0
    8  1.2892757857571573e-24   0  0  2  6  0  0  0
    8 -3.4793685433514509e-23   4  2  0  0  2  0  0
    8 -9.8699629899994373e-07   3  3  0  0  2  0  0
    8 -3.4793685433514509e-23   2  4  0  0  2  0  0
    8  1.7745669029619882e-06   2  2  1  1  2  0  0
    8  3.6697786477164321e-06   1  1  2  2  2  0  0
    8 -6.7026104003840657e-07   0  0  3  3  2  0  0
    8 -1.5184280062197029e-06   2  2  0  0  4  0  0
    8 -1.3084119555201518e-06   1  1  1  1  4  0  0
    8  8.8131918576063131e-07   0  0  2  2  4  0  0
    8 -1.5980579411616869e-06   1  1  0  0  6  0  0
    8  1.2282255489710436e-07   0  0  1  1  6  0  0
    8 -1.0922303562721480e-07   0  0  0  0  8  0  0
  -73  0.0000000000000000e+00   0  0  0  0  0  0  0
