
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -5.9324050114106280e-07   3  0  0  0  0  0  0
    3 -8.2240952846939686e-07   2  1  0  0  0  0  0
    3  8.2240952846939686e-07   1  2  0  0  0  0  0
    3  5.9324050114106280e-07   0  3  0  0  0  0  0
    3  6.8136875518265080e-07   1  0  2  0  0  0  0
    3  2.0285425998007888e-07   0  1  2  0  0  0  0
    3 -9.3034114146827313e-07   1  0  1  1  0  0  0
    3  9.3034114146827313e-07   0  1  1  1  0  0  0
    3 -2.0285425998007888e-07   1  0  0  2  0  0  0
    3 -6.8136875518265080e-07   0  1  0  2  0  0  0
    3 -8.9229395287753650e-07   2  0  0  0  1  0  0
    3  8.9229395287753650e-07   0  2  0  0  1  0  0
    3  5.9444308024365524e-07   0  0  2  0  1  0  0
    3 -5.9444308024365524e-07   0  0  0  2  1  0  0
    3  1.3436244965350135e-19   1  0  0  0  2  0  0
    3 -1.3436244965350135e-19   0  1  0  0  2  0  0
    4 -1.6365565984478524e-07   4  0  0  0  0  0  0
    4  2.8726702552854847e-07   3  1  0  0  0  0  0
    4 -2.8726702552854847e-07   1  3  0  0  0  0  0
    4  1.6365565984478524e-07   0  4  0  0  0  0  0
    4 -9.4451795138943104e-09   2  0  2  0  0  0  0
    4 -3.7386090737326275e-07   1  1  2  0  0  0  0
    4  4.4786064167367149e-07   0  2  2  0  0  0  0
    4  5.5143788620831739e-08   0  0  4  0  0  0  0
    4  7.6546698229063934e-08   2  0  1  1  0  0  0
    4 -7.6546698229063934e-08   0  2  1  1  0  0  0
    4 -3.1739889003275489e-07   0  0  3  1  0  0  0
    4 -4.4786064167367149e-07   2  0  0  2  0  0  0
    4  3.7386090737326275e-07   1  1  0  2  0  0  0
    4  9.4451795138943104e-09   0  2  0  2  0  0  0
    4  3.1739889003275489e-07   0  0  1  3  0  0  0
    4 -5.5143788620831739e-08   0  0  0  4  0  0  0
    4  2.5267724243902142e-07   3  0  0  0  1  0  0
    4 -1.1871296383914192e-06   2  1  0  0  1  0  0
    4  1.1871296383914192e-06   1  2  0  0  1  0  0
    4 -2.5267724243902142e-07   0  3  0  0  1  0  0
    4 -4.5198355764071694e-07   1  0  2  0  1  0  0
    4 -5.2170120188268778e-08   0  1  2  0  1  0  0
    4 -5.5856171902760881e-07   1  0  1  1  1  0  0
    4  5.5856171902760881e-07   0  1  1  1  1  0  0
    4  5.2170120188268778e-08   1  0  0  2  1  0  0
    4  4.5198355764071694e-07   0  1  0  2  1  0  0
    4 -4.3312334789236130e-07   2  0  0  0  2  0  0
    4  4.3312334789236130e-07   0  2  0  0  2  0  0
    4  4.6305730589503683e-07   0  0  2  0  2  0  0
    4 -4.6305730589503683e-07   0  0  0  2  2  0  0
    4 -8.5958017074780454e-20   1  0  0  0  3  0  0
    4  8.5958017074780454e-20   0  1  0  0  3  0  0
    5  1.5504807274216306e-07   5  0  0  0  0  0  0
    5  4.4334627966672675e-08   4  1  0  0  0  0  0
    5  3.0313882327125078e-07   3  2  0  0  0  0  0
    5 -3.0313882327125078e-07   2  3  0  0  0  0  0
    5 -4.4334627966672675e-08   1  4  0  0  0  0  0
    5 -1.5504807274216306e-07   0  5  0  0  0  0  0
    5  1.9277727473271092e-07   3  0  2  0  0  0  0
    5  4.7428122264226222e-08   2  1  2  0  0  0  0
    5 -1.3868497805320140e-07   1  2  2  0  0  0  0
    5  4.0969801380834108e-09   0  3  2  0  0  0  0
    5  5.0483454551674301e-08   1  0  4  0  0  0  0
    5 -2.6735459649245947e-07   0  1  4  0  0  0  0
    5  1.6290342513077254e-07   3  0  1  1  0  0  0
    5  6.7476743534983553e-07   2  1  1  1  0  0  0
    5 -6.7476743534983553e-07   1  2  1  1  0  0  0
    5 -1.6290342513077254e-07   0  3  1  1  0  0  0
    5  5.9018295255749281e-09   1  0  3  1  0  0  0
    5 -1.1732466465384144e-06   0  1  3  1  0  0  0
    5 -4.0969801380834108e-09   3  0  0  2  0  0  0
    5  1.3868497805320140e-07   2  1  0  2  0  0  0
    5 -4.7428122264226222e-08   1  2  0  2  0  0  0
    5 -1.9277727473271092e-07   0  3  0  2  0  0  0
    5  7.5928654201650970e-08   1  0  2  2  0  0  0
    5 -7.5928654201650970e-08   0  1  2  2  0  0  0
    5  1.1732466465384144e-06   1  0  1  3  0  0  0
    5 -5.9018295255749281e-09   0  1  1  3  0  0  0
    5  2.6735459649245947e-07   1  0  0  4  0  0  0
    5 -5.0483454551674301e-08   0  1  0  4  0  0  0
    5 -8.8175838858240890e-08   4  0  0  0  1  0  0
    5  2.7140202205786875e-08   3  1  0  0  1  0  0
    5 -2.7140202205786875e-08   1  3  0  0  1  0  0
    5  8.8175838858240890e-08   0  4  0  0  1  0  0
    5 -1.1208236270894659e-07   2  0  2  0  1  0  0
    5 -1.4152758539889667e-07   1  1  2  0  1  0  0
    5 -1.2372509399092193e-07   0  2  2  0  1  0  0
    5 -2.4966625654078184e-08   0  0  4  0  1  0  0
    5 -8.2171290473020859e-08   2  0  1  1  1  0  0
    5  8.2171290473020859e-08   0  2  1  1  1  0  0
    5 -3.0840335339839757e-07   0  0  3  1  1  0  0
    5  1.2372509399092193e-07   2  0  0  2  1  0  0
    5  1.4152758539889667e-07   1  1  0  2  1  0  0
    5  1.1208236270894659e-07   0  2  0  2  1  0  0
    5  3.0840335339839757e-07   0  0  1  3  1  0  0
    5  2.4966625654078184e-08   0  0  0  4  1  0  0
    5 -8.8040527623402901e-08   3  0  0  0  2  0  0
    5  5.4709751717164383e-07   2  1  0  0  2  0  0
    5 -5.4709751717164383e-07   1  2  0  0  2  0  0
    5  8.8040527623402901e-08   0  3  0  0  2  0  0
    5  1.0510125832210330e-08   1  0  2  0  2  0  0
    5  1.4189022161837664e-06   0  1  2  0  2  0  0
    5 -2.3551636826772529e-07   1  0  1  1  2  0  0
    5  2.3551636826772529e-07   0  1  1  1  2  0  0
    5 -1.4189022161837664e-06   1  0  0  2  2  0  0
    5 -1.0510125832210330e-08   0  1  0  2  2  0  0
    5  9.1957483041396577e-08   2  0  0  0  3  0  0
    5 -9.1957483041396577e-08   0  2  0  0  3  0  0
    5 -5.0222931606855882e-08   0  0  2  0  3  0  0
    5  5.0222931606855882e-08   0  0  0  2  3  0  0
    5  6.0616160448595455e-20   1  0  0  0  4  0  0
    5 -6.0616160448595455e-20   0  1  0  0  4  0  0
    6  1.5159319671080794e-09   6  0  0  0  0  0  0
    6  1.6104596613708033e-07   5  1  0  0  0  0  0
    6 -2.3440392881164559e-08   4  2  0  0  0  0  0
    6  2.3440392881164559e-08   2  4  0  0  0  0  0
    6 -1.6104596613708033e-07   1  5  0  0  0  0  0
    6 -1.5159319671080794e-09   0  6  0  0  0  0  0
    6 -2.0687315616415166e-07   4  0  2  0  0  0  0
    6  9.1176735632424208e-08   3  1  2  0  0  0  0
    6  1.3952477275969633e-07   2  2  2  0  0  0  0
    6 -6.8788008836382047e-08   1  3  2  0  0  0  0
    6 -2.5089564876718138e-08   0  4  2  0  0  0  0
    6  4.6344494828573942e-08   2  0  4  0  0  0  0
    6  2.6820207070273577e-07   1  1  4  0  0  0  0
    6  1.8869429345445749e-07   0  2  4  0  0  0  0
    6  2.5185951856686938e-08   0  0  6  0  0  0  0
    6 -1.4953947598794882e-07   4  0  1  1  0  0  0
    6 -7.3409698777024811e-09   3  1  1  1  0  0  0
    6  7.3409698777024811e-09   1  3  1  1  0  0  0
    6  1.4953947598794882e-07   0  4  1  1  0  0  0
    6  1.0601071441342154e-07   2  0  3  1  0  0  0
    6 -8.6611341791607664e-09   1  1  3  1  0  0  0
    6  2.3164946370244257e-07   0  2  3  1  0  0  0
    6  4.8638106457406575e-08   0  0  5  1  0  0  0
    6  2.5089564876718138e-08   4  0  0  2  0  0  0
    6  6.8788008836382047e-08   3  1  0  2  0  0  0
    6 -1.3952477275969633e-07   2  2  0  2  0  0  0
    6 -9.1176735632424208e-08   1  3  0  2  0  0  0
    6  2.0687315616415166e-07   0  4  0  2  0  0  0
    6 -1.6187300964131786e-06   2  0  2  2  0  0  0
    6  1.6187300964131786e-06   0  2  2  2  0  0  0
    6  5.4666064114784891e-08   0  0  4  2  0  0  0
    6 -2.3164946370244257e-07   2  0  1  3  0  0  0
    6  8.6611341791607664e-09   1  1  1  3  0  0  0
    6 -1.0601071441342154e-07   0  2  1  3  0  0  0
    6 -1.8869429345445749e-07   2  0  0  4  0  0  0
    6 -2.6820207070273577e-07   1  1  0  4  0  0  0
    6 -4.6344494828573942e-08   0  2  0  4  0  0  0
    6 -5.4666064114784891e-08   0  0  2  4  0  0  0
    6 -4.8638106457406575e-08   0  0  1  5  0  0  0
    6 -2.5185951856686938e-08   0  0  0  6  0  0  0
    6  3.7610454746067778e-07   5  0  0  0  1  0  0
    6 -3.5679279598973638e-07   4  1  0  0  1  0  0
    6  9.4803114145529393e-07   3  2  0  0  1  0  0
    6 -9.4803114145529393e-07   2  3  0  0  1  0  0
    6  3.5679279598973638e-07   1  4  0  0  1  0  0
    6 -3.7610454746067778e-07   0  5  0  0  1  0  0
    6  7.0081721795031436e-09   3  0  2  0  1  0  0
    6  2.5221557549845259e-07   2  1  2  0  1  0  0
    6 -1.3118685284323740e-06   1  2  2  0  1  0  0
    6 -4.1507924532517827e-08   0  3  2  0  1  0  0
    6  7.8056851335724828e-08   1  0  4  0  1  0  0
    6  7.6651700055888518e-08   0  1  4  0  1  0  0
    6  3.3873432893576303e-08   3  0  1  1  1  0  0
    6 -1.8174048125345117e-06   2  1  1  1  1  0  0
    6  1.8174048125345117e-06   1  2  1  1  1  0  0
    6 -3.3873432893576303e-08   0  3  1  1  1  0  0
    6  7.1512686256566827e-07   1  0  3  1  1  0  0
    6 -1.7510821653648989e-08   0  1  3  1  1  0  0
    6  4.1507924532517827e-08   3  0  0  2  1  0  0
    6  1.3118685284323740e-06   2  1  0  2  1  0  0
