
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2  1.4106330103109418e-25   1  1  0  0  0  0  0
    3 -3.3844144374653206e-07   3  0  0  0  0  0  0
    3 -2.1152826036706803e-07   2  1  0  0  0  0  0
    3 -2.1152826036706803e-07   1  2  0  0  0  0  0
    3 -3.3844144374653206e-07   0  3  0  0  0  0  0
    3 -6.5246225780005659e-07   1  0  2  0  0  0  0
    3 -2.6281581782340405e-07   0  1  2  0  0  0  0
    3 -1.6204210235818688e-07   1  0  1  1  0  0  0
    3 -1.6204210235818688e-07   0  1  1  1  0  0  0
    3 -2.6281581782340405e-07   1  0  0  2  0  0  0
    3 -6.5246225780005659e-07   0  1  0  2  0  0  0
    3 -3.6939718331220789e-07   2  0  0  0  1  0  0
    3 -2.2721852403683889e-06   1  1  0  0  1  0  0
    3 -3.6939718331220789e-07   0  2  0  0  1  0  0
    3 -9.7772156282736955e-07   0  0  2  0  1  0  0
    3 -2.1018477330210413e-06   0  0  1  1  1  0  0
    3 -9.7772156282736955e-07   0  0  0  2  1  0  0
    3  4.5115619746784938e-07   1  0  0  0  2  0  0
    3  4.5115619746784938e-07   0  1  0  0  2  0  0
    3 -4.9812134987889090e-07   0  0  0  0  3  0  0
    4 -1.1772656512681868e-07   4  0  0  0  0  0  0
    4  9.5054633521361662e-08   3  1  0  0  0  0  0
    4  4.8855344537663296e-07   2  2  0  0  0  0  0
    4  9.5054633521361662e-08   1  3  0  0  0  0  0
    4 -1.1772656512681868e-07   0  4  0  0  0  0  0
    4  8.9876450865192283e-08   2  0  2  0  0  0  0
    4  4.7634658829667341e-07   1  1  2  0  0  0  0
    4 -3.9441755027184968e-07   0  2  2  0  0  0  0
    4  3.3405178528722205e-08   0  0  4  0  0  0  0
    4  2.1347280836881928e-08   2  0  1  1  0  0  0
    4  4.3074554621827309e-07   1  1  1  1  0  0  0
    4  2.1347280836881928e-08   0  2  1  1  0  0  0
    4  3.8419203723790475e-07   0  0  3  1  0  0  0
    4 -3.9441755027184968e-07   2  0  0  2  0  0  0
    4  4.7634658829667341e-07   1  1  0  2  0  0  0
    4  8.9876450865192283e-08   0  2  0  2  0  0  0
    4  5.8241020757134754e-07   0  0  2  2  0  0  0
    4  3.8419203723790475e-07   0  0  1  3  0  0  0
    4  3.3405178528722205e-08   0  0  0  4  0  0  0
    4 -1.0203920066932818e-07   3  0  0  0  1  0  0
    4 -5.1050597524773648e-07   2  1  0  0  1  0  0
    4 -5.1050597524773648e-07   1  2  0  0  1  0  0
    4 -1.0203920066932818e-07   0  3  0  0  1  0  0
    4  5.2006184860627145e-07   1  0  2  0  1  0  0
    4 -1.2326718380712887e-07   0  1  2  0  1  0  0
    4 -7.5136137724031917e-08   1  0  1  1  1  0  0
    4 -7.5136137724031917e-08   0  1  1  1  1  0  0
    4 -1.2326718380712887e-07   1  0  0  2  1  0  0
    4  5.2006184860627145e-07   0  1  0  2  1  0  0
    4 -2.6362190264371290e-07   2  0  0  0  2  0  0
    4  2.3504537531308200e-06   1  1  0  0  2  0  0
    4 -2.6362190264371290e-07   0  2  0  0  2  0  0
    4 -4.3843934945031863e-07   0  0  2  0  2  0  0
    4  1.2106902323850100e-06   0  0  1  1  2  0  0
    4 -4.3843934945031863e-07   0  0  0  2  2  0  0
    4  2.9777249513807034e-07   1  0  0  0  3  0  0
    4  2.9777249513807034e-07   0  1  0  0  3  0  0
    4  1.8559677473811222e-06   0  0  0  0  4  0  0
    5  1.4089540033876666e-07   5  0  0  0  0  0  0
    5  3.2551976831397975e-08   4  1  0  0  0  0  0
    5  1.5984073451546555e-07   3  2  0  0  0  0  0
    5  1.5984073451546555e-07   2  3  0  0  0  0  0
    5  3.2551976831397975e-08   1  4  0  0  0  0  0
    5  1.4089540033876666e-07   0  5  0  0  0  0  0
    5 -7.2227496710680973e-08   3  0  2  0  0  0  0
    5 -1.1126204040578158e-07   2  1  2  0  0  0  0
    5  2.6825532881811094e-07   1  2  2  0  0  0  0
    5  9.2680779021745533e-08   0  3  2  0  0  0  0
    5 -5.0080352210212946e-08   1  0  4  0  0  0  0
    5  4.5163972266975852e-07   0  1  4  0  0  0  0
    5  2.5144704613713873e-07   3  0  1  1  0  0  0
    5  2.1731309295937281e-07   2  1  1  1  0  0  0
    5  2.1731309295937281e-07   1  2  1  1  0  0  0
    5  2.5144704613713873e-07   0  3  1  1  0  0  0
    5  1.8771052424480708e-08   1  0  3  1  0  0  0
    5  1.5019718687841037e-06   0  1  3  1  0  0  0
    5  9.2680779021745533e-08   3  0  0  2  0  0  0
    5  2.6825532881811094e-07   2  1  0  2  0  0  0
    5 -1.1126204040578158e-07   1  2  0  2  0  0  0
    5 -7.2227496710680973e-08   0  3  0  2  0  0  0
    5 -1.3989745694773416e-07   1  0  2  2  0  0  0
    5 -1.3989745694773416e-07   0  1  2  2  0  0  0
    5  1.5019718687841037e-06   1  0  1  3  0  0  0
    5  1.8771052424480708e-08   0  1  1  3  0  0  0
    5  4.5163972266975852e-07   1  0  0  4  0  0  0
    5 -5.0080352210212946e-08   0  1  0  4  0  0  0
    5 -1.5718104147291109e-07   4  0  0  0  1  0  0
    5 -1.5205216328052312e-08   3  1  0  0  1  0  0
    5  3.4454806482986380e-06   2  2  0  0  1  0  0
    5 -1.5205216328052312e-08   1  3  0  0  1  0  0
    5 -1.5718104147291109e-07   0  4  0  0  1  0  0
    5  1.6447713910078300e-07   2  0  2  0  1  0  0
    5 -1.2372063429969179e-07   1  1  2  0  1  0  0
    5  1.2131137814088973e-07   0  2  2  0  1  0  0
    5  4.3822565854037981e-08   0  0  4  0  1  0  0
    5  1.9277591637707876e-07   2  0  1  1  1  0  0
    5 -2.9343733998570872e-06   1  1  1  1  1  0  0
    5  1.9277591637707876e-07   0  2  1  1  1  0  0
    5  2.4043964842842640e-07   0  0  3  1  1  0  0
    5  1.2131137814088973e-07   2  0  0  2  1  0  0
    5 -1.2372063429969179e-07   1  1  0  2  1  0  0
    5  1.6447713910078300e-07   0  2  0  2  1  0  0
    5  2.3049740707660508e-06   0  0  2  2  1  0  0
    5  2.4043964842842640e-07   0  0  1  3  1  0  0
    5  4.3822565854037981e-08   0  0  0  4  1  0  0
    5  3.2327660773245188e-07   3  0  0  0  2  0  0
    5 -3.2439884933508525e-07   2  1  0  0  2  0  0
    5 -3.2439884933508525e-07   1  2  0  0  2  0  0
    5  3.2327660773245188e-07   0  3  0  0  2  0  0
    5 -3.2174965464813182e-07   1  0  2  0  2  0  0
    5 -1.7965721517135985e-06   0  1  2  0  2  0  0
    5 -1.7513245298574241e-07   1  0  1  1  2  0  0
    5 -1.7513245298574241e-07   0  1  1  1  2  0  0
    5 -1.7965721517135985e-06   1  0  0  2  2  0  0
    5 -3.2174965464813182e-07   0  1  0  2  2  0  0
    5  2.2377417198185930e-07   2  0  0  0  3  0  0
    5  1.6252147205551574e-06   1  1  0  0  3  0  0
    5  2.2377417198185930e-07   0  2  0  0  3  0  0
    5  3.0557698791884026e-08   0  0  2  0  3  0  0
    5 -7.9128198079420965e-07   0  0  1  1  3  0  0
    5  3.0557698791884026e-08   0  0  0  2  3  0  0
    5 -3.2211181436776644e-07   1  0  0  0  4  0  0
    5 -3.2211181436776644e-07   0  1  0  0  4  0  0
    5 -5.3473993547354919e-07   0  0  0  0  5  0  0
    6 -5.2629952582071287e-08   6  0  0  0  0  0  0
    6  2.1007050875020656e-07   5  1  0  0  0  0  0
    6  1.3425453197349756e-07   4  2  0  0  0  0  0
    6 -1.1991963130440169e-06   3  3  0  0  0  0  0
    6  1.3425453197349756e-07   2  4  0  0  0  0  0
    6  2.1007050875020656e-07   1  5  0  0  0  0  0
    6 -5.2629952582071287e-08   0  6  0  0  0  0  0
    6  1.1121385594293752e-07   4  0  2  0  0  0  0
    6 -1.7591038589252170e-07   3  1  2  0  0  0  0
    6 -1.9047558057177001e-07   2  2  2  0  0  0  0
    6  1.0542260342108715e-07   1  3  2  0  0  0  0
    6  4.1961768278678883e-08   0  4  2  0  0  0  0
    6 -1.0404057125002806e-09   2  0  4  0  0  0  0
    6  6.2766505388288585e-08   1  1  4  0  0  0  0
    6 -3.0119868027808838e-08   0  2  4  0  0  0  0
    6  1.0602256588660039e-08   0  0  6  0  0  0  0
    6 -9.7902733453496091e-08   4  0  1  1  0  0  0
    6  1.4315539406370385e-08   3  1  1  1  0  0  0
    6 -2.9996834732484639e-06   2  2  1  1  0  0  0
    6  1.4315539406370385e-08   1  3  1  1  0  0  0
    6 -9.7902733453496091e-08   0  4  1  1  0  0  0
    6  4.2978859767053696e-08   2  0  3  1  0  0  0
    6  5.9103949316466420e-07   1  1  3  1  0  0  0
    6 -6.1686124958744076e-07   0  2  3  1  0  0  0
    6  4.3947267719553356e-08   0  0  5  1  0  0  0
    6  4.1961768278678883e-08   4  0  0  2  0  0  0
    6  1.0542260342108715e-07   3  1  0  2  0  0  0
    6 -1.9047558057177001e-07   2  2  0  2  0  0  0
    6 -1.7591038589252170e-07   1  3  0  2  0  0  0
    6  1.1121385594293752e-07   0  4  0  2  0  0  0
    6 -1.1740747867097413e-06   2  0  2  2  0  0  0
    6  1.2450112784741607e-07   1  1  2  2  0  0  0
    6 -1.1740747867097413e-06   0  2  2  2  0  0  0
    6  9.5715948955907497e-08   0  0  4  2  0  0  0
    6 -6.1686124958744076e-07   2  0  1  3  0  0  0
    6  5.9103949316466420e-07   1  1  1  3  0  0  0
    6  4.2978859767053696e-08   0  2  1  3  0  0  0
    6 -5.2313054156875409e-07   0  0  3  3  0  0  0
    6 -3.0119868027808838e-08   2  0  0  4  0  0  0
    6  6.2766505388288585e-08   1  1  0  4  0  0  0
    6 -1.0404057125002806e-09   0  2  0  4  0  0  0
    6  9.5715948955907497e-08   0  0  2  4  0  0  0
    6  4.3947267719553356e-08   0  0  1  5  0  0  0
    6  1.0602256588660039e-08   0  0  0  6  0  0  0
