
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  1.9960173011872805e-22   0  0  0  0  0  0  0
    1  9.7820104639278616e-01   1  0  0  0  0  0  0
    1  4.1914655907657794e+00   0  1  0  0  0  0  0
    1 -7.6144233349215825e-06   0  0  0  0  1  0  0
    2 -7.1958976918605533e-01   2  0  0  0  0  0  0
    2 -8.3287625582345001e+01   1  1  0  0  0  0  0
    2 -1.4034712821008247e+03   0  2  0  0  0  0  0
    2 -1.6857634467020417e+00   0  0  2  0  0  0  0
    2 -3.1866836875810780e+01   0  0  1  1  0  0  0
    2  1.2959727203514305e+02   0  0  0  2  0  0  0
    2 -9.8622755386212191e-01   1  0  0  0  1  0  0
    2  5.5013748637455720e+01   0  1  0  0  1  0  0
    2  8.8938243189207830e-02   0  0  0  0  2  0  0
    3  6.3293422919216212e+01   3  0  0  0  0  0  0
    3 -4.9592492274962460e+03   2  1  0  0  0  0  0
    3  6.3035987469287807e+04   1  2  0  0  0  0  0
    3 -1.5123595292365880e+05   0  3  0  0  0  0  0
    3  9.1059185552284032e+02   1  0  2  0  0  0  0
    3 -2.6694243551487696e+04   0  1  2  0  0  0  0
    3  5.2193362003465772e+03   1  0  1  1  0  0  0
    3  9.7758451499148578e+04   0  1  1  1  0  0  0
    3 -8.5338930419866847e+03   1  0  0  2  0  0  0
    3  2.0796164126785070e+05   0  1  0  2  0  0  0
    3 -9.9183510503043699e+00   2  0  0  0  1  0  0
    3  8.6050059540124903e+02   1  1  0  0  1  0  0
    3  2.8953878043534434e+04   0  2  0  0  1  0  0
    3  4.3509516568883885e+02   0  0  2  0  1  0  0
    3  1.4364034921470322e+03   0  0  1  1  1  0  0
    3 -6.8725009027824171e+01   0  0  0  2  1  0  0
    3  1.3527059191783673e+01   1  0  0  0  2  0  0
    3 -3.0724719580218893e+03   0  1  0  0  2  0  0
    3  1.5160896108129172e+00   0  0  0  0  3  0  0
    4 -5.4954285136559884e+02   4  0  0  0  0  0  0
    4  2.0126993728755743e+05   3  1  0  0  0  0  0
    4  2.1288418163250247e+06   2  2  0  0  0  0  0
    4 -9.2895152077016443e+07   1  3  0  0  0  0  0
    4 -7.4761032159491777e+08   0  4  0  0  0  0  0
    4 -3.2458891368936180e+04   2  0  2  0  0  0  0
    4  4.7760437231009523e+05   1  1  2  0  0  0  0
    4 -6.2359952395768901e+06   0  2  2  0  0  0  0
    4 -2.4277828570970002e+05   0  0  4  0  0  0  0
    4 -1.6344464490113559e+05   2  0  1  1  0  0  0
    4  1.7080501235727370e+06   1  1  1  1  0  0  0
    4 -6.6567513220000736e+07   0  2  1  1  0  0  0
    4 -3.2786358076497708e+06   0  0  3  1  0  0  0
    4 -2.9370218388456866e+04   2  0  0  2  0  0  0
    4  7.4244290104009686e+06   1  1  0  2  0  0  0
    4  3.5300071363638654e+07   0  2  0  2  0  0  0
    4  4.4620227504395470e+06   0  0  2  2  0  0  0
    4 -3.6526899198188507e+06   0  0  1  3  0  0  0
    4 -2.0755786090775887e+06   0  0  0  4  0  0  0
    4  6.0431797196385096e+03   3  0  0  0  1  0  0
    4 -5.5689016798798798e+05   2  1  0  0  1  0  0
    4 -6.7322740398299973e+05   1  2  0  0  1  0  0
    4 -1.4117500165135708e+08   0  3  0  0  1  0  0
    4 -2.8929942729552298e+04   1  0  2  0  1  0  0
    4  1.2701921621542345e+06   0  1  2  0  1  0  0
    4  6.0848376345347606e+02   1  0  1  1  1  0  0
    4 -1.0360756878896840e+05   0  1  1  1  1  0  0
    4 -4.7042425029220729e+04   1  0  0  2  1  0  0
    4  1.0656222631837182e+07   0  1  0  2  1  0  0
    4 -6.2450125514854290e+02   2  0  0  0  2  0  0
    4  1.0110472528005012e+05   1  1  0  0  2  0  0
    4 -2.4314957821837161e+03   0  2  0  0  2  0  0
    4  2.9643082821064681e+03   0  0  2  0  2  0  0
    4  1.5103673509467108e+05   0  0  1  1  2  0  0
    4  2.1190910617824047e+04   0  0  0  2  2  0  0
    4  1.1071508368607911e+03   1  0  0  0  3  0  0
    4 -2.9914029641036552e+04   0  1  0  0  3  0  0
    4 -7.7000232247909551e+01   0  0  0  0  4  0  0
    5 -1.3655520410094658e+05   5  0  0  0  0  0  0
    5  1.2452289815565921e+07   4  1  0  0  0  0  0
    5 -3.3492748521706772e+08   3  2  0  0  0  0  0
    5  2.0538079823232841e+10   2  3  0  0  0  0  0
    5  4.8181341569704247e+10   1  4  0  0  0  0  0
    5  1.4841396294170239e+12   0  5  0  0  0  0  0
    5 -1.2874665638381434e+06   3  0  2  0  0  0  0
    5  1.5376886704257110e+08   2  1  2  0  0  0  0
    5 -9.8165387773818755e+08   1  2  2  0  0  0  0
    5  5.3850231092541237e+10   0  3  2  0  0  0  0
    5 -8.2249809962596698e+05   1  0  4  0  0  0  0
    5 -5.0337159283460981e+08   0  1  4  0  0  0  0
    5  1.7659909445754543e+05   3  0  1  1  0  0  0
    5 -5.4100058967914768e+07   2  1  1  1  0  0  0
    5 -7.4998130257548027e+09   1  2  1  1  0  0  0
    5 -3.4532114115937660e+10   0  3  1  1  0  0  0
    5  1.0275683743539409e+08   1  0  3  1  0  0  0
    5 -2.0001802102046602e+09   0  1  3  1  0  0  0
    5 -2.5400750918303989e+07   3  0  0  2  0  0  0
    5  8.2826202887893367e+08   2  1  0  2  0  0  0
    5 -4.1295161206569548e+09   1  2  0  2  0  0  0
    5  6.0811375811959204e+11   0  3  0  2  0  0  0
    5 -1.3422228612561226e+08   1  0  2  2  0  0  0
    5 -7.3156683158672152e+09   0  1  2  2  0  0  0
    5  1.2369616493963575e+08   1  0  1  3  0  0  0
    5  7.9265534788843803e+09   0  1  1  3  0  0  0
    5 -6.7730897018437207e+08   1  0  0  4  0  0  0
    5 -5.5625613714580488e+09   0  1  0  4  0  0  0
    5  3.3931206376250484e+03   4  0  0  0  1  0  0
    5  2.2176841011867516e+07   3  1  0  0  1  0  0
    5  3.9776102920558643e+08   2  2  0  0  1  0  0
    5 -6.4029617627184896e+09   1  3  0  0  1  0  0
    5 -1.6770855828957489e+10   0  4  0  0  1  0  0
    5  6.4580301162230026e+05   2  0  2  0  1  0  0
    5 -7.2070466223145515e+07   1  1  2  0  1  0  0
    5 -5.2978965532131112e+08   0  2  2  0  1  0  0
    5  7.7134760327424470e+05   0  0  4  0  1  0  0
    5 -1.2443886239005884e+07   2  0  1  1  1  0  0
    5  4.4764994959258527e+07   1  1  1  1  1  0  0
    5 -1.2379490384255865e+10   0  2  1  1  1  0  0
    5  1.6527291078217352e+07   0  0  3  1  1  0  0
    5  1.4273640551757067e+06   2  0  0  2  1  0  0
    5 -1.9447420008306578e+07   1  1  0  2  1  0  0
    5  8.3490607241688786e+09   0  2  0  2  1  0  0
    5 -6.6254645174978904e+07   0  0  2  2  1  0  0
    5 -1.3426662942354888e+08   0  0  1  3  1  0  0
    5  2.6691242820359451e+08   0  0  0  4  1  0  0
    5 -3.4102855098233114e+04   3  0  0  0  2  0  0
    5  1.3608224068037800e+07   2  1  0  0  2  0  0
    5 -1.7670353825498328e+07   1  2  0  0  2  0  0
    5  6.1859625469735050e+09   0  3  0  0  2  0  0
    5  8.7168784958622663e+05   1  0  2  0  2  0  0
    5 -3.1283920324219353e+07   0  1  2  0  2  0  0
    5  3.1023662053417356e+05   1  0  1  1  2  0  0
    5  2.6150305830926131e+07   0  1  1  1  2  0  0
    5  5.0068197626374215e+06   1  0  0  2  2  0  0
    5 -3.2507663081996751e+08   0  1  0  2  2  0  0
    5 -3.6390315797465031e+04   2  0  0  0  3  0  0
    5  2.1075436375286025e+06   1  1  0  0  3  0  0
    5 -6.7860351536489632e+06   0  2  0  0  3  0  0
    5 -2.1795048978599402e+05   0  0  2  0  3  0  0
    5 -2.4250280519705191e+06   0  0  1  1  3  0  0
    5  2.1574418068484939e+06   0  0  0  2  3  0  0
    5 -1.4509228618969051e+04   1  0  0  0  4  0  0
    5  1.9785767304795017e+06   0  1  0  0  4  0  0
    5 -2.1215236274058320e+03   0  0  0  0  5  0  0
    6 -4.8283256571939886e+06   6  0  0  0  0  0  0
    6  3.1291546981349772e+08   5  1  0  0  0  0  0
    6 -1.3426811720455337e+08   4  2  0  0  0  0  0
    6 -4.4543728639332245e+11   3  3  0  0  0  0  0
    6 -3.1224770206442939e+12   2  4  0  0  0  0  0
    6 -3.9487690346790422e+13   1  5  0  0  0  0  0
    6 -3.3234761192448965e+13   0  6  0  0  0  0  0
    6  3.3712324308238275e+07   4  0  2  0  0  0  0
    6 -5.0002395087935781e+09   3  1  2  0  0  0  0
    6  1.1153077594735944e+11   2  2  2  0  0  0  0
    6 -1.1211073130668816e+12   1  3  2  0  0  0  0
    6  3.3667767145878652e+13   0  4  2  0  0  0  0
    6  5.0148386420888335e+08   2  0  4  0  0  0  0
    6  3.4377863072368774e+10   1  1  4  0  0  0  0
    6 -4.3946430748132172e+10   0  2  4  0  0  0  0
    6 -9.3215617210900474e+08   0  0  6  0  0  0  0
    6 -4.3505469847747505e+07   4  0  1  1  0  0  0
    6  4.8455114633970137e+09   3  1  1  1  0  0  0
    6  1.2902181345457788e+12   2  2  1  1  0  0  0
    6  7.2034795521685586e+12   1  3  1  1  0  0  0
    6  1.7381964229474966e+14   0  4  1  1  0  0  0
    6  1.0827520540358348e+09   2  0  3  1  0  0  0
    6 -3.4554792041052284e+10   1  1  3  1  0  0  0
    6  6.6802203945477905e+11   0  2  3  1  0  0  0
    6 -1.1332262492237762e+10   0  0  5  1  0  0  0
    6 -1.1971606088471830e+09   4  0  0  2  0  0  0
    6  2.0038404435733067e+10   3  1  0  2  0  0  0
    6 -1.4161458265201655e+12   2  2  0  2  0  0  0
    6  1.2095571972614352e+13   1  3  0  2  0  0  0
    6 -3.0424148393877106e+14   0  4  0  2  0  0  0
    6 -3.5357292203390040e+09   2  0  2  2  0  0  0
    6 -1.3759677897343130e+11   1  1  2  2  0  0  0
