
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.3327756266118766e-02   0  0  0  0  0  0  0
    1  6.6666000046473983e-01   0  0  0  0  1  0  0
    2 -5.1390932372205089e+02   1  1  0  0  0  0  0
    2 -7.0947368497469029e+01   0  0  1  1  0  0  0
    2 -1.9527514967544526e+01   0  0  0  0  2  0  0
    3 -6.2681180211348561e+04   1  1  0  0  1  0  0
    3  2.5381746705446578e+04   0  0  1  1  1  0  0
    3 -3.5447550848972844e+02   0  0  0  0  3  0  0
    4  3.5558776449000314e+07   2  2  0  0  0  0  0
    4  7.8054917797828972e+07   1  1  1  1  0  0  0
    4 -2.8003682685548370e+06   0  0  2  2  0  0  0
    4  1.7558582444200467e+06   1  1  0  0  2  0  0
    4 -1.0668379080166239e+06   0  0  1  1  2  0  0
    4  1.4506859724767790e+04   0  0  0  0  4  0  0
    5 -8.7915457812986040e+08   2  2  0  0  1  0  0
    5 -3.3543834430380538e+07   1  1  1  1  1  0  0
    5 -1.5577792154293245e+08   0  0  2  2  1  0  0
    5 -2.8556892163690981e+07   1  1  0  0  3  0  0
    5  1.8805652165200576e+07   0  0  1  1  3  0  0
    5 -4.5934575453834905e+05   0  0  0  0  5  0  0
    6  5.0053386804056366e+11   3  3  0  0  0  0  0
    6  1.3758662041028696e+12   2  2  1  1  0  0  0
    6  1.4571070229360535e-05   2  0  2  2  0  0  0
    6  4.7550873867245465e+11   1  1  2  2  0  0  0
    6  4.8570234097868453e-06   0  2  2  2  0  0  0
    6  8.4280154341334399e+11   0  0  3  3  0  0  0
    6  1.2142558524467113e-06   3  1  0  0  2  0  0
    6  2.5833696922405945e+10   2  2  0  0  2  0  0
    6  6.0712792622335566e-07   1  3  0  0  2  0  0
    6 -3.3474541519389530e+10   1  1  1  1  2  0  0
    6 -3.7417487053219261e+10   0  0  2  2  2  0  0
    6  6.7043906654816961e+08   1  1  0  0  4  0  0
    6  3.1226412948602390e+08   0  0  1  1  4  0  0
    6  8.9271527037957255e+06   0  0  0  0  6  0  0
  -34  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58473
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.3327756266118766e-02   0  0  0  0  0  0  0
    1  2.3333100016265897e-02   0  0  0  0  1  0  0
    2 -1.5929711709247993e-02   1  1  0  0  0  0  0
    2 -2.0343010705888682e-03   0  0  1  1  0  0  0
    2 -2.3921205835242047e-02   0  0  0  0  2  0  0
    3 -6.8002773932115707e-02   1  1  0  0  1  0  0
    3  2.5472319067551610e-02   0  0  1  1  1  0  0
    3 -1.5198137426497111e-02   0  0  0  0  3  0  0
    4  3.4165646809429136e-02   2  2  0  0  0  0  0
    4  6.9374621349767157e-02   1  1  1  1  0  0  0
    4 -2.3023588780548454e-03   0  0  2  2  0  0  0
    4  6.6672533601532177e-02   1  1  0  0  2  0  0
    4 -3.7472568636044971e-02   0  0  1  1  2  0  0
    4  2.1769356374479673e-02   0  0  0  0  4  0  0
    5 -2.9564880269784072e-02   2  2  0  0  1  0  0
    5 -1.0434727333760389e-03   1  1  1  1  1  0  0
    5 -4.4826189342245604e-03   0  0  2  2  1  0  0
    5 -3.7952159602654092e-02   1  1  0  0  3  0  0
    5  2.3119128986113978e-02   0  0  1  1  3  0  0
    5 -2.4125700301643863e-02   0  0  0  0  5  0  0
    6  1.4907256568105418e-02   3  3  0  0  0  0  0
    6  3.7905128844260720e-02   2  2  1  1  0  0  0
    6  3.7133915291574486e-19   2  0  2  2  0  0  0
    6  1.2118191007470887e-02   1  1  2  2  0  0  0
    6  1.2377971763858163e-19   0  2  2  2  0  0  0
    6  1.9868365013140588e-02   0  0  3  3  0  0  0
    6  1.4291872471156167e-18   3  1  0  0  2  0  0
    6  3.0406433794786140e-02   2  2  0  0  2  0  0
    6  7.1459362355780835e-19   1  3  0  0  2  0  0
    6 -3.6446101573703704e-02   1  1  1  1  2  0  0
    6 -3.7685005035436273e-02   0  0  2  2  2  0  0
    6  3.1185514197671873e-02   1  1  0  0  4  0  0
    6  1.3436099521393253e-02   0  0  1  1  4  0  0
    6  1.6410477944513498e-02   0  0  0  0  6  0  0
  -34  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.9340774913986898e-01   0  0  0  0  0  0  0
    1  6.6665999952868682e-01   0  0  0  0  1  0  0
    2 -7.0947368497469029e+01   1  1  0  0  0  0  0
    2 -4.6244389226379883e+02   0  0  1  1  0  0  0
    2 -8.9880277910733941e+00   0  0  0  0  2  0  0
    3  2.5381746705446578e+04   1  1  0  0  1  0  0
    3 -5.9504938893278362e+04   0  0  1  1  1  0  0
    3  2.6856709625427601e+02   0  0  0  0  3  0  0
    4  3.9027458898914486e+07   2  2  0  0  0  0  0
    4  7.4112295681561970e-11   2  0  1  1  0  0  0
    4 -5.6007365371096740e+06   1  1  1  1  0  0  0
    4  7.4112295681561970e-11   0  2  1  1  0  0  0
    4  2.7722642378066968e+07   0  0  2  2  0  0  0
    4 -1.0668379080166239e+06   1  1  0  0  2  0  0
    4  9.4312490134507534e+05   0  0  1  1  2  0  0
    4 -7.7831379766861783e+03   0  0  0  0  4  0  0
    5 -1.6771917215190269e+07   2  2  0  0  1  0  0
    5 -3.1155584308586490e+08   1  1  1  1  1  0  0
    5  3.7945495388959729e-08   0  0  3  1  1  0  0
    5 -9.2174520047307503e+08   0  0  2  2  1  0  0
    5  1.8972747694479864e-08   0  0  1  3  1  0  0
    5  1.8805652165200576e+07   1  1  0  0  3  0  0
    5 -2.2147008950466811e+05   0  0  1  1  3  0  0
    5  1.0416475976855705e+05   0  0  0  0  5  0  0
    6  4.5862206803428986e+11   3  3  0  0  0  0  0
    6  2.4285117048934226e-06   4  0  1  1  0  0  0
    6  9.7140468195736905e-06   3  1  1  1  0  0  0
    6  4.7550873867245465e+11   2  2  1  1  0  0  0
    6  9.7140468195736905e-06   1  3  1  1  0  0  0
    6  2.4285117048934226e-06   0  4  1  1  0  0  0
    6 -3.6427675573401337e-06   0  0  5  1  0  0  0
    6  2.5284046302400322e+12   1  1  2  2  0  0  0
    6 -6.0712792622335568e-06   0  0  4  2  0  0  0
    6 -1.6261936662872067e+11   0  0  3  3  0  0  0
    6 -3.6427675573401337e-06   0  0  2  4  0  0  0
    6 -1.2142558524467113e-06   0  0  1  5  0  0  0
    6 -1.6737270759694765e+10   2  2  0  0  2  0  0
    6 -7.4834974106438522e+10   1  1  1  1  2  0  0
    6  2.2163710131601017e+10   0  0  2  2  2  0  0
    6  3.1226412948602390e+08   1  1  0  0  4  0  0
    6 -4.5476108945173389e+08   0  0  1  1  4  0  0
    6 -7.4172181505607790e+05   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58474
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.9340774913986898e-01   0  0  0  0  0  0  0
    1  2.3333099983504042e-02   0  0  0  0  1  0  0
    2 -2.1991644722634384e-03   1  1  0  0  0  0  0
    2 -1.3259830844227709e-02   0  0  1  1  0  0  0
    2 -1.1010334044064910e-02   0  0  0  0  2  0  0
    3  2.7536641419208713e-02   1  1  0  0  1  0  0
    3 -5.9717276638785975e-02   0  0  1  1  1  0  0
    3  1.1514814251902088e-02   0  0  0  0  3  0  0
    4  3.7498432448097099e-02   2  2  0  0  0  0  0
    4  6.5870448593481854e-20   2  0  1  1  0  0  0
    4 -4.9778923289391626e-03   1  1  1  1  0  0  0
    4  6.5870448593481854e-20   0  2  1  1  0  0  0
    4  2.2792527868208168e-02   0  0  2  2  0  0  0
    4 -4.0509412702117199e-02   1  1  0  0  2  0  0
    4  3.3127162366886738e-02   0  0  1  1  2  0  0
    4 -1.1679571426264700e-02   0  0  0  0  4  0  0
    5 -5.6401881614109839e-04   2  2  0  0  1  0  0
    5 -9.6917967997612615e-03   1  1  1  1  1  0  0
    5  1.0919082397193451e-18   0  0  3  1  1  0  0
    5 -2.6523864532577452e-02   0  0  2  2  1  0  0
    5  5.4595411985967254e-19   0  0  1  3  1  0  0
    5  2.4992744599608489e-02   1  1  0  0  3  0  0
    5 -2.7226897109686166e-04   0  0  1  1  3  0  0
    5  5.4709284919691849e-03   0  0  0  0  5  0  0
    6  1.3659009454737232e-02   3  3  0  0  0  0  0
    6  6.6905523806948535e-20   4  0  1  1  0  0  0
    6  2.6762209522779414e-19   3  1  1  1  0  0  0
    6  1.3100270907303771e-02   2  2  1  1  0  0  0
    6  2.6762209522779414e-19   1  3  1  1  0  0  0
    6  6.6905523806948535e-20   0  4  1  1  0  0  0
    6 -8.5875300125980276e-20   0  0  5  1  0  0  0
    6  6.4435598678930048e-02   1  1  2  2  0  0  0
    6 -1.4312550020996715e-19   0  0  4  2  0  0  0
    6 -3.8336200967308289e-03   0  0  3  3  0  0  0
    6 -8.5875300125980276e-20   0  0  2  4  0  0  0
    6 -2.8625100041993425e-20   0  0  1  5  0  0  0
    6 -1.9699879455451624e-02   2  2  0  0  2  0  0
    6 -8.1478130655469092e-02   1  1  1  1  2  0  0
    6  2.2322170559593294e-02   0  0  2  2  2  0  0
    6  1.4524985087232210e-02   1  1  0  0  4  0  0
    6 -1.9567458056703221e-02   0  0  1  1  4  0  0
    6 -1.3634817159301961e-03   0  0  0  0  6  0  0
  -42  0.0000000000000000e+00   0  0  0  0  0  0  0
