
n = 1:
      sl1(1) =  -0.9361284 3
      sl1(2) =  -0.9361284 3
      sl1(3) =  -0.9361284 3
      sl1(4) =  -0.9361284 3
      sl1(5) =  -0.9361284 3
      sl1(6) =  -0.9361284 3
      sl1(7) =  -0.9361284 3
      sl1(8) =  -0.9361284 3
      sl1(9) =  -0.9361284 3
      sl1(10) =  -0.9361284 3
      sl2(1) =   3.1756725 3
      sl2(2) =   3.1756725 3
      sl2(3) =   3.1756725 3
      sl2(4) =   3.1756725 3
      sl2(5) =   3.1756725 3
      sl2(6) =   3.1756725 3
      sl2(7) =   3.1756725 3
      sl2(8) =   3.1756725 3
      sl2(9) =   3.1756725 3
      sl2(10) =   3.1756725 3
      sl3(1) =  -3.4459232 3
      sl3(2) =  -3.4459232 3
      sl3(3) =  -3.4459232 3
      sl3(4) =  -3.4459232 3
      sl3(5) =  -3.4459232 3
      sl3(6) =  -3.4459232 3
      sl3(7) =  -3.4459232 3
      sl3(8) =  -3.4459232 3
      sl3(9) =  -3.4459232 3
      sl3(10) =  -3.4459232 3
      sh1(1) =   2.8368779 3
      sh1(2) =   2.8368779 3
      sh1(3) =   2.8368779 3
      sh1(4) =   2.8368779 3
      sh1(5) =   2.8368779 3
      sh1(6) =   2.8368779 3
      sh1(7) =   2.8368779 3
      sh1(8) =   2.8368779 3
      sh1(9) =   2.8368779 3
      sh1(10) =   2.8368779 3
      sh3(1) =  -1.0083371 3
      sh3(2) =  -1.0083371 3
      sh3(3) =  -1.0083371 3
      sh3(4) =  -1.0083371 3
      sh3(5) =  -1.0083371 3
      sh3(6) =  -1.0083371 3
      sh3(7) =  -1.0083371 3
      sh3(8) =  -1.0083371 3
      sh3(9) =  -1.0083371 3
      sh3(10) =  -1.0083371 3
      sh4(1) =  -1.2005689 3
      sh4(2) =  -1.2005689 3
      sh4(3) =  -1.2005689 3
      sh4(4) =  -1.2005689 3
      sh4(5) =  -1.2005689 3
      sh4(6) =  -1.2005689 3
      sh4(7) =  -1.2005689 3
      sh4(8) =  -1.2005689 3
      sh4(9) =  -1.2005689 3
      sh4(10) =  -1.2005689 3
     sm1a(1) =  -2.3510687 3
     sm1a(2) =  -2.3510687 3
     sm1a(3) =  -2.3510687 3
     sm1a(4) =  -2.3510687 3
     sm1a(5) =  -2.3510687 3
     sm1a(6) =  -2.3510687 3
     sm1a(7) =  -2.3510687 3
     sm1a(8) =  -2.3510687 3
     sm1a(9) =  -2.3510687 3
     sm1a(10) =  -2.3510687 3
     sm1b(1) =  -2.5900613 3
     sm1b(2) =  -2.5900613 3
     sm1b(3) =  -2.5900613 3
     sm1b(4) =  -2.5900613 3
     sm1b(5) =  -2.5900613 3
     sm1b(6) =  -2.5900613 3
     sm1b(7) =  -2.5900613 3
     sm1b(8) =  -2.5900613 3
     sm1b(9) =  -2.5900613 3
     sm1b(10) =  -2.5900613 3
      sm2(1) =   3.5000000 3
      sm2(2) =   3.5000000 3
      sm2(3) =   3.5000000 3
      sm2(4) =   3.5000000 3
      sm2(5) =   3.5000000 3
