# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 11.03333 5.39341
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2270024810944913e-04  4.9452187157077120e-08  4.0160649825410543e-03  3.8561128341272095e-07  0.0000000000000000e+00  0.0000000000000000e+00
   1 -7.7868119285580950e-07 -2.0430834455741639e-05 -2.7599685565956496e-03 -2.7826859537893583e-03  0.0000000000000000e+00 -1.9571295973497792e-02
   2 -1.4811683232320222e-04 -9.5023441827738717e-05  4.5084087087538270e-04  4.1562719594594819e-03  0.0000000000000000e+00 -2.1749389889293667e-02
   3 -5.2337951939404599e-05 -3.6988748397652118e-05  2.0046836709424571e-03 -3.5768678082601577e-03  0.0000000000000000e+00  4.8815013341884875e-03
   4  1.6327073127664904e-04 -1.7978285907644634e-04 -3.7390407816292200e-03  1.4484068522109047e-03  0.0000000000000000e+00  2.6448191845799530e-02
   5  2.2728592986102336e-04 -2.4159732772486011e-04  3.6851910385538914e-03  1.3781379544143570e-03  0.0000000000000000e+00  1.5863779362444156e-02
   6 -1.3203008565001743e-04 -3.1419819580705174e-04 -1.7709589223614496e-03 -3.6967709020657765e-03  0.0000000000000000e+00  5.1760230486410386e-05
   7 -1.7180235181943806e-04 -2.9319181170644608e-04 -6.9345859149737895e-04  4.1038296334328884e-03  0.0000000000000000e+00  1.3634961618153417e-02
   8 -9.6374396558307401e-05 -2.9974704359360480e-04  2.9445664107924886e-03 -2.7346247370025225e-03  0.0000000000000000e+00  4.2985268777914094e-02
   9  1.1916524128913974e-04 -4.2313308660959256e-04 -4.0006728260669885e-03  1.0973084482286728e-04  0.0000000000000000e+00  4.9926746141026913e-02
  10 -1.1928963481345427e-04 -4.0346268441309911e-04  2.9378680028981810e-03  2.6455562627687940e-03  0.0000000000000000e+00  3.1404008507193742e-02
  11 -3.8010721683268622e-04 -4.3086179235484102e-04 -6.6311528303569615e-04 -4.1293201280993867e-03  0.0000000000000000e+00  2.7968252450933144e-02
  12 -3.7385396753071532e-04 -3.0975829041182782e-04 -1.8367995029687728e-03  3.6737553199742111e-03  0.0000000000000000e+00  5.3400910587214176e-02
  13 -1.9669614486962124e-04 -3.7886870515346180e-04  3.6590442515751853e-03 -1.5539959710824097e-03  0.0000000000000000e+00  7.6233459923532421e-02
  14 -1.1774746773718087e-04 -3.4977365540856883e-04 -3.7644706797397786e-03 -1.2246636082991252e-03  0.0000000000000000e+00  6.8076088948342967e-02
  15 -5.0378499141327088e-04 -3.3147797394121907e-04  1.9174589147594873e-03  3.5927104345939336e-03  0.0000000000000000e+00  5.1894532707467307e-02
  16 -5.6425029306535982e-04 -2.3182652627258053e-04  5.7020390211293885e-04 -4.1494358130040416e-03  0.0000000000000000e+00  6.3822243840589557e-02
  17 -4.4514015187476814e-04 -1.4053813927812159e-04 -2.8668759686650419e-03  2.8213419682195295e-03  0.0000000000000000e+00  9.3265063971447362e-02
  18 -1.7266399180651960e-04 -1.6884684212308058e-04  4.0063681365003498e-03 -2.7260331504125920e-04  0.0000000000000000e+00  1.0250284185614654e-01
  19 -3.4516327346863890e-04 -8.1746442420979815e-05 -3.0209544798923877e-03 -2.4633962134058738e-03  0.0000000000000000e+00  8.5068559637645466e-02
  20 -5.7767761149663118e-04 -8.6233148828904874e-05  7.3653195783678603e-04  4.1189652430475739e-03  0.0000000000000000e+00  7.9230107250683302e-02
  21 -4.6513931751504897e-04  7.2781122169844465e-05  1.7685364381955873e-03 -3.7342487473280470e-03  0.0000000000000000e+00  1.0404529867277655e-01
  22 -2.0263319670364108e-04  4.8028288013808564e-05 -3.6348374374055390e-03  1.7177879522161687e-03  0.0000000000000000e+00  1.2833777881215166e-01
  23 -3.7274917993893794e-05  6.8733147968257676e-05  3.8139364797898606e-03  1.0089860665398586e-03  0.0000000000000000e+00  1.2233260524342429e-01
  24 -3.6844954182198178e-04  5.5903045821745591e-05 -1.9675516506437313e-03 -3.5185284235478725e-03  0.0000000000000000e+00  1.0440240891332228e-01
  25 -3.4207677616671718e-04  9.9063766273341420e-05 -4.8941811026722670e-04  4.1607507167171756e-03  0.0000000000000000e+00  1.1446690344210549e-01
  26 -1.5905181524121634e-04  1.5900689911711965e-04  2.7977217432497655e-03 -2.9451494408497909e-03  0.0000000000000000e+00  1.4446642643322546e-01
  27  1.4095540582498574e-04  5.5654402427499127e-05 -4.0037723819266969e-03  4.7250927427856842e-04  0.0000000000000000e+00  1.5563329684497884e-01
  28  2.0732643430538708e-05  5.5449593732293999e-05  3.0901372160837617e-03  2.3437517266597326e-03  0.0000000000000000e+00  1.3777289668679538e-01
  29 -1.9406573913522987e-04 -3.0530239390219427e-05 -8.5479795208051157e-04 -4.0824561510137023e-03  0.0000000000000000e+00  1.3013930007464616e-01
  30 -8.9226583030551845e-05  3.4834845057504291e-05 -1.6269865850998268e-03  3.7925945013964112e-03  0.0000000000000000e+00  1.5367629020272913e-01
  31  1.1524290402999387e-04 -6.8672130554547149e-05  3.5489008777012001e-03 -1.8892836462548732e-03  0.0000000000000000e+00  1.7905258751108438e-01
  32  2.7283458813148217e-04 -1.5888919535460302e-04 -3.8609556844844206e-03 -8.8478789813310483e-04  0.0000000000000000e+00  1.7370859057813451e-01
  33 -7.0667315860817935e-05 -2.1963916733854972e-04  2.1345508929225617e-03  3.4302206443628611e-03  0.0000000000000000e+00  1.5524952038290785e-01
  34 -1.3582385389906640e-04 -2.3946216771623529e-04  2.8175440016849095e-04 -4.1629323878501759e-03  0.0000000000000000e+00  1.6340782970965781e-01
  35 -6.4937712149200347e-05 -2.1660454204005877e-04 -2.6311223472813899e-03  3.0783548108915576e-03  0.0000000000000000e+00  1.9283371467745392e-01
  36  1.6003593564693585e-04 -3.7023031406424904e-04  3.9584267237692651e-03 -5.9542285060776399e-04  0.0000000000000000e+00  2.0545670525616402e-01
  37  2.5094771279880604e-05 -3.7249937918134570e-04 -3.2418437181498502e-03 -2.2238116947248671e-03  0.0000000000000000e+00  1.8847829082686782e-01
  38 -2.9018095614749659e-04 -4.2830393660471359e-04  1.0767146303924139e-03  4.0236009424135357e-03  0.0000000000000000e+00  1.8003824308861038e-01
  39 -3.0408022980596866e-04 -3.3239444780391262e-04  1.4344511150761775e-03 -3.8763538973496949e-03  0.0000000000000000e+00  2.0198404118571278e-01
  40 -1.7541157466703072e-04 -3.8730347862660246e-04 -3.4358117674232014e-03  2.0010509398879742e-03  0.0000000000000000e+00  2.2816528253882615e-01
  41 -2.8462599163914084e-05 -4.1142513193173191e-04  3.9101185969193028e-03  7.5835847426992552e-04  0.0000000000000000e+00  2.2494108940270979e-01
  42 -3.9415585859303395e-04 -3.8148439766326172e-04 -2.3056520119701129e-03 -3.2967413834431841e-03  0.0000000000000000e+00  2.0694097030042252e-01
  43 -5.2908289471073925e-04 -3.2780605232495468e-04 -1.2481013229134741e-04  4.1903598995819292e-03  0.0000000000000000e+00  2.1335504861609542e-01
  44 -4.5836162471813823e-04 -2.0729985010256596e-04  2.5222672308178834e-03 -3.1662570872331482e-03  0.0000000000000000e+00  2.4240078968518622e-01
  45 -2.0119782855218746e-04 -2.5827712903089188e-04 -3.9380780099545175e-03  7.2770235818576251e-04  0.0000000000000000e+00  2.5694634070345612e-01
  46 -2.7973246978000514e-04 -1.7045142759026125e-04  3.3365754599951583e-03  2.0320954536317804e-03  0.0000000000000000e+00  2.4199803229062219e-01
  47 -5.9650356017277955e-04 -1.7448144524665786e-04 -1.1677573478822130e-03 -3.9875447441667065e-03  0.0000000000000000e+00  2.3158699992458673e-01
  48 -5.3295571128817506e-04 -1.9164789311216171e-05 -1.3569586703379092e-03  3.9324109302193138e-03  0.0000000000000000e+00  2.5247603070833236e-01
  49 -3.1441660243419631e-04 -2.5937168472484818e-06  3.4014405928560597e-03 -2.1291368822585850e-03  0.0000000000000000e+00  2.7967156068523569e-01
  50 -8.3844822468698703e-05  7.0559666046259381e-06 -3.9503248618278372e-03 -5.4455433365808135e-04  0.0000000000000000e+00  2.7905107652320610e-01
  51 -3.8647958483137930e-04  3.8673955216758468e-05  2.3574266396678176e-03  3.1826760878165090e-03  0.0000000000000000e+00  2.6003182479006959e-01
