
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.4533150608476505e-06   1  1  0  0  0  0  0
    2 -1.9081940231439509e-05   0  0  1  1  0  0  0
    2  4.3081904011897624e-05   0  0  0  0  2  0  0
    3 -2.2414503309412748e-07   3  0  0  0  0  0  0
    3 -2.0885096707617027e-07   2  1  0  0  0  0  0
    3 -2.0885096707617027e-07   1  2  0  0  0  0  0
    3 -2.2414503309412748e-07   0  3  0  0  0  0  0
    3  2.0959832128220908e-06   1  0  2  0  0  0  0
    3  5.9360760760271718e-07   0  1  2  0  0  0  0
    3 -1.0059290615302480e-07   1  0  1  1  0  0  0
    3 -1.0059290615302480e-07   0  1  1  1  0  0  0
    3  5.9360760760271718e-07   1  0  0  2  0  0  0
    3  2.0959832128220908e-06   0  1  0  2  0  0  0
    3 -3.2358278768277620e-07   2  0  0  0  1  0  0
    3 -1.2735746326642223e-06   1  1  0  0  1  0  0
    3 -3.2358278768277620e-07   0  2  0  0  1  0  0
    3  5.2059347219895467e-07   0  0  2  0  1  0  0
    3 -1.0313288682270610e-06   0  0  1  1  1  0  0
    3  5.2059347219895467e-07   0  0  0  2  1  0  0
    3 -6.2498131547133496e-21   1  0  0  0  2  0  0
    3 -6.2498131547133496e-21   0  1  0  0  2  0  0
    3 -3.6226176721276162e-07   0  0  0  0  3  0  0
    4 -6.8265109466082759e-08   4  0  0  0  0  0  0
    4 -2.8719057397265145e-08   3  1  0  0  0  0  0
    4  6.6497681704421198e-08   2  2  0  0  0  0  0
    4 -2.8719057397265145e-08   1  3  0  0  0  0  0
    4 -6.8265109466082759e-08   0  4  0  0  0  0  0
    4 -1.0282336744259798e-07   2  0  2  0  0  0  0
    4 -1.0569792264301858e-06   1  1  2  0  0  0  0
    4  4.7909601537370145e-07   0  2  2  0  0  0  0
    4  7.6829549575538968e-08   0  0  4  0  0  0  0
    4 -2.6888619266802002e-07   2  0  1  1  0  0  0
    4 -1.2306391879272663e-06   1  1  1  1  0  0  0
    4 -2.6888619266802002e-07   0  2  1  1  0  0  0
    4 -3.8279679516589747e-07   0  0  3  1  0  0  0
    4  4.7909601537370145e-07   2  0  0  2  0  0  0
    4 -1.0569792264301858e-06   1  1  0  2  0  0  0
    4 -1.0282336744259798e-07   0  2  0  2  0  0  0
    4  4.8658938809884903e-07   0  0  2  2  0  0  0
    4 -3.8279679516589747e-07   0  0  1  3  0  0  0
    4  7.6829549575538968e-08   0  0  0  4  0  0  0
    4 -2.3543524037446886e-10   3  0  0  0  1  0  0
    4 -3.1122971844108976e-07   2  1  0  0  1  0  0
    4 -3.1122971844108976e-07   1  2  0  0  1  0  0
    4 -2.3543524037446886e-10   0  3  0  0  1  0  0
    4 -5.2983930790981277e-07   1  0  2  0  1  0  0
    4  8.9281025535948151e-07   0  1  2  0  1  0  0
    4 -1.1636702043911421e-06   1  0  1  1  1  0  0
    4 -1.1636702043911421e-06   0  1  1  1  1  0  0
    4  8.9281025535948151e-07   1  0  0  2  1  0  0
    4 -5.2983930790981277e-07   0  1  0  2  1  0  0
    4 -2.4090251923607001e-07   2  0  0  0  2  0  0
    4  5.6550825652568708e-07   1  1  0  0  2  0  0
    4 -2.4090251923607001e-07   0  2  0  0  2  0  0
    4  1.2464036095040510e-06   0  0  2  0  2  0  0
    4 -2.2254947796751343e-07   0  0  1  1  2  0  0
    4  1.2464036095040510e-06   0  0  0  2  2  0  0
    4  9.8148247864378904e-21   1  0  0  0  3  0  0
    4  9.8148247864378904e-21   0  1  0  0  3  0  0
    4  1.0069815002208366e-06   0  0  0  0  4  0  0
    5  7.1569400396634128e-08   5  0  0  0  0  0  0
    5 -1.3680204652883032e-09   4  1  0  0  0  0  0
    5  4.3046892351471094e-08   3  2  0  0  0  0  0
    5  4.3046892351471094e-08   2  3  0  0  0  0  0
    5 -1.3680204652883032e-09   1  4  0  0  0  0  0
    5  7.1569400396634128e-08   0  5  0  0  0  0  0
    5  1.0645991302013490e-07   3  0  2  0  0  0  0
    5  3.3574858843358911e-08   2  1  2  0  0  0  0
    5  8.2429782594287879e-08   1  2  2  0  0  0  0
    5  3.7582326908889497e-08   0  3  2  0  0  0  0
    5  1.2881147083715409e-07   1  0  4  0  0  0  0
    5 -2.8495005865465728e-07   0  1  4  0  0  0  0
    5 -2.6654201105997567e-08   3  0  1  1  0  0  0
    5  2.6622101908598073e-07   2  1  1  1  0  0  0
    5  2.6622101908598073e-07   1  2  1  1  0  0  0
    5 -2.6654201105997567e-08   0  3  1  1  0  0  0
    5  2.0877621819723566e-07   1  0  3  1  0  0  0
    5 -1.6594202670225033e-07   0  1  3  1  0  0  0
    5  3.7582326908889497e-08   3  0  0  2  0  0  0
    5  8.2429782594287879e-08   2  1  0  2  0  0  0
    5  3.3574858843358911e-08   1  2  0  2  0  0  0
    5  1.0645991302013490e-07   0  3  0  2  0  0  0
    5  4.3690402441362968e-07   1  0  2  2  0  0  0
    5  4.3690402441362968e-07   0  1  2  2  0  0  0
    5 -1.6594202670225033e-07   1  0  1  3  0  0  0
    5  2.0877621819723566e-07   0  1  1  3  0  0  0
    5 -2.8495005865465728e-07   1  0  0  4  0  0  0
    5  1.2881147083715409e-07   0  1  0  4  0  0  0
    5 -1.0348248279235479e-07   4  0  0  0  1  0  0
    5 -1.1126418554436372e-08   3  1  0  0  1  0  0
    5  1.9039272109282536e-06   2  2  0  0  1  0  0
    5 -1.1126418554436372e-08   1  3  0  0  1  0  0
    5 -1.0348248279235479e-07   0  4  0  0  1  0  0
    5 -2.1127652236345494e-07   2  0  2  0  1  0  0
    5 -3.9767603341465885e-07   1  1  2  0  1  0  0
    5  2.0973222964181690e-08   0  2  2  0  1  0  0
    5 -1.1369075636401343e-07   0  0  4  0  1  0  0
    5 -2.1918944329481449e-07   2  0  1  1  1  0  0
    5  1.3166633086528563e-06   1  1  1  1  1  0  0
    5 -2.1918944329481449e-07   0  2  1  1  1  0  0
    5  9.8337592865860775e-08   0  0  3  1  1  0  0
    5  2.0973222964181690e-08   2  0  0  2  1  0  0
    5 -3.9767603341465885e-07   1  1  0  2  1  0  0
    5 -2.1127652236345494e-07   0  2  0  2  1  0  0
    5  1.2733947508103546e-07   0  0  2  2  1  0  0
    5  9.8337592865860775e-08   0  0  1  3  1  0  0
    5 -1.1369075636401343e-07   0  0  0  4  1  0  0
    5  7.0056770565728848e-08   3  0  0  0  2  0  0
    5 -1.3381495571659149e-07   2  1  0  0  2  0  0
    5 -1.3381495571659149e-07   1  2  0  0  2  0  0
    5  7.0056770565728848e-08   0  3  0  0  2  0  0
    5 -2.2109809250900092e-08   1  0  2  0  2  0  0
    5  6.6531662337075274e-07   0  1  2  0  2  0  0
    5 -4.2793691262746546e-07   1  0  1  1  2  0  0
    5 -4.2793691262746546e-07   0  1  1  1  2  0  0
    5  6.6531662337075274e-07   1  0  0  2  2  0  0
    5 -2.2109809250900092e-08   0  1  0  2  2  0  0
    5  3.3634563475301659e-08   2  0  0  0  3  0  0
    5  7.4382267373200752e-07   1  1  0  0  3  0  0
    5  3.3634563475301659e-08   0  2  0  0  3  0  0
    5 -2.4055535443536595e-07   0  0  2  0  3  0  0
    5 -3.9175317887026853e-07   0  0  1  1  3  0  0
    5 -2.4055535443536595e-07   0  0  0  2  3  0  0
    5  1.1484964452690992e-21   1  0  0  0  4  0  0
    5  1.1484964452690992e-21   0  1  0  0  4  0  0
    5 -2.0924262003542222e-07   0  0  0  0  5  0  0
    6 -2.4772968397210796e-08   6  0  0  0  0  0  0
    6  7.0990795337486541e-08   5  1  0  0  0  0  0
    6  2.9386894122785151e-08   4  2  0  0  0  0  0
    6 -6.1908226199918786e-07   3  3  0  0  0  0  0
    6  2.9386894122785151e-08   2  4  0  0  0  0  0
    6  7.0990795337486541e-08   1  5  0  0  0  0  0
    6 -2.4772968397210796e-08   0  6  0  0  0  0  0
    6 -1.0140135095037332e-06   4  0  2  0  0  0  0
    6  1.6975677776226987e-07   3  1  2  0  0  0  0
    6  4.8437928007630145e-07   2  2  2  0  0  0  0
    6 -5.8258649914707574e-08   1  3  2  0  0  0  0
    6  7.6667258402639564e-10   0  4  2  0  0  0  0
    6  1.0954678858414037e-07   2  0  4  0  0  0  0
    6  1.2653321426769700e-07   1  1  4  0  0  0  0
    6  1.3167964679465992e-08   0  2  4  0  0  0  0
    6  5.3339979013419295e-08   0  0  6  0  0  0  0
    6  2.8087349041144573e-08   4  0  1  1  0  0  0
    6  1.2273598779345070e-07   3  1  1  1  0  0  0
    6 -8.8454889130657856e-07   2  2  1  1  0  0  0
    6  1.2273598779345070e-07   1  3  1  1  0  0  0
    6  2.8087349041144573e-08   0  4  1  1  0  0  0
    6 -1.0682635077955370e-08   2  0  3  1  0  0  0
    6  5.4047410889006439e-07   1  1  3  1  0  0  0
    6 -1.2627265232226927e-07   0  2  3  1  0  0  0
    6  1.2860357301329640e-08   0  0  5  1  0  0  0
    6  7.6667258402639564e-10   4  0  0  2  0  0  0
    6 -5.8258649914707574e-08   3  1  0  2  0  0  0
    6  4.8437928007630145e-07   2  2  0  2  0  0  0
    6  1.6975677776226987e-07   1  3  0  2  0  0  0
    6 -1.0140135095037332e-06   0  4  0  2  0  0  0
    6  6.7750304433381164e-08   2  0  2  2  0  0  0
    6 -3.6556799211343267e-07   1  1  2  2  0  0  0
    6  6.7750304433381164e-08   0  2  2  2  0  0  0
    6 -3.7168919803344719e-08   0  0  4  2  0  0  0
    6 -1.2627265232226927e-07   2  0  1  3  0  0  0
    6  5.4047410889006439e-07   1  1  1  3  0  0  0
    6 -1.0682635077955370e-08   0  2  1  3  0  0  0
    6 -1.4844173782476580e-07   0  0  3  3  0  0  0
    6  1.3167964679465992e-08   2  0  0  4  0  0  0
    6  1.2653321426769700e-07   1  1  0  4  0  0  0
    6  1.0954678858414037e-07   0  2  0  4  0  0  0
    6 -3.7168919803344719e-08   0  0  2  4  0  0  0
