
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.7036926109697148e-01   1  1  0  0  0  0  0
    2 -1.1625316303577651e+00   0  0  1  1  0  0  0
    2  4.7868782235441804e-02   0  0  0  0  2  0  0
    3 -2.0943930232803707e+00   1  1  0  0  1  0  0
    3 -2.0943929461981252e+00   0  0  1  1  1  0  0
    3 -1.3417102489361541e-02   0  0  0  0  3  0  0
    4  4.4151062379555441e+02   2  2  0  0  0  0  0
    4 -8.0008973723958661e+01   1  1  1  1  0  0  0
    4  1.5713183384466693e+03   0  0  2  2  0  0  0
    4  3.4337383734487105e+01   1  1  0  0  2  0  0
    4  2.9240674302545969e+01   0  0  1  1  2  0  0
    4  1.2431870373096747e+00   0  0  0  0  4  0  0
    5  1.5558797259071199e+05   2  2  0  0  1  0  0
    5  8.4432548594515232e+04   1  1  1  1  1  0  0
    5 -1.9578953421011585e+04   0  0  2  2  1  0  0
    5  1.4850142421931675e+03   1  1  0  0  3  0  0
    5 -8.4666304659367000e+01   0  0  1  1  3  0  0
    5 -8.6108074088651119e+00   0  0  0  0  5  0  0
    6 -7.4535707150434524e+07   3  3  0  0  0  0  0
    6 -1.2529451869553113e+08   2  2  1  1  0  0  0
    6  9.3132257461547852e-10   2  0  2  2  0  0  0
    6 -5.4735088836343274e+07   1  1  2  2  0  0  0
    6  9.3132257461547852e-10   0  2  2  2  0  0  0
    6 -7.3122866138361432e+06   0  0  3  3  0  0  0
    6 -1.8339887673044447e+06   2  2  0  0  2  0  0
    6 -5.0169506792029925e+05   1  1  1  1  2  0  0
    6  9.3916076698794874e+04   0  0  2  2  2  0  0
    6 -5.5454057591648510e+04   1  1  0  0  4  0  0
    6  4.1316018226434044e+03   0  0  1  1  4  0  0
    6 -3.9861202590163174e+01   0  0  0  0  6  0  0
    7  2.9802322387695312e-08   5  1  0  0  1  0  0
    7  8.6445983018041921e+08   3  3  0  0  1  0  0
    7  2.9802322387695312e-08   1  5  0  0  1  0  0
    7  1.5431500504824083e+09   2  2  1  1  1  0  0
    7  4.6566128730773926e-10   0  0  5  1  1  0  0
    7  1.4901161193847656e-08   2  0  2  2  1  0  0
    7  9.3053020579031205e+08   1  1  2  2  1  0  0
    7  1.4901161193847656e-08   0  2  2  2  1  0  0
    7  1.9354562443442978e+07   0  0  3  3  1  0  0
    7  4.6566128730773926e-10   0  0  1  5  1  0  0
    7  3.3585470697016314e+07   2  2  0  0  3  0  0
    7  3.8007980689358814e+06   1  1  1  1  3  0  0
    7  2.3597625335612511e+06   0  0  2  2  3  0  0
    7  1.5725330410383260e+06   1  1  0  0  5  0  0
    7  5.9514321005291160e+04   0  0  1  1  5  0  0
    7  2.3604959656934866e+03   0  0  0  0  7  0  0
    8 -2.3841857910156250e-07   8  0  0  0  0  0  0
    8  7.6293945312500000e-06   6  2  0  0  0  0  0
    8 -3.8915617142513458e+11   4  4  0  0  0  0  0
    8  7.6293945312500000e-06   2  6  0  0  0  0  0
    8 -2.3841857910156250e-07   0  8  0  0  0  0  0
    8 -1.0406915792749493e+12   3  3  1  1  0  0  0
    8  3.0517578125000000e-05   1  1  5  1  0  0  0
    8 -2.3597328194440332e+12   2  2  2  2  0  0  0
    8  1.5258789062500000e-05   2  0  3  3  0  0  0
    8 -1.1619061406772236e+12   1  1  3  3  0  0  0
    8  1.5258789062500000e-05   0  2  3  3  0  0  0
    8 -9.5367431640625000e-07   0  0  5  3  0  0  0
    8 -3.8296587761019012e+10   0  0  4  4  0  0  0
    8  3.0517578125000000e-05   1  1  1  5  0  0  0
    8 -9.5367431640625000e-07   0  0  3  5  0  0  0
    8  1.1920928955078125e-07   5  1  0  0  2  0  0
    8 -5.4243869828884926e+09   3  3  0  0  2  0  0
    8  1.1920928955078125e-07   1  5  0  0  2  0  0
    8  6.9854810232743397e+09   2  2  1  1  2  0  0
    8 -2.9802322387695312e-08   0  0  5  1  2  0  0
    8  1.1920928955078125e-07   2  0  2  2  2  0  0
    8  8.6766783252079067e+09   1  1  2  2  2  0  0
    8  1.1920928955078125e-07   0  2  2  2  2  0  0
    8  1.3043070990954003e+09   0  0  3  3  2  0  0
    8 -2.9802322387695312e-08   0  0  1  5  2  0  0
    8 -1.0043591328319669e+09   2  2  0  0  4  0  0
    8 -9.9167063367946231e+08   1  1  1  1  4  0  0
    8  3.5497385478497408e+06   0  0  2  2  4  0  0
    8 -2.6967494895834096e+07   1  1  0  0  6  0  0
    8 -2.7459613976058415e+06   0  0  1  1  6  0  0
    8 -5.1440512966604234e+04   0  0  0  0  8  0  0
  -77  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58476
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.4533150608476505e-06   1  1  0  0  0  0  0
    2 -1.9081940231439509e-05   0  0  1  1  0  0  0
    2  4.3081904011897624e-05   0  0  0  0  2  0  0
    3 -1.2735746326642221e-06   1  1  0  0  1  0  0
    3 -1.0313288682270610e-06   0  0  1  1  1  0  0
    3 -3.6226176721276162e-07   0  0  0  0  3  0  0
    4  1.8139741085859772e-07   2  2  0  0  0  0  0
    4 -2.6619593288511868e-08   1  1  1  1  0  0  0
    4  4.2335011817930400e-07   0  0  2  2  0  0  0
    4  6.2640421912509883e-07   1  1  0  0  2  0  0
    4  4.3196409140008736e-07   0  0  1  1  2  0  0
    4  1.0069815002208366e-06   0  0  0  0  4  0  0
    5  1.9177288518721577e-06   2  2  0  0  1  0  0
    5  8.4274050745340792e-07   1  1  1  1  1  0  0
    5 -1.5825091660559774e-07   0  0  2  2  1  0  0
    5  8.1271700310386754e-07   1  1  0  0  3  0  0
    5 -3.7522530759014075e-08   0  0  1  1  3  0  0
    5 -2.0924262003542222e-07   0  0  0  0  5  0  0
    6 -6.2072503947250741e-07   3  3  0  0  0  0  0
    6 -8.4496700594001855e-07   2  2  1  1  0  0  0
    6  5.0860496943156348e-24   2  0  2  2  0  0  0
    6 -2.9891402767656705e-07   1  1  2  2  0  0  0
    6  5.0860496943156348e-24   0  2  2  2  0  0  0
    6 -3.2337501744721119e-08   0  0  3  3  0  0  0
    6 -6.7815521621093671e-07   2  2  0  0  2  0  0
    6 -1.5022598387613639e-07   1  1  1  1  2  0  0
    6  2.2772879993119700e-08   0  0  2  2  2  0  0
    6 -9.1046511640064329e-07   1  1  0  0  4  0  0
    6  5.4931471415169757e-08   0  0  1  1  4  0  0
    6 -2.9058816688228954e-08   0  0  0  0  6  0  0
    7  7.4457123093250420e-24   5  1  0  0  1  0  0
    7  2.1597374576247360e-07   3  3  0  0  1  0  0
    7  7.4457123093250420e-24   1  5  0  0  1  0  0
    7  3.1220301369468023e-07   2  2  1  1  1  0  0
    7  2.4413038532715045e-24   2  0  2  2  1  0  0
    7  1.5245167456609690e-07   1  1  2  2  1  0  0
    7  2.4413038532715045e-24   0  2  2  2  1  0  0
    7  2.5677803531341837e-09   0  0  3  3  1  0  0
    7  3.7256763860484920e-07   2  2  0  0  3  0  0
    7  3.4142968464130049e-08   1  1  1  1  3  0  0
    7  1.7165939276211280e-08   0  0  2  2  3  0  0
    7  7.7455277779444551e-07   1  1  0  0  5  0  0
    7  2.3738075667251089e-08   0  0  1  1  5  0  0
    7  5.1624046769716548e-08   0  0  0  0  7  0  0
    8  1.2878637680861401e-24   6  2  0  0  0  0  0
    8 -6.5690682432625003e-08   4  4  0  0  0  0  0
    8  1.2878637680861401e-24   2  6  0  0  0  0  0
    8 -1.4225733950142798e-07   3  3  1  1  0  0  0
    8  2.7355728658833580e-24   1  1  5  1  0  0  0
    8 -2.6120907714703304e-07   2  2  2  2  0  0  0
    8  1.3677864329416790e-24   2  0  3  3  0  0  0
    8 -1.0415239696023109e-07   1  1  3  3  0  0  0
    8  1.3677864329416790e-24   0  2  3  3  0  0  0
    8 -2.7799122828998524e-09   0  0  4  4  0  0  0
    8  2.7355728658833580e-24   1  1  1  5  0  0  0
    8  8.9348547711900492e-25   5  1  0  0  2  0  0
    8 -4.0656319736052662e-08   3  3  0  0  2  0  0
    8  8.9348547711900492e-25   1  5  0  0  2  0  0
    8  4.2398110803770649e-08   2  2  1  1  2  0  0
    8 -1.1861671085850996e-25   0  0  5  1  2  0  0
    8  5.8591292478516109e-25   2  0  2  2  2  0  0
    8  4.2645820590827106e-08   1  1  2  2  2  0  0
    8  5.8591292478516109e-25   0  2  2  2  2  0  0
    8  5.1912940217027603e-09   0  0  3  3  2  0  0
    8 -1.1861671085850996e-25   0  0  1  5  2  0  0
    8 -3.3424427527555480e-07   2  2  0  0  4  0  0
    8 -2.6724844539295307e-07   1  1  1  1  4  0  0
    8  7.7467027498129503e-10   0  0  2  2  4  0  0
    8 -3.9848602611110579e-07   1  1  0  0  6  0  0
    8 -3.2857892857379389e-08   0  0  1  1  6  0  0
    8 -3.3750120557389031e-08   0  0  0  0  8  0  0
  -71  0.0000000000000000e+00   0  0  0  0  0  0  0
