
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.1927374266432148e-07   3  0  0  0  0  0  0
    3 -6.1293617678278151e-07   2  1  0  0  0  0  0
    3  6.1293617678278151e-07   1  2  0  0  0  0  0
    3  2.1927374266432148e-07   0  3  0  0  0  0  0
    3  4.1996391296922752e-07   1  0  2  0  0  0  0
    3  1.3774754273873756e-07   0  1  2  0  0  0  0
    3 -2.9522023370098633e-07   1  0  1  1  0  0  0
    3  2.9522023370098633e-07   0  1  1  1  0  0  0
    3 -1.3774754273873756e-07   1  0  0  2  0  0  0
    3 -4.1996391296922752e-07   0  1  0  2  0  0  0
    3 -4.7482566044968355e-07   2  0  0  0  1  0  0
    3  4.7482566044968355e-07   0  2  0  0  1  0  0
    3  1.1195253931257423e-07   0  0  2  0  1  0  0
    3 -1.1195253931257423e-07   0  0  0  2  1  0  0
    3 -1.8341962377696924e-20   1  0  0  0  2  0  0
    3  1.8341962377696924e-20   0  1  0  0  2  0  0
    4 -5.9105710137748687e-08   4  0  0  0  0  0  0
    4  4.4836969884070429e-08   3  1  0  0  0  0  0
    4 -4.4836969884070429e-08   1  3  0  0  0  0  0
    4  5.9105710137748687e-08   0  4  0  0  0  0  0
    4  1.2329762617600417e-09   2  0  2  0  0  0  0
    4 -3.2708059137096508e-07   1  1  2  0  0  0  0
    4  4.9701842497449083e-08   0  2  2  0  0  0  0
    4  8.0173168858483046e-09   0  0  4  0  0  0  0
    4 -2.1710458697424506e-07   2  0  1  1  0  0  0
    4  2.1710458697424506e-07   0  2  1  1  0  0  0
    4 -8.1936051146079116e-08   0  0  3  1  0  0  0
    4 -4.9701842497449083e-08   2  0  0  2  0  0  0
    4  3.2708059137096508e-07   1  1  0  2  0  0  0
    4 -1.2329762617600417e-09   0  2  0  2  0  0  0
    4  8.1936051146079116e-08   0  0  1  3  0  0  0
    4 -8.0173168858483046e-09   0  0  0  4  0  0  0
    4  7.1643942548244329e-08   3  0  0  0  1  0  0
    4 -3.4953175735838758e-07   2  1  0  0  1  0  0
    4  3.4953175735838758e-07   1  2  0  0  1  0  0
    4 -7.1643942548244329e-08   0  3  0  0  1  0  0
    4 -1.5988606161561456e-07   1  0  2  0  1  0  0
    4  1.4640732381938532e-07   0  1  2  0  1  0  0
    4 -9.0811195826972198e-07   1  0  1  1  1  0  0
    4  9.0811195826972198e-07   0  1  1  1  1  0  0
    4 -1.4640732381938532e-07   1  0  0  2  1  0  0
    4  1.5988606161561456e-07   0  1  0  2  1  0  0
    4 -1.7838595470640434e-07   2  0  0  0  2  0  0
    4  1.7838595470640434e-07   0  2  0  0  2  0  0
    4  2.6198575261382395e-07   0  0  2  0  2  0  0
    4 -2.6198575261382395e-07   0  0  0  2  2  0  0
    4  3.8317559715903723e-20   1  0  0  0  3  0  0
    4 -3.8317559715903723e-20   0  1  0  0  3  0  0
    5  3.6453361174880594e-08   5  0  0  0  0  0  0
    5  3.3599528624733628e-08   4  1  0  0  0  0  0
    5  8.5230426095393816e-08   3  2  0  0  0  0  0
    5 -8.5230426095393816e-08   2  3  0  0  0  0  0
    5 -3.3599528624733628e-08   1  4  0  0  0  0  0
    5 -3.6453361174880594e-08   0  5  0  0  0  0  0
    5  3.2054956785720756e-08   3  0  2  0  0  0  0
    5 -1.4274344332705241e-08   2  1  2  0  0  0  0
    5  3.2906027394282609e-08   1  2  2  0  0  0  0
    5  2.5144941705082814e-08   0  3  2  0  0  0  0
    5  1.0727397106129466e-08   1  0  4  0  0  0  0
    5 -1.5801364100892193e-08   0  1  4  0  0  0  0
    5  9.9309828875264349e-09   3  0  1  1  0  0  0
    5  1.3245183894359189e-07   2  1  1  1  0  0  0
    5 -1.3245183894359189e-07   1  2  1  1  0  0  0
    5 -9.9309828875264349e-09   0  3  1  1  0  0  0
    5  2.3005950871911005e-08   1  0  3  1  0  0  0
    5 -5.4455093984197678e-09   0  1  3  1  0  0  0
    5 -2.5144941705082814e-08   3  0  0  2  0  0  0
    5 -3.2906027394282609e-08   2  1  0  2  0  0  0
    5  1.4274344332705241e-08   1  2  0  2  0  0  0
    5 -3.2054956785720756e-08   0  3  0  2  0  0  0
    5  2.7406332564736737e-07   1  0  2  2  0  0  0
    5 -2.7406332564736737e-07   0  1  2  2  0  0  0
    5  5.4455093984197678e-09   1  0  1  3  0  0  0
    5 -2.3005950871911005e-08   0  1  1  3  0  0  0
    5  1.5801364100892193e-08   1  0  0  4  0  0  0
    5 -1.0727397106129466e-08   0  1  0  4  0  0  0
    5 -3.5675434487797559e-08   4  0  0  0  1  0  0
    5  5.9211508693896196e-09   3  1  0  0  1  0  0
    5 -5.9211508693896196e-09   1  3  0  0  1  0  0
    5  3.5675434487797559e-08   0  4  0  0  1  0  0
    5 -5.4518004511033969e-08   2  0  2  0  1  0  0
    5 -4.7869393598459019e-08   1  1  2  0  1  0  0
    5  6.7740465915006497e-08   0  2  2  0  1  0  0
    5 -2.2113640991536083e-09   0  0  4  0  1  0  0
    5  1.8728270356811276e-07   2  0  1  1  1  0  0
    5 -1.8728270356811276e-07   0  2  1  1  1  0  0
    5 -2.3689226189725286e-08   0  0  3  1  1  0  0
    5 -6.7740465915006497e-08   2  0  0  2  1  0  0
    5  4.7869393598459019e-08   1  1  0  2  1  0  0
    5  5.4518004511033969e-08   0  2  0  2  1  0  0
    5  2.3689226189725286e-08   0  0  1  3  1  0  0
    5  2.2113640991536083e-09   0  0  0  4  1  0  0
    5  5.1892939632949874e-09   3  0  0  0  2  0  0
    5 -6.8946221881382246e-08   2  1  0  0  2  0  0
    5  6.8946221881382246e-08   1  2  0  0  2  0  0
    5 -5.1892939632949874e-09   0  3  0  0  2  0  0
    5  1.4352856561736458e-08   1  0  2  0  2  0  0
    5  1.2782778687850220e-07   0  1  2  0  2  0  0
    5  3.1247933821658811e-07   1  0  1  1  2  0  0
    5 -3.1247933821658811e-07   0  1  1  1  2  0  0
    5 -1.2782778687850220e-07   1  0  0  2  2  0  0
    5 -1.4352856561736458e-08   0  1  0  2  2  0  0
    5  3.1805106687306343e-08   2  0  0  0  3  0  0
    5 -3.1805106687306343e-08   0  2  0  0  3  0  0
    5 -6.4636260716631643e-08   0  0  2  0  3  0  0
    5  6.4636260716631643e-08   0  0  0  2  3  0  0
    5 -1.5005157504046512e-20   1  0  0  0  4  0  0
    5  1.5005157504046512e-20   0  1  0  0  4  0  0
    6 -3.5508696997987541e-09   6  0  0  0  0  0  0
    6  1.1696404494398398e-08   5  1  0  0  0  0  0
    6 -1.1557050380095871e-08   4  2  0  0  0  0  0
    6  1.1557050380095871e-08   2  4  0  0  0  0  0
    6 -1.1696404494398398e-08   1  5  0  0  0  0  0
    6  3.5508696997987541e-09   0  6  0  0  0  0  0
    6 -1.6187893974681252e-07   4  0  2  0  0  0  0
    6  1.3180183874845451e-08   3  1  2  0  0  0  0
    6  1.0953143908214860e-07   2  2  2  0  0  0  0
    6 -2.7581912981921383e-08   1  3  2  0  0  0  0
    6  1.2753102284142960e-09   0  4  2  0  0  0  0
    6  1.6646149174524680e-08   2  0  4  0  0  0  0
    6  1.9803951326354354e-08   1  1  4  0  0  0  0
    6  2.1598713751587903e-08   0  2  4  0  0  0  0
    6  3.6790289406733152e-09   0  0  6  0  0  0  0
    6  1.1242473569963194e-09   4  0  1  1  0  0  0
    6  2.4939535998340376e-08   3  1  1  1  0  0  0
    6 -2.4939535998340376e-08   1  3  1  1  0  0  0
    6 -1.1242473569963194e-09   0  4  1  1  0  0  0
    6  3.1959551740911672e-08   2  0  3  1  0  0  0
    6  6.7557123832937720e-08   1  1  3  1  0  0  0
    6 -1.3273230031469828e-08   0  2  3  1  0  0  0
    6 -1.5416197986400047e-09   0  0  5  1  0  0  0
    6 -1.2753102284142960e-09   4  0  0  2  0  0  0
    6  2.7581912981921383e-08   3  1  0  2  0  0  0
    6 -1.0953143908214860e-07   2  2  0  2  0  0  0
    6 -1.3180183874845451e-08   1  3  0  2  0  0  0
    6  1.6187893974681252e-07   0  4  0  2  0  0  0
    6 -5.6848449601934876e-09   2  0  2  2  0  0  0
    6  5.6848449601934876e-09   0  2  2  2  0  0  0
    6  2.1316973065728445e-09   0  0  4  2  0  0  0
    6  1.3273230031469828e-08   2  0  1  3  0  0  0
    6 -6.7557123832937720e-08   1  1  1  3  0  0  0
    6 -3.1959551740911672e-08   0  2  1  3  0  0  0
    6 -2.1598713751587903e-08   2  0  0  4  0  0  0
    6 -1.9803951326354354e-08   1  1  0  4  0  0  0
    6 -1.6646149174524680e-08   0  2  0  4  0  0  0
    6 -2.1316973065728445e-09   0  0  2  4  0  0  0
    6  1.5416197986400047e-09   0  0  1  5  0  0  0
    6 -3.6790289406733152e-09   0  0  0  6  0  0  0
    6  5.8677833271675886e-08   5  0  0  0  1  0  0
    6 -7.2147274792187397e-08   4  1  0  0  1  0  0
    6  2.1731356601072261e-07   3  2  0  0  1  0  0
    6 -2.1731356601072261e-07   2  3  0  0  1  0  0
    6  7.2147274792187397e-08   1  4  0  0  1  0  0
    6 -5.8677833271675886e-08   0  5  0  0  1  0  0
    6 -2.7622275366104348e-09   3  0  2  0  1  0  0
    6  1.8085232056734032e-07   2  1  2  0  1  0  0
    6 -9.2340852658695316e-08   1  2  2  0  1  0  0
    6 -1.7842356013206987e-08   0  3  2  0  1  0  0
    6  1.2907186577501305e-08   1  0  4  0  1  0  0
    6 -1.6357239788491396e-08   0  1  4  0  1  0  0
    6 -3.7265427842011654e-09   3  0  1  1  1  0  0
    6 -8.5111307316233691e-08   2  1  1  1  1  0  0
    6  8.5111307316233691e-08   1  2  1  1  1  0  0
    6  3.7265427842011654e-09   0  3  1  1  1  0  0
    6  5.5718244828522221e-08   1  0  3  1  1  0  0
    6 -1.9065321427381391e-08   0  1  3  1  1  0  0
    6  1.7842356013206987e-08   3  0  0  2  1  0  0
    6  9.2340852658695316e-08   2  1  0  2  1  0  0
