
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -1.9758366831712293e-07   3  0  0  0  0  0  0
    3 -2.3768081141497105e-07   2  1  0  0  0  0  0
    3 -2.3768081141497105e-07   1  2  0  0  0  0  0
    3 -1.9758366831712293e-07   0  3  0  0  0  0  0
    3 -3.9207962730167811e-07   1  0  2  0  0  0  0
    3 -9.5153197270097117e-07   0  1  2  0  0  0  0
    3 -7.8405947977826415e-08   1  0  1  1  0  0  0
    3 -7.8405947977826415e-08   0  1  1  1  0  0  0
    3 -9.5153197270097117e-07   1  0  0  2  0  0  0
    3 -3.9207962730167811e-07   0  1  0  2  0  0  0
    3 -3.0599219762124576e-07   2  0  0  0  1  0  0
    3 -1.2735746326642270e-06   1  1  0  0  1  0  0
    3 -3.0599219762124576e-07   0  2  0  0  1  0  0
    3 -6.7004056654699283e-07   0  0  2  0  1  0  0
    3 -1.0313288682270657e-06   0  0  1  1  1  0  0
    3 -6.7004056654699283e-07   0  0  0  2  1  0  0
    3  4.2894462188573469e-07   1  0  0  0  2  0  0
    3  4.2894462188573469e-07   0  1  0  0  2  0  0
    3 -3.6226176721276607e-07   0  0  0  0  3  0  0
    4 -6.6994590204529188e-08   4  0  0  0  0  0  0
    4 -1.0409265947950311e-09   3  1  0  0  0  0  0
    4  7.5145858672092206e-08   2  2  0  0  0  0  0
    4 -1.0409265947950311e-09   1  3  0  0  0  0  0
    4 -6.6994590204529188e-08   0  4  0  0  0  0  0
    4  1.6340048359810389e-08   2  0  2  0  0  0  0
    4  1.9846321800284547e-07   1  1  2  0  0  0  0
    4 -1.0785053436029901e-07   0  2  2  0  0  0  0
    4  9.3686684843278476e-08   0  0  4  0  0  0  0
    4 -3.1209900073154352e-09   2  0  1  1  0  0  0
    4  2.2471077216575315e-07   1  1  1  1  0  0  0
    4 -3.1209900073154352e-09   0  2  1  1  0  0  0
    4  1.5943254652953452e-07   0  0  3  1  0  0  0
    4 -1.0785053436029901e-07   2  0  0  2  0  0  0
    4  1.9846321800284547e-07   1  1  0  2  0  0  0
    4  1.6340048359810389e-08   0  2  0  2  0  0  0
    4  3.9955920585844660e-07   0  0  2  2  0  0  0
    4  1.5943254652953452e-07   0  0  1  3  0  0  0
    4  9.3686684843278476e-08   0  0  0  4  0  0  0
    4 -9.1009271482128554e-09   3  0  0  0  1  0  0
    4 -2.7832950082539461e-07   2  1  0  0  1  0  0
    4 -2.7832950082539461e-07   1  2  0  0  1  0  0
    4 -9.1009271482128554e-09   0  3  0  0  1  0  0
    4  1.4449041152936589e-07   1  0  2  0  1  0  0
    4  1.2709523882247212e-07   0  1  2  0  1  0  0
    4 -1.2653406404094537e-07   1  0  1  1  1  0  0
    4 -1.2653406404094537e-07   0  1  1  1  1  0  0
    4  1.2709523882247212e-07   1  0  0  2  1  0  0
    4  1.4449041152936589e-07   0  1  0  2  1  0  0
    4 -1.2610978104123111e-07   2  0  0  0  2  0  0
    4  6.8057346307459128e-07   1  1  0  0  2  0  0
    4 -1.2610978104123111e-07   0  2  0  0  2  0  0
    4 -1.0698974048180027e-07   0  0  2  0  2  0  0
    4  5.9453814227238776e-07   0  0  1  1  2  0  0
    4 -1.0698974048180027e-07   0  0  0  2  2  0  0
    4  1.3710457162387671e-07   1  0  0  0  3  0  0
    4  1.3710457162387671e-07   0  1  0  0  3  0  0
    4  9.5383942660087898e-07   0  0  0  0  4  0  0
    5  5.9825049244366081e-08   5  0  0  0  0  0  0
    5 -1.0341744532281928e-08   4  1  0  0  0  0  0
    5  3.4480403578610993e-08   3  2  0  0  0  0  0
    5  3.4480403578610993e-08   2  3  0  0  0  0  0
    5 -1.0341744532281928e-08   1  4  0  0  0  0  0
    5  5.9825049244366081e-08   0  5  0  0  0  0  0
    5  3.1898036663781965e-08   3  0  2  0  0  0  0
    5  6.3428902200526772e-08   2  1  2  0  0  0  0
    5 -2.9707410584847955e-08   1  2  2  0  0  0  0
    5 -7.5994614209482037e-08   0  3  2  0  0  0  0
    5 -1.1241581285764239e-08   1  0  4  0  0  0  0
    5  5.8176115208815940e-08   0  1  4  0  0  0  0
    5  4.1626846926145689e-08   3  0  1  1  0  0  0
    5 -1.0134844481024286e-07   2  1  1  1  0  0  0
    5 -1.0134844481024286e-07   1  2  1  1  0  0  0
    5  4.1626846926145689e-08   0  3  1  1  0  0  0
    5 -7.3057611056271532e-08   1  0  3  1  0  0  0
    5 -3.8827240886259709e-08   0  1  3  1  0  0  0
    5 -7.5994614209482037e-08   3  0  0  2  0  0  0
    5 -2.9707410584847955e-08   2  1  0  2  0  0  0
    5  6.3428902200526772e-08   1  2  0  2  0  0  0
    5  3.1898036663781965e-08   0  3  0  2  0  0  0
    5 -6.0266447140276132e-08   1  0  2  2  0  0  0
    5 -6.0266447140276132e-08   0  1  2  2  0  0  0
    5 -3.8827240886259709e-08   1  0  1  3  0  0  0
    5 -7.3057611056271532e-08   0  1  1  3  0  0  0
    5  5.8176115208815940e-08   1  0  0  4  0  0  0
    5 -1.1241581285764239e-08   0  1  0  4  0  0  0
    5 -6.0052362098438692e-08   4  0  0  0  1  0  0
    5 -2.8327699692245095e-08   3  1  0  0  1  0  0
    5  1.8758315162969904e-06   2  2  0  0  1  0  0
    5 -2.8327699692245095e-08   1  3  0  0  1  0  0
    5 -6.0052362098438692e-08   0  4  0  0  1  0  0
    5  1.3006748126011055e-07   2  0  2  0  1  0  0
    5  1.9856118368555937e-08   1  1  2  0  1  0  0
    5 -9.9682065253498237e-08   0  2  2  0  1  0  0
    5 -5.8101417655698120e-08   0  0  4  0  1  0  0
    5  5.5447184847144477e-08   2  0  1  1  1  0  0
    5  5.3204832572681051e-07   1  1  1  1  1  0  0
    5  5.5447184847144477e-08   0  2  1  1  1  0  0
    5 -1.9401549643809000e-07   0  0  3  1  1  0  0
    5 -9.9682065253498237e-08   2  0  0  2  1  0  0
    5  1.9856118368555937e-08   1  1  0  2  1  0  0
    5  1.3006748126011055e-07   0  2  0  2  1  0  0
    5 -3.6108476320861285e-07   0  0  2  2  1  0  0
    5 -1.9401549643809000e-07   0  0  1  3  1  0  0
    5 -5.8101417655698120e-08   0  0  0  4  1  0  0
    5  1.0742591006070528e-07   3  0  0  0  2  0  0
    5 -1.3883757856382832e-07   2  1  0  0  2  0  0
    5 -1.3883757856382832e-07   1  2  0  0  2  0  0
    5  1.0742591006070528e-07   0  3  0  0  2  0  0
    5 -9.6872807913874737e-08   1  0  2  0  2  0  0
    5 -2.2443104477770161e-07   0  1  2  0  2  0  0
    5  9.7271850738006583e-08   1  0  1  1  2  0  0
    5  9.7271850738006583e-08   0  1  1  1  2  0  0
    5 -2.2443104477770161e-07   1  0  0  2  2  0  0
    5 -9.6872807913874737e-08   0  1  0  2  2  0  0
    5  3.0474998401391741e-08   2  0  0  0  3  0  0
    5  8.8622010520590340e-07   1  1  0  0  3  0  0
    5  3.0474998401391741e-08   0  2  0  0  3  0  0
    5  3.6429267742348282e-08   0  0  2  0  3  0  0
    5  1.6977460124131903e-07   0  0  1  1  3  0  0
    5  3.6429267742348282e-08   0  0  0  2  3  0  0
    5 -8.0363299727072689e-08   1  0  0  0  4  0  0
    5 -8.0363299727072689e-08   0  1  0  0  4  0  0
    5 -2.1479517393287664e-07   0  0  0  0  5  0  0
    6 -1.3626220911285410e-08   6  0  0  0  0  0  0
    6  7.1411444329566172e-08   5  1  0  0  0  0  0
    6  2.1707198456255502e-08   4  2  0  0  0  0  0
    6 -6.0838347090749060e-07   3  3  0  0  0  0  0
    6  2.1707198456255502e-08   2  4  0  0  0  0  0
    6  7.1411444329566172e-08   1  5  0  0  0  0  0
    6 -1.3626220911285410e-08   0  6  0  0  0  0  0
    6  5.7807696547825387e-08   4  0  2  0  0  0  0
    6 -6.8712568972015050e-08   3  1  2  0  0  0  0
    6 -1.3786362227157430e-07   2  2  2  0  0  0  0
    6  6.3404605972071316e-08   1  3  2  0  0  0  0
    6  1.8410213647795379e-08   0  4  2  0  0  0  0
    6 -8.9815245634409839e-09   2  0  4  0  0  0  0
    6  9.2648888551206904e-09   1  1  4  0  0  0  0
    6  1.6903285997611328e-09   0  2  4  0  0  0  0
    6  1.6350820860772036e-09   0  0  6  0  0  0  0
    6  1.0425130876183223e-09   4  0  1  1  0  0  0
    6  5.9250116266089830e-08   3  1  1  1  0  0  0
    6 -7.3363123417663058e-07   2  2  1  1  0  0  0
    6  5.9250116266089830e-08   1  3  1  1  0  0  0
    6  1.0425130876183223e-09   0  4  1  1  0  0  0
    6 -2.4159068543037786e-08   2  0  3  1  0  0  0
    6 -2.4915785390347809e-08   1  1  3  1  0  0  0
    6 -2.0122766260480160e-08   0  2  3  1  0  0  0
    6  5.9189651972402389e-09   0  0  5  1  0  0  0
    6  1.8410213647795379e-08   4  0  0  2  0  0  0
    6  6.3404605972071316e-08   3  1  0  2  0  0  0
    6 -1.3786362227157430e-07   2  2  0  2  0  0  0
    6 -6.8712568972015050e-08   1  3  0  2  0  0  0
    6  5.7807696547825387e-08   0  4  0  2  0  0  0
    6  1.5515512405182553e-08   2  0  2  2  0  0  0
    6 -2.9950197219950480e-07   1  1  2  2  0  0  0
    6  1.5515512405182553e-08   0  2  2  2  0  0  0
    6  4.4995889804249838e-08   0  0  4  2  0  0  0
    6 -2.0122766260480160e-08   2  0  1  3  0  0  0
    6 -2.4915785390347809e-08   1  1  1  3  0  0  0
    6 -2.4159068543037786e-08   0  2  1  3  0  0  0
    6  6.8098515261470039e-10   0  0  3  3  0  0  0
    6  1.6903285997611328e-09   2  0  0  4  0  0  0
    6  9.2648888551206904e-09   1  1  0  4  0  0  0
    6 -8.9815245634409839e-09   0  2  0  4  0  0  0
    6  4.4995889804249838e-08   0  0  2  4  0  0  0
    6  5.9189651972402389e-09   0  0  1  5  0  0  0
    6  1.6350820860772036e-09   0  0  0  6  0  0  0
    6  9.2127354905811649e-08   5  0  0  0  1  0  0
