
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0519389577095730e-22   0  0  0  0  0  0  0
    1  9.4252867573536392e-01   1  0  0  0  0  0  0
    1  6.5947707351400879e+00   0  1  0  0  0  0  0
    1 -1.6455587726468473e-05   0  0  0  0  1  0  0
    2 -1.6741441622649780e+00   2  0  0  0  0  0  0
    2 -7.1871733233827257e+01   1  1  0  0  0  0  0
    2 -1.0862719786183084e+03   0  2  0  0  0  0  0
    2 -3.4476203011295453e+01   0  0  2  0  0  0  0
    2  1.2415329467712344e+02   0  0  1  1  0  0  0
    2  4.8794643463068610e+02   0  0  0  2  0  0  0
    2 -1.5359750466207194e+00   1  0  0  0  1  0  0
    2  3.6694998085762599e+01   0  1  0  0  1  0  0
    2  2.3884429609236790e-01   0  0  0  0  2  0  0
    3  4.9316967451061309e+01   3  0  0  0  0  0  0
    3 -4.9070750056470342e+03   2  1  0  0  0  0  0
    3  5.6173639509896675e+04   1  2  0  0  0  0  0
    3  1.6673694784164964e+05   0  3  0  0  0  0  0
    3  1.8289475015592147e+03   1  0  2  0  0  0  0
    3 -3.7780547552080905e+04   0  1  2  0  0  0  0
    3  6.4936322783365199e+02   1  0  1  1  0  0  0
    3  1.3121733238069856e+05   0  1  1  1  0  0  0
    3  4.1860883116430141e+03   1  0  0  2  0  0  0
    3  4.8099365887083550e+03   0  1  0  2  0  0  0
    3 -3.3584279809096927e+01   2  0  0  0  1  0  0
    3  1.6999643790612395e+03   1  1  0  0  1  0  0
    3  2.9200087803381150e+04   0  2  0  0  1  0  0
    3  8.6559038456852102e+02   0  0  2  0  1  0  0
    3 -7.8022777900427252e+02   0  0  1  1  1  0  0
    3 -7.7740131756233259e+03   0  0  0  2  1  0  0
    3  1.3759202901519370e+01   1  0  0  0  2  0  0
    3 -2.0350973981376840e+03   0  1  0  0  2  0  0
    3  2.7000293384259493e+00   0  0  0  0  3  0  0
    4  3.2996120963933549e+02   4  0  0  0  0  0  0
    4  2.7882391324265237e+05   3  1  0  0  0  0  0
    4  1.7683374218262387e+06   2  2  0  0  0  0  0
    4 -1.3526048959122676e+08   1  3  0  0  0  0  0
    4 -3.4885173965604627e+08   0  4  0  0  0  0  0
    4 -2.1494305877726958e+04   2  0  2  0  0  0  0
    4  3.7177635927424906e+05   1  1  2  0  0  0  0
    4 -7.6795826043640561e+06   0  2  2  0  0  0  0
    4 -1.3185667712386610e+05   0  0  4  0  0  0  0
    4  2.2902229962105601e+04   2  0  1  1  0  0  0
    4 -2.7115551704379078e+06   1  1  1  1  0  0  0
    4 -3.1709558700803459e+07   0  2  1  1  0  0  0
    4 -8.0340760241986602e+05   0  0  3  1  0  0  0
    4 -2.4654145929872058e+05   2  0  0  2  0  0  0
    4  5.5243038150830269e+06   1  1  0  2  0  0  0
    4 -2.1058063005927268e+07   0  2  0  2  0  0  0
    4  9.2968810715833609e+05   0  0  2  2  0  0  0
    4  1.3174768564619686e+07   0  0  1  3  0  0  0
    4 -1.1438299616084348e+07   0  0  0  4  0  0  0
    4  1.1524949498075188e+04   3  0  0  0  1  0  0
    4 -7.5008959866219515e+05   2  1  0  0  1  0  0
    4  1.6750722834264420e+06   1  2  0  0  1  0  0
    4 -2.0825207679620099e+08   0  3  0  0  1  0  0
    4  1.0710022530134993e+03   1  0  2  0  1  0  0
    4 -6.0846114332887973e+05   0  1  2  0  1  0  0
    4  5.7609576559761954e+03   1  0  1  1  1  0  0
    4  1.0178858542152214e+06   0  1  1  1  1  0  0
    4  1.0377701518623141e+05   1  0  0  2  1  0  0
    4 -2.5841219890764030e+06   0  1  0  2  1  0  0
    4 -7.5036770944719706e+02   2  0  0  0  2  0  0
    4  8.5657508996007367e+04   1  1  0  0  2  0  0
    4 -8.5141560127278470e+04   0  2  0  0  2  0  0
    4 -4.9360795577057524e+02   0  0  2  0  2  0  0
    4  9.6342050486062013e+04   0  0  1  1  2  0  0
    4  1.0861819853253025e+05   0  0  0  2  2  0  0
    4  1.4946611413908458e+03   1  0  0  0  3  0  0
    4 -4.8930923115658632e+04   0  1  0  0  3  0  0
    4 -9.1372405607100788e+01   0  0  0  0  4  0  0
    5 -3.4442897809206508e+05   5  0  0  0  0  0  0
    5  2.2016073348917894e+07   4  1  0  0  0  0  0
    5 -5.6980423661949098e+08   3  2  0  0  0  0  0
    5  2.8434337888719208e+10   2  3  0  0  0  0  0
    5 -2.7192265021571205e+10   1  4  0  0  0  0  0
    5  2.5674536026008618e+12   0  5  0  0  0  0  0
    5 -2.2741009582841415e+06   3  0  2  0  0  0  0
    5  2.1088709804073322e+08   2  1  2  0  0  0  0
    5 -2.9189479170459857e+09   1  2  2  0  0  0  0
    5  6.8162964717497070e+10   0  3  2  0  0  0  0
    5 -3.5979300454348233e+05   1  0  4  0  0  0  0
    5  1.3235015547295442e+08   0  1  4  0  0  0  0
    5  5.5823742159990277e+06   3  0  1  1  0  0  0
    5 -2.1759606546697029e+08   2  1  1  1  0  0  0
    5 -1.1226890855004080e+10   1  2  1  1  0  0  0
    5 -7.6786957668896362e+10   0  3  1  1  0  0  0
    5  4.4751826929761916e+07   1  0  3  1  0  0  0
    5 -1.3036265844031286e+09   0  1  3  1  0  0  0
    5 -3.2349771322983846e+07   3  0  0  2  0  0  0
    5  1.0533809647635345e+09   2  1  0  2  0  0  0
    5 -4.1134830438633084e+09   1  2  0  2  0  0  0
    5  4.3983440107522046e+11   0  3  0  2  0  0  0
    5 -4.6541337226447962e+07   1  0  2  2  0  0  0
    5  4.7342622688177643e+09   0  1  2  2  0  0  0
    5 -8.9367767383453578e+07   1  0  1  3  0  0  0
    5 -2.0783942933330124e+10   0  1  1  3  0  0  0
    5 -6.9447452486503780e+08   1  0  0  4  0  0  0
    5  3.8326576106640839e+10   0  1  0  4  0  0  0
    5  1.7707834125852110e+05   4  0  0  0  1  0  0
    5  1.1922358358028274e+07   3  1  0  0  1  0  0
    5  4.8338207237178755e+08   2  2  0  0  1  0  0
    5 -3.7036456292285051e+09   1  3  0  0  1  0  0
    5 -4.7377141688083649e+10   0  4  0  0  1  0  0
    5 -2.4044892106518897e+05   2  0  2  0  1  0  0
    5  2.2653378744776845e+07   1  1  2  0  1  0  0
    5 -8.6941849212769365e+08   0  2  2  0  1  0  0
    5  2.1591291586011136e+06   0  0  4  0  1  0  0
    5 -7.2273477677104995e+05   2  0  1  1  1  0  0
    5 -1.8031505688451180e+08   1  1  1  1  1  0  0
    5 -8.3799508324809875e+09   0  2  1  1  1  0  0
    5 -1.3221375100952033e+07   0  0  3  1  1  0  0
    5  1.8673725951123327e+07   2  0  0  2  1  0  0
    5 -6.5307432809513533e+08   1  1  0  2  1  0  0
    5  7.4982026022977180e+09   0  2  0  2  1  0  0
    5  4.9266932469800591e+07   0  0  2  2  1  0  0
    5 -1.7891297138683602e+08   0  0  1  3  1  0  0
    5 -4.2863436334154114e+07   0  0  0  4  1  0  0
    5  1.7117819943980674e+04   3  0  0  0  2  0  0
    5  1.1182078412348786e+07   2  1  0  0  2  0  0
    5  1.2360477256448962e+07   1  2  0  0  2  0  0
    5  5.2843279387345448e+09   0  3  0  0  2  0  0
    5 -1.1010841078881145e+04   1  0  2  0  2  0  0
    5  3.1952319319730103e+07   0  1  2  0  2  0  0
    5 -8.8042504267595359e+05   1  0  1  1  2  0  0
    5  8.3468879133411542e+07   0  1  1  1  2  0  0
    5  3.3933509610228343e+06   1  0  0  2  2  0  0
    5 -1.7367667859549145e+06   0  1  0  2  2  0  0
    5 -7.5396794364147820e+04   2  0  0  0  3  0  0
    5  2.8997624541917928e+06   1  1  0  0  3  0  0
    5 -2.0197550339348920e+07   0  2  0  0  3  0  0
    5 -2.6432065100746974e+05   0  0  2  0  3  0  0
    5 -3.1532531887589948e+05   0  0  1  1  3  0  0
    5 -1.6364549987078926e+06   0  0  0  2  3  0  0
    5 -2.4409129117501187e+04   1  0  0  0  4  0  0
    5  2.3412907137662759e+06   0  1  0  0  4  0  0
    5 -3.3472061867059629e+03   0  0  0  0  5  0  0
    6 -1.2951394683485407e+07   6  0  0  0  0  0  0
    6  1.6052607952647305e+08   5  1  0  0  0  0  0
    6 -7.0476669905202560e+09   4  2  0  0  0  0  0
    6 -3.1126972416428253e+11   3  3  0  0  0  0  0
    6 -4.2533196998199634e+12   2  4  0  0  0  0  0
    6  4.0643735089838117e+13   1  5  0  0  0  0  0
    6  6.3097716189118250e+14   0  6  0  0  0  0  0
    6 -3.4154028668903001e+07   4  0  2  0  0  0  0
    6 -4.9335509667831545e+09   3  1  2  0  0  0  0
    6  2.4110176923601831e+11   2  2  2  0  0  0  0
    6 -2.4000282916059414e+12   1  3  2  0  0  0  0
    6  5.5530027417577945e+13   0  4  2  0  0  0  0
    6  3.0702617024045658e+08   2  0  4  0  0  0  0
    6 -8.5062062275412769e+09   1  1  4  0  0  0  0
    6  2.9520049357177887e+11   0  2  4  0  0  0  0
    6 -5.6351923981598425e+08   0  0  6  0  0  0  0
    6 -9.0471173074907571e+07   4  0  1  1  0  0  0
    6  9.4639236498431244e+09   3  1  1  1  0  0  0
    6  1.2058221493477271e+12   2  2  1  1  0  0  0
    6  2.2885123362147256e+12   1  3  1  1  0  0  0
    6  2.6387638284327834e+14   0  4  1  1  0  0  0
    6 -5.2438889326074457e+08   2  0  3  1  0  0  0
    6  1.7305618757818916e+10   1  1  3  1  0  0  0
    6  2.0250614672243877e+12   0  2  3  1  0  0  0
    6 -9.2621641955959845e+08   0  0  5  1  0  0  0
    6 -1.7808618662878976e+09   4  0  0  2  0  0  0
    6  7.8734711669750076e+10   3  1  0  2  0  0  0
    6 -1.8494163350879521e+12   2  2  0  2  0  0  0
    6  4.3695956271090093e+12   1  3  0  2  0  0  0
    6 -3.2651350702841625e+14   0  4  0  2  0  0  0
    6 -5.0699182498526096e+09   2  0  2  2  0  0  0
    6 -1.5110235925385443e+11   1  1  2  2  0  0  0
