# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 11.03666 5.40007
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2305430065684277e-04  3.4210855666211918e-08  4.0049002407909970e-03  3.1576247488100775e-07  0.0000000000000000e+00  0.0000000000000000e+00
   1 -2.1517072611427487e-04 -4.4579961191864833e-04 -2.7856759175604682e-03 -2.7796582324883376e-03  0.0000000000000000e+00 -5.0834002048977263e-02
   2 -1.4951869425669682e-04 -6.7455427343242563e-04  4.3703507240260410e-04  4.0049569056628811e-03  0.0000000000000000e+00 -9.7840729578784008e-02
   3  1.6875662854506625e-04 -2.5435861554207575e-04  2.2444035813174463e-03 -3.3447004258057309e-03  0.0000000000000000e+00 -9.5317582062609291e-02
   4  7.0640866967970696e-05  1.4810602439241014e-04 -3.8459372488840815e-03  1.4614814459255245e-03  0.0000000000000000e+00 -6.5487303727260138e-02
   5 -3.2347805935241787e-04  5.1097128599088212e-06  3.5776672405684823e-03  1.3446711209149783e-03  0.0000000000000000e+00 -8.2497914555548363e-02
   6 -5.7429941370393993e-04 -3.6604262447419600e-04 -1.6803489782020371e-03 -3.6749755640005290e-03  0.0000000000000000e+00 -1.4465819315645348e-01
   7 -1.8031569049067986e-04 -1.9219047671690682e-04 -8.9855500765397369e-04  3.9395465662035315e-03  0.0000000000000000e+00 -1.6717642134896640e-01
   8  6.7777638838772720e-05  3.7009549462665401e-04  3.1790299296596725e-03 -2.6499581046402852e-03  0.0000000000000000e+00 -1.4210001014667489e-01
   9 -1.1086878440621183e-04  5.2057322980820283e-04 -3.9272016113977735e-03  1.7932415118904898e-04  0.0000000000000000e+00 -1.2720893857977392e-01
  10 -4.7183771205286975e-04  1.4576481175811664e-04  2.7351762774319214e-03  2.7005356674641261e-03  0.0000000000000000e+00 -1.8062355755995321e-01
  11 -2.8118177428065801e-04 -9.1122362171585527e-05 -4.7070580989787942e-04 -4.1121845593219148e-03  0.0000000000000000e+00 -2.3263498260466089e-01
  12  2.4775590278131227e-04  2.9322218494759982e-04 -2.1313291682014813e-03  3.4430248762674889e-03  0.0000000000000000e+00 -2.2767364763305675e-01
  13  3.1710819673396134e-04  6.3037132709286908e-04  3.7886820132917174e-03 -1.4892036273401110e-03  0.0000000000000000e+00 -1.9904244535511978e-01
  14  1.1531083539352236e-05  3.7657662980818970e-04 -3.5671688760234542e-03 -1.3640384144502100e-03  0.0000000000000000e+00 -2.2212721797064283e-01
  15 -1.4548619340010185e-04 -1.4658087757010626e-04  1.7212494936033719e-03  3.7192253204976168e-03  0.0000000000000000e+00 -2.8938256530823914e-01
  16  3.2650491465387356e-04 -1.5554375880369106e-04  8.3433361443535831e-04 -3.8861676074057870e-03  0.0000000000000000e+00 -3.1270219427833434e-01
  17  5.8123466474834190e-04  2.3409776545664672e-04 -3.1869004340273933e-03  2.5286236753619593e-03  0.0000000000000000e+00 -2.9179582140105692e-01
  18  3.7586771986034548e-04  2.2802657861881534e-04  3.9940023485888201e-03 -6.1435770613355094e-05  0.0000000000000000e+00 -2.8182161364003011e-01
  19 -2.1286439674545648e-05 -2.8162068021532667e-04 -2.8328390985344802e-03 -2.7513649892472614e-03  0.0000000000000000e+00 -3.3491017847183924e-01
  20  8.0269287375707595e-05 -6.1038643492088509e-04  5.2765420684560836e-04  4.0045108466929486e-03  0.0000000000000000e+00 -3.8416529726467424e-01
  21  4.2425332598648095e-04 -2.9482129106037986e-04  2.1773785967537538e-03 -3.3220532241727977e-03  0.0000000000000000e+00 -3.8351760545495539e-01
  22  3.2807511132337949e-04  3.2554816034754933e-05 -3.8512274038181209e-03  1.4488198382011784e-03  0.0000000000000000e+00 -3.5660945227588736e-01
  23 -7.6713884185002554e-05 -1.7670374745604653e-04  3.6444253824065680e-03  1.3402790625021300e-03  0.0000000000000000e+00 -3.7350143086951537e-01
  24 -3.6495489433605483e-04 -6.0401702914879231e-04 -1.7691844848117166e-03 -3.6348576480689418e-03  0.0000000000000000e+00 -4.3428325903948678e-01
  25 -5.1724019249055801e-05 -4.8143336317555920e-04 -8.5072634047966096e-04  3.8827087019296571e-03  0.0000000000000000e+00 -4.5799352896006512e-01
  26  1.0876600849657960e-04  6.5843798697248543e-05  3.1794291405302087e-03 -2.6459738249349643e-03  0.0000000000000000e+00 -4.3580688960159059e-01
  27 -1.2817813229228922e-04  2.4053869796207401e-04 -3.9662697218566080e-03  2.3130419422098027e-04  0.0000000000000000e+00 -4.1830031925590683e-01
  28 -5.4452977657583920e-04 -9.1967356143565060e-05  2.8092533618041286e-03  2.6186885028092891e-03  0.0000000000000000e+00 -4.6697828953278137e-01
  29 -4.4524021470095494e-04 -2.8467616515884698e-04 -5.2940488799164953e-04 -4.0763058999255574e-03  0.0000000000000000e+00 -5.1839527197515345e-01
  30  2.5444415763426188e-05  1.6030463393597021e-04 -2.0881400366817311e-03  3.5014108789573409e-03  0.0000000000000000e+00 -5.1518734746135086e-01
  31  7.6822285748862971e-05  5.8589746342673258e-04  3.7598739796537409e-03 -1.6142083252631413e-03  0.0000000000000000e+00 -4.8399519419796821e-01
  32 -2.3088611579134353e-04  4.3292235514225298e-04 -3.5796725137548519e-03 -1.2203714649631882e-03  0.0000000000000000e+00 -5.0219550234403210e-01
  33 -4.1061171580282095e-04 -1.6220781831091483e-05  1.7532220739793544e-03  3.6703095112109096e-03  0.0000000000000000e+00 -5.6924049720826009e-01
  34  8.2091570166439775e-05  2.7863430535056036e-05  7.6081166441928827e-04 -3.9740697690817698e-03  0.0000000000000000e+00 -5.9418520708197531e-01
  35  4.2138436312637447e-04  4.7801244351114170e-04 -3.1041905750831566e-03  2.6529167330324780e-03  0.0000000000000000e+00 -5.7124331818665708e-01
  36  2.8103121424607281e-04  5.2769020856323378e-04  3.9560893642584328e-03 -1.9158365527690600e-04  0.0000000000000000e+00 -5.5917117363250757e-01
  37 -7.1660671603112142e-05  3.6056521167988175e-05 -2.8447764400929628e-03 -2.6788166625502084e-03  0.0000000000000000e+00 -6.1331565811210165e-01
  38  8.5661987738858266e-05 -3.3131640312595911e-04  5.9959814425774823e-04  4.0490243980746280e-03  0.0000000000000000e+00 -6.6606714383927557e-01
  39  5.3412074212901266e-04 -6.9181140224169882e-05  2.0746179453954212e-03 -3.3738982442162338e-03  0.0000000000000000e+00 -6.6546610282846741e-01
  40  5.1887376973162446e-04  2.1096778329590592e-04 -3.8159271080168574e-03  1.4888663148436806e-03  0.0000000000000000e+00 -6.3990058864074106e-01
  41  1.5326836146655723e-04 -6.2120474197235008e-05  3.6776447464885388e-03  1.3069449223844108e-03  0.0000000000000000e+00 -6.5860225144840367e-01
  42 -1.1231944036469192e-04 -5.7846215079823476e-04 -1.8476681194771528e-03 -3.6231372073831061e-03  0.0000000000000000e+00 -7.2132246547386236e-01
  43  2.0601228205203011e-04 -5.6415803263748380e-04 -7.6902118785647055e-04  3.8523471383048904e-03  0.0000000000000000e+00 -7.4649298556411814e-01
  44  3.4794492747211564e-04 -9.9777730835597447e-05  3.1609951702084326e-03 -2.6149094493072471e-03  0.0000000000000000e+00 -7.2750462826557227e-01
  45  8.3601235838423810e-05  1.9999305672647146e-05 -4.0079144257802535e-03  2.2835440466876676e-04  0.0000000000000000e+00 -7.1089437097924824e-01
  46 -3.6643270294578093e-04 -3.5277227717637924e-04  2.8954491162694594e-03  2.5907067935874036e-03  0.0000000000000000e+00 -7.5727410655491501e-01
  47 -3.4308495250631710e-04 -5.7445615135445804e-04 -6.0142038102271465e-04 -4.0163301749048730e-03  0.0000000000000000e+00 -8.0757399470382840e-01
  48  2.9731071270814382e-05 -1.4181363226569823e-04 -2.0674719843576024e-03  3.4782759654611072e-03  0.0000000000000000e+00 -8.0714941726096345e-01
  49  5.3883677223551189e-06  3.1607654029994616e-04  3.7664274624065602e-03 -1.6654142432930305e-03  0.0000000000000000e+00 -7.7586167773870052e-01
  50 -3.4335220322190914e-04  2.2289280754842896e-04 -3.6316956835237843e-03 -1.1252142677460582e-03  0.0000000000000000e+00 -7.8883632756580091e-01
  51 -5.9341593130949266e-04 -1.6460927720051631e-04  1.8162792439622582e-03  3.5943926325708343e-03  0.0000000000000000e+00 -8.5292620286240139e-01
  52 -1.6766193640556964e-04 -5.9725240076554185e-05  7.0559356322368776e-04 -4.0070442695123859e-03  0.0000000000000000e+00 -8.7942654981198709e-01
  53  1.6633155690731969e-04  4.7358291308427036e-04 -3.0514349432433151e-03  2.7678641322734271e-03  0.0000000000000000e+00 -8.5599654749000398e-01
  54  4.0156446631987816e-05  6.2212152158718306e-04  3.9345246552557481e-03 -3.4205624492821294e-04  0.0000000000000000e+00 -8.3954287482554513e-01
  55 -3.0683921636133531e-04  2.1723662493477512e-04 -2.8607863486595593e-03 -2.5647584277502249e-03  0.0000000000000000e+00 -8.9134884210849252e-01
  56 -1.4472969188928471e-04 -1.0789199280113631e-04  6.4758755840657730e-04  4.0887319687503178e-03  0.0000000000000000e+00 -9.4672283573065397e-01
  57  3.9011869166243973e-04  1.9122174330223502e-04  1.9794219804247885e-03 -3.4826659197811690e-03  0.0000000000000000e+00 -9.4559258680228653e-01
  58  4.6828826440207237e-04  5.0878719173809450e-04 -3.7526455258004672e-03  1.6016759348484798e-03  0.0000000000000000e+00 -9.1817608414165719e-01
  59  1.5965323108389767e-04  2.5123803267285415e-04  3.6708386472916908e-03  1.2089727254539951e-03  0.0000000000000000e+00 -9.3693204124633522e-01
  60 -5.9215219921044098e-05 -3.0273723756042519e-04 -1.8912623254009736e-03 -3.6172805684408851e-03  0.0000000000000000e+00 -1.0030108224172560e+00
  61  3.3715303052753788e-04 -3.6566037442224106e-04 -6.6661567880063090e-04  3.8917387150050413e-03  0.0000000000000000e+00 -1.0299292857392728e+00
  62  5.6052290821467885e-04  2.6346740080733447e-05  3.0966457935717837e-03 -2.6320290872536771e-03  0.0000000000000000e+00 -1.0120548197399297e+00
  63  3.3657802445979961e-04  7.7980986575889298e-05 -4.0192465871488614e-03  2.4691946898480847e-04  0.0000000000000000e+00 -9.9774247990711318e-01
  64 -9.6699903705733270e-05 -3.7616686417874982e-04  2.9635734099958616e-03  2.5764734340794964e-03  0.0000000000000000e+00 -1.0452846805894334e+00
  65 -8.0420838199951700e-05 -6.9168931781187566e-04 -6.8815664255915583e-04 -3.9839834558134894e-03  0.0000000000000000e+00 -1.0963538137750048e+00
  66  2.5192163594567866e-04 -3.4892332024450036e-04 -2.0264762559509437e-03  3.4303401060042440e-03  0.0000000000000000e+00 -1.0984422573420334e+00
  67  1.7675980774075438e-04  6.1491933931564108e-05  3.7815668434930637e-03 -1.6541047974291396e-03  0.0000000000000000e+00 -1.0695861899092332e+00
  68 -2.0911201823612440e-04 -5.6227309752863742e-05 -3.7008716733403836e-03 -1.1023743575998804e-03  0.0000000000000000e+00 -1.0802661382167931e+00
  69 -5.2398503327454732e-04 -4.5181979971990310e-04  1.9018391099059468e-03  3.5359348751728835e-03  0.0000000000000000e+00 -1.1413563396779065e+00
  70 -1.9853953708812359e-04 -3.4555200458863188e-04  6.5915824829812844e-04 -3.9689302741106785e-03  0.0000000000000000e+00 -1.1688304308213890e+00
  71  5.3525855296324846e-05  2.2108411464833550e-04 -3.0375461042812016e-03  2.8073162101101110e-03  0.0000000000000000e+00 -1.1474133257672516e+00
  72 -1.1811308257459436e-04  4.3893601252794766e-04  3.9513326460236141e-03 -4.4189783223304958e-04  0.0000000000000000e+00 -1.1271264500536360e+00
