
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.7036926109697598e-01   1  1  0  0  0  0  0
    2 -1.1625316303577640e+00   0  0  1  1  0  0  0
    2  4.7868782235441804e-02   0  0  0  0  2  0  0
    3 -2.0943741613295774e+00   1  1  0  0  1  0  0
    3 -2.0943741595421019e+00   0  0  1  1  1  0  0
    3 -1.3389528245227756e-02   0  0  0  0  3  0  0
    4  1.3130278293099409e+03   2  2  0  0  0  0  0
    4 -8.4095568723973599e+01   1  1  1  1  0  0  0
    4  1.9678789875446178e+03   0  0  2  2  0  0  0
    4  3.5881244268631640e+01   1  1  0  0  2  0  0
    4  6.2145403482845651e+00   0  0  1  1  2  0  0
    4  1.2548949041550117e+00   0  0  0  0  4  0  0
    5  1.3187379806765658e+05   2  2  0  0  1  0  0
    5  6.9973878008524960e+04   1  1  1  1  1  0  0
    5 -1.5428160221113043e+04   0  0  2  2  1  0  0
    5  1.3363378164029418e+03   1  1  0  0  3  0  0
    5  1.8116132376174033e+02   0  0  1  1  3  0  0
    5 -9.0902529301667006e+00   0  0  0  0  5  0  0
    6 -5.7479043399341658e+07   3  3  0  0  0  0  0
    6  1.8189894035458565e-12   0  0  6  0  0  0  0
    6 -1.4229649104823220e+08   2  2  1  1  0  0  0
    6  9.3132257461547852e-10   2  0  2  2  0  0  0
    6 -4.6686827941425368e+07   1  1  2  2  0  0  0
    6  9.3132257461547852e-10   0  2  2  2  0  0  0
    6 -9.6730637364830310e+05   0  0  3  3  0  0  0
    6  1.8189894035458565e-12   0  0  0  6  0  0  0
    6 -2.1034346684780954e+06   2  2  0  0  2  0  0
    6 -3.5035936613161769e+05   1  1  1  1  2  0  0
    6 -3.2917423139503249e+05   0  0  2  2  2  0  0
    6 -4.8341770743358327e+04   1  1  0  0  4  0  0
    6  3.3054337812263011e+03   0  0  1  1  4  0  0
    6 -2.7910788907425008e+01   0  0  0  0  6  0  0
    7  5.9741138534559274e+08   3  3  0  0  1  0  0
    7  1.8519661151110272e+09   2  2  1  1  1  0  0
    7  1.4901161193847656e-08   2  0  2  2  1  0  0
    7  1.2913408273584857e+09   1  1  2  2  1  0  0
    7  1.4901161193847656e-08   0  2  2  2  1  0  0
    7  1.1898786145227086e+07   0  0  3  3  1  0  0
    7  3.7350691317733660e+07   2  2  0  0  3  0  0
    7 -5.0846929911421975e+06   1  1  1  1  3  0  0
    7  7.5309510599182956e+06   0  0  2  2  3  0  0
    7  1.4089934426950375e+06   1  1  0  0  5  0  0
    7  2.4284946935761964e+04   0  0  1  1  5  0  0
    7  2.1353441111002226e+03   0  0  0  0  7  0  0
    8 -2.8680514873304639e+11   4  4  0  0  0  0  0
    8  3.8146972656250000e-06   6  0  1  1  0  0  0
    8 -6.1035156250000000e-05   5  1  1  1  0  0  0
    8 -1.4797449383769026e+12   3  3  1  1  0  0  0
    8 -6.1035156250000000e-05   1  5  1  1  0  0  0
    8  3.8146972656250000e-06   0  6  1  1  0  0  0
    8  3.0517578125000000e-05   1  1  5  1  0  0  0
    8  7.6293945312500000e-06   4  0  2  2  0  0  0
    8 -3.0517578125000000e-05   3  1  2  2  0  0  0
    8 -2.4028992594519248e+12   2  2  2  2  0  0  0
    8 -3.0517578125000000e-05   1  3  2  2  0  0  0
    8  7.6293945312500000e-06   0  4  2  2  0  0  0
    8 -7.6293945312500000e-06   2  0  4  2  0  0  0
    8 -1.5258789062500000e-05   1  1  4  2  0  0  0
    8 -7.6293945312500000e-06   0  2  4  2  0  0  0
    8  1.5258789062500000e-05   2  0  3  3  0  0  0
    8 -1.1640699493947202e+12   1  1  3  3  0  0  0
    8  1.5258789062500000e-05   0  2  3  3  0  0  0
    8 -7.6293945312500000e-06   2  0  2  4  0  0  0
    8 -1.5258789062500000e-05   1  1  2  4  0  0  0
    8 -7.6293945312500000e-06   0  2  2  4  0  0  0
    8 -1.3263637761121979e+09   0  0  4  4  0  0  0
    8  3.0517578125000000e-05   1  1  1  5  0  0  0
    8 -1.7531229539193206e+09   3  3  0  0  2  0  0
    8  1.4901161193847656e-08   0  0  6  0  2  0  0
    8  1.6994786410376986e+10   2  2  1  1  2  0  0
    8 -1.1920928955078125e-07   2  0  2  2  2  0  0
    8  9.6415008463795109e+09   1  1  2  2  2  0  0
    8 -1.1920928955078125e-07   0  2  2  2  2  0  0
    8 -5.7709828400644121e+09   0  0  3  3  2  0  0
    8  1.4901161193847656e-08   0  0  0  6  2  0  0
    8 -9.3454132547896230e+08   2  2  0  0  4  0  0
    8 -8.3336432567704749e+08   1  1  1  1  4  0  0
    8  6.2232116319792792e+07   0  0  2  2  4  0  0
    8 -2.5373409665831640e+07   1  1  0  0  6  0  0
    8 -2.1094590395494369e+06   0  0  1  1  6  0  0
    8 -4.7732854277016413e+04   0  0  0  0  8  0  0
  -81  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58476
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.4533150608476750e-06   1  1  0  0  0  0  0
    2 -1.9081940231439759e-05   0  0  1  1  0  0  0
    2  4.3081904011897624e-05   0  0  0  0  2  0  0
    3 -1.2735631629439563e-06   1  1  0  0  1  0  0
    3 -1.0313196172311105e-06   0  0  1  1  1  0  0
    3 -3.6151726262114942e-07   0  0  0  0  3  0  0
    4  5.3946572468523499e-07   2  2  0  0  0  0  0
    4 -2.7979234485892675e-08   1  1  1  1  0  0  0
    4  5.3019288425232237e-07   0  0  2  2  0  0  0
    4  6.5456829708183432e-07   1  1  0  0  2  0  0
    4  9.1805621417637003e-08   0  0  1  1  2  0  0
    4  1.0164648723655595e-06   0  0  0  0  4  0  0
    5  1.6254353286392468e-06   2  2  0  0  1  0  0
    5  6.9842522158827250e-07   1  1  1  1  1  0  0
    5 -1.2470127713307997e-07   0  0  2  2  1  0  0
    5  7.3134952812127392e-07   1  1  0  0  3  0  0
    5  8.0287327651091149e-08   0  0  1  1  3  0  0
    5 -2.2089314620305081e-07   0  0  0  0  5  0  0
    6 -4.7867904990672991e-07   3  3  0  0  0  0  0
    6 -9.5962569830344017e-07   2  2  1  1  0  0  0
    6  5.0860496943156811e-24   2  0  2  2  0  0  0
    6 -2.5496163569114977e-07   1  1  2  2  0  0  0
    6  5.0860496943156811e-24   0  2  2  2  0  0  0
    6 -4.2777688016694203e-09   0  0  3  3  0  0  0
    6 -7.7778840187983245e-07   2  2  0  0  2  0  0
    6 -1.0491050012814346e-07   1  1  1  1  2  0  0
    6 -7.9818552178541890e-08   0  0  2  2  2  0  0
    6 -7.9369297465966899e-07   1  1  0  0  4  0  0
    6  4.3947202335195344e-08   0  0  1  1  4  0  0
    6 -2.0346965113512830e-08   0  0  0  0  6  0  0
    7  1.4925525761827500e-07   3  3  0  0  1  0  0
    7  3.7468125812997141e-07   2  2  1  1  1  0  0
    7  2.4413038532715269e-24   2  0  2  2  1  0  0
    7  2.1156440741133179e-07   1  1  2  2  1  0  0
    7  2.4413038532715269e-24   0  2  2  2  1  0  0
    7  1.5786184461231085e-09   0  0  3  3  1  0  0
    7  4.1433568074847282e-07   2  2  0  0  3  0  0
    7 -4.5676331469762952e-08   1  1  1  1  3  0  0
    7  5.4783414325840063e-08   0  0  2  2  3  0  0
    7  6.9400117927759375e-07   1  1  0  0  5  0  0
    7  9.6863729300557891e-09   0  0  1  1  5  0  0
    7  4.6699975709761865e-08   0  0  0  0  7  0  0
    8 -4.8413535050638085e-08   4  4  0  0  0  0  0
    8  5.2145005765227641e-25   6  0  1  1  0  0  0
    8 -8.3432009224364226e-24   5  1  1  1  0  0  0
    8 -2.0227374014196615e-07   3  3  1  1  0  0  0
    8 -8.3432009224364226e-24   1  5  1  1  0  0  0
    8  5.2145005765227641e-25   0  6  1  1  0  0  0
    8  2.7355728658834215e-24   1  1  5  1  0  0  0
    8  8.4453082496345665e-25   4  0  2  2  0  0  0
    8 -3.3781232998538266e-24   3  1  2  2  0  0  0
    8 -2.6598735791902075e-07   2  2  2  2  0  0  0
    8 -3.3781232998538266e-24   1  3  2  2  0  0  0
    8  8.4453082496345665e-25   0  4  2  2  0  0  0
    8 -6.8389321647085538e-25   2  0  4  2  0  0  0
    8 -1.3677864329417108e-24   1  1  4  2  0  0  0
    8 -6.8389321647085538e-25   0  2  4  2  0  0  0
    8  1.3677864329417108e-24   2  0  3  3  0  0  0
    8 -1.0434635915442533e-07   1  1  3  3  0  0  0
    8  1.3677864329417108e-24   0  2  3  3  0  0  0
    8 -6.8389321647085538e-25   2  0  2  4  0  0  0
    8 -1.3677864329417108e-24   1  1  2  4  0  0  0
    8 -6.8389321647085538e-25   0  2  2  4  0  0  0
    8 -9.6279464264986149e-11   0  0  4  4  0  0  0
    8  2.7355728658834215e-24   1  1  1  5  0  0  0
    8 -1.3139830837290041e-08   3  3  0  0  2  0  0
    8  1.0314920832406986e-07   2  2  1  1  2  0  0
    8 -5.8591292478516642e-25   2  0  2  2  2  0  0
    8  4.7387917346948531e-08   1  1  2  2  2  0  0
    8 -5.8591292478516642e-25   0  2  2  2  2  0  0
    8 -2.2969183206742320e-08   0  0  3  3  2  0  0
    8 -3.1100935695082685e-07   2  2  0  0  4  0  0
    8 -2.2458597937581430e-07   1  1  1  1  4  0  0
    8  1.3581104639756095e-08   0  0  2  2  4  0  0
    8 -3.7493097618748781e-07   1  1  0  0  6  0  0
    8 -2.5241570827972711e-08   0  0  1  1  6  0  0
    8 -3.1317525691150463e-08   0  0  0  0  8  0  0
  -77  0.0000000000000000e+00   0  0  0  0  0  0  0
