
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.1985574492820200e-07   3  0  0  0  0  0  0
    3 -6.4735834308702958e-07   2  1  0  0  0  0  0
    3  6.4735834308702958e-07   1  2  0  0  0  0  0
    3  2.1985574492820200e-07   0  3  0  0  0  0  0
    3  4.0066607045729672e-07   1  0  2  0  0  0  0
    3 -5.3295367773133276e-08   0  1  2  0  0  0  0
    3 -4.3901203540257441e-07   1  0  1  1  0  0  0
    3  4.3901203540257441e-07   0  1  1  1  0  0  0
    3  5.3295367773133276e-08   1  0  0  2  0  0  0
    3 -4.0066607045729672e-07   0  1  0  2  0  0  0
    3 -4.7483065149269683e-07   2  0  0  0  1  0  0
    3  4.7483065149269683e-07   0  2  0  0  1  0  0
    3  1.4571438126295212e-07   0  0  2  0  1  0  0
    3 -1.4571438126295212e-07   0  0  0  2  1  0  0
    3  1.0172326685794131e-20   1  0  0  0  2  0  0
    3 -1.0172326685794131e-20   0  1  0  0  2  0  0
    4 -6.4397458236925847e-08   4  0  0  0  0  0  0
    4  7.4626188096598155e-08   3  1  0  0  0  0  0
    4 -7.4626188096598155e-08   1  3  0  0  0  0  0
    4  6.4397458236925847e-08   0  4  0  0  0  0  0
    4  2.8941428220389885e-09   2  0  2  0  0  0  0
    4 -3.2114168161796971e-07   1  1  2  0  0  0  0
    4  9.6349811847922850e-08   0  2  2  0  0  0  0
    4  1.9508872128445246e-08   0  0  4  0  0  0  0
    4 -2.1956483902627930e-07   2  0  1  1  0  0  0
    4  2.1956483902627930e-07   0  2  1  1  0  0  0
    4 -1.2135935930159815e-07   0  0  3  1  0  0  0
    4 -9.6349811847922850e-08   2  0  0  2  0  0  0
    4  3.2114168161796971e-07   1  1  0  2  0  0  0
    4 -2.8941428220389885e-09   0  2  0  2  0  0  0
    4  1.2135935930159815e-07   0  0  1  3  0  0  0
    4 -1.9508872128445246e-08   0  0  0  4  0  0  0
    4  7.2441575090923443e-08   3  0  0  0  1  0  0
    4 -3.4103975855167453e-07   2  1  0  0  1  0  0
    4  3.4103975855167453e-07   1  2  0  0  1  0  0
    4 -7.2441575090923443e-08   0  3  0  0  1  0  0
    4 -1.5813176436465318e-07   1  0  2  0  1  0  0
    4  1.7229108630901915e-07   0  1  2  0  1  0  0
    4 -7.7046559022838007e-07   1  0  1  1  1  0  0
    4  7.7046559022838007e-07   0  1  1  1  1  0  0
    4 -1.7229108630901915e-07   1  0  0  2  1  0  0
    4  1.5813176436465318e-07   0  1  0  2  1  0  0
    4 -1.7706001391231462e-07   2  0  0  0  2  0  0
    4  1.7706001391231462e-07   0  2  0  0  2  0  0
    4  2.6217851687446940e-07   0  0  2  0  2  0  0
    4 -2.6217851687446940e-07   0  0  0  2  2  0  0
    4 -1.3122793851349926e-21   1  0  0  0  3  0  0
    4  1.3122793851349926e-21   0  1  0  0  3  0  0
    5  3.5628436726313361e-08   5  0  0  0  0  0  0
    5  1.9845304786213686e-08   4  1  0  0  0  0  0
    5  9.3693890876628798e-08   3  2  0  0  0  0  0
    5 -9.3693890876628798e-08   2  3  0  0  0  0  0
    5 -1.9845304786213686e-08   1  4  0  0  0  0  0
    5 -3.5628436726313361e-08   0  5  0  0  0  0  0
    5  2.7673496122963973e-08   3  0  2  0  0  0  0
    5  1.5659478006122356e-08   2  1  2  0  0  0  0
    5 -8.2389047383829813e-08   1  2  2  0  0  0  0
    5  1.3085158324115551e-08   0  3  2  0  0  0  0
    5  1.6748620400350289e-08   1  0  4  0  0  0  0
    5 -4.0875651979856117e-08   0  1  4  0  0  0  0
    5  2.3754947033417388e-08   3  0  1  1  0  0  0
    5  1.7183759962993259e-07   2  1  1  1  0  0  0
    5 -1.7183759962993259e-07   1  2  1  1  0  0  0
    5 -2.3754947033417388e-08   0  3  1  1  0  0  0
    5  3.7547310974707307e-08   1  0  3  1  0  0  0
    5 -4.3069873389363156e-08   0  1  3  1  0  0  0
    5 -1.3085158324115551e-08   3  0  0  2  0  0  0
    5  8.2389047383829813e-08   2  1  0  2  0  0  0
    5 -1.5659478006122356e-08   1  2  0  2  0  0  0
    5 -2.7673496122963973e-08   0  3  0  2  0  0  0
    5  2.4614925582075159e-07   1  0  2  2  0  0  0
    5 -2.4614925582075159e-07   0  1  2  2  0  0  0
    5  4.3069873389363156e-08   1  0  1  3  0  0  0
    5 -3.7547310974707307e-08   0  1  1  3  0  0  0
    5  4.0875651979856117e-08   1  0  0  4  0  0  0
    5 -1.6748620400350289e-08   0  1  0  4  0  0  0
    5 -3.2021339282909234e-08   4  0  0  0  1  0  0
    5 -6.6753626438316538e-09   3  1  0  0  1  0  0
    5  6.6753626438316538e-09   1  3  0  0  1  0  0
    5  3.2021339282909234e-08   0  4  0  0  1  0  0
    5 -5.2941493837707755e-08   2  0  2  0  1  0  0
    5 -7.4173117746575991e-08   1  1  2  0  1  0  0
    5  3.6861388668649204e-08   0  2  2  0  1  0  0
    5 -6.8420302005405318e-09   0  0  4  0  1  0  0
    5  1.9343051289844947e-07   2  0  1  1  1  0  0
    5 -1.9343051289844947e-07   0  2  1  1  1  0  0
    5 -2.8838708903818811e-09   0  0  3  1  1  0  0
    5 -3.6861388668649204e-08   2  0  0  2  1  0  0
    5  7.4173117746575991e-08   1  1  0  2  1  0  0
    5  5.2941493837707755e-08   0  2  0  2  1  0  0
    5  2.8838708903818811e-09   0  0  1  3  1  0  0
    5  6.8420302005405318e-09   0  0  0  4  1  0  0
    5  4.8155793890782147e-09   3  0  0  0  2  0  0
    5 -2.8624668614118971e-08   2  1  0  0  2  0  0
    5  2.8624668614118971e-08   1  2  0  0  2  0  0
    5 -4.8155793890782147e-09   0  3  0  0  2  0  0
    5 -1.7539087025071441e-08   1  0  2  0  2  0  0
    5  1.5938116659499981e-07   0  1  2  0  2  0  0
    5  2.5121348587235989e-07   1  0  1  1  2  0  0
    5 -2.5121348587235989e-07   0  1  1  1  2  0  0
    5 -1.5938116659499981e-07   1  0  0  2  2  0  0
    5  1.7539087025071441e-08   0  1  0  2  2  0  0
    5  3.0773225862201576e-08   2  0  0  0  3  0  0
    5 -3.0773225862201576e-08   0  2  0  0  3  0  0
    5 -7.5064689645865641e-08   0  0  2  0  3  0  0
    5  7.5064689645865641e-08   0  0  0  2  3  0  0
    5  1.4799147883807941e-20   1  0  0  0  4  0  0
    5 -1.4799147883807941e-20   0  1  0  0  4  0  0
    6 -2.8846622867459942e-09   6  0  0  0  0  0  0
    6  1.8446832062565313e-08   5  1  0  0  0  0  0
    6 -4.0412878637749721e-09   4  2  0  0  0  0  0
    6  4.0412878637749721e-09   2  4  0  0  0  0  0
    6 -1.8446832062565313e-08   1  5  0  0  0  0  0
    6  2.8846622867459942e-09   0  6  0  0  0  0  0
    6 -1.3106581620657668e-07   4  0  2  0  0  0  0
    6  2.9091584798600900e-08   3  1  2  0  0  0  0
    6  7.1231433855804893e-08   2  2  2  0  0  0  0
    6 -8.3982052168158633e-09   1  3  2  0  0  0  0
    6  1.3300904067369059e-09   0  4  2  0  0  0  0
    6  1.3259797503732076e-08   2  0  4  0  0  0  0
    6  3.1839768410851264e-08   1  1  4  0  0  0  0
    6  2.4465921882996080e-08   0  2  4  0  0  0  0
    6  5.2209070222066133e-09   0  0  6  0  0  0  0
    6 -1.0992604402447428e-08   4  0  1  1  0  0  0
    6 -5.8008960284020233e-08   3  1  1  1  0  0  0
    6  5.8008960284020233e-08   1  3  1  1  0  0  0
    6  1.0992604402447428e-08   0  4  1  1  0  0  0
    6  3.0847814187307453e-08   2  0  3  1  0  0  0
    6  6.2250681101945167e-08   1  1  3  1  0  0  0
    6  9.4702327586507429e-10   0  2  3  1  0  0  0
    6  1.0077994116435171e-09   0  0  5  1  0  0  0
    6 -1.3300904067369059e-09   4  0  0  2  0  0  0
    6  8.3982052168158633e-09   3  1  0  2  0  0  0
    6 -7.1231433855804893e-08   2  2  0  2  0  0  0
    6 -2.9091584798600900e-08   1  3  0  2  0  0  0
    6  1.3106581620657668e-07   0  4  0  2  0  0  0
    6 -5.3646958663788397e-08   2  0  2  2  0  0  0
    6  5.3646958663788397e-08   0  2  2  2  0  0  0
    6 -6.2728834875539669e-09   0  0  4  2  0  0  0
    6 -9.4702327586507429e-10   2  0  1  3  0  0  0
    6 -6.2250681101945167e-08   1  1  1  3  0  0  0
    6 -3.0847814187307453e-08   0  2  1  3  0  0  0
    6 -2.4465921882996080e-08   2  0  0  4  0  0  0
    6 -3.1839768410851264e-08   1  1  0  4  0  0  0
    6 -1.3259797503732076e-08   0  2  0  4  0  0  0
    6  6.2728834875539669e-09   0  0  2  4  0  0  0
    6 -1.0077994116435171e-09   0  0  1  5  0  0  0
    6 -5.2209070222066133e-09   0  0  0  6  0  0  0
    6  6.0817693817904709e-08   5  0  0  0  1  0  0
    6 -5.0246732422369267e-08   4  1  0  0  1  0  0
    6  1.3365410223884454e-07   3  2  0  0  1  0  0
    6 -1.3365410223884454e-07   2  3  0  0  1  0  0
    6  5.0246732422369267e-08   1  4  0  0  1  0  0
    6 -6.0817693817904709e-08   0  5  0  0  1  0  0
    6  1.0353706757816238e-09   3  0  2  0  1  0  0
    6  1.6785461424455392e-07   2  1  2  0  1  0  0
    6 -9.7410004266311312e-08   1  2  2  0  1  0  0
    6 -1.5484567892875466e-08   0  3  2  0  1  0  0
    6  1.1551834874860216e-08   1  0  4  0  1  0  0
    6 -1.1812217829662383e-08   0  1  4  0  1  0  0
    6 -1.0514886536751926e-08   3  0  1  1  1  0  0
    6 -3.2003998176547382e-07   2  1  1  1  1  0  0
    6  3.2003998176547382e-07   1  2  1  1  1  0  0
    6  1.0514886536751926e-08   0  3  1  1  1  0  0
    6  5.7569816147908628e-08   1  0  3  1  1  0  0
    6 -3.6783444163310886e-08   0  1  3  1  1  0  0
    6  1.5484567892875466e-08   3  0  0  2  1  0  0
    6  9.7410004266311312e-08   2  1  0  2  1  0  0
