
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  5.4230220108994941e-02   0  0  0  0  0  0  0
    1  6.6666000091908983e-01   0  0  0  0  1  0  0
    2 -8.3589947780759405e+02   1  1  0  0  0  0  0
    2  2.6768450909089186e+01   0  0  1  1  0  0  0
    2 -1.1421354779280929e+01   0  0  0  0  2  0  0
    3 -8.3953467307079918e+04   1  1  0  0  1  0  0
    3 -2.2273377144732036e+04   0  0  1  1  1  0  0
    3 -4.2536953824231580e+02   0  0  0  0  3  0  0
    4  5.4888443287192829e+07   2  2  0  0  0  0  0
    4  9.0588759739831164e+07   1  1  1  1  0  0  0
    4  1.4860878888317328e+07   0  0  2  2  0  0  0
    4  1.3390880998366042e+06   1  1  0  0  2  0  0
    4  1.1152284995678028e+05   0  0  1  1  2  0  0
    4  1.5387663543241291e+04   0  0  0  0  4  0  0
    5 -5.7048585022276902e+08   2  2  0  0  1  0  0
    5 -1.1789982466344562e+09   1  1  1  1  1  0  0
    5 -4.1104655178096169e+08   0  0  2  2  1  0  0
    5 -2.3778188604467399e+07   1  1  0  0  3  0  0
    5  1.6185080472899911e+06   0  0  1  1  3  0  0
    5 -4.4849654237796477e+05   0  0  0  0  5  0  0
    6  3.6517165700056464e+11   3  3  0  0  0  0  0
    6  9.7140468195736909e-05   4  0  1  1  0  0  0
    6  1.4130523287473767e+12   2  2  1  1  0  0  0
    6  1.9428093639147381e-05   0  4  1  1  0  0  0
    6 -9.7140468195736905e-06   0  0  5  1  0  0  0
    6  2.9142140458721070e-05   2  0  2  2  0  0  0
    6  1.5297331795745142e+12   1  1  2  2  0  0  0
    6  9.7140468195736905e-06   0  2  2  2  0  0  0
    6  4.8570234097868453e-06   0  0  4  2  0  0  0
    6  3.7053497310180438e+11   0  0  3  3  0  0  0
    6  4.8570234097868453e-06   0  0  2  4  0  0  0
    6 -9.7140468195736905e-06   0  0  1  5  0  0  0
    6  1.6741091037847495e+09   2  2  0  0  2  0  0
    6 -1.0819217056009863e+10   1  1  1  1  2  0  0
    6 -3.0689850370519838e+09   0  0  2  2  2  0  0
    6  5.9494748589451480e+08   1  1  0  0  4  0  0
    6  2.6526810365589246e+08   0  0  1  1  4  0  0
    6  8.0766071428255644e+06   0  0  0  0  6  0  0
  -38  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58473
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  5.4230220108994941e-02   0  0  0  0  0  0  0
    1  1.9999800027572696e-02   0  0  0  0  1  0  0
    2 -1.6943339646373030e-02   1  1  0  0  0  0  0
    2  4.3938071618599707e-04   0  0  1  1  0  0  0
    2 -1.0279219301352836e-02   0  0  0  0  2  0  0
    3 -5.1051070691132086e-02   1  1  0  0  1  0  0
    3 -1.0967940320831407e-02   0  0  1  1  1  0  0
    3 -1.1484977532542526e-02   0  0  0  0  3  0  0
    4  2.2551261423249196e-02   2  2  0  0  0  0  0
    4  3.0139568457717991e-02   1  1  1  1  0  0  0
    4  4.0038703041148085e-03   0  0  2  2  0  0  0
    4  2.4428490009720118e-02   1  1  0  0  2  0  0
    4  1.6474950629895382e-03   0  0  1  1  2  0  0
    4  1.2464007470025445e-02   0  0  0  0  4  0  0
    5 -7.0316307638697917e-03   2  2  0  0  1  0  0
    5 -1.1767850161992371e-02   1  1  1  1  1  0  0
    5 -3.3223682690363366e-03   0  0  2  2  1  0  0
    5 -1.3013301578387931e-02   1  1  0  0  3  0  0
    5  7.1729264944873743e-04   0  0  1  1  3  0  0
    5 -1.0898465979784543e-02   0  0  0  0  5  0  0
    6  3.0411087500439964e-03   3  3  0  0  0  0  0
    6  6.5510040999015367e-19   4  0  1  1  0  0  0
    6  9.5294080530339935e-03   2  2  1  1  0  0  0
    6  1.3102008199803073e-19   0  4  1  1  0  0  0
    6 -4.2958929616064860e-20   0  0  5  1  0  0  0
    6  1.5914826786302144e-19   2  0  2  2  0  0  0
    6  8.3540324076991444e-03   1  1  2  2  0  0  0
    6  5.3049422621007149e-20   0  2  2  2  0  0  0
    6  2.1479464808032430e-20   0  0  4  2  0  0  0
    6  1.6386358976257709e-03   0  0  3  3  0  0  0
    6  2.1479464808032430e-20   0  0  2  4  0  0  0
    6 -4.2958929616064860e-20   0  0  1  5  0  0  0
    6  6.1903640931588013e-04   2  2  0  0  2  0  0
    6 -3.2396721254328805e-03   1  1  1  1  2  0  0
    6 -7.4417107705228097e-04   0  0  2  2  2  0  0
    6  9.7680666757699441e-03   1  1  0  0  4  0  0
    6  3.5268566233730720e-03   0  0  1  1  4  0  0
    6  5.8878466071198357e-03   0  0  0  0  6  0  0
  -38  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.7004531094423648e-01   0  0  0  0  0  0  0
    1  6.6666000035011874e-01   0  0  0  0  1  0  0
    2  2.6768450909089186e+01   1  1  0  0  0  0  0
    2 -1.2527906730976010e+03   0  0  1  1  0  0  0
    2 -1.9781496309470350e+00   0  0  0  0  2  0  0
    3 -2.2273377144732036e+04   1  1  0  0  1  0  0
    3  9.8218718480155603e+03   0  0  1  1  1  0  0
    3 -5.7665440347504422e+01   0  0  0  0  3  0  0
    4  4.5294379869915582e+07   2  2  0  0  0  0  0
    4 -5.9289836545249576e-10   2  0  1  1  0  0  0
    4  2.9721757776634656e+07   1  1  1  1  0  0  0
    4 -5.9289836545249576e-10   0  2  1  1  0  0  0
    4  9.2370954510254005e+05   0  0  2  2  0  0  0
    4  1.1152284995678028e+05   1  1  0  0  2  0  0
    4  2.0955882425997916e+05   0  0  1  1  2  0  0
    4 -1.0521522506902008e+03   0  0  0  0  4  0  0
    5 -5.8949912331722808e+08   2  2  0  0  1  0  0
    5 -9.4863738472399322e-09   2  0  1  1  1  0  0
    5 -8.2209310356192338e+08   1  1  1  1  1  0  0
    5 -9.4863738472399322e-09   0  2  1  1  1  0  0
    5 -1.1362503790837497e+07   0  0  2  2  1  0  0
    5  1.6185080472899911e+06   1  1  0  0  3  0  0
    5 -4.7943523494765814e+06   0  0  1  1  3  0  0
    5 -7.7301386951017876e+03   0  0  0  0  5  0  0
    6 -1.2142558524467113e-06   6  0  0  0  0  0  0
    6  1.9428093639147381e-05   5  1  0  0  0  0  0
    6  4.7101744291579224e+11   3  3  0  0  0  0  0
    6  1.9428093639147381e-05   1  5  0  0  0  0  0
    6 -1.2142558524467113e-06   0  6  0  0  0  0  0
    6 -4.8570234097868454e-05   1  1  4  0  0  0  0
    6 -4.8570234097868453e-06   4  0  1  1  0  0  0
    6  1.9428093639147381e-05   3  1  1  1  0  0  0
    6  1.5297331795745142e+12   2  2  1  1  0  0  0
    6  1.9428093639147381e-05   1  3  1  1  0  0  0
    6 -4.8570234097868453e-06   0  4  1  1  0  0  0
    6  9.7140468195736905e-06   2  0  3  1  0  0  0
    6  1.9428093639147381e-05   1  1  3  1  0  0  0
    6  9.7140468195736905e-06   0  2  3  1  0  0  0
    6 -1.4571070229360535e-05   2  0  2  2  0  0  0
    6  1.1116049193054131e+12   1  1  2  2  0  0  0
    6 -1.4571070229360535e-05   0  2  2  2  0  0  0
    6  4.8570234097868453e-06   2  0  1  3  0  0  0
    6  9.7140468195736905e-06   1  1  1  3  0  0  0
    6  4.8570234097868453e-06   0  2  1  3  0  0  0
    6  1.6887788104503062e+09   0  0  3  3  0  0  0
    6 -9.7140468195736905e-06   1  1  0  4  0  0  0
    6 -5.4096085280049314e+09   2  2  0  0  2  0  0
    6  7.5890990777919457e-08   2  0  1  1  2  0  0
    6 -6.1379700741039677e+09   1  1  1  1  2  0  0
    6  7.5890990777919457e-08   0  2  1  1  2  0  0
    6  5.5108826729685364e+09   0  0  2  2  2  0  0
    6  2.6526810365589246e+08   1  1  0  0  4  0  0
    6 -3.9618195725459337e+07   0  0  1  1  4  0  0
    6  6.7146166678834963e+05   0  0  0  0  6  0  0
  -54  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58474
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.7004531094423648e-01   0  0  0  0  0  0  0
    1  1.9999800010503561e-02   0  0  0  0  1  0  0
    2  5.4258552326115668e-04   1  1  0  0  0  0  0
    2 -2.0563463498362401e-02   0  0  1  1  0  0  0
    2 -1.7803346678523316e-03   0  0  0  0  2  0  0
    3 -1.3544166639202873e-02   1  1  0  0  1  0  0
    3  4.8365231535338763e-03   0  0  1  1  1  0  0
    3 -1.5569668893826193e-03   0  0  0  0  3  0  0
    4  1.8609480252626456e-02   2  2  0  0  0  0  0
    4 -1.9726178971150465e-19   2  0  1  1  0  0  0
    4  9.8886545722152719e-03   1  1  1  1  0  0  0
    4 -1.9726178971150465e-19   0  2  1  1  0  0  0
    4  2.4886907733101267e-04   0  0  2  2  0  0  0
    4  2.0344701938260425e-03   1  1  0  0  2  0  0
    4  3.0957523817585855e-03   0  0  1  1  2  0  0
    4 -8.5224332305906261e-04   0  0  0  0  4  0  0
    5 -7.2659824414103473e-03   2  2  0  0  1  0  0
    5 -9.4685659061522233e-20   2  0  1  1  1  0  0
    5 -8.2054985997985636e-03   1  1  1  1  1  0  0
    5 -9.4685659061522233e-20   0  2  1  1  1  0  0
    5 -9.1839773105796571e-05   0  0  2  2  1  0  0
    5  8.8577534970326959e-04   1  1  0  0  3  0  0
    5 -2.1247677482388646e-03   0  0  1  1  3  0  0
    5 -1.8784237029097344e-04   0  0  0  0  5  0  0
    6 -1.0112187041017030e-20   6  0  0  0  0  0  0
    6  1.6179499265627248e-19   5  1  0  0  0  0  0
    6  3.9225806264376909e-03   3  3  0  0  0  0  0
    6  1.6179499265627248e-19   1  5  0  0  0  0  0
