# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 11.03666 5.40007
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2305430065684277e-04  3.4210855666211918e-08  4.0049002407909970e-03  3.1576247488100775e-07  0.0000000000000000e+00  0.0000000000000000e+00
   1 -2.9127638908590719e-04 -2.4287453680094768e-04 -2.5796195388115353e-03 -2.9980611480845071e-03  0.0000000000000000e+00 -5.4682514389327752e-02
   2 -3.0866364155075976e-04 -4.4319587928878188e-04  1.3421637597110084e-04  4.1591464426841930e-03  0.0000000000000000e+00 -9.2002216472989354e-02
   3  1.6953035574116449e-05 -1.6706703024500308e-04  2.4785075489715787e-03 -3.2593855094316115e-03  0.0000000000000000e+00 -7.9527575684050125e-02
   4  1.0682928160697446e-04  6.7208534087737440e-05 -3.9623407653173450e-03  9.5577708110710605e-04  0.0000000000000000e+00 -5.7121572798048130e-02
   5 -2.8638723667003495e-04 -1.9992172625034355e-05  3.1966239481804330e-03  2.1110236135202507e-03  0.0000000000000000e+00 -9.4199797213277550e-02
   6 -5.4319519877185337e-04 -2.8049513140308027e-04 -9.2319619182714113e-04 -4.0836442238881302e-03  0.0000000000000000e+00 -1.4756858770111569e-01
   7 -1.6131027022073361e-04 -8.5687146437308536e-05 -1.7279257601307794e-03  3.7375851500742242e-03  0.0000000000000000e+00 -1.4722672098285214e-01
   8  7.6776408165499973e-05  2.3870635537025074e-04  3.6897629801159338e-03 -1.8317723578511020e-03  0.0000000000000000e+00 -1.1907279080633623e-01
   9 -1.0782840182491458e-04  2.6772878244323684e-04 -3.6670335322210217e-03 -1.1277088955570114e-03  0.0000000000000000e+00 -1.3482740442755395e-01
  10 -5.2801781260803998e-04 -2.6907251189198044e-05  1.6461445620778498e-03  3.7631115642042935e-03  0.0000000000000000e+00 -1.9803035348495562e-01
  11 -1.8468249637949104e-04 -2.5758409238959797e-05  9.2492808514662672e-04 -4.0523001610995660e-03  0.0000000000000000e+00 -2.1401188618259687e-01
  12  1.8279906339563649e-04  2.8944792151852389e-04 -3.2434499688784530e-03  2.5518418127513944e-03  0.0000000000000000e+00 -1.8840650308205700e-01
  13  1.8368631022437041e-04  3.7342397783265242e-04  3.9422942339224871e-03  1.8529300867071880e-04  0.0000000000000000e+00 -1.8493607691303451e-01
  14 -2.8738434816708458e-04  8.4525566733869166e-05 -2.3443932747246455e-03 -3.1929778781742487e-03  0.0000000000000000e+00 -2.4591176533003348e-01
  15 -1.4119166250431932e-04 -1.3122739474528790e-04 -1.0272866659939468e-04  4.1869103421915705e-03  0.0000000000000000e+00 -2.8036675359052393e-01
  16  2.7231974205534461e-04  9.5160659057052114e-05  2.6541643343778515e-03 -3.1159484522516059e-03  0.0000000000000000e+00 -2.6386906588881748e-01
  17  3.7663788589122570e-04  2.2264118547205941e-04 -3.9887794830735929e-03  6.9302699169625183e-04  0.0000000000000000e+00 -2.4660942284734455e-01
  18 -3.8619088257530140e-05  5.1864034202700656e-06  3.0226513447447118e-03  2.4096812370100326e-03  0.0000000000000000e+00 -2.9252802046176274e-01
  19 -1.9505487515328104e-04 -3.3288616946391275e-04 -7.2062362810238780e-04 -4.1363153694431998e-03  0.0000000000000000e+00 -3.4282823975183496e-01
  20  1.7156360990185879e-04 -2.0940995882685881e-04 -1.9395935167190088e-03  3.5690100384201001e-03  0.0000000000000000e+00 -3.3934387632057017e-01
  21  3.2315152823781399e-04  4.2651172274019069e-06  3.7932865478482497e-03 -1.5388172354587389e-03  0.0000000000000000e+00 -3.1496836606602302e-01
  22  4.4087379860278391e-05 -6.9934367387588665e-05 -3.5832324177192945e-03 -1.4728335763066888e-03  0.0000000000000000e+00 -3.3799509697740465e-01
  23 -3.7539097385168318e-04 -3.9819499778310998e-04  1.5010937980308198e-03  3.8675708691433401e-03  0.0000000000000000e+00 -3.9730466189095726e-01
  24 -1.0863243720730949e-04 -3.6543102638824548e-04  1.1380755438410541e-03 -3.9256502197240343e-03  0.0000000000000000e+00 -4.0876588641524775e-01
  25  1.1735316640042286e-04 -4.8782692042369443e-05 -3.3878774491443798e-03  2.3334242281495008e-03  0.0000000000000000e+00 -3.8400369064413442e-01
  26  1.5736117998272235e-05  4.3832901305128719e-05  3.9196281268604324e-03  4.6136599016679359e-04  0.0000000000000000e+00 -3.8379892057501380e-01
  27 -5.0200891665052791e-04 -1.9746555258887935e-04 -2.2082818391924970e-03 -3.3360139785605859e-03  0.0000000000000000e+00 -4.4284851292668537e-01
  28 -3.7667278329563255e-04 -2.8621479286435915e-04 -3.0908312606343067e-04  4.1513857182468713e-03  0.0000000000000000e+00 -4.7174084015137263e-01
  29 -2.0678317609198172e-05  5.6216838894922968e-05  2.8190576598387390e-03 -3.0128016183055073e-03  0.0000000000000000e+00 -4.5246437249872545e-01
  30  5.8441517365088933e-05  2.6656128086725535e-04 -4.0006809158520491e-03  5.2137967745175158e-04  0.0000000000000000e+00 -4.3501271788260887e-01
  31 -3.8110865235688320e-04  1.1800104683410274e-04  2.8506856127619067e-03  2.5640311698354309e-03  0.0000000000000000e+00 -4.8342511748821848e-01
  32 -4.5945519280220600e-04 -1.2132291111404108e-04 -4.9129964864317178e-04 -4.1886998457194837e-03  0.0000000000000000e+00 -5.3097535980557808e-01
  33 -5.7135765240681910e-06  1.1365940920372012e-04 -2.1286919752138908e-03  3.5299554383404724e-03  0.0000000000000000e+00 -5.2236667999945763e-01
  34  2.1582274945967982e-04  3.6826816337592178e-04  3.8511663665034535e-03 -1.3948536609654041e-03  0.0000000000000000e+00 -4.9637974389311762e-01
  35 -5.6365175800554805e-05  2.8727772765349769e-04 -3.4160218199793461e-03 -1.6664427859502059e-03  0.0000000000000000e+00 -5.2618117687523125e-01
  36 -3.6338773015019227e-04 -5.9019848273532572e-05  1.2536976799835504e-03  3.9966312527233471e-03  0.0000000000000000e+00 -5.8742885858192651e-01
  37  5.3205951951605092e-05 -2.3918791043668527e-05  1.3576642376605034e-03 -3.8821058051616351e-03  0.0000000000000000e+00 -5.9402209835994058e-01
  38  3.4808375773127097e-04  2.2864555941287814e-04 -3.5086360936964337e-03  2.1408717596250152e-03  0.0000000000000000e+00 -5.6797108340421498e-01
  39  2.3613366146608562e-04  2.1190040749831564e-04  3.8330366067409354e-03  7.4417092272147415e-04  0.0000000000000000e+00 -5.7656237945739075e-01
  40 -2.3484872630590765e-04 -1.4029171977448460e-04 -1.9988764543888270e-03 -3.5526687711430918e-03  0.0000000000000000e+00 -6.4009389575458753e-01
  41 -1.3232887984462321e-05 -2.8990938627386509e-04 -5.3369027112207896e-04  4.0911880405850648e-03  0.0000000000000000e+00 -6.6400494367027552e-01
  42  2.9962276006719970e-04 -4.5860771774286641e-05  2.9968353281898054e-03 -2.7847928623014480e-03  0.0000000000000000e+00 -6.4423711116485016e-01
  43  2.9957681891036283e-04  4.0465682406845265e-05 -4.0147140019949996e-03  1.8352984339209904e-04  0.0000000000000000e+00 -6.3393862559639158e-01
  44 -1.9599088251183661e-04 -2.0588428410880103e-04  2.7090054151703135e-03  2.8545716203334632e-03  0.0000000000000000e+00 -6.8679425418251372e-01
  45 -2.5525409193839272e-04 -4.5386335064534879e-04 -3.0142321118067754e-04 -4.1566322942702813e-03  0.0000000000000000e+00 -7.2749973780074317e-01
  46  7.0030455901231784e-05 -2.2061046763281389e-04 -2.3373522582297319e-03  3.3432468492774542e-03  0.0000000000000000e+00 -7.1762927754028716e-01
  47  1.6604128944663793e-04  7.4709687419007155e-06  3.9287347566978560e-03 -1.1136444248017712e-03  0.0000000000000000e+00 -6.9442596321817918e-01
  48 -2.0294684046724440e-04 -7.2585226529964814e-05 -3.3168308213182150e-03 -1.9413678700738800e-03  0.0000000000000000e+00 -7.2740257832812383e-01
  49 -5.1802442110426947e-04 -3.4919201038246893e-04  1.0887563770632638e-03  4.0288477616896683e-03  0.0000000000000000e+00 -7.8240182959703763e-01
  50 -1.7547105644883661e-04 -1.8850606201420366e-04  1.5686767532381656e-03 -3.7957941891610331e-03  0.0000000000000000e+00 -7.8539348469718184e-01
  51  5.5034216906230589e-05  1.4635493978399161e-04 -3.6149816331928456e-03  1.9797760917745172e-03  0.0000000000000000e+00 -7.5762512097589618e-01
  52 -1.0436638161463304e-04  2.0623688169610910e-04  3.7511430116877291e-03  9.3440900104007209e-04  0.0000000000000000e+00 -7.6826431492262115e-01
  53 -5.6233531523510458e-04 -6.6279458131326068e-05 -1.8033484809423755e-03 -3.6500906239648975e-03  0.0000000000000000e+00 -8.3076803678988831e-01
  54 -2.7411221382286097e-04 -8.0642948584889272e-05 -7.5523896128265470e-04  4.0950595695182640e-03  0.0000000000000000e+00 -8.5050494258176668e-01
  55  1.0136645564990834e-04  2.5563943273877569e-04  3.1309792618248403e-03 -2.6958075920165566e-03  0.0000000000000000e+00 -8.2599317301385078e-01
  56  1.3491830246187638e-04  3.8367103360383259e-04 -3.9700024705607937e-03  2.4564756489236573e-05  0.0000000000000000e+00 -8.1795259321634095e-01
  57 -3.3077648340921854e-04  1.3480823971716725e-04  2.4825966258038828e-03  3.0251716969693413e-03  0.0000000000000000e+00 -8.7625637797917977e-01
  58 -2.3535103582441276e-04 -9.0366805579850232e-05 -6.1524578249739421e-05 -4.2070750445254972e-03  0.0000000000000000e+00 -9.1481307209639395e-01
  59  2.0826756374964526e-04  1.4058218507872130e-04 -2.5123049850722255e-03  3.2421983419723562e-03  0.0000000000000000e+00 -8.9992596833633343e-01
  60  3.5440682348725189e-04  3.0021144664583538e-04  3.9608383980776728e-03 -8.9499118462720159e-04  0.0000000000000000e+00 -8.7986805189903561e-01
  61 -2.1086013313003472e-05  1.1153304164980641e-04 -3.1348004573997731e-03 -2.2125474346918442e-03  0.0000000000000000e+00 -9.2208466953238988e-01
  62 -2.1458644457578724e-04 -2.4309159389420041e-04  8.7139843364323971e-04  4.1170190878378555e-03  0.0000000000000000e+00 -9.7610515259638020e-01
  63  1.7775629872741484e-04 -1.5402852253997582e-04  1.7800355785639631e-03 -3.6589025659942063e-03  0.0000000000000000e+00 -9.7508855926865601e-01
