
tpsa, NO = 8, NV = 7, INA = 48101
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  5.4230220108992505e-02   0  0  0  0  0  0  0
    1  2.3555493598664027e-09   0  0  0  0  1  0  0
    2 -7.0087773914081004e+02   1  1  0  0  0  0  0
    2  9.6330667867507714e+02   0  0  1  1  0  0  0
    2 -8.3906223603026895e+00   0  0  0  0  2  0  0
    3 -6.6046295129372622e+04   1  1  0  0  1  0  0
    3 -2.7071092154003429e+04   0  0  1  1  1  0  0
    3 -5.0400216784662109e+02   0  0  0  0  3  0  0
    4 -2.3715934618099830e-09   3  1  0  0  0  0  0
    4  5.0198156666126646e+07   2  2  0  0  0  0  0
    4 -1.1857967309049915e-09   1  3  0  0  0  0  0
    4  1.1892225990399185e+08   1  1  1  1  0  0  0
    4  2.4711405863884196e+07   0  0  2  2  0  0  0
    4  1.4695920624687748e+06   1  1  0  0  2  0  0
    4 -9.7844008229219457e+04   0  0  1  1  2  0  0
    4  1.3032286140569468e+04   0  0  0  0  4  0  0
    5 -3.7945495388959729e-08   3  1  0  0  1  0  0
    5 -1.0061525484948072e+09   2  2  0  0  1  0  0
    5 -1.8972747694479864e-08   1  3  0  0  1  0  0
    5 -1.1940291105005512e+09   1  1  1  1  1  0  0
    5 -4.4824148492691439e+08   0  0  2  2  1  0  0
    5 -1.1714490558853673e+07   1  1  0  0  3  0  0
    5  3.4999286970343986e+06   0  0  1  1  3  0  0
    5 -3.5321628443652764e+05   0  0  0  0  5  0  0
    6  5.5313390968105188e+11   3  3  0  0  0  0  0
    6  1.6786574255835425e+12   2  2  1  1  0  0  0
    6  9.9745886389778284e+11   1  1  2  2  0  0  0
    6  3.6430328116594104e+11   0  0  3  3  0  0  0
    6 -1.1403243764242344e+10   2  2  0  0  2  0  0
    6 -1.1532178890560266e+10   1  1  1  1  2  0  0
    6 -3.2662177608985338e+09   0  0  2  2  2  0  0
    6  3.3415244422465116e+08   1  1  0  0  4  0  0
    6  2.2951092198491737e+08   0  0  1  1  4  0  0
    6  5.6285159723315174e+06   0  0  0  0  6  0  0
  -34  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58473
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  5.4230220108992505e-02   0  0  0  0  0  0  0
    1  7.0666480795992075e-11   0  0  0  0  1  0  0
    2 -1.4206504370588340e-02   1  1  0  0  0  0  0
    2  1.5811836845563740e-02   0  0  1  1  0  0  0
    2 -7.5515601242724202e-03   0  0  0  0  2  0  0
    3 -4.0161939580225105e-02   1  1  0  0  1  0  0
    3 -1.3330449228039717e-02   0  0  1  1  1  0  0
    3 -1.3608058531858768e-02   0  0  0  0  3  0  0
    4 -9.7438405871926814e-19   3  1  0  0  0  0  0
    4  2.0624227727140326e-02   2  2  0  0  0  0  0
    4 -4.8719202935963407e-19   1  3  0  0  0  0  0
    4  3.9566339177367495e-02   1  1  1  1  0  0  0
    4  6.6578339581995763e-03   0  0  2  2  0  0  0
    4  2.6809225637033841e-02   1  1  0  0  2  0  0
    4 -1.4454214590392379e-03   0  0  1  1  2  0  0
    4  1.0556151773861268e-02   0  0  0  0  4  0  0
    5 -4.6770434818524869e-19   3  1  0  0  1  0  0
    5 -1.2401522685235698e-02   2  2  0  0  1  0  0
    5 -2.3385217409262435e-19   1  3  0  0  1  0  0
    5 -1.1917876639374917e-02   1  1  1  1  1  0  0
    5 -3.6230039637467218e-03   0  0  2  2  1  0  0
    5 -6.4110938396256551e-03   1  1  0  0  3  0  0
    5  1.5511032720417557e-03   0  0  1  1  3  0  0
    5 -8.5831557118076218e-03   0  0  0  0  5  0  0
    6  4.6064373848024292e-03   3  3  0  0  0  0  0
    6  1.1320608065396117e-02   2  2  1  1  0  0  0
    6  5.4472268664965033e-03   1  1  2  2  0  0  0
    6  1.6110771653862549e-03   0  0  3  3  0  0  0
    6 -4.2165848440899852e-03   2  2  0  0  2  0  0
    6 -3.4531591615036411e-03   1  1  1  1  2  0  0
    6 -7.9199629834294215e-04   0  0  2  2  2  0  0
    6  5.4862377477748825e-03   1  1  0  0  4  0  0
    6  3.0514490969067872e-03   0  0  1  1  4  0  0
    6  4.1031881438296763e-03   0  0  0  0  6  0  0
  -34  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 48102
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.7004531094423770e-01   0  0  0  0  0  0  0
    1  3.3219943192129122e-09   0  0  0  0  1  0  0
    2  9.6330667867507714e+02   1  1  0  0  0  0  0
    2 -4.6818132430011150e+02   0  0  1  1  0  0  0
    2  4.9080176626637959e+00   0  0  0  0  2  0  0
    3 -2.7071092154003429e+04   1  1  0  0  1  0  0
    3 -3.8680239388603727e+03   0  0  1  1  1  0  0
    3 -1.2080053391808958e+02   0  0  0  0  3  0  0
    4  5.9461129951995924e+07   2  2  0  0  0  0  0
    4  1.7786950963574872e-09   2  0  1  1  0  0  0
    4  4.9422811727768391e+07   1  1  1  1  0  0  0
    4  1.7786950963574872e-09   0  2  1  1  0  0  0
    4  7.0636138366273995e+06   0  0  2  2  0  0  0
    4 -9.7844008229219457e+04   1  1  0  0  2  0  0
    4  2.8365802199469093e+05   0  0  1  1  2  0  0
    4 -4.2241414286990556e+02   0  0  0  0  4  0  0
    5 -5.9701455525027561e+08   2  2  0  0  1  0  0
    5 -2.8459121541719795e-08   2  0  1  1  1  0  0
    5 -8.9648296985382879e+08   1  1  1  1  1  0  0
    5 -2.8459121541719795e-08   0  2  1  1  1  0  0
    5 -2.0521190206650630e+08   0  0  2  2  1  0  0
    5  3.4999286970343986e+06   1  1  0  0  3  0  0
    5 -1.8860056243775506e+06   0  0  1  1  3  0  0
    5 -1.4752934394002701e+04   0  0  0  0  5  0  0
    6 -1.2142558524467113e-06   6  0  0  0  0  0  0
    6  5.5955247519451416e+11   3  3  0  0  0  0  0
    6 -1.2142558524467113e-06   0  6  0  0  0  0  0
    6 -9.7140468195736905e-06   4  0  1  1  0  0  0
    6  9.9745886389778284e+11   2  2  1  1  0  0  0
    6 -9.7140468195736905e-06   0  4  1  1  0  0  0
    6 -3.6427675573401337e-06   0  0  5  1  0  0  0
    6  1.0929098434978231e+12   1  1  2  2  0  0  0
    6  1.1395492840024307e+11   0  0  3  3  0  0  0
    6 -1.2142558524467113e-06   0  0  1  5  0  0  0
    6 -5.7660894452801332e+09   2  2  0  0  2  0  0
    6 -6.5324355217970676e+09   1  1  1  1  2  0  0
    6  3.9496409309010687e+09   0  0  2  2  2  0  0
    6  2.2951092198491737e+08   1  1  0  0  4  0  0
    6 -6.4075345225450233e+07   0  0  1  1  4  0  0
    6  5.7739410298528499e+05   0  0  0  0  6  0  0
  -40  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 58474
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.7004531094423770e-01   0  0  0  0  0  0  0
    1  9.9659829576387367e-11   0  0  0  0  1  0  0
    2  1.9525831363385603e-02   1  1  0  0  0  0  0
    2 -7.6847870754462935e-03   0  0  1  1  0  0  0
    2  4.4172158963974159e-03   0  0  0  0  2  0  0
    3 -1.6461598115838465e-02   1  1  0  0  1  0  0
    3 -1.9047069263585304e-03   0  0  1  1  1  0  0
    3 -3.2616144157884188e-03   0  0  0  0  3  0  0
    4  2.4429978439239660e-02   2  2  0  0  0  0  0
    4  5.9178536913456670e-19   2  0  1  1  0  0  0
    4  1.6443344866627622e-02   1  1  1  1  0  0  0
    4  5.9178536913456670e-19   0  2  1  1  0  0  0
    4  1.9031037055580239e-03   0  0  2  2  0  0  0
    4 -1.7849321324193497e-03   1  1  0  0  2  0  0
    4  4.1903985684972099e-03   0  0  1  1  2  0  0
    4 -3.4215545572462348e-04   0  0  0  0  4  0  0
    5 -7.3586153127856487e-03   2  2  0  0  1  0  0
    5 -2.8405697718459205e-19   2  0  1  1  1  0  0
    5 -8.9480008067302982e-03   1  1  1  1  1  0  0
    5 -2.8405697718459205e-19   0  2  1  1  1  0  0
    5 -1.6586673915650202e-03   0  0  2  2  1  0  0
    5  1.9154372267369002e-03   1  1  0  0  3  0  0
    5 -8.3584259803348249e-04   0  0  1  1  3  0  0
    5 -3.5849630577426564e-04   0  0  0  0  5  0  0
    6 -1.0112187041020386e-20   6  0  0  0  0  0  0
    6  4.6598904810970770e-03   3  3  0  0  0  0  0
    6 -1.0112187041020386e-20   0  6  0  0  0  0  0
    6 -6.5510040999028451e-20   4  0  1  1  0  0  0
    6  6.7267095045415639e-03   2  2  1  1  0  0  0
    6 -6.5510040999028451e-20   0  4  1  1  0  0  0
    6 -1.6109598606023290e-20   0  0  5  1  0  0  0
    6  5.9684946193128557e-03   1  1  2  2  0  0  0
    6  5.0394874962773515e-04   0  0  3  3  0  0  0
    6 -5.3698662020077630e-21   0  0  1  5  0  0  0
    6 -2.1321306346949657e-03   2  2  0  0  2  0  0
    6 -1.9560518253397864e-03   1  1  1  1  2  0  0
    6  9.5771354699782183e-04   0  0  2  2  2  0  0
    6  3.7681947430967780e-03   1  1  0  0  4  0  0
    6 -8.5191002080083913e-04   0  0  1  1  4  0  0
    6  4.2092030107627272e-04   0  0  0  0  6  0  0
  -40  0.0000000000000000e+00   0  0  0  0  0  0  0
