
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -3.4533150608475742e-06   1  1  0  0  0  0  0
    2 -1.9081940231439908e-05   0  0  1  1  0  0  0
    2  4.3081904011897624e-05   0  0  0  0  2  0  0
    3 -3.5356425634366152e-07   3  0  0  0  0  0  0
    3 -2.2834404681327416e-07   2  1  0  0  0  0  0
    3 -2.2834404681327416e-07   1  2  0  0  0  0  0
    3 -3.5356425634366152e-07   0  3  0  0  0  0  0
    3  2.0012478938165372e-06   1  0  2  0  0  0  0
    3 -8.4258540007690442e-07   0  1  2  0  0  0  0
    3 -1.4764862142262595e-07   1  0  1  1  0  0  0
    3 -1.4764862142262595e-07   0  1  1  1  0  0  0
    3 -8.4258540007690442e-07   1  0  0  2  0  0  0
    3  2.0012478938165372e-06   0  1  0  2  0  0  0
    3 -3.2196652271021542e-07   2  0  0  0  1  0  0
    3 -5.4202027294683705e-14   1  1  0  0  1  0  0
    3 -3.2196652271021542e-07   0  2  0  0  1  0  0
    3  7.9069702372694941e-07   0  0  2  0  1  0  0
    3 -4.3189895095998633e-14   0  0  1  1  1  0  0
    3  7.9069702372694941e-07   0  0  0  2  1  0  0
    3  1.1390724033599515e-20   1  0  0  0  2  0  0
    3  1.1390724033599515e-20   0  1  0  0  2  0  0
    3 -5.3224561276736388e-08   0  0  0  0  3  0  0
    4 -1.2068305491783374e-07   4  0  0  0  0  0  0
    4  1.5230116206003808e-08   3  1  0  0  0  0  0
    4  5.1958937392398087e-07   2  2  0  0  0  0  0
    4  1.5230116206003808e-08   1  3  0  0  0  0  0
    4 -1.2068305491783374e-07   0  4  0  0  0  0  0
    4 -2.9125031995340934e-07   2  0  2  0  0  0  0
    4 -4.5137639340430550e-07   1  1  2  0  0  0  0
    4  7.6580596540547750e-07   0  2  2  0  0  0  0
    4  3.4736751258393651e-07   0  0  4  0  0  0  0
    4  2.6084746433123392e-08   2  0  1  1  0  0  0
    4 -1.4077018721928481e-06   1  1  1  1  0  0  0
    4  2.6084746433123392e-08   0  2  1  1  0  0  0
    4 -5.6673766418228694e-07   0  0  3  1  0  0  0
    4  7.6580596540547750e-07   2  0  0  2  0  0  0
    4 -4.5137639340430550e-07   1  1  0  2  0  0  0
    4 -2.9125031995340934e-07   0  2  0  2  0  0  0
    4  2.3659843312552056e-07   0  0  2  2  0  0  0
    4 -5.6673766418228694e-07   0  0  1  3  0  0  0
    4  3.4736751258393651e-07   0  0  0  4  0  0  0
    4  4.8579309895563743e-08   3  0  0  0  1  0  0
    4 -2.2616000685953418e-07   2  1  0  0  1  0  0
    4 -2.2616000685953418e-07   1  2  0  0  1  0  0
    4  4.8579309895563743e-08   0  3  0  0  1  0  0
    4 -1.1493244348422206e-07   1  0  2  0  1  0  0
    4  9.9105300930084644e-07   0  1  2  0  1  0  0
    4 -2.6470939912711962e-07   1  0  1  1  1  0  0
    4 -2.6470939912711962e-07   0  1  1  1  1  0  0
    4  9.9105300930084644e-07   1  0  0  2  1  0  0
    4 -1.1493244348422206e-07   0  1  0  2  1  0  0
    4 -1.6110979575892319e-07   2  0  0  0  2  0  0
    4  4.6282982325486238e-07   1  1  0  0  2  0  0
    4 -1.6110979575892319e-07   0  2  0  0  2  0  0
    4  1.2645194845422339e-06   0  0  2  0  2  0  0
    4 -4.8727539357484079e-07   0  0  1  1  2  0  0
    4  1.2645194845422339e-06   0  0  0  2  2  0  0
    4 -6.3363757798004067e-21   1  0  0  0  3  0  0
    4 -6.3363757798004067e-21   0  1  0  0  3  0  0
    4  8.2063560199540898e-07   0  0  0  0  4  0  0
    5  1.2382581823504766e-07   5  0  0  0  0  0  0
    5  5.9835946135293327e-08   4  1  0  0  0  0  0
    5  1.1063052454424474e-07   3  2  0  0  0  0  0
    5  1.1063052454424474e-07   2  3  0  0  0  0  0
    5  5.9835946135293327e-08   1  4  0  0  0  0  0
    5  1.2382581823504766e-07   0  5  0  0  0  0  0
    5  1.3099383094734341e-07   3  0  2  0  0  0  0
    5 -1.0827719313556980e-07   2  1  2  0  0  0  0
    5 -1.2145711348463243e-06   1  2  2  0  0  0  0
    5 -6.6362890727097762e-08   0  3  2  0  0  0  0
    5  9.7711014804382342e-08   1  0  4  0  0  0  0
    5 -5.7123937563804835e-07   0  1  4  0  0  0  0
    5 -2.0209432480935895e-07   3  0  1  1  0  0  0
    5  1.6978008901474561e-07   2  1  1  1  0  0  0
    5  1.6978008901474561e-07   1  2  1  1  0  0  0
    5 -2.0209432480935895e-07   0  3  1  1  0  0  0
    5 -6.9378012253497312e-08   1  0  3  1  0  0  0
    5 -3.8610412580230292e-07   0  1  3  1  0  0  0
    5 -6.6362890727097762e-08   3  0  0  2  0  0  0
    5 -1.2145711348463243e-06   2  1  0  2  0  0  0
    5 -1.0827719313556980e-07   1  2  0  2  0  0  0
    5  1.3099383094734341e-07   0  3  0  2  0  0  0
    5  1.2205309894020781e-07   1  0  2  2  0  0  0
    5  1.2205309894020781e-07   0  1  2  2  0  0  0
    5 -3.8610412580230292e-07   1  0  1  3  0  0  0
    5 -6.9378012253497312e-08   0  1  1  3  0  0  0
    5 -5.7123937563804835e-07   1  0  0  4  0  0  0
    5  9.7711014804382342e-08   0  1  0  4  0  0  0
    5 -7.9688681000168176e-08   4  0  0  0  1  0  0
    5  6.0484814813949907e-08   3  1  0  0  1  0  0
    5  1.0140759950837582e-06   2  2  0  0  1  0  0
    5  6.0484814813949907e-08   1  3  0  0  1  0  0
    5 -7.9688681000168176e-08   0  4  0  0  1  0  0
    5 -1.5874810283211343e-08   2  0  2  0  1  0  0
    5 -2.4645619988704051e-07   1  1  2  0  1  0  0
    5  1.1804959315887593e-08   0  2  2  0  1  0  0
    5 -1.3267536431758358e-07   0  0  4  0  1  0  0
    5 -2.1482032621726179e-07   2  0  1  1  1  0  0
    5  1.0201811398090497e-06   1  1  1  1  1  0  0
    5 -2.1482032621726179e-07   0  2  1  1  1  0  0
    5 -3.5218820340546455e-08   0  0  3  1  1  0  0
    5  1.1804959315887593e-08   2  0  0  2  1  0  0
    5 -2.4645619988704051e-07   1  1  0  2  1  0  0
    5 -1.5874810283211343e-08   0  2  0  2  1  0  0
    5  2.3783821747173068e-07   0  0  2  2  1  0  0
    5 -3.5218820340546455e-08   0  0  1  3  1  0  0
    5 -1.3267536431758358e-07   0  0  0  4  1  0  0
    5  7.4121501213362607e-08   3  0  0  0  2  0  0
    5 -7.4602102965546629e-08   2  1  0  0  2  0  0
    5 -7.4602102965546629e-08   1  2  0  0  2  0  0
    5  7.4121501213362607e-08   0  3  0  0  2  0  0
    5 -1.0541726747068741e-07   1  0  2  0  2  0  0
    5  7.2167670105509143e-07   0  1  2  0  2  0  0
    5 -2.6582073481496428e-07   1  0  1  1  2  0  0
    5 -2.6582073481496428e-07   0  1  1  1  2  0  0
    5  7.2167670105509143e-07   1  0  0  2  2  0  0
    5 -1.0541726747068741e-07   0  1  0  2  2  0  0
    5  5.8986534123953664e-08   2  0  0  0  3  0  0
    5  9.1410486024174862e-07   1  1  0  0  3  0  0
    5  5.8986534123953664e-08   0  2  0  0  3  0  0
    5 -2.4925689544333631e-07   0  0  2  0  3  0  0
    5 -1.9373191311703071e-07   0  0  1  1  3  0  0
    5 -2.4925689544333631e-07   0  0  0  2  3  0  0
    5 -2.7650249542148373e-21   1  0  0  0  4  0  0
    5 -2.7650249542148373e-21   0  1  0  0  4  0  0
    5 -1.3176785483386486e-07   0  0  0  0  5  0  0
    6 -4.7325157317528719e-08   6  0  0  0  0  0  0
    6  1.8168735430980719e-07   5  1  0  0  0  0  0
    6  8.2192586536066460e-08   4  2  0  0  0  0  0
    6 -1.4568994532858813e-07   3  3  0  0  0  0  0
    6  8.2192586536066460e-08   2  4  0  0  0  0  0
    6  1.8168735430980719e-07   1  5  0  0  0  0  0
    6 -4.7325157317528719e-08   0  6  0  0  0  0  0
    6 -3.5588750592396815e-07   4  0  2  0  0  0  0
    6 -2.4771125801216519e-08   3  1  2  0  0  0  0
    6 -2.6107314836200566e-07   2  2  2  0  0  0  0
    6 -5.5209802505136568e-08   1  3  2  0  0  0  0
    6 -1.0827703106697272e-07   0  4  2  0  0  0  0
    6  5.3558878095810144e-08   2  0  4  0  0  0  0
    6  4.3218168469746209e-07   1  1  4  0  0  0  0
    6  5.1320005343995244e-08   0  2  4  0  0  0  0
    6  9.6525707297065542e-08   0  0  6  0  0  0  0
    6 -4.5025550573481137e-09   4  0  1  1  0  0  0
    6  1.8040794062922092e-07   3  1  1  1  0  0  0
    6 -1.3974495238917619e-06   2  2  1  1  0  0  0
    6  1.8040794062922092e-07   1  3  1  1  0  0  0
    6 -4.5025550573481137e-09   0  4  1  1  0  0  0
    6  8.5635243590079501e-09   2  0  3  1  0  0  0
    6  1.6135469554912258e-07   1  1  3  1  0  0  0
    6  8.1530821282417027e-08   0  2  3  1  0  0  0
    6  2.6530202248933340e-08   0  0  5  1  0  0  0
    6 -1.0827703106697272e-07   4  0  0  2  0  0  0
    6 -5.5209802505136568e-08   3  1  0  2  0  0  0
    6 -2.6107314836200566e-07   2  2  0  2  0  0  0
    6 -2.4771125801216519e-08   1  3  0  2  0  0  0
    6 -3.5588750592396815e-07   0  4  0  2  0  0  0
    6  7.3207790626468951e-08   2  0  2  2  0  0  0
    6 -3.6631406582729669e-07   1  1  2  2  0  0  0
    6  7.3207790626468951e-08   0  2  2  2  0  0  0
    6  2.6867528839097176e-08   0  0  4  2  0  0  0
    6  8.1530821282417027e-08   2  0  1  3  0  0  0
    6  1.6135469554912258e-07   1  1  1  3  0  0  0
    6  8.5635243590079501e-09   0  2  1  3  0  0  0
    6 -1.0897089040536686e-07   0  0  3  3  0  0  0
    6  5.1320005343995244e-08   2  0  0  4  0  0  0
    6  4.3218168469746209e-07   1  1  0  4  0  0  0
    6  5.3558878095810144e-08   0  2  0  4  0  0  0
    6  2.6867528839097176e-08   0  0  2  4  0  0  0
