
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.0169345842749096e-25   0  0  1  1  0  0  0
    3 -2.9484222986049410e-07   3  0  0  0  0  0  0
    3 -2.5549044364340669e-07   2  1  0  0  0  0  0
    3 -2.5549044364340669e-07   1  2  0  0  0  0  0
    3 -2.9484222986049410e-07   0  3  0  0  0  0  0
    3 -3.8536890579582897e-07   1  0  2  0  0  0  0
    3  4.8347064712254279e-08   0  1  2  0  0  0  0
    3 -1.2311429151478668e-07   1  0  1  1  0  0  0
    3 -1.2311429151478668e-07   0  1  1  1  0  0  0
    3  4.8347064712254279e-08   1  0  0  2  0  0  0
    3 -3.8536890579582897e-07   0  1  0  2  0  0  0
    3 -3.0389202489687103e-07   2  0  0  0  1  0  0
    3 -5.4202027241744146e-14   1  1  0  0  1  0  0
    3 -3.0389202489687103e-07   0  2  0  0  1  0  0
    3 -4.2906198343737234e-07   0  0  2  0  1  0  0
    3 -4.3189895254817310e-14   0  0  1  1  1  0  0
    3 -4.2906198343737234e-07   0  0  0  2  1  0  0
    3  3.9632691491151580e-07   1  0  0  0  2  0  0
    3  3.9632691491151580e-07   0  1  0  0  2  0  0
    3 -5.3224561276737487e-08   0  0  0  0  3  0  0
    4 -1.0084388520035840e-07   4  0  0  0  0  0  0
    4  4.8159145169673972e-08   3  1  0  0  0  0  0
    4  5.3899372425173496e-07   2  2  0  0  0  0  0
    4  4.8159145169673972e-08   1  3  0  0  0  0  0
    4 -1.0084388520035840e-07   0  4  0  0  0  0  0
    4  8.3254139686478316e-08   2  0  2  0  0  0  0
    4  1.7516042745182477e-07   1  1  2  0  0  0  0
    4 -1.1707940327491907e-07   0  2  2  0  0  0  0
    4  5.5701427336504290e-08   0  0  4  0  0  0  0
    4 -1.7495320318925592e-07   2  0  1  1  0  0  0
    4 -8.2085315334334782e-07   1  1  1  1  0  0  0
    4 -1.7495320318925592e-07   0  2  1  1  0  0  0
    4  1.8567077777369149e-07   0  0  3  1  0  0  0
    4 -1.1707940327491907e-07   2  0  0  2  0  0  0
    4  1.7516042745182477e-07   1  1  0  2  0  0  0
    4  8.3254139686478316e-08   0  2  0  2  0  0  0
    4  3.0691517684636964e-07   0  0  2  2  0  0  0
    4  1.8567077777369149e-07   0  0  1  3  0  0  0
    4  5.5701427336504290e-08   0  0  0  4  0  0  0
    4  3.2658403508203251e-08   3  0  0  0  1  0  0
    4 -1.9427891334220231e-07   2  1  0  0  1  0  0
    4 -1.9427891334220231e-07   1  2  0  0  1  0  0
    4  3.2658403508203251e-08   0  3  0  0  1  0  0
    4  3.6843345087229592e-08   1  0  2  0  1  0  0
    4 -2.1187066714926419e-07   0  1  2  0  1  0  0
    4 -6.9883463712479305e-08   1  0  1  1  1  0  0
    4 -6.9883463712479305e-08   0  1  1  1  1  0  0
    4 -2.1187066714926419e-07   1  0  0  2  1  0  0
    4  3.6843345087229592e-08   0  1  0  2  1  0  0
    4 -2.0473035834506014e-08   2  0  0  0  2  0  0
    4  5.7550938432268947e-07   1  1  0  0  2  0  0
    4 -2.0473035834506014e-08   0  2  0  0  2  0  0
    4 -3.7699520665759406e-07   0  0  2  0  2  0  0
    4 -2.1140188783777458e-07   0  0  1  1  2  0  0
    4 -3.7699520665759406e-07   0  0  0  2  2  0  0
    4 -5.5349133542081549e-09   1  0  0  0  3  0  0
    4 -5.5349133542081549e-09   0  1  0  0  3  0  0
    4  7.7492145702059147e-07   0  0  0  0  4  0  0
    5  7.0020433310169168e-08   5  0  0  0  0  0  0
    5  1.0956048617634188e-08   4  1  0  0  0  0  0
    5  9.7805502912841203e-08   3  2  0  0  0  0  0
    5  9.7805502912841203e-08   2  3  0  0  0  0  0
    5  1.0956048617634188e-08   1  4  0  0  0  0  0
    5  7.0020433310169168e-08   0  5  0  0  0  0  0
    5  2.1798619225252375e-09   3  0  2  0  0  0  0
    5  2.7395549844005256e-08   2  1  2  0  0  0  0
    5  3.1065947008284484e-07   1  2  2  0  0  0  0
    5  1.5869328971844450e-08   0  3  2  0  0  0  0
    5 -2.2156550768994882e-09   1  0  4  0  0  0  0
    5  4.2750089530941375e-08   0  1  4  0  0  0  0
    5  5.1742119445583412e-08   3  0  1  1  0  0  0
    5 -8.8778012037934245e-08   2  1  1  1  0  0  0
    5 -8.8778012037934245e-08   1  2  1  1  0  0  0
    5  5.1742119445583412e-08   0  3  1  1  0  0  0
    5  1.2308706051349467e-08   1  0  3  1  0  0  0
    5  7.7884333115114055e-08   0  1  3  1  0  0  0
    5  1.5869328971844450e-08   3  0  0  2  0  0  0
    5  3.1065947008284484e-07   2  1  0  2  0  0  0
    5  2.7395549844005256e-08   1  2  0  2  0  0  0
    5  2.1798619225252375e-09   0  3  0  2  0  0  0
    5 -5.9890477428395991e-08   1  0  2  2  0  0  0
    5 -5.9890477428395991e-08   0  1  2  2  0  0  0
    5  7.7884333115114055e-08   1  0  1  3  0  0  0
    5  1.2308706051349467e-08   0  1  1  3  0  0  0
    5  4.2750089530941375e-08   1  0  0  4  0  0  0
    5 -2.2156550768994882e-09   0  1  0  4  0  0  0
    5 -3.2451080560378459e-08   4  0  0  0  1  0  0
    5  3.9280013935489378e-08   3  1  0  0  1  0  0
    5  9.8014979479161597e-07   2  2  0  0  1  0  0
    5  3.9280013935489378e-08   1  3  0  0  1  0  0
    5 -3.2451080560378459e-08   0  4  0  0  1  0  0
    5  4.0885428766044781e-08   2  0  2  0  1  0  0
    5  6.7236637867113189e-08   1  1  2  0  1  0  0
    5  5.1964602127844702e-09   0  2  2  0  1  0  0
    5 -1.8322252914224687e-08   0  0  4  0  1  0  0
    5  1.1979168660086010e-07   2  0  1  1  1  0  0
    5  5.8664610910468744e-07   1  1  1  1  1  0  0
    5  1.1979168660086010e-07   0  2  1  1  1  0  0
    5 -3.9517359623165906e-08   0  0  3  1  1  0  0
    5  5.1964602127844702e-09   2  0  0  2  1  0  0
    5  6.7236637867113189e-08   1  1  0  2  1  0  0
    5  4.0885428766044781e-08   0  2  0  2  1  0  0
    5 -5.8396905818179792e-08   0  0  2  2  1  0  0
    5 -3.9517359623165906e-08   0  0  1  3  1  0  0
    5 -1.8322252914224687e-08   0  0  0  4  1  0  0
    5  9.9920671847338418e-08   3  0  0  0  2  0  0
    5 -1.8447331982265257e-07   2  1  0  0  2  0  0
    5 -1.8447331982265257e-07   1  2  0  0  2  0  0
    5  9.9920671847338418e-08   0  3  0  0  2  0  0
    5  1.7140551331194058e-10   1  0  2  0  2  0  0
    5 -1.6570375896978431e-07   0  1  2  0  2  0  0
    5  2.2844561178016591e-07   1  0  1  1  2  0  0
    5  2.2844561178016591e-07   0  1  1  1  2  0  0
    5 -1.6570375896978431e-07   1  0  0  2  2  0  0
    5  1.7140551331194058e-10   0  1  0  2  2  0  0
    5  2.9273199123306762e-08   2  0  0  0  3  0  0
    5  1.0031792968472803e-06   1  1  0  0  3  0  0
    5  2.9273199123306762e-08   0  2  0  0  3  0  0
    5  1.2537045825381529e-07   0  0  2  0  3  0  0
    5  2.9897132463833983e-07   0  0  1  1  3  0  0
    5  1.2537045825381529e-07   0  0  0  2  3  0  0
    5 -5.7598290576457785e-08   1  0  0  0  4  0  0
    5 -5.7598290576457785e-08   0  1  0  0  4  0  0
    5 -1.2276070309514444e-07   0  0  0  0  5  0  0
    6 -1.5232024349383877e-08   6  0  0  0  0  0  0
    6  1.2526778457079289e-07   5  1  0  0  0  0  0
    6  8.0815195362462251e-08   4  2  0  0  0  0  0
    6 -1.1897370696435778e-07   3  3  0  0  0  0  0
    6  8.0815195362462251e-08   2  4  0  0  0  0  0
    6  1.2526778457079289e-07   1  5  0  0  0  0  0
    6 -1.5232024349383877e-08   0  6  0  0  0  0  0
    6  1.8748998967459460e-08   4  0  2  0  0  0  0
    6  8.9209976416739848e-09   3  1  2  0  0  0  0
    6  1.0411597419471801e-07   2  2  2  0  0  0  0
    6  5.4136328850597713e-08   1  3  2  0  0  0  0
    6  2.0128343670783986e-08   0  4  2  0  0  0  0
    6  6.0197434952471455e-09   2  0  4  0  0  0  0
    6  4.8556410281648586e-08   1  1  4  0  0  0  0
    6  1.8108318626508248e-09   0  2  4  0  0  0  0
    6  6.4691628415079559e-09   0  0  6  0  0  0  0
    6 -5.9766010688804761e-08   4  0  1  1  0  0  0
    6 -1.1374959676195665e-07   3  1  1  1  0  0  0
    6 -1.1396951198722011e-06   2  2  1  1  0  0  0
    6 -1.1374959676195665e-07   1  3  1  1  0  0  0
    6 -5.9766010688804761e-08   0  4  1  1  0  0  0
    6 -2.9527877229512628e-08   2  0  3  1  0  0  0
    6 -2.3035025999783526e-08   1  1  3  1  0  0  0
    6 -1.1117342485352168e-07   0  2  3  1  0  0  0
    6  1.8502634241791626e-08   0  0  5  1  0  0  0
    6  2.0128343670783986e-08   4  0  0  2  0  0  0
    6  5.4136328850597713e-08   3  1  0  2  0  0  0
    6  1.0411597419471801e-07   2  2  0  2  0  0  0
    6  8.9209976416739848e-09   1  3  0  2  0  0  0
    6  1.8748998967459460e-08   0  4  0  2  0  0  0
    6 -1.2810725535121750e-07   2  0  2  2  0  0  0
    6 -3.7186508894359214e-07   1  1  2  2  0  0  0
    6 -1.2810725535121750e-07   0  2  2  2  0  0  0
    6  3.7783434320217637e-08   0  0  4  2  0  0  0
    6 -1.1117342485352168e-07   2  0  1  3  0  0  0
    6 -2.3035025999783526e-08   1  1  1  3  0  0  0
    6 -2.9527877229512628e-08   0  2  1  3  0  0  0
    6  1.1274675291121028e-08   0  0  3  3  0  0  0
    6  1.8108318626508248e-09   2  0  0  4  0  0  0
    6  4.8556410281648586e-08   1  1  0  4  0  0  0
    6  6.0197434952471455e-09   0  2  0  4  0  0  0
    6  3.7783434320217637e-08   0  0  2  4  0  0  0
    6  1.8502634241791626e-08   0  0  1  5  0  0  0
    6  6.4691628415079559e-09   0  0  0  6  0  0  0
    6  9.3379455379534607e-08   5  0  0  0  1  0  0
