
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0519389577095269e-22   0  0  0  0  0  0  0
    1  9.4252867573536114e-01   1  0  0  0  0  0  0
    1  6.5947707351402354e+00   0  1  0  0  0  0  0
    1 -1.6455587726468368e-05   0  0  0  0  1  0  0
    2 -1.0798025233508015e+00   2  0  0  0  0  0  0
    2 -1.3843613905328866e+02   1  1  0  0  0  0  0
    2 -1.2846351261218322e+03   0  2  0  0  0  0  0
    2 -2.1900096859961081e+01   0  0  2  0  0  0  0
    2 -1.0374292869911558e+02   0  0  1  1  0  0  0
    2  3.4052864960036652e+02   0  0  0  2  0  0  0
    2 -1.2414185978724745e-01   1  0  0  0  1  0  0
    2 -4.1025324227829550e+01   0  1  0  0  1  0  0
    2  1.9051224311261186e-01   0  0  0  0  2  0  0
    3  1.8030729862534918e+02   3  0  0  0  0  0  0
    3 -1.1439139536370638e+04   2  1  0  0  0  0  0
    3  6.9994137232547655e+04   1  2  0  0  0  0  0
    3 -7.8293463925288722e+05   0  3  0  0  0  0  0
    3  8.2952026947868717e+02   1  0  2  0  0  0  0
    3 -3.9886053386830426e+03   0  1  2  0  0  0  0
    3  5.7473535876945325e+03   1  0  1  1  0  0  0
    3  1.1760737470885029e+05   0  1  1  1  0  0  0
    3 -1.9958995181018203e+04   1  0  0  2  0  0  0
    3  3.7953550419172633e+05   0  1  0  2  0  0  0
    3 -9.2831993107834219e+00   2  0  0  0  1  0  0
    3  1.9991467856341806e+03   1  1  0  0  1  0  0
    3  2.6220650217632166e+04   0  2  0  0  1  0  0
    3  4.5447866939748570e+02   0  0  2  0  1  0  0
    3  2.5047541222580485e+03   0  0  1  1  1  0  0
    3 -6.0284756625872410e+02   0  0  0  2  1  0  0
    3  1.7256629630414498e+01   1  0  0  0  2  0  0
    3 -1.2815070234278164e+03   0  1  0  0  2  0  0
    3 -1.4701509325257944e+00   0  0  0  0  3  0  0
    4  5.7362930737810984e+01   4  0  0  0  0  0  0
    4  3.9347497836350906e+05   3  1  0  0  0  0  0
    4  7.8307672079723813e+06   2  2  0  0  0  0  0
    4 -1.3598650704647550e+08   1  3  0  0  0  0  0
    4 -1.1932690226556516e+09   0  4  0  0  0  0  0
    4 -8.4961685694726548e+03   2  0  2  0  0  0  0
    4  4.3576419457768719e+05   1  1  2  0  0  0  0
    4 -1.8365678681183185e+07   0  2  2  0  0  0  0
    4 -2.6620909162758657e+05   0  0  4  0  0  0  0
    4 -4.3686617946711014e+05   2  0  1  1  0  0  0
    4  6.3416620773901418e+06   1  1  1  1  0  0  0
    4 -1.8067700483506167e+08   0  2  1  1  0  0  0
    4 -1.4147555695180236e+06   0  0  3  1  0  0  0
    4 -1.5819735340208351e+05   2  0  0  2  0  0  0
    4  7.0030798165231552e+06   1  1  0  2  0  0  0
    4  2.2500805992278767e+08   0  2  0  2  0  0  0
    4  4.0807013215837665e+06   0  0  2  2  0  0  0
    4  7.1772404614466242e+06   0  0  1  3  0  0  0
    4 -2.0912262903692555e+07   0  0  0  4  0  0  0
    4  6.8975992398177850e+03   3  0  0  0  1  0  0
    4 -4.3292766385573329e+05   2  1  0  0  1  0  0
    4 -3.2427971173043642e+05   1  2  0  0  1  0  0
    4 -9.2220193430687472e+07   0  3  0  0  1  0  0
    4  1.7734171483792528e+04   1  0  2  0  1  0  0
    4 -6.8018239047139196e+05   0  1  2  0  1  0  0
    4  7.9456143236532489e+03   1  0  1  1  1  0  0
    4  7.3782555328572111e+05   0  1  1  1  1  0  0
    4  1.0780027859334693e+05   1  0  0  2  1  0  0
    4 -3.4616513984654276e+06   0  1  0  2  1  0  0
    4 -1.3008088775171072e+03   2  0  0  0  2  0  0
    4  1.1379752375215918e+05   1  1  0  0  2  0  0
    4  7.7879509559554514e+04   0  2  0  0  2  0  0
    4  1.0146629642536956e+04   0  0  2  0  2  0  0
    4  4.9734637250666805e+04   0  0  1  1  2  0  0
    4  7.0515698384090560e+04   0  0  0  2  2  0  0
    4  1.3157461455222090e+03   1  0  0  0  3  0  0
    4 -6.0760147995666455e+04   0  1  0  0  3  0  0
    4 -6.1889772578320546e+01   0  0  0  0  4  0  0
    5 -1.8011787253320322e+05   5  0  0  0  0  0  0
    5  9.6456512039520256e+06   4  1  0  0  0  0  0
    5 -7.3785444863728690e+08   3  2  0  0  0  0  0
    5  2.5125560892018650e+10   2  3  0  0  0  0  0
    5  1.9299831769243616e+11   1  4  0  0  0  0  0
    5 -4.0528612029748523e+11   0  5  0  0  0  0  0
    5 -2.6246236520942990e+06   3  0  2  0  0  0  0
    5  7.3485264777392417e+07   2  1  2  0  0  0  0
    5 -2.3255681588142447e+09   1  2  2  0  0  0  0
    5  6.1538843634336983e+10   0  3  2  0  0  0  0
    5 -5.2830190493102046e+06   1  0  4  0  0  0  0
    5  4.4736156999557674e+07   0  1  4  0  0  0  0
    5 -5.1406534212365095e+06   3  0  1  1  0  0  0
    5  8.6842959729415953e+07   2  1  1  1  0  0  0
    5 -2.6551791976992860e+09   1  2  1  1  0  0  0
    5 -3.2279860143175236e+10   0  3  1  1  0  0  0
    5  6.7317975724192858e+07   1  0  3  1  0  0  0
    5 -1.6598397031286175e+09   0  1  3  1  0  0  0
    5 -5.0937684578318559e+07   3  0  0  2  0  0  0
    5  1.6319335172938235e+09   2  1  0  2  0  0  0
    5 -1.3608822629777212e+10   1  2  0  2  0  0  0
    5  7.3699191726669446e+11   0  3  0  2  0  0  0
    5 -1.7852873836077866e+08   1  0  2  2  0  0  0
    5  2.4448596736173258e+09   0  1  2  2  0  0  0
    5 -2.4953426203256080e+08   1  0  1  3  0  0  0
    5  8.5937627173938942e+08   0  1  1  3  0  0  0
    5 -6.5839313784749198e+08   1  0  0  4  0  0  0
    5  1.7751607045248627e+10   0  1  0  4  0  0  0
    5  3.0217954959461640e+04   4  0  0  0  1  0  0
    5  1.9577523741061121e+07   3  1  0  0  1  0  0
    5  4.4264910770301986e+08   2  2  0  0  1  0  0
    5 -5.3422453894045954e+09   1  3  0  0  1  0  0
    5 -1.0276975919754490e+10   0  4  0  0  1  0  0
    5 -1.1784001532976299e+06   2  0  2  0  1  0  0
    5 -5.2233054755520262e+06   1  1  2  0  1  0  0
    5 -6.9062259465648353e+08   0  2  2  0  1  0  0
    5  9.3189129449326056e+05   0  0  4  0  1  0  0
    5 -5.5789523475678265e+06   2  0  1  1  1  0  0
    5 -3.6342636784337774e+07   1  1  1  1  1  0  0
    5 -6.0061536868795719e+09   0  2  1  1  1  0  0
    5  2.6759480166368112e+06   0  0  3  1  1  0  0
    5  1.5199913702112202e+07   2  0  0  2  1  0  0
    5 -3.2701017891694987e+08   1  1  0  2  1  0  0
    5  7.2867508874274616e+09   0  2  0  2  1  0  0
    5  9.2915927384169176e+07   0  0  2  2  1  0  0
    5 -8.9484736407578796e+07   0  0  1  3  1  0  0
    5  9.8125978430237681e+07   0  0  0  4  1  0  0
    5 -2.3773341805447123e+05   3  0  0  0  2  0  0
    5  1.3874445534540452e+07   2  1  0  0  2  0  0
    5 -8.6656438462284252e+07   1  2  0  0  2  0  0
    5  5.3987440109199247e+09   0  3  0  0  2  0  0
    5 -1.3754012637830130e+05   1  0  2  0  2  0  0
    5  1.4150504437882589e+07   0  1  2  0  2  0  0
    5  2.1425089645453291e+06   1  0  1  1  2  0  0
    5 -8.2613131655444251e+06   0  1  1  1  2  0  0
    5  4.4921337818338675e+06   1  0  0  2  2  0  0
    5  1.8874326057283349e+07   0  1  0  2  2  0  0
    5 -2.3590886205144157e+04   2  0  0  0  3  0  0
    5  1.4469729584049592e+06   1  1  0  0  3  0  0
    5 -9.9206210219412651e+06   0  2  0  0  3  0  0
    5 -3.0522709266275173e+05   0  0  2  0  3  0  0
    5 -5.0134276644797646e+03   0  0  1  1  3  0  0
    5 -1.8094176094140176e+05   0  0  0  2  3  0  0
    5 -2.5268829743501730e+04   1  0  0  0  4  0  0
    5  1.8168720221707865e+06   0  1  0  0  4  0  0
    5 -2.6928204420885677e+03   0  0  0  0  5  0  0
    6 -7.7465491057527978e+06   6  0  0  0  0  0  0
    6  7.1243911883995533e+08   5  1  0  0  0  0  0
    6  8.8356991219979405e+08   4  2  0  0  0  0  0
    6 -8.6261212967070337e+11   3  3  0  0  0  0  0
    6 -1.0803227479345117e+13   2  4  0  0  0  0  0
    6  2.1394701392862578e+13   1  5  0  0  0  0  0
    6 -3.3178658251782381e+14   0  6  0  0  0  0  0
    6 -5.9643958732900791e+07   4  0  2  0  0  0  0
    6 -1.3022929444115422e+09   3  1  2  0  0  0  0
    6  2.9159008023640344e+11   2  2  2  0  0  0  0
    6 -1.9332927081765273e+12   1  3  2  0  0  0  0
    6  1.3946805070842014e+13   0  4  2  0  0  0  0
    6  1.0436153743234961e+09   2  0  4  0  0  0  0
    6  1.0963344618515863e+10   1  1  4  0  0  0  0
    6  4.4327493519335834e+11   0  2  4  0  0  0  0
    6 -8.5327923624086189e+08   0  0  6  0  0  0  0
    6 -4.2825183689873379e+08   4  0  1  1  0  0  0
    6 -9.7274356367362480e+09   3  1  1  1  0  0  0
    6  7.9167674780549475e+11   2  2  1  1  0  0  0
    6  1.3507573557594838e+13   1  3  1  1  0  0  0
    6  7.6659504288406688e+13   0  4  1  1  0  0  0
    6 -1.3297545132590594e+09   2  0  3  1  0  0  0
    6 -9.3441849494361923e+10   1  1  3  1  0  0  0
    6  3.1451578982210532e+12   0  2  3  1  0  0  0
    6 -2.7659798828581314e+09   0  0  5  1  0  0  0
    6 -2.2092132390835347e+09   4  0  0  2  0  0  0
    6  2.2594497261547600e+10   3  1  0  2  0  0  0
    6 -2.4122536672505596e+12   2  2  0  2  0  0  0
    6  1.4417784673431814e+13   1  3  0  2  0  0  0
    6 -1.5971887371716638e+14   0  4  0  2  0  0  0
    6 -8.8273383309989586e+09   2  0  2  2  0  0  0
    6 -3.8406068067395233e+11   1  1  2  2  0  0  0
