
tpsa, NO = 5, NV = 7, INA = 48081
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457933e-01   1  1  0  0  0  0  0
    2 -2.3245650129590847e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -9.3541805594031651e+00   3  0  0  0  0  0  0
    3 -1.5295056351059966e-01   2  1  0  0  0  0  0
    3 -1.5295056351059966e-01   1  2  0  0  0  0  0
    3 -9.3541805594031651e+00   0  3  0  0  0  0  0
    3  1.9921204322700854e+00   1  0  2  0  0  0  0
    3 -3.5318622722525794e-01   0  1  2  0  0  0  0
    3 -6.8517407170000655e-01   1  0  1  1  0  0  0
    3 -6.8517407170000655e-01   0  1  1  1  0  0  0
    3 -3.5318622722525794e-01   1  0  0  2  0  0  0
    3  1.9921204322700854e+00   0  1  0  2  0  0  0
    3 -1.9453777984027947e+00   2  0  0  0  1  0  0
    3  1.6141892267285129e-08   1  1  0  0  1  0  0
    3 -1.9453777984027947e+00   0  2  0  0  1  0  0
    3  4.8859392646681121e-01   0  0  2  0  1  0  0
    3  6.6995488046117657e-09   0  0  1  1  1  0  0
    3  4.8859392646681121e-01   0  0  0  2  1  0  0
    3 -2.9747800192158546e-17   1  0  0  0  2  0  0
    3 -2.9747800192158546e-17   0  1  0  0  2  0  0
    3 -3.0591284399714949e-04   0  0  0  0  3  0  0
    4 -2.3463044151686870e+02   4  0  0  0  0  0  0
    4 -1.1118929657764843e+02   3  1  0  0  0  0  0
    4 -1.1652811070738747e+02   2  2  0  0  0  0  0
    4 -1.1118929657764843e+02   1  3  0  0  0  0  0
    4 -2.3463044151686870e+02   0  4  0  0  0  0  0
    4  9.6878468717772444e+02   2  0  2  0  0  0  0
    4  1.2294138151533554e+02   1  1  2  0  0  0  0
    4 -3.9364389773171263e+02   0  2  2  0  0  0  0
    4  1.2196119792806773e+02   0  0  4  0  0  0  0
    4 -5.1951149128706572e+02   2  0  1  1  0  0  0
    4 -9.7198986697041914e+02   1  1  1  1  0  0  0
    4 -5.1951149128706572e+02   0  2  1  1  0  0  0
    4 -1.9411892027008520e+02   0  0  3  1  0  0  0
    4 -3.9364389773171263e+02   2  0  0  2  0  0  0
    4  1.2294138151533554e+02   1  1  0  2  0  0  0
    4  9.6878468717772444e+02   0  2  0  2  0  0  0
    4 -9.4399738154243664e+01   0  0  2  2  0  0  0
    4 -1.9411892027008520e+02   0  0  1  3  0  0  0
    4  1.2196119792806773e+02   0  0  0  4  0  0  0
    4  7.3734917905029832e+01   3  0  0  0  1  0  0
    4 -2.2041680573003393e+02   2  1  0  0  1  0  0
    4 -2.2041680573003393e+02   1  2  0  0  1  0  0
    4  7.3734917905029832e+01   0  3  0  0  1  0  0
    4  7.7844694802259781e+01   1  0  2  0  1  0  0
    4  5.7941028570824542e+01   0  1  2  0  1  0  0
    4 -1.6643572099989191e+02   1  0  1  1  1  0  0
    4 -1.6643572099989191e+02   0  1  1  1  1  0  0
    4  5.7941028570824542e+01   1  0  0  2  1  0  0
    4  7.7844694802259781e+01   0  1  0  2  1  0  0
    4 -1.4398830278471968e+01   2  0  0  0  2  0  0
    4  8.3132374057677385e+00   1  1  0  0  2  0  0
    4 -1.4398830278471968e+01   0  2  0  0  2  0  0
    4  1.8631756993627377e+00   0  0  2  0  2  0  0
    4  3.5476177666290796e+00   0  0  1  1  2  0  0
    4  1.8631756993627377e+00   0  0  0  2  2  0  0
    4 -8.1751742172008792e-15   1  0  0  0  3  0  0
    4 -8.1751742172008792e-15   0  1  0  0  3  0  0
    4  1.6824776420929374e-01   0  0  0  0  4  0  0
    5 -1.0231788737603504e+05   5  0  0  0  0  0  0
    5  5.8288560085057332e+04   4  1  0  0  0  0  0
    5 -4.6527885497111216e+04   3  2  0  0  0  0  0
    5 -4.6527885497111216e+04   2  3  0  0  0  0  0
    5  5.8288560085057332e+04   1  4  0  0  0  0  0
    5 -1.0231788737603504e+05   0  5  0  0  0  0  0
    5  3.1082964688681041e+04   3  0  2  0  0  0  0
    5 -1.0612241968943456e+04   2  1  2  0  0  0  0
    5  7.9889367593883362e+03   1  2  2  0  0  0  0
    5 -9.6548438064245256e+03   0  3  2  0  0  0  0
    5 -1.2781335073112596e+04   1  0  4  0  0  0  0
    5  3.9345250525007723e+03   0  1  4  0  0  0  0
    5 -5.0931771457890405e+04   3  0  1  1  0  0  0
    5  5.7610493110949130e+04   2  1  1  1  0  0  0
    5  5.7610493110949130e+04   1  2  1  1  0  0  0
    5 -5.0931771457890405e+04   0  3  1  1  0  0  0
    5 -1.4745579578778525e+03   1  0  3  1  0  0  0
    5 -2.5439851074016595e+04   0  1  3  1  0  0  0
    5 -9.6548438064245256e+03   3  0  0  2  0  0  0
    5  7.9889367593883362e+03   2  1  0  2  0  0  0
    5 -1.0612241968943456e+04   1  2  0  2  0  0  0
    5  3.1082964688681041e+04   0  3  0  2  0  0  0
    5  2.3987663664437456e+04   1  0  2  2  0  0  0
    5  2.3987663664437456e+04   0  1  2  2  0  0  0
    5 -2.5439851074016595e+04   1  0  1  3  0  0  0
    5 -1.4745579578778525e+03   0  1  1  3  0  0  0
    5  3.9345250525007723e+03   1  0  0  4  0  0  0
    5 -1.2781335073112596e+04   0  1  0  4  0  0  0
    5 -3.7364006430490015e+04   4  0  0  0  1  0  0
    5 -1.0236444374481891e+04   3  1  0  0  1  0  0
    5  3.6376694883914548e+04   2  2  0  0  1  0  0
    5 -1.0236444374481891e+04   1  3  0  0  1  0  0
    5 -3.7364006430490015e+04   0  4  0  0  1  0  0
    5 -1.1827769550295317e+04   2  0  2  0  1  0  0
    5  2.3765443385984713e+02   1  1  2  0  1  0  0
    5  1.0531599262650946e+03   0  2  2  0  1  0  0
    5 -6.4143844379187772e+02   0  0  4  0  1  0  0
    5  6.1912734072868188e+03   2  0  1  1  1  0  0
    5 -7.9959775558021047e+03   1  1  1  1  1  0  0
    5  6.1912734072868188e+03   0  2  1  1  1  0  0
    5  1.1471053484336564e+03   0  0  3  1  1  0  0
    5  1.0531599262650946e+03   2  0  0  2  1  0  0
    5  2.3765443385984713e+02   1  1  0  2  1  0  0
    5 -1.1827769550295317e+04   0  2  0  2  1  0  0
    5  2.8007611962786154e+02   0  0  2  2  1  0  0
    5  1.1471053484336564e+03   0  0  1  3  1  0  0
    5 -6.4143844379187772e+02   0  0  0  4  1  0  0
    5  2.6769559226546226e+03   3  0  0  0  2  0  0
    5 -4.1300265217588667e+03   2  1  0  0  2  0  0
    5 -4.1300265217588667e+03   1  2  0  0  2  0  0
    5  2.6769559226546226e+03   0  3  0  0  2  0  0
    5  1.0960161199199106e+03   1  0  2  0  2  0  0
    5 -2.9841185236289147e+02   0  1  2  0  2  0  0
    5 -1.0237864242398472e+03   1  0  1  1  2  0  0
    5 -1.0237864242398472e+03   0  1  1  1  2  0  0
    5 -2.9841185236289147e+02   1  0  0  2  2  0  0
    5  1.0960161199199106e+03   0  1  0  2  2  0  0
    5  3.3029727617799146e+01   2  0  0  0  3  0  0
    5  1.9715699154361513e+02   1  1  0  0  3  0  0
    5  3.3029727617799146e+01   0  2  0  0  3  0  0
    5  3.0849420533126278e+01   0  0  2  0  3  0  0
    5 -1.0490444326591950e+02   0  0  1  1  3  0  0
    5  3.0849420533126278e+01   0  0  0  2  3  0  0
    5 -7.5916411659054073e-14   1  0  0  0  4  0  0
    5 -7.5916411659054073e-14   0  1  0  0  4  0  0
    5  4.3297127345785259e-02   0  0  0  0  5  0  0
 -126  0.0000000000000000e+00   0  0  0  0  0  0  0
