
tpsa, NO = 5, NV = 7, INA = 48083
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457933e-01   1  1  0  0  0  0  0
    2 -2.3245650129590847e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3  1.6141892304292561e-08   1  1  0  0  1  0  0
    3  6.6995488416191993e-09   0  0  1  1  1  0  0
    3 -3.0591284399714949e-04   0  0  0  0  3  0  0
    4  2.9002980193659789e+02   2  2  0  0  0  0  0
    4 -9.6663538532241569e+02   1  1  1  1  0  0  0
    4 -8.8036928703443010e+01   0  0  2  2  0  0  0
    4  2.0203398010794441e+01   1  1  0  0  2  0  0
    4  5.7212968120733780e+00   0  0  1  1  2  0  0
    4  1.6824776420929374e-01   0  0  0  0  4  0  0
    5  3.1371059415936492e+04   2  2  0  0  1  0  0
    5  1.6211940240005511e+03   1  1  1  1  1  0  0
    5 -1.8503495161742655e+03   0  0  2  2  1  0  0
    5  3.4471820959843240e+02   1  1  0  0  3  0  0
    5 -8.8509640168686133e+01   0  0  1  1  3  0  0
    5  4.3297127345785259e-02   0  0  0  0  5  0  0
  -18  0.0000000000000000e+00   0  0  0  0  0  0  0
