
tpsa, NO = 5, NV = 7, INA = 48086
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.3536238942837509e+00   3  0  0  0  0  0  0
    3 -1.1545258250146967e-01   2  1  0  0  0  0  0
    3  1.1545258250146967e-01   1  2  0  0  0  0  0
    3  2.3536238942837509e+00   0  3  0  0  0  0  0
    3  8.8357369113522388e-01   1  0  2  0  0  0  0
    3  8.9422117654416811e-01   0  1  2  0  0  0  0
    3 -5.1719401501473150e-01   1  0  1  1  0  0  0
    3  5.1719401501473150e-01   0  1  1  1  0  0  0
    3 -8.9422117654416811e-01   1  0  0  2  0  0  0
    3 -8.8357369113522388e-01   0  1  0  2  0  0  0
    3 -7.3422054032203876e-01   2  0  0  0  1  0  0
    3  7.3422054032203876e-01   0  2  0  0  1  0  0
    3  5.2546812386723629e-01   0  0  2  0  1  0  0
    3 -5.2546812386723629e-01   0  0  0  2  1  0  0
    3 -2.2454708744400274e-17   1  0  0  0  2  0  0
    3  2.2454708744400274e-17   0  1  0  0  2  0  0
    4 -4.4371571309105711e+01   4  0  0  0  0  0  0
    4 -3.6200862033260435e+01   3  1  0  0  0  0  0
    4  3.6200862033260435e+01   1  3  0  0  0  0  0
    4  4.4371571309105711e+01   0  4  0  0  0  0  0
    4  2.7755286183875864e+02   2  0  2  0  0  0  0
    4  1.2211642103209934e+02   1  1  2  0  0  0  0
    4  2.5061395657169547e+02   0  2  2  0  0  0  0
    4  6.4186414823058328e+01   0  0  4  0  0  0  0
    4 -1.8744078138106926e+02   2  0  1  1  0  0  0
    4  1.8744078138106926e+02   0  2  1  1  0  0  0
    4 -2.0924221977427027e+02   0  0  3  1  0  0  0
    4 -2.5061395657169547e+02   2  0  0  2  0  0  0
    4 -1.2211642103209934e+02   1  1  0  2  0  0  0
    4 -2.7755286183875864e+02   0  2  0  2  0  0  0
    4  2.0924221977427027e+02   0  0  1  3  0  0  0
    4 -6.4186414823058328e+01   0  0  0  4  0  0  0
    4  1.8409643523465913e+01   3  0  0  0  1  0  0
    4 -1.1613014221180342e+02   2  1  0  0  1  0  0
    4  1.1613014221180342e+02   1  2  0  0  1  0  0
    4 -1.8409643523465913e+01   0  3  0  0  1  0  0
    4  3.6692510488795385e+01   1  0  2  0  1  0  0
    4 -1.2728905766040408e+02   0  1  2  0  1  0  0
    4 -1.1783838907642695e+02   1  0  1  1  1  0  0
    4  1.1783838907642695e+02   0  1  1  1  1  0  0
    4  1.2728905766040408e+02   1  0  0  2  1  0  0
    4 -3.6692510488795385e+01   0  1  0  2  1  0  0
    4 -5.4343773176356329e+00   2  0  0  0  2  0  0
    4  5.4343773176356329e+00   0  2  0  0  2  0  0
    4  2.0037896370476016e+00   0  0  2  0  2  0  0
    4 -2.0037896370476016e+00   0  0  0  2  2  0  0
    4 -6.0256699441813517e-15   1  0  0  0  3  0  0
    4  6.0256699441813517e-15   0  1  0  0  3  0  0
    5 -1.5217337128611307e+04   5  0  0  0  0  0  0
    5  1.3933574612627444e+04   4  1  0  0  0  0  0
    5 -2.0663667973021405e+04   3  2  0  0  0  0  0
    5  2.0663667973021405e+04   2  3  0  0  0  0  0
    5 -1.3933574612627444e+04   1  4  0  0  0  0  0
    5  1.5217337128611307e+04   0  5  0  0  0  0  0
    5  6.2953250329584425e+03   3  0  2  0  0  0  0
    5 -2.7409567485579610e+03   2  1  2  0  0  0  0
    5  6.9333058531310002e+04   1  2  2  0  0  0  0
    5  4.7347520371078481e+03   0  3  2  0  0  0  0
    5 -5.0475464726938972e+03   1  0  4  0  0  0  0
    5  2.3720764142851904e+03   0  1  4  0  0  0  0
    5 -7.9363485777132664e+03   3  0  1  1  0  0  0
    5  5.9412797010279064e+04   2  1  1  1  0  0  0
    5 -5.9412797010279064e+04   1  2  1  1  0  0  0
    5  7.9363485777132664e+03   0  3  1  1  0  0  0
    5 -1.4793159750282848e+03   1  0  3  1  0  0  0
    5  5.8706825628607417e+04   0  1  3  1  0  0  0
    5 -4.7347520371078481e+03   3  0  0  2  0  0  0
    5 -6.9333058531310002e+04   2  1  0  2  0  0  0
    5  2.7409567485579610e+03   1  2  0  2  0  0  0
    5 -6.2953250329584425e+03   0  3  0  2  0  0  0
    5  2.0008049916913154e+04   1  0  2  2  0  0  0
    5 -2.0008049916913154e+04   0  1  2  2  0  0  0
    5 -5.8706825628607417e+04   1  0  1  3  0  0  0
    5  1.4793159750282848e+03   0  1  1  3  0  0  0
    5 -2.3720764142851904e+03   1  0  0  4  0  0  0
    5  5.0475464726938972e+03   0  1  0  4  0  0  0
    5 -6.5207319716043403e+03   4  0  0  0  1  0  0
    5 -1.5016672009457325e+03   3  1  0  0  1  0  0
    5  1.5016672009457325e+03   1  3  0  0  1  0  0
    5  6.5207319716043403e+03   0  4  0  0  1  0  0
    5 -4.1360123292015669e+03   2  0  2  0  1  0  0
    5 -6.6787144475138230e+03   1  1  2  0  1  0  0
    5  7.9636205932814823e+02   0  2  2  0  1  0  0
    5 -6.0673450526361898e+02   0  0  4  0  1  0  0
    5  5.3801719038242172e+03   2  0  1  1  1  0  0
    5 -5.3801719038242172e+03   0  2  1  1  1  0  0
    5  1.8282254458129519e+03   0  0  3  1  1  0  0
    5 -7.9636205932814823e+02   2  0  0  2  1  0  0
    5  6.6787144475138230e+03   1  1  0  2  1  0  0
    5  4.1360123292015669e+03   0  2  0  2  1  0  0
    5 -1.8282254458129519e+03   0  0  1  3  1  0  0
    5  6.0673450526361898e+02   0  0  0  4  1  0  0
    5  7.4812949395939154e+02   3  0  0  0  2  0  0
    5 -2.3874810893414142e+03   2  1  0  0  2  0  0
    5  2.3874810893414142e+03   1  2  0  0  2  0  0
    5 -7.4812949395939154e+02   0  3  0  0  2  0  0
    5  2.8389038284530932e+02   1  0  2  0  2  0  0
    5  2.3473878444945876e+03   0  1  2  0  2  0  0
    5  3.9096002965135654e+01   1  0  1  1  2  0  0
    5 -3.9096002965135654e+01   0  1  1  1  2  0  0
    5 -2.3473878444945876e+03   1  0  0  2  2  0  0
    5 -2.8389038284530932e+02   0  1  0  2  2  0  0
    5 -5.5349371015996738e+00   2  0  0  0  3  0  0
    5  5.5349371015996738e+00   0  2  0  0  3  0  0
    5  4.4472755867735202e+01   0  0  2  0  3  0  0
    5 -4.4472755867735202e+01   0  0  0  2  3  0  0
    5 -3.7942568307153298e-14   1  0  0  0  4  0  0
    5  3.7942568307153298e-14   0  1  0  0  4  0  0
 -108  0.0000000000000000e+00   0  0  0  0  0  0  0
