
tpsa, NO = 5, NV = 7, INA = 48076
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.3432380880807715e+00   3  0  0  0  0  0  0
    3 -7.7524080202571621e-01   2  1  0  0  0  0  0
    3 -7.7524080202571621e-01   1  2  0  0  0  0  0
    3  1.3432380880807715e+00   0  3  0  0  0  0  0
    3  4.3676302988136895e-01   1  0  2  0  0  0  0
    3 -2.4790099884172359e-01   0  1  2  0  0  0  0
    3 -3.1277362800134373e-01   1  0  1  1  0  0  0
    3 -3.1277362800134373e-01   0  1  1  1  0  0  0
    3 -2.4790099884172359e-01   1  0  0  2  0  0  0
    3  4.3676302988136895e-01   0  1  0  2  0  0  0
    3 -6.8646343484301209e-02   2  0  0  0  1  0  0
    3  1.6141892128507251e-08   1  1  0  0  1  0  0
    3 -6.8646343484301209e-02   0  2  0  0  1  0  0
    3  4.7218105980334807e-01   0  0  2  0  1  0  0
    3  6.6995488046117657e-09   0  0  1  1  1  0  0
    3  4.7218105980334807e-01   0  0  0  2  1  0  0
    3  2.6460836750096928e-01   1  0  0  0  2  0  0
    3  2.6460836750096928e-01   0  1  0  0  2  0  0
    3 -3.0591284399718251e-04   0  0  0  0  3  0  0
    4  3.6618391049693678e+01   4  0  0  0  0  0  0
    4 -8.7038621423242347e+01   3  1  0  0  0  0  0
    4  3.5999961533456491e+02   2  2  0  0  0  0  0
    4 -8.7038621423242347e+01   1  3  0  0  0  0  0
    4  3.6618391049693678e+01   0  4  0  0  0  0  0
    4 -9.9933313467163032e+01   2  0  2  0  0  0  0
    4  1.1903757212289742e+02   1  1  2  0  0  0  0
    4 -2.1359245078517691e+02   0  2  2  0  0  0  0
    4  6.4594747030967056e+01   0  0  4  0  0  0  0
    4 -1.5494830301907905e+02   2  0  1  1  0  0  0
    4 -9.6312034835764803e+02   1  1  1  1  0  0  0
    4 -1.5494830301907905e+02   0  2  1  1  0  0  0
    4 -1.8153976152926651e+02   0  0  3  1  0  0  0
    4 -2.1359245078517691e+02   2  0  0  2  0  0  0
    4  1.1903757212289742e+02   1  1  0  2  0  0  0
    4 -9.9933313467163032e+01   0  2  0  2  0  0  0
    4 -9.1739088396981657e+01   0  0  2  2  0  0  0
    4 -1.8153976152926651e+02   0  0  1  3  0  0  0
    4  6.4594747030967056e+01   0  0  0  4  0  0  0
    4 -3.1951890735803836e+00   3  0  0  0  1  0  0
    4 -8.8023146296887660e+01   2  1  0  0  1  0  0
    4 -8.8023146296887660e+01   1  2  0  0  1  0  0
    4 -3.1951890735803836e+00   0  3  0  0  1  0  0
    4  1.2163114532403302e+01   1  0  2  0  1  0  0
    4  4.9352651822311500e+01   0  1  2  0  1  0  0
    4 -1.0087584733035641e+02   1  0  1  1  1  0  0
    4 -1.0087584733035641e+02   0  1  1  1  1  0  0
    4  4.9352651822311500e+01   1  0  0  2  1  0  0
    4  1.2163114532403302e+01   0  1  0  2  1  0  0
    4 -5.9504893650980524e+00   2  0  0  0  2  0  0
    4  1.8157057546809597e+01   1  1  0  0  2  0  0
    4 -5.9504893650980524e+00   0  2  0  0  2  0  0
    4  1.3736719147011442e+00   0  0  2  0  2  0  0
    4  4.4658815610468965e+00   0  0  1  1  2  0  0
    4  1.3736719147011442e+00   0  0  0  2  2  0  0
    4 -8.4248163765795359e-02   1  0  0  0  3  0  0
    4 -8.4248163765795359e-02   0  1  0  0  3  0  0
    4 -1.6779420564623359e-03   0  0  0  0  4  0  0
    5 -4.7584791782758894e+03   5  0  0  0  0  0  0
    5 -1.8115969159902499e+04   4  1  0  0  0  0  0
    5 -1.6645404751550341e+04   3  2  0  0  0  0  0
    5 -1.6645404751550341e+04   2  3  0  0  0  0  0
    5 -1.8115969159902499e+04   1  4  0  0  0  0  0
    5 -4.7584791782758894e+03   0  5  0  0  0  0  0
    5 -8.1524560781036298e+03   3  0  2  0  0  0  0
    5  1.5078793741586485e+04   2  1  2  0  0  0  0
    5 -3.2787959750287948e+04   1  2  2  0  0  0  0
    5  7.3424742429683920e+02   0  3  2  0  0  0  0
    5 -4.9927448503172673e+02   1  0  4  0  0  0  0
    5  2.0861095355146545e+03   0  1  4  0  0  0  0
    5  1.4173333630650930e+04   3  0  1  1  0  0  0
    5  5.7975638326516433e+04   2  1  1  1  0  0  0
    5  5.7975638326516433e+04   1  2  1  1  0  0  0
    5  1.4173333630650930e+04   0  3  1  1  0  0  0
    5  1.3703797386778047e+03   1  0  3  1  0  0  0
    5 -2.2924496680158794e+04   0  1  3  1  0  0  0
    5  7.3424742429683920e+02   3  0  0  2  0  0  0
    5 -3.2787959750287948e+04   2  1  0  2  0  0  0
    5  1.5078793741586485e+04   1  2  0  2  0  0  0
    5 -8.1524560781036298e+03   0  3  0  2  0  0  0
    5  1.3160731316219379e+04   1  0  2  2  0  0  0
    5  1.3160731316219379e+04   0  1  2  2  0  0  0
    5 -2.2924496680158794e+04   1  0  1  3  0  0  0
    5  1.3703797386778047e+03   0  1  1  3  0  0  0
    5  2.0861095355146545e+03   1  0  0  4  0  0  0
    5 -4.9927448503172673e+02   0  1  0  4  0  0  0
    5  5.6907816846383193e+03   4  0  0  0  1  0  0
    5  1.7470919731297599e+03   3  1  0  0  1  0  0
    5  2.9950491379932144e+04   2  2  0  0  1  0  0
    5  1.7470919731297599e+03   1  3  0  0  1  0  0
    5  5.6907816846383193e+03   0  4  0  0  1  0  0
    5  8.5459022097079469e+01   2  0  2  0  1  0  0
    5 -2.6905437120842344e+03   1  1  2  0  1  0  0
    5 -1.5890069677614260e+03   0  2  2  0  1  0  0
    5 -1.5724603810095917e+02   0  0  4  0  1  0  0
    5  7.2672044778196550e+03   2  0  1  1  1  0  0
    5 -9.3738663819679914e+02   1  1  1  1  1  0  0
    5  7.2672044778196550e+03   0  2  1  1  1  0  0
    5  3.2525486252991470e+02   0  0  3  1  1  0  0
    5 -1.5890069677614260e+03   2  0  0  2  1  0  0
    5 -2.6905437120842344e+03   1  1  0  2  1  0  0
    5  8.5459022097079469e+01   0  2  0  2  1  0  0
    5  2.8921258538641723e+02   0  0  2  2  1  0  0
    5  3.2525486252991470e+02   0  0  1  3  1  0  0
    5 -1.5724603810095917e+02   0  0  0  4  1  0  0
    5 -5.0680185316114955e+02   3  0  0  0  2  0  0
    5 -1.9130090204147109e+03   2  1  0  0  2  0  0
    5 -1.9130090204147109e+03   1  2  0  0  2  0  0
    5 -5.0680185316114955e+02   0  3  0  0  2  0  0
    5 -2.1254645875820728e+02   1  0  2  0  2  0  0
    5 -1.5069903220409412e+02   0  1  2  0  2  0  0
    5  7.3651389475946672e+01   1  0  1  1  2  0  0
    5  7.3651389475946672e+01   0  1  1  1  2  0  0
    5 -1.5069903220409412e+02   1  0  0  2  2  0  0
    5 -2.1254645875820728e+02   0  1  0  2  2  0  0
    5 -1.0396764666814018e+02   2  0  0  0  3  0  0
    5  6.9893605444013087e+02   1  1  0  0  3  0  0
    5 -1.0396764666814018e+02   0  2  0  0  3  0  0
    5 -3.1656197856265162e+01   0  0  2  0  3  0  0
    5  5.0977988085693376e+01   0  0  1  1  3  0  0
    5 -3.1656197856265162e+01   0  0  0  2  3  0  0
    5 -1.4476613074194502e+01   1  0  0  0  4  0  0
    5 -1.4476613074194502e+01   0  1  0  0  4  0  0
    5  1.2914468626319169e+00   0  0  0  0  5  0  0
 -123  0.0000000000000000e+00   0  0  0  0  0  0  0
