
tpsa, NO = 5, NV = 7, INA = 48016
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981214e-01   1  0  0  0  0  0  0
    1  1.8587589915861066e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2  2.0430381361576764e+00   2  0  0  0  0  0  0
    2 -1.7612253666608814e+02   1  1  0  0  0  0  0
    2 -1.3797536889023959e+03   0  2  0  0  0  0  0
    2 -5.7862512048682768e-01   0  0  2  0  0  0  0
    2  3.8741192469930731e+01   0  0  1  1  0  0  0
    2 -2.4226533778693273e+00   0  0  0  2  0  0  0
    2  1.1483866731231740e+00   1  0  0  0  1  0  0
    2 -1.0922437829813920e+02   0  1  0  0  1  0  0
    2  1.7141888929933753e+00   0  0  0  0  2  0  0
    3  6.4399897783765766e+01   3  0  0  0  0  0  0
    3 -6.3330820107173918e+02   2  1  0  0  0  0  0
    3  1.7093296605451193e+04   1  2  0  0  0  0  0
    3  3.6877622252997622e+04   0  3  0  0  0  0  0
    3 -9.6333484856750647e+02   1  0  2  0  0  0  0
    3 -3.6785143496653895e+03   0  1  2  0  0  0  0
    3  6.7763692194156811e+03   1  0  1  1  0  0  0
    3  9.8615939269875853e+03   0  1  1  1  0  0  0
    3 -3.6040989850555698e+03   1  0  0  2  0  0  0
    3 -8.6497360571176832e+04   0  1  0  2  0  0  0
    3 -1.0667802622159324e+02   2  0  0  0  1  0  0
    3  8.7854463528995996e+02   1  1  0  0  1  0  0
    3  1.4896939371546294e+04   0  2  0  0  1  0  0
    3 -7.1448920188025937e+01   0  0  2  0  1  0  0
    3  4.7182941077271141e+02   0  0  1  1  1  0  0
    3 -2.8594756447965974e+03   0  0  0  2  1  0  0
    3  4.1231097782138564e+00   1  0  0  0  2  0  0
    3 -1.7316855731484372e+02   0  1  0  0  2  0  0
    3 -7.2423007088216336e+00   0  0  0  0  3  0  0
    4 -3.8809063045499620e+03   4  0  0  0  0  0  0
    4  7.0841983422412246e+04   3  1  0  0  0  0  0
    4  4.5233140178231907e+05   2  2  0  0  0  0  0
    4  9.4243956733484082e+06   1  3  0  0  0  0  0
    4  1.4260317748861152e+08   0  4  0  0  0  0  0
    4  1.7280048679230618e+04   2  0  2  0  0  0  0
    4 -2.0175500305674148e+04   1  1  2  0  0  0  0
    4  8.6832645568205067e+05   0  2  2  0  0  0  0
    4 -4.2001613474206679e+03   0  0  4  0  0  0  0
    4  2.6098387916582040e+04   2  0  1  1  0  0  0
    4 -8.7992484649757025e+04   1  1  1  1  0  0  0
    4 -1.8830554941664249e+07   0  2  1  1  0  0  0
    4 -4.3848427025499710e+04   0  0  3  1  0  0  0
    4  3.7959789820583252e+05   2  0  0  2  0  0  0
    4  3.2843111446214467e+06   1  1  0  2  0  0  0
    4  5.3942894285739046e+06   0  2  0  2  0  0  0
    4 -1.5301711639814486e+04   0  0  2  2  0  0  0
    4  1.7425079657160672e+06   0  0  1  3  0  0  0
    4  2.4518809611813463e+06   0  0  0  4  0  0  0
    4  9.1315255611828688e+03   3  0  0  0  1  0  0
    4 -7.4169201619535277e+04   2  1  0  0  1  0  0
    4  1.0396455873660231e+05   1  2  0  0  1  0  0
    4 -1.4673783377950061e+07   0  3  0  0  1  0  0
    4  2.5646347717438903e+03   1  0  2  0  1  0  0
    4  1.2359578143323706e+05   0  1  2  0  1  0  0
    4 -5.7162983871971664e+04   1  0  1  1  1  0  0
    4 -7.0073422516128770e+05   0  1  1  1  1  0  0
    4  8.5956184292026272e+04   1  0  0  2  1  0  0
    4  4.6446097878499432e+06   0  1  0  2  1  0  0
    4 -5.1733314072105832e+03   2  0  0  0  2  0  0
    4  3.6859460358676981e+04   1  1  0  0  2  0  0
    4  2.7630366074457514e+05   0  2  0  0  2  0  0
    4  1.0876888287609218e+03   0  0  2  0  2  0  0
    4 -6.1991417731033835e+03   0  0  1  1  2  0  0
    4  1.1687425733580440e+04   0  0  0  2  2  0  0
    4  1.5832149093614478e+03   1  0  0  0  3  0  0
    4 -4.9327618924354965e+03   0  1  0  0  3  0  0
    4 -1.4853505830341129e+02   0  0  0  0  4  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48017
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1 -5.0608631694825976e-02   1  0  0  0  0  0  0
    1  2.4353132827980839e-01   0  1  0  0  0  0  0
    1 -1.3004166988647630e-05   0  0  0  0  1  0  0
    2 -2.5776785593664053e-01   2  0  0  0  0  0  0
    2 -6.8341654513003149e+00   1  1  0  0  0  0  0
    2  1.1398037246993897e+02   0  2  0  0  0  0  0
    2  4.7761804620958692e-02   0  0  2  0  0  0  0
    2 -1.3742614852883861e-01   0  0  1  1  0  0  0
    2 -2.5145086735555466e+00   0  0  0  2  0  0  0
    2 -2.9739564459725110e-01   1  0  0  0  1  0  0
    2 -1.1490927471680514e+00   0  1  0  0  1  0  0
    2  1.4015353623345142e-01   0  0  0  0  2  0  0
    3 -1.7933175216846378e+00   3  0  0  0  0  0  0
    3  1.5286370510366901e+01   2  1  0  0  0  0  0
    3 -7.4372925697049504e+02   1  2  0  0  0  0  0
    3  4.8483959226324572e+04   0  3  0  0  0  0  0
    3 -2.1673845706659240e+01   1  0  2  0  0  0  0
    3  8.8053966199072079e+01   0  1  2  0  0  0  0
    3  3.2260376786353760e+01   1  0  1  1  0  0  0
    3 -6.3892395338798506e+03   0  1  1  1  0  0  0
    3 -4.4228900047207406e+02   1  0  0  2  0  0  0
    3 -1.1375811510620761e+04   0  1  0  2  0  0  0
    3 -3.9697832181957784e+00   2  0  0  0  1  0  0
    3 -7.7401852626149307e+01   1  1  0  0  1  0  0
    3 -4.2243840883079483e+03   0  2  0  0  1  0  0
    3 -5.6304713507628108e+00   0  0  2  0  1  0  0
    3  3.8476475337813014e+01   0  0  1  1  1  0  0
    3 -3.5301623738526212e+02   0  0  0  2  1  0  0
    3 -1.1798865208940130e+00   1  0  0  0  2  0  0
    3  8.0609455321876027e+01   0  1  0  0  2  0  0
    3 -2.9443825267367940e-02   0  0  0  0  3  0  0
    4 -2.6921736070769697e+01   4  0  0  0  0  0  0
    4  2.9793035166992631e+03   3  1  0  0  0  0  0
    4  4.2768351882579940e+04   2  2  0  0  0  0  0
    4 -1.0348501800060975e+06   1  3  0  0  0  0  0
    4 -2.8108618739617191e+07   0  4  0  0  0  0  0
    4  2.8381895658773431e+02   2  0  2  0  0  0  0
    4  2.7364140933904710e+03   1  1  2  0  0  0  0
    4  5.8987536327012186e+05   0  2  2  0  0  0  0
    4 -1.2797344336569449e+02   0  0  4  0  0  0  0
    4 -1.2461840914078457e+03   2  0  1  1  0  0  0
    4 -1.6938178214360611e+04   1  1  1  1  0  0  0
    4 -2.6579615826073829e+06   0  2  1  1  0  0  0
    4 -5.8694919582802668e+03   0  0  3  1  0  0  0
    4  4.4183600819924141e+03   2  0  0  2  0  0  0
    4  1.0953091405638091e+05   1  1  0  2  0  0  0
    4  4.7335432371684369e+06   0  2  0  2  0  0  0
    4  3.6722560659767420e+04   0  0  2  2  0  0  0
    4 -8.7748344795532757e+04   0  0  1  3  0  0  0
    4  1.5651788913972717e+05   0  0  0  4  0  0  0
    4  3.0610642399272166e+01   3  0  0  0  1  0  0
    4 -1.7530069074914009e+03   2  1  0  0  1  0  0
    4  7.5737233144793543e+04   1  2  0  0  1  0  0
    4  2.5088288023162214e+06   0  3  0  0  1  0  0
    4  7.9179579626191781e+01   1  0  2  0  1  0  0
    4 -1.4457777868023077e+04   0  1  2  0  1  0  0
    4 -2.4039251018795776e+03   1  0  1  1  1  0  0
    4  4.6569610830346181e+04   0  1  1  1  1  0  0
    4  7.6609814858454210e+03   1  0  0  2  1  0  0
    4 -1.2780306148363306e+03   0  1  0  2  1  0  0
    4 -3.4749587556997525e+01   2  0  0  0  2  0  0
    4 -7.8828233526209897e+02   1  1  0  0  2  0  0
    4 -4.8439801335014177e+04   0  2  0  0  2  0  0
    4  1.1457352893619336e+02   0  0  2  0  2  0  0
    4 -1.0143085677123306e+03   0  0  1  1  2  0  0
    4 -4.8902284649980004e+02   0  0  0  2  2  0  0
    4  9.8597938770183333e+00   1  0  0  0  3  0  0
    4  5.7440931320241225e+02   0  1  0  0  3  0  0
    4 -2.2352230301780094e+00   0  0  0  0  4  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48018
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  8.9386057384570128e-01   0  0  1  0  0  0  0
    1  1.4378464296994942e+00   0  0  0  1  0  0  0
    2 -1.7733838554414436e+00   1  0  1  0  0  0  0
    2  1.3674794183822980e+01   0  1  1  0  0  0  0
    2  4.0848954683589307e+00   1  0  0  1  0  0  0
    2  6.5262436561847466e+01   0  1  0  1  0  0  0
    2  4.5464024009626325e-01   0  0  1  0  1  0  0
    2  6.0453893245933124e+00   0  0  0  1  1  0  0
    3 -2.4165845841895461e+02   2  0  1  0  0  0  0
    3  1.4851734692705486e+02   1  1  1  0  0  0  0
    3  6.1719277113669108e+04   0  2  1  0  0  0  0
    3 -3.0181520374666474e+02   0  0  3  0  0  0  0
    3  5.3840342625709013e+02   2  0  0  1  0  0  0
    3  1.1058007902018468e+04   1  1  0  1  0  0  0
    3  7.0537908993770427e+04   0  2  0  1  0  0  0
    3  2.2951688048705523e+03   0  0  2  1  0  0  0
    3  4.9255524103913522e+03   0  0  1  2  0  0  0
    3 -1.8755397286883901e+04   0  0  0  3  0  0  0
    3 -5.5645531430341194e+01   1  0  1  0  1  0  0
    3 -8.3972494159092287e+02   0  1  1  0  1  0  0
    3  4.9531488682603299e+02   1  0  0  1  1  0  0
    3  1.0917780295257349e+04   0  1  0  1  1  0  0
    3  1.0903475513336859e+01   0  0  1  0  2  0  0
