
tpsa, NO = 5, NV = 7, INA = 48118
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691807e-01   0  0  0  0  0  0  0
    1 -5.1381239021703722e-09   0  0  0  0  1  0  0
    2 -1.8463870648869167e+02   1  1  0  0  0  0  0
    2  3.0768959948320281e+02   0  0  1  1  0  0  0
    2 -6.4309413213418019e+00   0  0  0  0  2  0  0
    3 -1.9971436704303360e+04   1  1  0  0  1  0  0
    3 -5.1604208526145703e+02   0  0  1  1  1  0  0
    3 -1.0972721406275711e+02   0  0  0  0  3  0  0
   -8  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48119
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182817e-02   0  0  0  0  0  0  0
    1 -2.1325326292585540e-09   0  0  0  0  1  0  0
    2  3.0768959948320281e+02   1  1  0  0  0  0  0
    2  5.6046049511126881e+01   0  0  1  1  0  0  0
    2 -1.8211453370747614e+00   0  0  0  0  2  0  0
    3 -5.1604208526145703e+02   1  1  0  0  1  0  0
    3  1.1779690877873252e+03   0  0  1  1  1  0  0
    3  2.8173493488262750e+01   0  0  0  0  3  0  0
   -8  0.0000000000000000e+00   0  0  0  0  0  0  0
