# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322264e-04  1.0066940428311621e-18  5.5840581590371500e-03  2.0741447071733871e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1  1.1530471870954957e-05 -2.1528002478908017e-04  4.8104149275466314e-03 -2.6756345211581237e-03  0.0000000000000000e+00  2.9633450428724954e-02
   2 -3.3098206948629390e-04 -1.4458573581069185e-05  2.9440719526697048e-03 -4.7830855068905307e-03  0.0000000000000000e+00  4.0565323634664238e-02
   3 -1.7728548596739651e-04  4.0397999865159149e-04  6.8375108426361368e-04 -5.8229976608578510e-03  0.0000000000000000e+00  2.3713388723070557e-02
   4  3.2787094866049891e-04  2.3084547683485603e-04 -1.6147550726718786e-03 -5.5441061546421108e-03  0.0000000000000000e+00 -1.2912381825759755e-02
   5  4.2880889009173212e-04 -4.1435197676787359e-04 -3.7455061282393241e-03 -4.1005347913694165e-03  0.0000000000000000e+00 -3.7966300068992424e-02
   6 -1.0433121030757379e-04 -5.3364014947954370e-04 -5.2121358705880302e-03 -1.8002307791853884e-03  0.0000000000000000e+00 -2.9228507918166492e-02
   7 -4.7930610216210894e-04  8.0342971618208658e-07 -5.4441624018592453e-03  9.0526212899854394e-04  0.0000000000000000e+00 -5.0386138212617432e-05
   8 -1.1442439650462187e-04  5.1786878096912552e-04 -4.2712653406884616e-03  3.4379700759676018e-03  0.0000000000000000e+00  2.7001650195315099e-02
   9  3.2548728601658955e-04  3.5936115248164454e-04 -2.2627483567209694e-03  5.2175743869103831e-03  0.0000000000000000e+00  2.4266395446337869e-02
  10  2.4414726016098873e-04 -2.4040122717919620e-04  3.6520699478529009e-05  5.8780517826923237e-03  0.0000000000000000e+00 -1.0106843554931806e-02
  11 -1.3207814944072896e-04 -3.4042032056395377e-04  2.3212843978798517e-03  5.2535922607231762e-03  0.0000000000000000e+00 -4.0910135682504158e-02
  12 -1.9453929859945688e-04  2.7788883115641571e-05  4.3311826264768767e-03  3.4606238197382915e-03  0.0000000000000000e+00 -4.9633312671424859e-02
  13  1.0904180113486562e-04  1.5860975759533853e-04  5.5001875907474303e-03  9.2827185665757522e-04  0.0000000000000000e+00 -3.2979258998741601e-02
  14  1.8810827486002638e-04 -7.4085577399938849e-05  5.2321342053366958e-03 -1.8114819994305602e-03  0.0000000000000000e+00 -2.3518032580388372e-03
  15 -1.4977952324717975e-04 -1.6479700905120724e-04  3.6505491022491938e-03 -4.1723371512717867e-03  0.0000000000000000e+00  1.6258956749444262e-02
  16 -3.1662007037411689e-04  1.7905169497060678e-04  1.4554731126050779e-03 -5.6226954631211443e-03  0.0000000000000000e+00  8.2039244552716203e-03
  17  6.2602708437443997e-05  3.8171579882916029e-04 -8.5329696657827220e-04 -5.7911718369885665e-03  0.0000000000000000e+00 -2.2630308930643942e-02
  18  4.5542423948409240e-04 -1.0115462355488256e-04 -3.0833625694149476e-03 -4.6939860264915657e-03  0.0000000000000000e+00 -5.4854657211950215e-02
  19  2.0898948799837080e-04 -5.5661641310974803e-04 -4.8412493386559112e-03 -2.6337875773196550e-03  0.0000000000000000e+00 -5.8130801845103330e-02
  20 -3.7991833142559484e-04 -3.0977729453028434e-04 -5.5328176987803762e-03 -1.6673205520705395e-06  0.0000000000000000e+00 -3.3201891871918923e-02
  21 -3.7730651317696603e-04  3.1723598134030683e-04 -4.7846364738811853e-03  2.6532634755386678e-03  0.0000000000000000e+00 -2.7326091095148356e-03
  22  1.4457751206854995e-04  5.6065565514131963e-04 -2.9784862575160218e-03  4.7389542259106158e-03  0.0000000000000000e+00  7.8683096312627907e-03
  23  3.7910647219244865e-04  4.7844497049807513e-05 -7.3938537116553771e-04  5.7871303664047665e-03  0.0000000000000000e+00 -1.8778740752373388e-02
  24  8.6049033130867369e-05 -4.2899354807964912e-04  1.5705577780534012e-03  5.5980039401206643e-03  0.0000000000000000e+00 -5.6268663794937147e-02
  25 -2.4254013803120338e-04 -2.0639928806455025e-04  3.7108904481551888e-03  4.1684874324521724e-03  0.0000000000000000e+00 -7.3036715051132420e-02
  26 -1.0612541176124593e-04  1.6833265560295434e-04  5.2413975883961045e-03  1.8311388296996334e-03  0.0000000000000000e+00 -6.4386975454432172e-02
  27  1.9750123853514299e-04  1.2534217352234373e-04  5.4935030783428516e-03 -9.0282129126879646e-04  0.0000000000000000e+00 -3.5531317068072978e-02
  28  7.9867543173424112e-05 -1.3071915600015849e-04  4.2927035210016031e-03 -3.4548011008151617e-03  0.0000000000000000e+00 -1.0567060194298938e-02
  29 -2.6450903393509287e-04 -5.3601289955639072e-05  2.2244224656666639e-03 -5.2675211249050601e-03  0.0000000000000000e+00 -1.0272581702863257e-02
  30 -1.8215137653465968e-04  3.0769297228935220e-04 -8.1879632509556538e-05 -5.8948666953990746e-03  0.0000000000000000e+00 -3.4371101260982716e-02
  31  2.9077889393794575e-04  1.8200202237824570e-04 -2.3643938283340145e-03 -5.1914186537703171e-03  0.0000000000000000e+00 -6.8251305200597939e-02
  32  4.1032651581345589e-04 -3.7544038239562796e-04 -4.3523185587251946e-03 -3.4049062092958268e-03  0.0000000000000000e+00 -8.3296961945681508e-02
  33 -1.0483892808867339e-04 -4.9968596270485814e-04 -5.4593741200190896e-03 -9.0629511908537762e-04  0.0000000000000000e+00 -6.6057671537093895e-02
