
tpsa, NO = 5, NV = 7, INA = 48081
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -4.3871429311127725e+00   3  0  0  0  0  0  0
    3 -1.4757556411955077e+00   2  1  0  0  0  0  0
    3 -1.4757556411955077e+00   1  2  0  0  0  0  0
    3 -4.3871429311127725e+00   0  3  0  0  0  0  0
    3  3.8816309875440744e+00   1  0  2  0  0  0  0
    3 -1.9076587844952808e-01   0  1  2  0  0  0  0
    3 -7.9446319775370178e-01   1  0  1  1  0  0  0
    3 -7.9446319775370178e-01   0  1  1  1  0  0  0
    3 -1.9076587844952808e-01   1  0  0  2  0  0  0
    3  3.8816309875440744e+00   0  1  0  2  0  0  0
    3 -1.9386553565733469e+00   2  0  0  0  1  0  0
    3  2.0130424438491445e-08   1  1  0  0  1  0  0
    3 -1.9386553565733469e+00   0  2  0  0  1  0  0
    3  4.1959985936746419e-01   0  0  2  0  1  0  0
    3  5.1714890147991355e-09   0  0  1  1  1  0  0
    3  4.1959985936746419e-01   0  0  0  2  1  0  0
    3 -2.9517285585205581e-16   1  0  0  0  2  0  0
    3 -2.9517285585205581e-16   0  1  0  0  2  0  0
    3 -4.2233476717591065e-04   0  0  0  0  3  0  0
    4 -7.4369835837190601e+02   4  0  0  0  0  0  0
    4 -2.3369374519023216e+02   3  1  0  0  0  0  0
    4  6.7044279191618136e+02   2  2  0  0  0  0  0
    4 -2.3369374519023216e+02   1  3  0  0  0  0  0
    4 -7.4369835837190601e+02   0  4  0  0  0  0  0
    4  6.9348230419728168e+02   2  0  2  0  0  0  0
    4  8.2264985178643215e+01   1  1  2  0  0  0  0
    4 -5.6187800046802158e+02   0  2  2  0  0  0  0
    4  8.9692378793413695e+01   0  0  4  0  0  0  0
    4  5.0414457375513194e+01   2  0  1  1  0  0  0
    4 -8.6042108436714875e+02   1  1  1  1  0  0  0
    4  5.0414457375513194e+01   0  2  1  1  0  0  0
    4 -2.2501574649402292e+02   0  0  3  1  0  0  0
    4 -5.6187800046802158e+02   2  0  0  2  0  0  0
    4  8.2264985178643215e+01   1  1  0  2  0  0  0
    4  6.9348230419728168e+02   0  2  0  2  0  0  0
    4  7.6690542066670389e+01   0  0  2  2  0  0  0
    4 -2.2501574649402292e+02   0  0  1  3  0  0  0
    4  8.9692378793413695e+01   0  0  0  4  0  0  0
    4  1.4558499941004828e+02   3  0  0  0  1  0  0
    4 -3.0924793621463971e+02   2  1  0  0  1  0  0
    4 -3.0924793621463971e+02   1  2  0  0  1  0  0
    4  1.4558499941004828e+02   0  3  0  0  1  0  0
    4  9.2173767103177994e+01   1  0  2  0  1  0  0
    4  9.7813742078827715e+01   0  1  2  0  1  0  0
    4 -2.4521941916594287e+02   1  0  1  1  1  0  0
    4 -2.4521941916594287e+02   0  1  1  1  1  0  0
    4  9.7813742078827715e+01   1  0  0  2  1  0  0
    4  9.2173767103177994e+01   0  1  0  2  1  0  0
    4 -7.7798391995821259e+00   2  0  0  0  2  0  0
    4  2.9001386101997415e+01   1  1  0  0  2  0  0
    4 -7.7798391995821259e+00   0  2  0  0  2  0  0
    4  4.2007938009068546e-01   0  0  2  0  2  0  0
    4  1.0017453188935963e+01   0  0  1  1  2  0  0
    4  4.2007938009068546e-01   0  0  0  2  2  0  0
    4 -5.1715415684114409e-15   1  0  0  0  3  0  0
    4 -5.1715415684114409e-15   0  1  0  0  3  0  0
    4  2.3118421489336602e-01   0  0  0  0  4  0  0
    5  8.0466661389795127e+03   5  0  0  0  0  0  0
    5  3.5986283055750289e+04   4  1  0  0  0  0  0
    5 -2.0875575143052141e+04   3  2  0  0  0  0  0
    5 -2.0875575143052141e+04   2  3  0  0  0  0  0
    5  3.5986283055750289e+04   1  4  0  0  0  0  0
    5  8.0466661389795127e+03   0  5  0  0  0  0  0
    5  1.1675313239008057e+05   3  0  2  0  0  0  0
    5 -2.2250069585707264e+04   2  1  2  0  0  0  0
    5 -3.2734515740113773e+04   1  2  2  0  0  0  0
    5  3.4817111050595777e+03   0  3  2  0  0  0  0
    5 -1.1276938068121084e+04   1  0  4  0  0  0  0
    5  3.6632514621188966e+03   0  1  4  0  0  0  0
    5 -1.1232013289249675e+05   3  0  1  1  0  0  0
    5  1.3214859187861250e+05   2  1  1  1  0  0  0
    5  1.3214859187861250e+05   1  2  1  1  0  0  0
    5 -1.1232013289249675e+05   0  3  1  1  0  0  0
    5 -1.8567496699820746e+04   1  0  3  1  0  0  0
    5 -4.2619942725636727e+04   0  1  3  1  0  0  0
    5  3.4817111050595777e+03   3  0  0  2  0  0  0
    5 -3.2734515740113773e+04   2  1  0  2  0  0  0
    5 -2.2250069585707264e+04   1  2  0  2  0  0  0
    5  1.1675313239008057e+05   0  3  0  2  0  0  0
    5  6.3715906354913270e+04   1  0  2  2  0  0  0
    5  6.3715906354913270e+04   0  1  2  2  0  0  0
    5 -4.2619942725636727e+04   1  0  1  3  0  0  0
    5 -1.8567496699820746e+04   0  1  1  3  0  0  0
    5  3.6632514621188966e+03   1  0  0  4  0  0  0
    5 -1.1276938068121084e+04   0  1  0  4  0  0  0
    5 -1.3477675141512442e+04   4  0  0  0  1  0  0
    5 -1.6873310844213149e+04   3  1  0  0  1  0  0
    5  1.5433991863526360e+04   2  2  0  0  1  0  0
    5 -1.6873310844213149e+04   1  3  0  0  1  0  0
    5 -1.3477675141512442e+04   0  4  0  0  1  0  0
    5 -1.9664845935534515e+04   2  0  2  0  1  0  0
    5  6.5616094984042938e+03   1  1  2  0  1  0  0
    5  4.5384190024421750e+03   0  2  2  0  1  0  0
    5 -3.4854176920346805e+02   0  0  4  0  1  0  0
    5  6.9703528220102617e+03   2  0  1  1  1  0  0
    5 -2.8198224777715703e+04   1  1  1  1  1  0  0
    5  6.9703528220102617e+03   0  2  1  1  1  0  0
    5  3.3263953142403507e+03   0  0  3  1  1  0  0
    5  4.5384190024421750e+03   2  0  0  2  1  0  0
    5  6.5616094984042938e+03   1  1  0  2  1  0  0
    5 -1.9664845935534515e+04   0  2  0  2  1  0  0
    5 -5.2527685876992491e+03   0  0  2  2  1  0  0
    5  3.3263953142403507e+03   0  0  1  3  1  0  0
    5 -3.4854176920346805e+02   0  0  0  4  1  0  0
    5  5.6562935321735631e+02   3  0  0  0  2  0  0
    5  3.4267884314321793e+02   2  1  0  0  2  0  0
    5  3.4267884314321793e+02   1  2  0  0  2  0  0
    5  5.6562935321735631e+02   0  3  0  0  2  0  0
    5  8.8872809971474078e+02   1  0  2  0  2  0  0
    5 -1.4360646067574735e+03   0  1  2  0  2  0  0
    5  1.0455228575218659e+03   1  0  1  1  2  0  0
    5  1.0455228575218659e+03   0  1  1  1  2  0  0
    5 -1.4360646067574735e+03   1  0  0  2  2  0  0
    5  8.8872809971474078e+02   0  1  0  2  2  0  0
    5 -4.9252658047587659e+00   2  0  0  0  3  0  0
    5 -5.1205850609413437e+02   1  1  0  0  3  0  0
    5 -4.9252658047587659e+00   0  2  0  0  3  0  0
    5  9.0199917513956052e+01   0  0  2  0  3  0  0
    5 -3.0353195709024749e+02   0  0  1  1  3  0  0
    5  9.0199917513956052e+01   0  0  0  2  3  0  0
    5 -1.1641837781698114e-13   1  0  0  0  4  0  0
    5 -1.1641837781698114e-13   0  1  0  0  4  0  0
    5 -1.9143789251679910e+00   0  0  0  0  5  0  0
 -126  0.0000000000000000e+00   0  0  0  0  0  0  0
