
tpsa, NO = 5, NV = 7, INA = 48083
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3  2.0130424234950557e-08   1  1  0  0  1  0  0
    3  5.1714890147991355e-09   0  0  1  1  1  0  0
    3 -4.2233476717591065e-04   0  0  0  0  3  0  0
    4  7.6798474528803786e+02   2  2  0  0  0  0  0
    4 -8.0066973465020055e+02   1  1  1  1  0  0  0
    4  9.1435408931391578e+01   0  0  2  2  0  0  0
    4  4.0349312543780442e+01   1  1  0  0  2  0  0
    4  1.1532699856337874e+01   0  0  1  1  2  0  0
    4  2.3118421489336602e-01   0  0  0  0  4  0  0
    5  1.7083089081415215e+04   2  2  0  0  1  0  0
    5 -2.1724525857559718e+04   1  1  1  1  1  0  0
    5 -6.6754602286124227e+03   0  0  2  2  1  0  0
    5 -4.2096859172345751e+02   1  1  0  0  3  0  0
    5 -3.0052021921498533e+02   0  0  1  1  3  0  0
    5 -1.9143789251679910e+00   0  0  0  0  5  0  0
  -18  0.0000000000000000e+00   0  0  0  0  0  0  0
