
tpsa, NO = 5, NV = 7, INA = 48086
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -1.1038577205916058e+00   3  0  0  0  0  0  0
    3 -1.1139533977939617e+00   2  1  0  0  0  0  0
    3  1.1139533977939617e+00   1  2  0  0  0  0  0
    3  1.1038577205916058e+00   0  3  0  0  0  0  0
    3  1.7216363848951244e+00   1  0  2  0  0  0  0
    3  4.8299416886044744e-01   0  1  2  0  0  0  0
    3 -5.9968937529729416e-01   1  0  1  1  0  0  0
    3  5.9968937529729416e-01   0  1  1  1  0  0  0
    3 -4.8299416886044744e-01   1  0  0  2  0  0  0
    3 -1.7216363848951244e+00   0  1  0  2  0  0  0
    3 -7.3168336997068062e-01   2  0  0  0  1  0  0
    3  7.3168336997068062e-01   0  2  0  0  1  0  0
    3  4.5126707257945031e-01   0  0  2  0  1  0  0
    3 -4.5126707257945031e-01   0  0  0  2  1  0  0
    3 -2.2280708034195764e-16   1  0  0  0  2  0  0
    3  2.2280708034195764e-16   0  1  0  0  2  0  0
    4 -1.4220044461321268e+02   4  0  0  0  0  0  0
    4 -7.3551770497028159e+01   3  1  0  0  0  0  0
    4  7.3551770497028159e+01   1  3  0  0  0  0  0
    4  1.4220044461321268e+02   0  4  0  0  0  0  0
    4  1.9681717474478864e+02   2  0  2  0  0  0  0
    4  6.6728536731858583e+01   1  1  2  0  0  0  0
    4  3.4742906483404778e+02   0  2  2  0  0  0  0
    4  4.7062513162806070e+01   0  0  4  0  0  0  0
    4  2.5262664663186598e+01   2  0  1  1  0  0  0
    4 -2.5262664663186598e+01   0  2  1  1  0  0  0
    4 -2.4561477100984891e+02   0  0  3  1  0  0  0
    4 -3.4742906483404778e+02   2  0  0  2  0  0  0
    4 -6.6728536731858583e+01   1  1  0  2  0  0  0
    4 -1.9681717474478864e+02   0  2  0  2  0  0  0
    4  2.4561477100984891e+02   0  0  1  3  0  0  0
    4 -4.7062513162806070e+01   0  0  0  4  0  0  0
    4  3.6087408173305747e+01   3  0  0  0  1  0  0
    4 -1.9941907340217026e+02   2  1  0  0  1  0  0
    4  1.9941907340217026e+02   1  2  0  0  1  0  0
    4 -3.6087408173305747e+01   0  3  0  0  1  0  0
    4  4.1742919838179823e+01   1  0  2  0  1  0  0
    4 -2.1330113125972156e+02   0  1  2  0  1  0  0
    4 -1.7465501929297409e+02   1  0  1  1  1  0  0
    4  1.7465501929297409e+02   0  1  1  1  1  0  0
    4  2.1330113125972156e+02   1  0  0  2  1  0  0
    4 -4.1742919838179823e+01   0  1  0  2  1  0  0
    4 -2.9362511429313067e+00   2  0  0  0  2  0  0
    4  2.9362511429313067e+00   0  2  0  0  2  0  0
    4  4.5178279278456090e-01   0  0  2  0  2  0  0
    4 -4.5178279278456090e-01   0  0  0  2  2  0  0
    4 -2.9265803530373900e-15   1  0  0  0  3  0  0
    4  2.9265803530373900e-15   0  1  0  0  3  0  0
    5  4.1324971980780447e+02   5  0  0  0  0  0  0
    5  9.8520790222333580e+03   4  1  0  0  0  0  0
    5  1.6343143959539548e+03   3  2  0  0  0  0  0
    5 -1.6343143959539548e+03   2  3  0  0  0  0  0
    5 -9.8520790222333580e+03   1  4  0  0  0  0  0
    5 -4.1324971980780447e+02   0  5  0  0  0  0  0
    5  2.5227789321653348e+04   3  0  2  0  0  0  0
    5 -9.8674021603954825e+03   2  1  2  0  0  0  0
    5  1.0961789176903311e+05   1  2  2  0  0  0  0
    5  2.6860974845574710e+03   0  3  2  0  0  0  0
    5 -4.2584352776590385e+03   1  0  4  0  0  0  0
    5 -2.4053392938954094e+03   0  1  4  0  0  0  0
    5 -2.7218577352707296e+04   3  0  1  1  0  0  0
    5  1.0586933063503751e+05   2  1  1  1  0  0  0
    5 -1.0586933063503751e+05   1  2  1  1  0  0  0
    5  2.7218577352707296e+04   0  3  1  1  0  0  0
    5 -9.7291800066544456e+03   1  0  3  1  0  0  0
    5  9.3149560196809980e+04   0  1  3  1  0  0  0
    5 -2.6860974845574710e+03   3  0  0  2  0  0  0
    5 -1.0961789176903311e+05   2  1  0  2  0  0  0
    5  9.8674021603954825e+03   1  2  0  2  0  0  0
    5 -2.5227789321653348e+04   0  3  0  2  0  0  0
    5  4.8823520436970088e+04   1  0  2  2  0  0  0
    5 -4.8823520436970088e+04   0  1  2  2  0  0  0
    5 -9.3149560196809980e+04   1  0  1  3  0  0  0
    5  9.7291800066544456e+03   0  1  1  3  0  0  0
    5  2.4053392938954094e+03   1  0  0  4  0  0  0
    5  4.2584352776590385e+03   0  1  0  4  0  0  0
    5 -1.8973989258981542e+03   4  0  0  0  1  0  0
    5 -4.0086142471856642e+03   3  1  0  0  1  0  0
    5  4.0086142471856642e+03   1  3  0  0  1  0  0
    5  1.8973989258981542e+03   0  4  0  0  1  0  0
    5 -6.4032498130345884e+03   2  0  2  0  1  0  0
    5  1.2478249149506701e+02   1  1  2  0  1  0  0
    5 -2.9760552777529274e+03   0  2  2  0  1  0  0
    5 -2.9185088105877026e+02   0  0  4  0  1  0  0
    5  4.6159351519815609e+03   2  0  1  1  1  0  0
    5 -4.6159351519815609e+03   0  2  1  1  1  0  0
    5  3.7344678668674901e+03   0  0  3  1  1  0  0
    5  2.9760552777529274e+03   2  0  0  2  1  0  0
    5 -1.2478249149506701e+02   1  1  0  2  1  0  0
    5  6.4032498130345884e+03   0  2  0  2  1  0  0
    5 -3.7344678668674901e+03   0  0  1  3  1  0  0
    5  2.9185088105877026e+02   0  0  0  4  1  0  0
    5  2.7822227986791580e+02   3  0  0  0  2  0  0
    5  6.0554020613669820e+02   2  1  0  0  2  0  0
    5 -6.0554020613669820e+02   1  2  0  0  2  0  0
    5 -2.7822227986791580e+02   0  3  0  0  2  0  0
    5  1.8683141539886537e+02   1  0  2  0  2  0  0
    5  5.5810352885341144e+03   0  1  2  0  2  0  0
    5  1.7938845802706774e+03   1  0  1  1  2  0  0
    5 -1.7938845802706774e+03   0  1  1  1  2  0  0
    5 -5.5810352885341144e+03   1  0  0  2  2  0  0
    5 -1.8683141539886537e+02   0  1  0  2  2  0  0
    5 -4.2250494213481460e+01   2  0  0  0  3  0  0
    5  4.2250494213481460e+01   0  2  0  0  3  0  0
    5  1.1841518716203836e+02   0  0  2  0  3  0  0
    5 -1.1841518716203836e+02   0  0  0  2  3  0  0
    5 -8.5505389231788384e-14   1  0  0  0  4  0  0
    5  8.5505389231788384e-14   0  1  0  0  4  0  0
 -108  0.0000000000000000e+00   0  0  0  0  0  0  0
