
tpsa, NO = 5, NV = 7, INA = 48076
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  6.9273122359740713e-01   3  0  0  0  0  0  0
    3 -9.8909380105862654e-01   2  1  0  0  0  0  0
    3 -9.8909380105862654e-01   1  2  0  0  0  0  0
    3  6.9273122359740713e-01   0  3  0  0  0  0  0
    3  1.2793837626839446e+00   1  0  2  0  0  0  0
    3 -2.1227576548482463e-01   0  1  2  0  0  0  0
    3 -4.0530710553964133e-01   1  0  1  1  0  0  0
    3 -4.0530710553964133e-01   0  1  1  1  0  0  0
    3 -2.1227576548482463e-01   1  0  0  2  0  0  0
    3  1.2793837626839446e+00   0  1  0  2  0  0  0
    3 -3.4909839836861334e-01   2  0  0  0  1  0  0
    3  2.0130424216446841e-08   1  1  0  0  1  0  0
    3 -3.4909839836861334e-01   0  2  0  0  1  0  0
    3  3.6476807896022534e-01   0  0  2  0  1  0  0
    3  5.1714891813325892e-09   0  0  1  1  1  0  0
    3  3.6476807896022534e-01   0  0  0  2  1  0  0
    3  2.8951205721716572e-01   1  0  0  0  2  0  0
    3  2.8951205721716572e-01   0  1  0  0  2  0  0
    3 -4.2233476717589672e-04   0  0  0  0  3  0  0
    4  1.1208561964445765e+02   4  0  0  0  0  0  0
    4 -3.8266494161867683e+01   3  1  0  0  0  0  0
    4  7.7697797648916116e+02   2  2  0  0  0  0  0
    4 -3.8266494161867683e+01   1  3  0  0  0  0  0
    4  1.1208561964445765e+02   0  4  0  0  0  0  0
    4 -6.9193890647700925e+01   2  0  2  0  0  0  0
    4  5.4036229387923655e+01   1  1  2  0  0  0  0
    4 -3.4475513659155735e+02   0  2  2  0  0  0  0
    4  4.7892958602843450e+01   0  0  4  0  0  0  0
    4  4.3066810206799175e+00   2  0  1  1  0  0  0
    4 -8.2337847781623577e+02   1  1  1  1  0  0  0
    4  4.3066810206799175e+00   0  2  1  1  0  0  0
    4 -1.9812690554760024e+02   0  0  3  1  0  0  0
    4 -3.4475513659155735e+02   2  0  0  2  0  0  0
    4  5.4036229387923655e+01   1  1  0  2  0  0  0
    4 -6.9193890647700925e+01   0  2  0  2  0  0  0
    4  8.5765196530309709e+01   0  0  2  2  0  0  0
    4 -1.9812690554760024e+02   0  0  1  3  0  0  0
    4  4.7892958602843450e+01   0  0  0  4  0  0  0
    4 -2.6694203723257399e+01   3  0  0  0  1  0  0
    4 -1.9585651393157156e+02   2  1  0  0  1  0  0
    4 -1.9585651393157156e+02   1  2  0  0  1  0  0
    4 -2.6694203723257399e+01   0  3  0  0  1  0  0
    4  3.1957608820580379e+01   1  0  2  0  1  0  0
    4  8.5878652052526945e+01   0  1  2  0  1  0  0
    4 -1.7618770843298228e+02   1  0  1  1  1  0  0
    4 -1.7618770843298228e+02   0  1  1  1  1  0  0
    4  8.5878652052526945e+01   1  0  0  2  1  0  0
    4  3.1957608820580379e+01   0  1  0  2  1  0  0
    4 -7.4117202540101701e-01   2  0  0  0  2  0  0
    4  4.0876367505909371e+01   1  1  0  0  2  0  0
    4 -7.4117202540101701e-01   0  2  0  0  2  0  0
    4 -9.3523469999659348e-01   0  0  2  0  2  0  0
    4  1.0910490225650740e+01   0  0  1  1  2  0  0
    4 -9.3523469999659348e-01   0  0  0  2  2  0  0
    4 -1.1984858370658362e+00   1  0  0  0  3  0  0
    4 -1.1984858370658362e+00   0  1  0  0  3  0  0
    4  6.1796325194281500e-02   0  0  0  0  4  0  0
    5 -1.0526916957451053e+03   5  0  0  0  0  0  0
    5 -1.4806217318802341e+04   4  1  0  0  0  0  0
    5  2.2045435625746341e+03   3  2  0  0  0  0  0
    5  2.2045435625746341e+03   2  3  0  0  0  0  0
    5 -1.4806217318802341e+04   1  4  0  0  0  0  0
    5 -1.0526916957451053e+03   0  5  0  0  0  0  0
    5 -2.2663389092949452e+04   3  0  2  0  0  0  0
    5  2.2204841072302643e+03   2  1  2  0  0  0  0
    5 -4.3753299058531127e+04   1  2  2  0  0  0  0
    5  2.2099894206977388e+02   0  3  2  0  0  0  0
    5 -9.5006948817759985e+02   1  0  4  0  0  0  0
    5  2.0795003141359939e+02   0  1  4  0  0  0  0
    5  1.8178369922340797e+04   3  0  1  1  0  0  0
    5  9.9508471365487188e+04   2  1  1  1  0  0  0
    5  9.9508471365487188e+04   1  2  1  1  0  0  0
    5  1.8178369922340797e+04   0  3  1  1  0  0  0
    5 -7.9737768913604450e+03   1  0  3  1  0  0  0
    5 -3.8437935413509127e+04   0  1  3  1  0  0  0
    5  2.2099894206977388e+02   3  0  0  2  0  0  0
    5 -4.3753299058531127e+04   2  1  0  2  0  0  0
    5  2.2204841072302643e+03   1  2  0  2  0  0  0
    5 -2.2663389092949452e+04   0  3  0  2  0  0  0
    5  4.3767321646167977e+04   1  0  2  2  0  0  0
    5  4.3767321646167977e+04   0  1  2  2  0  0  0
    5 -3.8437935413509127e+04   1  0  1  3  0  0  0
    5 -7.9737768913604450e+03   0  1  1  3  0  0  0
    5  2.0795003141359939e+02   1  0  0  4  0  0  0
    5 -9.5006948817759985e+02   0  1  0  4  0  0  0
    5  2.4704701763581202e+03   4  0  0  0  1  0  0
    5 -3.7668849300389247e+03   3  1  0  0  1  0  0
    5  1.3156260104832967e+04   2  2  0  0  1  0  0
    5 -3.7668849300389247e+03   1  3  0  0  1  0  0
    5  2.4704701763581202e+03   0  4  0  0  1  0  0
    5  7.9639832459544778e+01   2  0  2  0  1  0  0
    5  3.4476800976925279e+03   1  1  2  0  1  0  0
    5  1.7382838956994974e+03   0  2  2  0  1  0  0
    5 -2.4133082231491585e+00   0  0  4  0  1  0  0
    5  5.4244947960278751e+03   2  0  1  1  1  0  0
    5 -2.5628475493033289e+04   1  1  1  1  1  0  0
    5  5.4244947960278751e+03   0  2  1  1  1  0  0
    5  2.0949257008508503e+03   0  0  3  1  1  0  0
    5  1.7382838956994974e+03   2  0  0  2  1  0  0
    5  3.4476800976925279e+03   1  1  0  2  1  0  0
    5  7.9639832459544778e+01   0  2  0  2  1  0  0
    5 -4.8711190333884169e+03   0  0  2  2  1  0  0
    5  2.0949257008508503e+03   0  0  1  3  1  0  0
    5 -2.4133082231491585e+00   0  0  0  4  1  0  0
    5  3.1755545248035872e+02   3  0  0  0  2  0  0
    5  1.7360168563587060e+03   2  1  0  0  2  0  0
    5  1.7360168563587060e+03   1  2  0  0  2  0  0
    5  3.1755545248035872e+02   0  3  0  0  2  0  0
    5 -3.2621506294585259e+02   1  0  2  0  2  0  0
    5 -1.1939943220475709e+03   0  1  2  0  2  0  0
    5  1.6676197025416545e+03   1  0  1  1  2  0  0
    5  1.6676197025416545e+03   0  1  1  1  2  0  0
    5 -1.1939943220475709e+03   1  0  0  2  2  0  0
    5 -3.2621506294585259e+02   0  1  0  2  2  0  0
    5 -2.8134666743348873e+02   2  0  0  0  3  0  0
    5  2.6533698973239382e+01   1  1  0  0  3  0  0
    5 -2.8134666743348873e+02   0  2  0  0  3  0  0
    5  2.2548857651335233e+01   0  0  2  0  3  0  0
    5 -9.6638945990394816e+01   0  0  1  1  3  0  0
    5  2.2548857651335233e+01   0  0  0  2  3  0  0
    5  1.2907287390121546e+01   1  0  0  0  4  0  0
    5  1.2907287390121546e+01   0  1  0  0  4  0  0
    5  9.2370072709271004e-03   0  0  0  0  5  0  0
 -123  0.0000000000000000e+00   0  0  0  0  0  0  0
