
tpsa, NO = 5, NV = 7, INA = 48016
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981347e-01   1  0  0  0  0  0  0
    1  1.8587589915861045e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2  3.4745332002695761e-01   2  0  0  0  0  0  0
    2 -1.0009632282681912e+02   1  1  0  0  0  0  0
    2 -6.1461041127679437e+02   0  2  0  0  0  0  0
    2  2.5597987304698555e-01   0  0  2  0  0  0  0
    2  5.2906665857423512e+01   0  0  1  1  0  0  0
    2 -1.5412610481156882e+01   0  0  0  2  0  0  0
    2 -1.4058611518889430e-02   1  0  0  0  1  0  0
    2 -1.0882756392418433e+02   0  1  0  0  1  0  0
    2  1.9899043589470322e+00   0  0  0  0  2  0  0
    3  2.0274557833817698e+02   3  0  0  0  0  0  0
    3 -2.9980671904105889e+03   2  1  0  0  0  0  0
    3  1.1377906545042377e+04   1  2  0  0  0  0  0
    3 -3.8038768364328664e+05   0  3  0  0  0  0  0
    3 -9.3569658555942488e+02   1  0  2  0  0  0  0
    3  6.5882420058821685e+02   0  1  2  0  0  0  0
    3  6.7716924678819250e+03   1  0  1  1  0  0  0
    3 -1.7092209437419282e+04   0  1  1  1  0  0  0
    3 -5.8298953132995382e+02   1  0  0  2  0  0  0
    3  7.1055798308790560e+04   0  1  0  2  0  0  0
    3 -2.9265712261043501e+02   2  0  0  0  1  0  0
    3  1.4179851768298015e+03   1  1  0  0  1  0  0
    3  1.3987044470223344e+04   0  2  0  0  1  0  0
    3 -1.1394017385672124e+02   0  0  2  0  1  0  0
    3  4.4962575257530762e+02   0  0  1  1  1  0  0
    3 -6.2561781339335466e+03   0  0  0  2  1  0  0
    3  7.4961700480100120e+01   1  0  0  0  2  0  0
    3 -2.3767569234687591e+02   0  1  0  0  2  0  0
    3 -1.5344254767091337e+01   0  0  0  0  3  0  0
    4  1.5404256612051000e+02   4  0  0  0  0  0  0
    4  7.4749292296875676e+04   3  1  0  0  0  0  0
    4  3.5831714902647526e+05   2  2  0  0  0  0  0
    4  1.2512279760300798e+07   1  3  0  0  0  0  0
    4  1.6276651387340507e+08   0  4  0  0  0  0  0
    4  2.2115164268209130e+04   2  0  2  0  0  0  0
    4 -1.8702765980913257e+05   1  1  2  0  0  0  0
    4  1.4380105809117155e+05   0  2  2  0  0  0  0
    4  1.4378344695545168e+03   0  0  4  0  0  0  0
    4  4.3667223754045597e+04   2  0  1  1  0  0  0
    4  1.4406578623987369e+06   1  1  1  1  0  0  0
    4 -1.3341159322993997e+07   0  2  1  1  0  0  0
    4 -1.0118556294269382e+05   0  0  3  1  0  0  0
    4  8.9134763946477999e+05   2  0  0  2  0  0  0
    4 -3.7714456226950041e+06   1  1  0  2  0  0  0
    4 -5.7320030869401142e+07   0  2  0  2  0  0  0
    4  5.2884702570047893e+05   0  0  2  2  0  0  0
    4  1.5751159353619786e+06   0  0  1  3  0  0  0
    4  6.3338608722233223e+06   0  0  0  4  0  0  0
    4  3.9733997474806088e+03   3  0  0  0  1  0  0
    4 -9.6203738983299205e+04   2  1  0  0  1  0  0
    4  6.4808412151064829e+05   1  2  0  0  1  0  0
    4 -1.3384616744178172e+07   0  3  0  0  1  0  0
    4  1.2106139928494797e+03   1  0  2  0  1  0  0
    4  1.0470544717859055e+05   0  1  2  0  1  0  0
    4 -1.1836276703660221e+05   1  0  1  1  1  0  0
    4 -5.0430541999349213e+05   0  1  1  1  1  0  0
    4 -2.7681467271349765e+05   1  0  0  2  1  0  0
    4  5.1281567428705441e+06   0  1  0  2  1  0  0
    4 -1.9759504645926916e+03   2  0  0  0  2  0  0
    4  3.5878359322092918e+04   1  1  0  0  2  0  0
    4  1.3757327638472815e+05   0  2  0  0  2  0  0
    4  1.6100629010107691e+03   0  0  2  0  2  0  0
    4  1.3673475066285337e+03   0  0  1  1  2  0  0
    4  9.2114326358717910e+04   0  0  0  2  2  0  0
    4  7.0503407298603395e+02   1  0  0  0  3  0  0
    4 -3.8602649038714490e+03   0  1  0  0  3  0  0
    4 -6.3315416678654515e+01   0  0  0  0  4  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48017
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1 -5.0608631694825559e-02   1  0  0  0  0  0  0
    1  2.4353132827980994e-01   0  1  0  0  0  0  0
    1 -1.3004166988647630e-05   0  0  0  0  1  0  0
    2 -1.5923521189617107e-01   2  0  0  0  0  0  0
    2 -4.2010662289040255e+00   1  1  0  0  0  0  0
    2  1.7447607504856819e+01   0  2  0  0  0  0  0
    2  3.3393078190049952e-01   0  0  2  0  0  0  0
    2 -7.1208473803140748e-01   0  0  1  1  0  0  0
    2 -5.6554941629595987e+00   0  0  0  2  0  0  0
    2 -2.9631778572454703e-01   1  0  0  0  1  0  0
    2  1.3157762575712295e-02   0  1  0  0  1  0  0
    2  1.2951342577855235e-01   0  0  0  0  2  0  0
    3 -7.8357874008448070e-01   3  0  0  0  0  0  0
    3 -2.1738786061635054e+01   2  1  0  0  0  0  0
    3 -2.7166056151660632e+02   1  2  0  0  0  0  0
    3  8.0193966482774893e+04   0  3  0  0  0  0  0
    3 -1.1249259038934767e+01   1  0  2  0  0  0  0
    3  8.6771236464446304e+01   0  1  2  0  0  0  0
    3 -3.7376730389754542e+01   1  0  1  1  0  0  0
    3 -6.1332785647430646e+03   0  1  1  1  0  0  0
    3  8.8247866997520639e+00   1  0  0  2  0  0  0
    3 -1.0962253459422336e+04   0  1  0  2  0  0  0
    3 -4.2892634799232301e+00   2  0  0  0  1  0  0
    3 -1.0028934995631658e+02   1  1  0  0  1  0  0
    3 -5.7527548707678889e+03   0  2  0  0  1  0  0
    3 -8.5862612828456903e+00   0  0  2  0  1  0  0
    3  5.3658168311596512e+01   0  0  1  1  1  0  0
    3 -4.4178886695736685e+02   0  0  0  2  1  0  0
    3 -2.1607196122462913e-01   1  0  0  0  2  0  0
    3  9.0355479043768753e+01   0  1  0  0  2  0  0
    3 -2.6214832800947357e-01   0  0  0  0  3  0  0
    4  1.1098501124824224e+01   4  0  0  0  0  0  0
    4  2.6797636361972545e+03   3  1  0  0  0  0  0
    4  4.7074432305188937e+04   2  2  0  0  0  0  0
    4  8.1745272010940069e+04   1  3  0  0  0  0  0
    4 -5.8153558882875741e+06   0  4  0  0  0  0  0
    4  1.6011950350118332e+02   2  0  2  0  0  0  0
    4  1.4741278962727869e+04   1  1  2  0  0  0  0
    4  7.3756067262070137e+05   0  2  2  0  0  0  0
    4  3.5710808430044517e+02   0  0  4  0  0  0  0
    4  1.2740072501169670e+03   2  0  1  1  0  0  0
    4 -1.0751577924615052e+05   1  1  1  1  0  0  0
    4 -3.3172891742665349e+06   0  2  1  1  0  0  0
    4 -9.2042464160543295e+03   0  0  3  1  0  0  0
    4  4.7973715872336015e+03   2  0  0  2  0  0  0
    4 -2.3126604939058190e+04   1  1  0  2  0  0  0
    4  1.2233673431656674e+07   0  2  0  2  0  0  0
    4  5.5853041961770286e+04   0  0  2  2  0  0  0
    4 -1.0638040560338611e+05   0  0  1  3  0  0  0
    4  3.8889259061035787e+05   0  0  0  4  0  0  0
    4 -2.2557502606022922e+01   3  0  0  0  1  0  0
    4 -5.6803295045660343e+02   2  1  0  0  1  0  0
    4 -2.4105749905000383e+04   1  2  0  0  1  0  0
    4  8.2370659538300894e+05   0  3  0  0  1  0  0
    4 -1.8682361425623959e+01   1  0  2  0  1  0  0
    4 -2.3391390212561622e+04   0  1  2  0  1  0  0
    4 -1.4821764476736371e+03   1  0  1  1  1  0  0
    4  1.0594862292538138e+05   0  1  1  1  1  0  0
    4  6.5942322619330225e+03   1  0  0  2  1  0  0
    4 -1.3393878130915089e+05   0  1  0  2  1  0  0
    4  8.0559937602465368e+00   2  0  0  0  2  0  0
    4  1.2946532266402432e+03   1  1  0  0  2  0  0
    4  2.3691700893446563e+04   0  2  0  0  2  0  0
    4  1.8652261084561454e+02   0  0  2  0  2  0  0
    4 -1.5270654863884251e+03   0  0  1  1  2  0  0
    4  7.5172033965727110e+02   0  0  0  2  2  0  0
    4 -1.4905578225037512e+01   1  0  0  0  3  0  0
    4 -6.5358273110866458e+02   0  1  0  0  3  0  0
    4  4.6175564576906725e+00   0  0  0  0  4  0  0
  -69  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48018
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  8.9386057384569950e-01   0  0  1  0  0  0  0
    1  1.4378464296994942e+00   0  0  0  1  0  0  0
    2 -1.9672204280075629e+00   1  0  1  0  0  0  0
    2  4.1018035302314310e+01   0  1  1  0  0  0  0
    2  7.4571914560798165e+00   1  0  0  1  0  0  0
    2  1.4366162517200578e+02   0  1  0  1  0  0  0
    2  2.6887179988418719e-02   0  0  1  0  1  0  0
    2  5.1927381300113673e+00   0  0  0  1  1  0  0
    3 -2.2481715896609774e+02   2  0  1  0  0  0  0
    3  1.8339224135177838e+03   1  1  1  0  0  0  0
    3  5.2428677430987169e+04   0  2  1  0  0  0  0
    3 -1.4369564636123286e+02   0  0  3  0  0  0  0
    3  2.8903804885897603e+02   2  0  0  1  0  0  0
    3 -4.9849812296819910e+03   1  1  0  1  0  0  0
    3  1.1352452468287281e+05   0  2  0  1  0  0  0
    3  8.8284993503283431e+02   0  0  2  1  0  0  0
    3  6.3065303308892762e+03   0  0  1  2  0  0  0
    3 -2.4956386920625762e+04   0  0  0  3  0  0  0
    3 -6.7521387459660474e+01   1  0  1  0  1  0  0
    3 -1.2814436796480295e+03   0  1  1  0  1  0  0
    3  8.5356667156804497e+02   1  0  0  1  1  0  0
    3  1.2112876727992138e+04   0  1  0  1  1  0  0
    3  1.4811813020456126e+01   0  0  1  0  2  0  0
