
tpsa, NO = 5, NV = 7, INA = 48118
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1 -6.4077130470585331e-09   0  0  0  0  1  0  0
    2 -4.8891427372704561e+02   1  1  0  0  0  0  0
    2  2.5486109210731124e+02   0  0  1  1  0  0  0
    2 -1.2843585083404951e+01   0  0  0  0  2  0  0
    3 -1.0875432282345670e+04   1  1  0  0  1  0  0
    3  6.9151313531166516e+03   0  0  1  1  1  0  0
    3  1.3399846451844442e+02   0  0  0  0  3  0  0
   -8  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 48119
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1 -1.6461360797014366e-09   0  0  0  0  1  0  0
    2  2.5486109210731124e+02   1  1  0  0  0  0  0
    2 -5.8209589220239224e+01   0  0  1  1  0  0  0
    2 -3.6709723786627282e+00   0  0  0  0  2  0  0
    3  6.9151313531166516e+03   1  1  0  0  1  0  0
    3  4.2497299711880833e+03   0  0  1  1  1  0  0
    3  9.5658556774249803e+01   0  0  0  0  3  0  0
   -8  0.0000000000000000e+00   0  0  0  0  0  0  0
