# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  5.5840581590371275e-03  2.9038025900427066e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1  4.3817727324273614e-05 -6.1005122258237316e-05  4.9072043825667900e-03 -2.6244905895835419e-03  0.0000000000000000e+00  2.1505587328742193e-02
   2 -1.7442852459712368e-04  1.6614330403713292e-04  3.2433013319331867e-03 -4.7011816317718402e-03  0.0000000000000000e+00  2.1832879692673966e-02
   3  2.2554809995690043e-05  4.0940024681817211e-04  1.2276267962413143e-03 -5.8282899755127847e-03  0.0000000000000000e+00 -6.5342494772417849e-03
   4  4.3250472989153432e-04  1.0898378847305838e-04 -8.0227112367772281e-04 -5.8951833902237336e-03  0.0000000000000000e+00 -6.1416158055282777e-02
   5  4.5909390875967931e-04 -5.4253026239742285e-04 -2.7660169365962359e-03 -5.0403554380529271e-03  0.0000000000000000e+00 -1.1495622340267105e-01
   6 -5.9562198525961888e-05 -6.4776994060271841e-04 -4.4692665485428756e-03 -3.2853144838348239e-03  0.0000000000000000e+00 -1.3090959321715798e-01
   7 -4.4044814345726969e-04 -4.5712310248724374e-05 -5.4492392799027267e-03 -7.8899563583753260e-04  0.0000000000000000e+00 -1.1270276507124269e-01
   8 -7.0008553356542389e-05  5.4851939766084850e-04 -5.1828365167484259e-03  1.8868249761131402e-03  0.0000000000000000e+00 -8.7013207471068985e-02
   9  4.4584984437958113e-04  4.7907421570985147e-04 -3.8219312116579930e-03  4.1121286713808707e-03  0.0000000000000000e+00 -8.2737749614257255e-02
  10  3.5908743510727948e-04 -7.4920488004376053e-05 -1.9120422435511292e-03  5.5298476770550310e-03  0.0000000000000000e+00 -1.1633291965580832e-01
  11 -4.8928142586091219e-05 -2.7736039802479069e-04  1.3962146636054028e-04  6.0257449426446164e-03  0.0000000000000000e+00 -1.6514588778632325e-01
  12 -1.0493028729589061e-04 -6.4468377838248123e-05  2.2028394327620179e-03  5.4482677886412605e-03  0.0000000000000000e+00 -2.0433537984822286e-01
  13  2.0181313722542223e-04 -6.2814041262782157e-05  4.1090042154782423e-03  3.8446715545965046e-03  0.0000000000000000e+00 -2.2401674723148485e-01
  14  2.5546084595203243e-04 -2.7265447162379427e-04  5.3690737900900318e-03  1.4844065751553422e-03  0.0000000000000000e+00 -2.1629427437266449e-01
  15 -1.1202365585288380e-04 -2.1594832217811216e-04  5.4134146049705529e-03 -1.2087544573042800e-03  0.0000000000000000e+00 -1.9112361791368329e-01
  16 -2.7903110736379223e-04  2.5005143542061243e-04  4.2164227573127395e-03 -3.6515042598793007e-03  0.0000000000000000e+00 -1.7532062334156165e-01
  17  8.5837678997233166e-05  5.8309565351025432e-04  2.3627476256414615e-03 -5.3047776519177742e-03  0.0000000000000000e+00 -1.8830268292871932e-01
  18  5.0153955263989062e-04  2.0980518176056382e-04  3.6778399097534063e-04 -5.9355327986321382e-03  0.0000000000000000e+00 -2.3939460174526950e-01
  19  4.3785547863186755e-04 -4.9991871251524127e-04 -1.6154178944098735e-03 -5.6562740899212269e-03  0.0000000000000000e+00 -3.0367589108882764e-01
  20 -5.9671874541623837e-05 -6.3561118316971834e-04 -3.5133567774071183e-03 -4.4399030613340596e-03  0.0000000000000000e+00 -3.3760592714273457e-01
  21 -3.6503136113929271e-04 -1.0423605084738565e-04 -5.0267009663491962e-03 -2.2865293081050521e-03  0.0000000000000000e+00 -3.3287555201939112e-01
  22 -4.6203654951140093e-05  3.8540059740184348e-04 -5.5315101986345930e-03  3.7381207407590633e-04  0.0000000000000000e+00 -3.0845401307535647e-01
  23  3.5792683817645099e-04  3.3718176269847126e-04 -4.7349159870764112e-03  2.9287158185340757e-03  0.0000000000000000e+00 -2.8966061250342257e-01
  24  2.2931764607028021e-04 -7.2540762723160069e-06 -3.0273837894397014e-03  4.8665436068308964e-03  0.0000000000000000e+00 -3.0052226497529044e-01
  25 -9.8743841618778195e-05 -5.7393609044160656e-05 -9.8525061237695818e-04  5.9129359877929232e-03  0.0000000000000000e+00 -3.3569910611079873e-01
  26 -1.0058087977837434e-05  1.0895034065225383e-04  1.0956699652640077e-03  5.8873094129627207e-03  0.0000000000000000e+00 -3.7934650315441582e-01
  27  3.5334144541866952e-04 -1.1714821311634679e-04  3.1067336698628292e-03  4.8164656146852565e-03  0.0000000000000000e+00 -4.1837015136431455e-01
  28  3.1175438856752876e-04 -4.9889584041395540e-04  4.7593880182229204e-03  2.8805236083784174e-03  0.0000000000000000e+00 -4.3088571436382800e-01
  29 -2.0654983357465653e-04 -3.7366889572885937e-04  5.5180690304219128e-03  3.2275297107552380e-04  0.0000000000000000e+00 -4.1152082494505549e-01
  30 -3.7222515231016427e-04  2.5903223810975340e-04  4.9931582343837686e-03 -2.3306557608362205e-03  0.0000000000000000e+00 -3.8696909908768384e-01
  31  1.2195730523083107e-04  6.8074388662222902e-04  3.4657130388165056e-03 -4.4553533565812129e-03  0.0000000000000000e+00 -3.8304142424924420e-01
  32  5.3755334522054624e-04  2.9973615782324508e-04  1.5482454174515761e-03 -5.6523200905825802e-03  0.0000000000000000e+00 -4.2079825528621018e-01
  33  3.7888523281755368e-04 -4.0052582544657870e-04 -4.4840283432869894e-04 -5.9480381963960063e-03  0.0000000000000000e+00 -4.8421440660123272e-01
  34 -8.0129800174330460e-05 -5.2472857423685384e-04 -2.4410906875950789e-03 -5.2915944585437561e-03  0.0000000000000000e+00 -5.3005079830757695e-01
  35 -2.4099751476928263e-04 -1.1777103003973288e-04 -4.2814890596396104e-03 -3.5954012933923805e-03  0.0000000000000000e+00 -5.4169818841250139e-01
  36  4.2835971472189950e-05  1.7933199494796819e-04 -5.4465295193323838e-03 -1.1373388762504358e-03  0.0000000000000000e+00 -5.2666621137696179e-01
  37  2.5567749770727426e-04  1.0746250798857583e-04 -5.3523808527888529e-03  1.5571732291059113e-03  0.0000000000000000e+00 -5.0194162988430602e-01
  38  5.9449045162292850e-05 -1.5228733613290303e-06 -4.0357783608546017e-03  3.9139531023221364e-03  0.0000000000000000e+00 -4.9283702772107824e-01
  39 -1.4234448020957919e-04  1.5745330520271962e-04 -2.0979029147015736e-03  5.4883005410825796e-03  0.0000000000000000e+00 -5.1025209050753295e-01
  40  8.8482873345160375e-05  2.9566140733971205e-04 -3.3729033095664740e-05  6.0139601337303667e-03  0.0000000000000000e+00 -5.5136335640330847e-01
  41  4.6134520970483639e-04 -1.0449665723365493e-04  1.9923767936930554e-03  5.5008377201161748e-03  0.0000000000000000e+00 -6.0532307336452240e-01
  42  3.5147095603914194e-04 -6.3312154948800300e-04  3.8548943952875477e-03  4.0912132818411604e-03  0.0000000000000000e+00 -6.4010846286809375e-01
  43 -2.3155224359232323e-04 -4.9227275004693350e-04  5.1873234111375257e-03  1.8549957535651828e-03  0.0000000000000000e+00 -6.3455655717007586e-01
  44 -4.1606649350195971e-04  2.0617722100298166e-04  5.4419608048304167e-03 -8.2351468382897361e-04  0.0000000000000000e+00 -6.0906525470664141e-01
