
tpsa, NO = 6, NV = 7, INA = 48082
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -9.9061229983094066e+00   3  0  0  0  0  0  0
    3  7.5337821119324744e-02   2  1  0  0  0  0  0
    3  7.5337821119324744e-02   1  2  0  0  0  0  0
    3 -9.9061229983094066e+00   0  3  0  0  0  0  0
    3  2.1094609832290212e+00   1  0  2  0  0  0  0
    3 -3.3578691635894825e-01   0  1  2  0  0  0  0
    3 -7.6594943736926657e-01   1  0  1  1  0  0  0
    3 -7.6594943736926657e-01   0  1  1  1  0  0  0
    3 -3.3578691635894825e-01   1  0  0  2  0  0  0
    3  2.1094609832290212e+00   0  1  0  2  0  0  0
    3 -1.9366396282885416e+00   2  0  0  0  1  0  0
    3  1.6470178998417850e-08   1  1  0  0  1  0  0
    3 -1.9366396282885416e+00   0  2  0  0  1  0  0
    3  4.6872662415308053e-01   0  0  2  0  1  0  0
    3  6.8978225353788503e-09   0  0  1  1  1  0  0
    3  4.6872662415308053e-01   0  0  0  2  1  0  0
    3 -1.6383198722187251e-15   1  0  0  0  2  0  0
    3 -1.6383198722187251e-15   0  1  0  0  2  0  0
    3 -3.0820235700726526e-04   0  0  0  0  3  0  0
    4 -2.4345368179256860e+02   4  0  0  0  0  0  0
    4 -4.7348253765115260e+01   3  1  0  0  0  0  0
    4 -1.3038257146338657e+02   2  2  0  0  0  0  0
    4 -4.7348253765115260e+01   1  3  0  0  0  0  0
    4 -2.4345368179256860e+02   0  4  0  0  0  0  0
    4  9.9146639172936318e+02   2  0  2  0  0  0  0
    4  1.2279587156785834e+02   1  1  2  0  0  0  0
    4 -4.4145976169080410e+02   0  2  2  0  0  0  0
    4  1.1717669033915271e+02   0  0  4  0  0  0  0
    4 -4.4285377462106692e+02   2  0  1  1  0  0  0
    4 -9.0349519616182511e+02   1  1  1  1  0  0  0
    4 -4.4285377462106692e+02   0  2  1  1  0  0  0
    4 -1.7943869679780232e+02   0  0  3  1  0  0  0
    4 -4.4145976169080410e+02   2  0  0  2  0  0  0
    4  1.2279587156785834e+02   1  1  0  2  0  0  0
    4  9.9146639172936318e+02   0  2  0  2  0  0  0
    4 -1.0408204386542781e+02   0  0  2  2  0  0  0
    4 -1.7943869679780232e+02   0  0  1  3  0  0  0
    4  1.1717669033915271e+02   0  0  0  4  0  0  0
    4  7.9683880377540717e+01   3  0  0  0  1  0  0
    4 -2.3891367482207329e+02   2  1  0  0  1  0  0
    4 -2.3891367482207329e+02   1  2  0  0  1  0  0
    4  7.9683880377540717e+01   0  3  0  0  1  0  0
    4  8.0036281344136000e+01   1  0  2  0  1  0  0
    4  6.2729388319152157e+01   0  1  2  0  1  0  0
    4 -1.7722504208604937e+02   1  0  1  1  1  0  0
    4 -1.7722504208604937e+02   0  1  1  1  1  0  0
    4  6.2729388319152157e+01   1  0  0  2  1  0  0
    4  8.0036281344136000e+01   0  1  0  2  1  0  0
    4 -1.4598038625074128e+01   2  0  0  0  2  0  0
    4  1.2162853318753170e+01   1  1  0  0  2  0  0
    4 -1.4598038625074128e+01   0  2  0  0  2  0  0
    4  1.7766173637491607e+00   0  0  2  0  2  0  0
    4  4.0762520821463992e+00   0  0  1  1  2  0  0
    4  1.7766173637491607e+00   0  0  0  2  2  0  0
    4 -3.6604579476671946e-15   1  0  0  0  3  0  0
    4 -3.6604579476671946e-15   0  1  0  0  3  0  0
    4  1.7421460283276924e-01   0  0  0  0  4  0  0
    5 -1.1838159615979102e+05   5  0  0  0  0  0  0
    5  5.7347698482570318e+04   4  1  0  0  0  0  0
    5 -4.2042467281268240e+04   3  2  0  0  0  0  0
    5 -4.2042467281268240e+04   2  3  0  0  0  0  0
    5  5.7347698482570318e+04   1  4  0  0  0  0  0
    5 -1.1838159615979102e+05   0  5  0  0  0  0  0
    5  3.6830365715463427e+04   3  0  2  0  0  0  0
    5 -1.6346250767660942e+04   2  1  2  0  0  0  0
    5  1.0254218878563122e+04   1  2  2  0  0  0  0
    5 -9.3387256865434611e+03   0  3  2  0  0  0  0
    5 -1.2568447476078036e+04   1  0  4  0  0  0  0
    5  3.6747701802024330e+03   0  1  4  0  0  0  0
    5 -5.4483431856354204e+04   3  0  1  1  0  0  0
    5  6.5655731949796769e+04   2  1  1  1  0  0  0
    5  6.5655731949796769e+04   1  2  1  1  0  0  0
    5 -5.4483431856354204e+04   0  3  1  1  0  0  0
    5 -3.3341998020263691e+03   1  0  3  1  0  0  0
    5 -2.7533569523102185e+04   0  1  3  1  0  0  0
    5 -9.3387256865434611e+03   3  0  0  2  0  0  0
    5  1.0254218878563122e+04   2  1  0  2  0  0  0
    5 -1.6346250767660942e+04   1  2  0  2  0  0  0
    5  3.6830365715463427e+04   0  3  0  2  0  0  0
    5  2.9361008378609557e+04   1  0  2  2  0  0  0
    5  2.9361008378609557e+04   0  1  2  2  0  0  0
    5 -2.7533569523102185e+04   1  0  1  3  0  0  0
    5 -3.3341998020263691e+03   0  1  1  3  0  0  0
    5  3.6747701802024330e+03   1  0  0  4  0  0  0
    5 -1.2568447476078036e+04   0  1  0  4  0  0  0
    5 -3.8164894675228948e+04   4  0  0  0  1  0  0
    5 -1.1810848777241474e+04   3  1  0  0  1  0  0
    5  3.4556738840883729e+04   2  2  0  0  1  0  0
    5 -1.1810848777241474e+04   1  3  0  0  1  0  0
    5 -3.8164894675228948e+04   0  4  0  0  1  0  0
    5 -1.2605611792546486e+04   2  0  2  0  1  0  0
    5  1.0444048631066275e+03   1  1  2  0  1  0  0
    5  1.7615285821451021e+03   0  2  2  0  1  0  0
    5 -5.7480071031205352e+02   0  0  4  0  1  0  0
    5  5.7222697480715269e+03   2  0  1  1  1  0  0
    5 -1.0546230813222443e+04   1  1  1  1  1  0  0
    5  5.7222697480715269e+03   0  2  1  1  1  0  0
    5  1.2394492582807213e+03   0  0  3  1  1  0  0
    5  1.7615285821451021e+03   2  0  0  2  1  0  0
    5  1.0444048631066275e+03   1  1  0  2  1  0  0
    5 -1.2605611792546486e+04   0  2  0  2  1  0  0
    5 -1.4131128724313589e+02   0  0  2  2  1  0  0
    5  1.2394492582807213e+03   0  0  1  3  1  0  0
    5 -5.7480071031205352e+02   0  0  0  4  1  0  0
    5  2.7549667618575695e+03   3  0  0  0  2  0  0
    5 -3.5732741954307098e+03   2  1  0  0  2  0  0
    5 -3.5732741954307098e+03   1  2  0  0  2  0  0
    5  2.7549667618575695e+03   0  3  0  0  2  0  0
    5  1.1137798419618521e+03   1  0  2  0  2  0  0
    5 -4.6995866484612566e+02   0  1  2  0  2  0  0
    5 -7.2388279333964056e+02   1  0  1  1  2  0  0
    5 -7.2388279333964056e+02   0  1  1  1  2  0  0
    5 -4.6995866484612566e+02   1  0  0  2  2  0  0
    5  1.1137798419618521e+03   0  1  0  2  2  0  0
    5  2.5236900792109019e+01   2  0  0  0  3  0  0
    5  9.8569003591294248e+01   1  1  0  0  3  0  0
    5  2.5236900792109019e+01   0  2  0  0  3  0  0
    5  3.6968374623583593e+01   0  0  2  0  3  0  0
    5 -1.2510838445718032e+02   0  0  1  1  3  0  0
    5  3.6968374623583593e+01   0  0  0  2  3  0  0
    5 -3.7291501559145922e-14   1  0  0  0  4  0  0
    5 -3.7291501559145922e-14   0  1  0  0  4  0  0
    5 -1.4460661988895471e-01   0  0  0  0  5  0  0
    6 -3.1672458150686376e+05   6  0  0  0  0  0  0
    6  5.5374741067239698e+06   5  1  0  0  0  0  0
    6 -1.0806622158192903e+07   4  2  0  0  0  0  0
    6  1.5346290229060762e+06   3  3  0  0  0  0  0
    6 -1.0806622158192903e+07   2  4  0  0  0  0  0
    6  5.5374741067239698e+06   1  5  0  0  0  0  0
    6 -3.1672458150686376e+05   0  6  0  0  0  0  0
    6 -2.1917318831456414e+08   4  0  2  0  0  0  0
    6 -3.4873492275005691e+06   3  1  2  0  0  0  0
    6  6.7743943159202561e+06   2  2  2  0  0  0  0
    6  2.5665771868518926e+06   1  3  2  0  0  0  0
    6 -1.2062922655962696e+06   0  4  2  0  0  0  0
    6 -1.1430582781773442e+06   2  0  4  0  0  0  0
    6 -5.9456758496361750e+05   1  1  4  0  0  0  0
    6 -1.8218290805152126e+05   0  2  4  0  0  0  0
    6  2.2915033704100992e+04   0  0  6  0  0  0  0
    6  2.1306724582785010e+07   4  0  1  1  0  0  0
    6  3.2803716730553210e+06   3  1  1  1  0  0  0
    6 -1.6898664178934231e+07   2  2  1  1  0  0  0
    6  3.2803716730553210e+06   1  3  1  1  0  0  0
    6  2.1306724582785010e+07   0  4  1  1  0  0  0
    6  4.4601307205497399e+06   2  0  3  1  0  0  0
    6  1.7438586945096743e+06   1  1  3  1  0  0  0
    6  1.5977237005070958e+05   0  2  3  1  0  0  0
    6 -1.1944956273284485e+05   0  0  5  1  0  0  0
    6 -1.2062922655962696e+06   4  0  0  2  0  0  0
    6  2.5665771868518926e+06   3  1  0  2  0  0  0
    6  6.7743943159202561e+06   2  2  0  2  0  0  0
    6 -3.4873492275005691e+06   1  3  0  2  0  0  0
    6 -2.1917318831456414e+08   0  4  0  2  0  0  0
    6 -1.8900917724287768e+06   2  0  2  2  0  0  0
    6 -1.1080793011273318e+06   1  1  2  2  0  0  0
    6 -1.8900917724287768e+06   0  2  2  2  0  0  0
    6 -6.5050040040308988e+04   0  0  4  2  0  0  0
    6  1.5977237005070958e+05   2  0  1  3  0  0  0
    6  1.7438586945096743e+06   1  1  1  3  0  0  0
    6  4.4601307205497399e+06   0  2  1  3  0  0  0
    6  1.2129484189540858e+05   0  0  3  3  0  0  0
    6 -1.8218290805152126e+05   2  0  0  4  0  0  0
    6 -5.9456758496361750e+05   1  1  0  4  0  0  0
    6 -1.1430582781773442e+06   0  2  0  4  0  0  0
    6 -6.5050040040308988e+04   0  0  2  4  0  0  0
