
tpsa, NO = 6, NV = 7, INA = 48084
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3  1.6470178813380677e-08   1  1  0  0  1  0  0
    3  6.8978225538825671e-09   0  0  1  1  1  0  0
    3 -3.0820235700726526e-04   0  0  0  0  3  0  0
    4  3.1479382978608305e+02   2  2  0  0  0  0  0
    4 -8.9004358422682583e+02   1  1  1  1  0  0  0
    4 -9.8520241554270541e+01   0  0  2  2  0  0  0
    4  2.3487222744786717e+01   1  1  0  0  2  0  0
    4  5.9693782315833017e+00   0  0  1  1  2  0  0
    4  1.7421460283276924e-01   0  0  0  0  4  0  0
    5  2.8148439731668990e+04   2  2  0  0  1  0  0
    5 -1.8253665857444537e+03   1  1  1  1  1  0  0
    5 -1.8182938645983747e+03   0  0  2  2  1  0  0
    5  2.6930002160351165e+02   1  1  0  0  3  0  0
    5 -1.1087885714777869e+02   0  0  1  1  3  0  0
    5 -1.4460661988895471e-01   0  0  0  0  5  0  0
    6  1.4551915228366852e-11   6  0  0  0  0  0  0
    6 -4.8092448644881593e+06   3  3  0  0  0  0  0
    6  1.4551915228366852e-11   0  6  0  0  0  0  0
    6 -1.1279512138182499e+07   2  2  1  1  0  0  0
    6  1.2926907321574453e+06   1  1  2  2  0  0  0
    6  9.1235095388518646e+05   0  0  3  3  0  0  0
    6 -7.5719106802218896e+05   2  2  0  0  2  0  0
    6 -3.4090670208065759e+05   1  1  1  1  2  0  0
    6  5.7143885178686432e+04   0  0  2  2  2  0  0
    6 -1.4770880629986728e+04   1  1  0  0  4  0  0
    6 -4.1464696162291096e+02   0  0  1  1  4  0  0
    6 -2.5109663084222731e+01   0  0  0  0  6  0  0
  -30  0.0000000000000000e+00   0  0  0  0  0  0  0
