
tpsa, NO = 6, NV = 7, INA = 48087
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.4924992243278301e+00   3  0  0  0  0  0  0
    3  5.6867695081470826e-02   2  1  0  0  0  0  0
    3 -5.6867695081470826e-02   1  2  0  0  0  0  0
    3  2.4924992243278301e+00   0  3  0  0  0  0  0
    3  9.3561824730318710e-01   1  0  2  0  0  0  0
    3  8.5016840484873413e-01   0  1  2  0  0  0  0
    3 -5.7816616415212563e-01   1  0  1  1  0  0  0
    3  5.7816616415212563e-01   0  1  1  1  0  0  0
    3 -8.5016840484873413e-01   1  0  0  2  0  0  0
    3 -9.3561824730318710e-01   0  1  0  2  0  0  0
    3 -7.3092259789256431e-01   2  0  0  0  1  0  0
    3  7.3092259789256431e-01   0  2  0  0  1  0  0
    3  5.0410143568796983e-01   0  0  2  0  1  0  0
    3 -5.0410143568796983e-01   0  0  0  2  1  0  0
    3 -1.2366627220567339e-15   1  0  0  0  2  0  0
    3  1.2366627220567339e-15   0  1  0  0  2  0  0
    4 -4.5748167719126180e+01   4  0  0  0  0  0  0
    4 -1.9722070183793548e+01   3  1  0  0  0  0  0
    4  1.9722070183793548e+01   1  3  0  0  0  0  0
    4  4.5748167719126180e+01   0  4  0  0  0  0  0
    4  2.8506242053086521e+02   2  0  2  0  0  0  0
    4  1.2623410559188380e+02   1  1  2  0  0  0  0
    4  2.8258068933071797e+02   0  2  2  0  0  0  0
    4  6.1886332189728151e+01   0  0  4  0  0  0  0
    4 -1.5635877577247058e+02   2  0  1  1  0  0  0
    4  1.5635877577247058e+02   0  2  1  1  0  0  0
    4 -1.9425514849550441e+02   0  0  3  1  0  0  0
    4 -2.8258068933071797e+02   2  0  0  2  0  0  0
    4 -1.2623410559188380e+02   1  1  0  2  0  0  0
    4 -2.8506242053086521e+02   0  2  0  2  0  0  0
    4  1.9425514849550441e+02   0  0  1  3  0  0  0
    4 -6.1886332189728151e+01   0  0  0  4  0  0  0
    4  2.0076921132093233e+01   3  0  0  0  1  0  0
    4 -1.2618274234760395e+02   2  1  0  0  1  0  0
    4  1.2618274234760395e+02   1  2  0  0  1  0  0
    4 -2.0076921132093233e+01   0  3  0  0  1  0  0
    4  3.7074367064761084e+01   1  0  2  0  1  0  0
    4 -1.3856408074478506e+02   0  1  2  0  1  0  0
    4 -1.2602925781795344e+02   1  0  1  1  1  0  0
    4  1.2602925781795344e+02   0  1  1  1  1  0  0
    4  1.3856408074478506e+02   1  0  0  2  1  0  0
    4 -3.7074367064761084e+01   0  1  0  2  1  0  0
    4 -5.5095621277775688e+00   2  0  0  0  2  0  0
    4  5.5095621277775688e+00   0  2  0  0  2  0  0
    4  1.9106987412199703e+00   0  0  2  0  2  0  0
    4 -1.9106987412199703e+00   0  0  0  2  2  0  0
    4  2.6409459593145718e-15   1  0  0  0  3  0  0
    4 -2.6409459593145718e-15   0  1  0  0  3  0  0
    5 -1.7736962234228238e+04   5  0  0  0  0  0  0
    5  1.3134810170978632e+04   4  1  0  0  0  0  0
    5 -1.9084059724501192e+04   3  2  0  0  0  0  0
    5  1.9084059724501192e+04   2  3  0  0  0  0  0
    5 -1.3134810170978632e+04   1  4  0  0  0  0  0
    5  1.7736962234228238e+04   0  5  0  0  0  0  0
    5  7.5680639901571403e+03   3  0  2  0  0  0  0
    5 -3.4277678845556293e+03   2  1  2  0  0  0  0
    5  6.8548634336298506e+04   1  2  2  0  0  0  0
    5  4.2989118138464710e+03   0  3  2  0  0  0  0
    5 -5.0031123326308189e+03   1  0  4  0  0  0  0
    5  1.0631483608577746e+03   0  1  4  0  0  0  0
    5 -9.1763813581083468e+03   3  0  1  1  0  0  0
    5  6.3353307325682210e+04   2  1  1  1  0  0  0
    5 -6.3353307325682210e+04   1  2  1  1  0  0  0
    5  9.1763813581083468e+03   0  3  1  1  0  0  0
    5 -2.4942371816195537e+03   1  0  3  1  0  0  0
    5  6.3815828200814220e+04   0  1  3  1  0  0  0
    5 -4.2989118138464710e+03   3  0  0  2  0  0  0
    5 -6.8548634336298506e+04   2  1  0  2  0  0  0
    5  3.4277678845556293e+03   1  2  0  2  0  0  0
    5 -7.5680639901571403e+03   0  3  0  2  0  0  0
    5  2.4860985501468025e+04   1  0  2  2  0  0  0
    5 -2.4860985501468025e+04   0  1  2  2  0  0  0
    5 -6.3815828200814220e+04   1  0  1  3  0  0  0
    5  2.4942371816195537e+03   0  1  1  3  0  0  0
    5 -1.0631483608577746e+03   1  0  0  4  0  0  0
    5  5.0031123326308189e+03   0  1  0  4  0  0  0
    5 -6.6397614702491337e+03   4  0  0  0  1  0  0
    5 -1.5740773190074278e+03   3  1  0  0  1  0  0
    5  1.5740773190074278e+03   1  3  0  0  1  0  0
    5  6.6397614702491337e+03   0  4  0  0  1  0  0
    5 -4.4389457487607751e+03   2  0  2  0  1  0  0
    5 -5.6152554166367090e+03   1  1  2  0  1  0  0
    5  3.5988825803293037e+02   0  2  2  0  1  0  0
    5 -5.2167012233949140e+02   0  0  4  0  1  0  0
    5  5.2918661070831959e+03   2  0  1  1  1  0  0
    5 -5.2918661070831959e+03   0  2  1  1  1  0  0
    5  1.6972390666968331e+03   0  0  3  1  1  0  0
    5 -3.5988825803293037e+02   2  0  0  2  1  0  0
    5  5.6152554166367090e+03   1  1  0  2  1  0  0
    5  4.4389457487607751e+03   0  2  0  2  1  0  0
    5 -1.6972390666968331e+03   0  0  1  3  1  0  0
    5  5.2167012233949140e+02   0  0  0  4  1  0  0
    5  7.6036348661880334e+02   3  0  0  0  2  0  0
    5 -2.0556724901720754e+03   2  1  0  0  2  0  0
    5  2.0556724901720754e+03   1  2  0  0  2  0  0
    5 -7.6036348661880334e+02   0  3  0  0  2  0  0
    5  3.1624315037892990e+02   1  0  2  0  2  0  0
    5  2.8580760073381621e+03   0  1  2  0  2  0  0
    5  2.8311628947564736e+02   1  0  1  1  2  0  0
    5 -2.8311628947564736e+02   0  1  1  1  2  0  0
    5 -2.8580760073381621e+03   1  0  0  2  2  0  0
    5 -3.1624315037892990e+02   0  1  0  2  2  0  0
    5 -1.2226889310131575e+01   2  0  0  0  3  0  0
    5  1.2226889310131575e+01   0  2  0  0  3  0  0
    5  5.1335009070367008e+01   0  0  2  0  3  0  0
    5 -5.1335009070367008e+01   0  0  0  2  3  0  0
    5 -1.4146688252223676e-14   1  0  0  0  4  0  0
    5  1.4146688252223676e-14   0  1  0  0  4  0  0
    6 -1.3816746616799652e+05   6  0  0  0  0  0  0
    6  1.1626890076539537e+06   5  1  0  0  0  0  0
    6 -1.4749824515447754e+05   4  2  0  0  0  0  0
    6  1.4749824515447754e+05   2  4  0  0  0  0  0
    6 -1.1626890076539537e+06   1  5  0  0  0  0  0
    6  1.3816746616799652e+05   0  6  0  0  0  0  0
    6 -3.4963941914951369e+07   4  0  2  0  0  0  0
    6 -9.3712176581327058e+05   3  1  2  0  0  0  0
    6  5.0454735121981334e+06   2  2  2  0  0  0  0
    6 -4.2688786047200207e+05   1  3  2  0  0  0  0
    6  6.0056291042027064e+05   0  4  2  0  0  0  0
    6 -3.0896128258005017e+05   2  0  4  0  0  0  0
    6 -1.4913874822279382e+06   1  1  4  0  0  0  0
    6  9.7716201920158998e+05   0  2  4  0  0  0  0
    6  3.4400421794783411e+04   0  0  6  0  0  0  0
    6  4.1347317314447854e+06   4  0  1  1  0  0  0
    6  5.8603886279600672e+05   3  1  1  1  0  0  0
    6 -5.8603886279600672e+05   1  3  1  1  0  0  0
    6 -4.1347317314447854e+06   0  4  1  1  0  0  0
    6  1.1422039076179750e+06   2  0  3  1  0  0  0
    6  2.6303463311022022e+06   1  1  3  1  0  0  0
    6 -1.0615986966255649e+06   0  2  3  1  0  0  0
    6 -1.3191328761076176e+05   0  0  5  1  0  0  0
    6 -6.0056291042027064e+05   4  0  0  2  0  0  0
    6  4.2688786047200207e+05   3  1  0  2  0  0  0
    6 -5.0454735121981334e+06   2  2  0  2  0  0  0
    6  9.3712176581327058e+05   1  3  0  2  0  0  0
    6  3.4963941914951369e+07   0  4  0  2  0  0  0
    6 -1.0037556572501441e+06   2  0  2  2  0  0  0
    6  1.0037556572501441e+06   0  2  2  2  0  0  0
    6 -3.2622210530830192e+05   0  0  4  2  0  0  0
    6  1.0615986966255649e+06   2  0  1  3  0  0  0
    6 -2.6303463311022022e+06   1  1  1  3  0  0  0
    6 -1.1422039076179750e+06   0  2  1  3  0  0  0
    6 -9.7716201920158998e+05   2  0  0  4  0  0  0
    6  1.4913874822279382e+06   1  1  0  4  0  0  0
    6  3.0896128258005017e+05   0  2  0  4  0  0  0
    6  3.2622210530830192e+05   0  0  2  4  0  0  0
    6  1.3191328761076176e+05   0  0  1  5  0  0  0
    6 -3.4400421794783411e+04   0  0  0  6  0  0  0
    6  7.0589075268763839e+05   5  0  0  0  1  0  0
    6 -2.7071922353112948e+05   4  1  0  0  1  0  0
    6  1.2727385863318308e+06   3  2  0  0  1  0  0
    6 -1.2727385863318308e+06   2  3  0  0  1  0  0
    6  2.7071922353112948e+05   1  4  0  0  1  0  0
    6 -7.0589075268763839e+05   0  5  0  0  1  0  0
    6  7.2889782395185763e+05   3  0  2  0  1  0  0
    6 -1.1050256239284686e+05   2  1  2  0  1  0  0
    6  1.4706019312825571e+06   1  2  2  0  1  0  0
    6 -6.9319362075270561e+04   0  3  2  0  1  0  0
    6  8.9058307959963422e+04   1  0  4  0  1  0  0
    6 -3.1037132194690779e+05   0  1  4  0  1  0  0
    6 -7.1260281085980614e+05   3  0  1  1  1  0  0
    6  1.3875111739081759e+06   2  1  1  1  1  0  0
    6 -1.3875111739081759e+06   1  2  1  1  1  0  0
    6  7.1260281085980614e+05   0  3  1  1  1  0  0
    6 -3.0287711988538079e+05   1  0  3  1  1  0  0
    6 -1.1556583844992463e+06   0  1  3  1  1  0  0
    6  6.9319362075270561e+04   3  0  0  2  1  0  0
    6 -1.4706019312825571e+06   2  1  0  2  1  0  0
