
tpsa, NO = 6, NV = 7, INA = 48077
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.6975250613198396e+00   3  0  0  0  0  0  0
    3  1.6394788798514504e-01   2  1  0  0  0  0  0
    3  1.6394788798514504e-01   1  2  0  0  0  0  0
    3  1.6975250613198396e+00   0  3  0  0  0  0  0
    3  6.5456763210966362e-01   1  0  2  0  0  0  0
    3 -3.3914216225308225e-01   0  1  2  0  0  0  0
    3 -3.9310184494021039e-01   1  0  1  1  0  0  0
    3 -3.9310184494021039e-01   0  1  1  1  0  0  0
    3 -3.3914216225308225e-01   1  0  0  2  0  0  0
    3  6.5456763210966362e-01   0  1  0  2  0  0  0
    3 -3.4937492522375457e-01   2  0  0  0  1  0  0
    3  1.6470178720862094e-08   1  1  0  0  1  0  0
    3 -3.4937492522375457e-01   0  2  0  0  1  0  0
    3  4.1190076579078144e-01   0  0  2  0  1  0  0
    3  6.8978227019123040e-09   0  0  1  1  1  0  0
    3  4.1190076579078144e-01   0  0  0  2  1  0  0
    3  2.8895655896617251e-01   1  0  0  0  2  0  0
    3  2.8895655896617251e-01   0  1  0  0  2  0  0
    3 -3.0820235700725144e-04   0  0  0  0  3  0  0
    4  3.9519165028548869e+01   4  0  0  0  0  0  0
    4 -5.2166124800210909e+00   3  1  0  0  0  0  0
    4  3.9748611899648228e+02   2  2  0  0  0  0  0
    4 -5.2166124800210909e+00   1  3  0  0  0  0  0
    4  3.9519165028548869e+01   0  4  0  0  0  0  0
    4 -1.0712011849325751e+02   2  0  2  0  0  0  0
    4  9.2873230941811045e+01   1  1  2  0  0  0  0
    4 -2.8151104552927910e+02   0  2  2  0  0  0  0
    4  6.2089168477042215e+01   0  0  4  0  0  0  0
    4 -7.4657640705986211e+01   2  0  1  1  0  0  0
    4 -8.9317605484576166e+02   1  1  1  1  0  0  0
    4 -7.4657640705986211e+01   0  2  1  1  0  0  0
    4 -1.5929588852097487e+02   0  0  3  1  0  0  0
    4 -2.8151104552927910e+02   2  0  0  2  0  0  0
    4  9.2873230941811045e+01   1  1  0  2  0  0  0
    4 -1.0712011849325751e+02   0  2  0  2  0  0  0
    4 -1.0119896043928873e+02   0  0  2  2  0  0  0
    4 -1.5929588852097487e+02   0  0  1  3  0  0  0
    4  6.2089168477042215e+01   0  0  0  4  0  0  0
    4 -1.4081259455210565e+01   3  0  0  0  1  0  0
    4 -1.1955992837985883e+02   2  1  0  0  1  0  0
    4 -1.1955992837985883e+02   1  2  0  0  1  0  0
    4 -1.4081259455210565e+01   0  3  0  0  1  0  0
    4  2.8276801169410355e+01   1  0  2  0  1  0  0
    4  5.5542866972974345e+01   0  1  2  0  1  0  0
    4 -1.2763264023019767e+02   1  0  1  1  1  0  0
    4 -1.2763264023019767e+02   0  1  1  1  1  0  0
    4  5.5542866972974345e+01   1  0  0  2  1  0  0
    4  2.8276801169410355e+01   0  1  0  2  1  0  0
    4 -1.2362190118703680e+00   2  0  0  0  2  0  0
    4  2.1333184511261763e+01   1  1  0  0  2  0  0
    4 -1.2362190118703680e+00   0  2  0  0  2  0  0
    4  8.4126138478958912e-01   0  0  2  0  2  0  0
    4  4.9937881130598587e+00   0  0  1  1  2  0  0
    4  8.4126138478958912e-01   0  0  0  2  2  0  0
    4 -4.5653027837800519e-01   1  0  0  0  3  0  0
    4 -4.5653027837800519e-01   0  1  0  0  3  0  0
    4  6.1066644677664718e-03   0  0  0  0  4  0  0
    5 -6.2446695843039861e+03   5  0  0  0  0  0  0
    5 -1.7924689375880585e+04   4  1  0  0  0  0  0
    5 -1.8032972400967283e+04   3  2  0  0  0  0  0
    5 -1.8032972400967283e+04   2  3  0  0  0  0  0
    5 -1.7924689375880585e+04   1  4  0  0  0  0  0
    5 -6.2446695843039861e+03   0  5  0  0  0  0  0
    5 -8.0684129654875096e+03   3  0  2  0  0  0  0
    5  9.9405257064636080e+03   2  1  2  0  0  0  0
    5 -2.9386658345642642e+04   1  2  2  0  0  0  0
    5 -1.3048386849308904e+03   0  3  2  0  0  0  0
    5  8.8291106519191089e+01   1  0  4  0  0  0  0
    5  1.9897549698874184e+03   0  1  4  0  0  0  0
    5  1.5448704498348779e+04   3  0  1  1  0  0  0
    5  6.8645457518892334e+04   2  1  1  1  0  0  0
    5  6.8645457518892334e+04   1  2  1  1  0  0  0
    5  1.5448704498348779e+04   0  3  1  1  0  0  0
    5 -3.8248049061287038e+03   1  0  3  1  0  0  0
    5 -2.5462307750006221e+04   0  1  3  1  0  0  0
    5 -1.3048386849308904e+03   3  0  0  2  0  0  0
    5 -2.9386658345642642e+04   2  1  0  2  0  0  0
    5  9.9405257064636080e+03   1  2  0  2  0  0  0
    5 -8.0684129654875096e+03   0  3  0  2  0  0  0
    5  2.1326940191482601e+04   1  0  2  2  0  0  0
    5  2.1326940191482601e+04   0  1  2  2  0  0  0
    5 -2.5462307750006221e+04   1  0  1  3  0  0  0
    5 -3.8248049061287038e+03   0  1  1  3  0  0  0
    5  1.9897549698874184e+03   1  0  0  4  0  0  0
    5  8.8291106519191089e+01   0  1  0  4  0  0  0
    5  5.7665308419837284e+03   4  0  0  0  1  0  0
    5  8.3432519237452834e+02   3  1  0  0  1  0  0
    5  2.6866655409117404e+04   2  2  0  0  1  0  0
    5  8.3432519237452834e+02   1  3  0  0  1  0  0
    5  5.7665308419837284e+03   0  4  0  0  1  0  0
    5 -2.2484051475656042e+02   2  0  2  0  1  0  0
    5 -7.1031297657849791e+02   1  1  2  0  1  0  0
    5 -8.9670795834678495e+02   0  2  2  0  1  0  0
    5 -3.0244389084117444e+02   0  0  4  0  1  0  0
    5  5.6730339004191173e+03   2  0  1  1  1  0  0
    5 -5.0195225691505802e+03   1  1  1  1  1  0  0
    5  5.6730339004191173e+03   0  2  1  1  1  0  0
    5  6.2212758125967684e+02   0  0  3  1  1  0  0
    5 -8.9670795834678495e+02   2  0  0  2  1  0  0
    5 -7.1031297657849791e+02   1  1  0  2  1  0  0
    5 -2.2484051475656042e+02   0  2  0  2  1  0  0
    5 -4.2849181437952666e+01   0  0  2  2  1  0  0
    5  6.2212758125967684e+02   0  0  1  3  1  0  0
    5 -3.0244389084117444e+02   0  0  0  4  1  0  0
    5 -3.2269758801378816e+02   3  0  0  0  2  0  0
    5 -1.1878014883618673e+03   2  1  0  0  2  0  0
    5 -1.1878014883618673e+03   1  2  0  0  2  0  0
    5 -3.2269758801378816e+02   0  3  0  0  2  0  0
    5 -4.3687479242607867e+02   1  0  2  0  2  0  0
    5 -3.4501393618888329e+02   0  1  2  0  2  0  0
    5  6.0049169312080232e+02   1  0  1  1  2  0  0
    5  6.0049169312080232e+02   0  1  1  1  2  0  0
    5 -3.4501393618888329e+02   1  0  0  2  2  0  0
    5 -4.3687479242607867e+02   0  1  0  2  2  0  0
    5 -1.4792573482672594e+02   2  0  0  0  3  0  0
    5  5.4390363685672639e+02   1  1  0  0  3  0  0
    5 -1.4792573482672594e+02   0  2  0  0  3  0  0
    5 -1.6582396033467365e+01   0  0  2  0  3  0  0
    5  2.4814876867590900e+01   0  0  1  1  3  0  0
    5 -1.6582396033467365e+01   0  0  0  2  3  0  0
    5 -6.7848445590269648e+00   1  0  0  0  4  0  0
    5 -6.7848445590269648e+00   0  1  0  0  4  0  0
    5  8.8441866437046235e-01   0  0  0  0  5  0  0
    6  1.9020714196142851e+05   6  0  0  0  0  0  0
    6 -7.3666061910082260e+05   5  1  0  0  0  0  0
    6  1.2654037797767133e+06   4  2  0  0  0  0  0
    6 -5.1120302334713209e+06   3  3  0  0  0  0  0
    6  1.2654037797767133e+06   2  4  0  0  0  0  0
    6 -7.3666061910082260e+05   1  5  0  0  0  0  0
    6  1.9020714196142851e+05   0  6  0  0  0  0  0
    6  1.8839720184438513e+06   4  0  2  0  0  0  0
    6  1.2263758290127791e+06   3  1  2  0  0  0  0
    6  4.5420493836566880e+06   2  2  2  0  0  0  0
    6  7.7060647572588315e+05   1  3  2  0  0  0  0
    6  7.3333874802736426e+05   0  4  2  0  0  0  0
    6  2.5713096074965270e+05   2  0  4  0  0  0  0
    6 -1.2401013001525521e+06   1  1  4  0  0  0  0
    6 -1.5894983064461173e+05   0  2  4  0  0  0  0
    6  3.2843769446833703e+03   0  0  6  0  0  0  0
    6 -3.4141194620112181e+06   4  0  1  1  0  0  0
    6 -2.2443423181627896e+06   3  1  1  1  0  0  0
    6 -1.0209549304923698e+07   2  2  1  1  0  0  0
    6 -2.2443423181627896e+06   1  3  1  1  0  0  0
    6 -3.4141194620112181e+06   0  4  1  1  0  0  0
    6  2.1342479446136102e+05   2  0  3  1  0  0  0
    6  1.4456859181808834e+06   1  1  3  1  0  0  0
    6  7.4615265659551776e+05   0  2  3  1  0  0  0
    6 -1.2829591437602064e+05   0  0  5  1  0  0  0
    6  7.3333874802736426e+05   4  0  0  2  0  0  0
    6  7.7060647572588315e+05   3  1  0  2  0  0  0
    6  4.5420493836566880e+06   2  2  0  2  0  0  0
    6  1.2263758290127791e+06   1  3  0  2  0  0  0
    6  1.8839720184438513e+06   0  4  0  2  0  0  0
    6 -1.2669339764509499e+06   2  0  2  2  0  0  0
    6  1.8963647876014581e+06   1  1  2  2  0  0  0
    6 -1.2669339764509499e+06   0  2  2  2  0  0  0
    6 -8.1721667149443325e+04   0  0  4  2  0  0  0
    6  7.4615265659551776e+05   2  0  1  3  0  0  0
    6  1.4456859181808834e+06   1  1  1  3  0  0  0
    6  2.1342479446136102e+05   0  2  1  3  0  0  0
    6  2.6283760874381405e+05   0  0  3  3  0  0  0
    6 -1.5894983064461173e+05   2  0  0  4  0  0  0
    6 -1.2401013001525521e+06   1  1  0  4  0  0  0
    6  2.5713096074965270e+05   0  2  0  4  0  0  0
    6 -8.1721667149443325e+04   0  0  2  4  0  0  0
    6 -1.2829591437602064e+05   0  0  1  5  0  0  0
    6  3.2843769446833703e+03   0  0  0  6  0  0  0
    6  1.9064944775885562e+05   5  0  0  0  1  0  0
