
tpsa, NO = 6, NV = 7, INA = 48017
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981347e-01   1  0  0  0  0  0  0
    1  1.8587589915861045e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2  3.8985043064194818e+00   2  0  0  0  0  0  0
    2 -1.9636159637742597e+02   1  1  0  0  0  0  0
    2 -1.3093531293188562e+03   0  2  0  0  0  0  0
    2 -8.0576747836519591e-01   0  0  2  0  0  0  0
    2  3.0828720609073429e+01   0  0  1  1  0  0  0
    2 -4.2025512734002284e+00   0  0  0  2  0  0  0
    2 -1.4856311724108950e-02   1  0  0  0  1  0  0
    2 -1.0873917242763967e+02   0  1  0  0  1  0  0
    2  1.9884823244948029e+00   0  0  0  0  2  0  0
    3  1.0793890294637430e+02   3  0  0  0  0  0  0
    3 -3.0380662898748972e+02   2  1  0  0  0  0  0
    3  1.4796777764192422e+04   1  2  0  0  0  0  0
    3  8.8882920899074030e+04   0  3  0  0  0  0  0
    3 -9.6879192809012000e+02   1  0  2  0  0  0  0
    3 -2.4000703948990722e+03   0  1  2  0  0  0  0
    3  7.4884440233109681e+03   1  0  1  1  0  0  0
    3 -4.9742211341562142e+02   0  1  1  1  0  0  0
    3 -8.2046496557865498e+02   1  0  0  2  0  0  0
    3 -7.4948579895404255e+04   0  1  0  2  0  0  0
    3 -1.5725348668602948e+02   2  0  0  0  1  0  0
    3  1.1065815328326885e+03   1  1  0  0  1  0  0
    3  1.5100971453354236e+04   0  2  0  0  1  0  0
    3 -8.9435514026156497e+01   0  0  2  0  1  0  0
    3  5.5759335721540447e+02   0  0  1  1  1  0  0
    3 -4.4591847786663648e+03   0  0  0  2  1  0  0
    3  2.4094688013097468e+01   1  0  0  0  2  0  0
    3 -2.1988111549823520e+02   0  1  0  0  2  0  0
    3 -1.0273278567795169e+01   0  0  0  0  3  0  0
    4 -3.3644109209437120e+03   4  0  0  0  0  0  0
    4  6.4560651962538104e+04   3  1  0  0  0  0  0
    4  5.4421058017029881e+05   2  2  0  0  0  0  0
    4  7.8636830967244981e+06   1  3  0  0  0  0  0
    4  1.0764771282002814e+08   0  4  0  0  0  0  0
    4  1.8580683546653650e+04   2  0  2  0  0  0  0
    4 -4.9018912323215365e+04   1  1  2  0  0  0  0
    4  1.1705586387537315e+06   0  2  2  0  0  0  0
    4 -2.4164946707342228e+03   0  0  4  0  0  0  0
    4  4.9217692482898456e+04   2  0  1  1  0  0  0
    4  1.3426247428216040e+05   1  1  1  1  0  0  0
    4 -2.1312197911612108e+07   0  2  1  1  0  0  0
    4 -6.4501476272696564e+04   0  0  3  1  0  0  0
    4  4.8675179163956840e+05   2  0  0  2  0  0  0
    4  2.8854617141572139e+06   1  1  0  2  0  0  0
    4 -2.1494203407276459e+06   0  2  0  2  0  0  0
    4  1.2787697162674525e+05   0  0  2  2  0  0  0
    4  1.7109516521225548e+06   0  0  1  3  0  0  0
    4  4.0781928003692357e+06   0  0  0  4  0  0  0
    4  8.0594343109231449e+03   3  0  0  0  1  0  0
    4 -6.9534574050780357e+04   2  1  0  0  1  0  0
    4 -9.0220557713829912e+03   1  2  0  0  1  0  0
    4 -1.3955169258029502e+07   0  3  0  0  1  0  0
    4  2.6219785171023123e+03   1  0  2  0  1  0  0
    4  1.1129276215855600e+05   0  1  2  0  1  0  0
    4 -8.2314856924793479e+04   1  0  1  1  1  0  0
    4 -6.0353544598036748e+05   0  1  1  1  1  0  0
    4  1.7841473161830483e+04   1  0  0  2  1  0  0
    4  4.8137735487532206e+06   0  1  0  2  1  0  0
    4 -4.5437044556243773e+03   2  0  0  0  2  0  0
    4  3.3944889527000050e+04   1  1  0  0  2  0  0
    4  2.8037255902469717e+05   0  2  0  0  2  0  0
    4  1.2882022209482536e+03   0  0  2  0  2  0  0
    4 -4.1471695229338711e+03   0  0  1  1  2  0  0
    4  2.9711876689528555e+04   0  0  0  2  2  0  0
    4  1.4294179392714630e+03   1  0  0  0  3  0  0
    4 -4.3210389193484916e+03   0  1  0  0  3  0  0
    4 -1.3578120304040976e+02   0  0  0  0  4  0  0
    5 -1.5343510686189542e+05   5  0  0  0  0  0  0
    5  3.9587403693941259e+05   4  1  0  0  0  0  0
    5 -1.2212591164824791e+07   3  2  0  0  0  0  0
    5 -5.4476174130033359e+07   2  3  0  0  0  0  0
    5 -7.4638179722581797e+09   1  4  0  0  0  0  0
    5 -2.2867656350947250e+10   0  5  0  0  0  0  0
    5  1.7337770634585268e+04   3  0  2  0  0  0  0
    5  4.0077198854889562e+06   2  1  2  0  0  0  0
    5 -6.4434355194470987e+07   1  2  2  0  0  0  0
    5  7.8558881698023629e+08   0  3  2  0  0  0  0
    5 -4.3553487664612505e+04   1  0  4  0  0  0  0
    5 -5.7914018386351457e+05   0  1  4  0  0  0  0
    5  4.6737699684826657e+05   3  0  1  1  0  0  0
    5 -3.8484890625305861e+07   2  1  1  1  0  0  0
    5 -3.2742829095250404e+08   1  2  1  1  0  0  0
    5 -1.7903682823945618e+08   0  3  1  1  0  0  0
    5 -4.4124307155167181e+06   1  0  3  1  0  0  0
    5 -3.6900120859824769e+07   0  1  3  1  0  0  0
    5 -1.8985233890633259e+07   3  0  0  2  0  0  0
    5  2.0288759771407130e+08   2  1  0  2  0  0  0
    5  3.1846605269422851e+09   1  2  0  2  0  0  0
    5  2.4421909036778851e+10   0  3  0  2  0  0  0
    5  2.0677475434273742e+07   1  0  2  2  0  0  0
    5  4.5711863881338745e+07   0  1  2  2  0  0  0
    5  1.7674777527307624e+08   1  0  1  3  0  0  0
    5  1.5758279722141292e+09   0  1  1  3  0  0  0
    5 -7.0605715675585702e+07   1  0  0  4  0  0  0
    5 -3.3991054915417194e+09   0  1  0  4  0  0  0
    5  2.3341504225666393e+05   4  0  0  0  1  0  0
    5 -2.7359418950453971e+05   3  1  0  0  1  0  0
    5 -1.7323650446748476e+07   2  2  0  0  1  0  0
    5  1.6230187067413208e+08   1  3  0  0  1  0  0
    5  1.5502633129203033e+09   0  4  0  0  1  0  0
    5 -1.2618067562407238e+05   2  0  2  0  1  0  0
    5 -3.9149008144230214e+06   1  1  2  0  1  0  0
    5 -8.7487515104043841e+07   0  2  2  0  1  0  0
    5  6.9817685532708434e+04   0  0  4  0  1  0  0
    5  1.2959472710067381e+06   2  0  1  1  1  0  0
    5  8.5174237409716770e+06   1  1  1  1  1  0  0
    5  6.1677404804192305e+08   0  2  1  1  1  0  0
    5 -9.4234754138361302e+05   0  0  3  1  1  0  0
    5  1.8099165959868569e+07   2  0  0  2  1  0  0
    5 -1.9564758868528074e+08   1  1  0  2  1  0  0
    5 -1.5061697414397125e+09   0  2  0  2  1  0  0
    5  1.1844363079443197e+06   0  0  2  2  1  0  0
    5  9.8945217615483440e+06   0  0  1  3  1  0  0
    5 -2.6723507557760067e+06   0  0  0  4  1  0  0
    5 -1.7307895075573275e+05   3  0  0  0  2  0  0
    5 -2.9872063613799075e+05   2  1  0  0  2  0  0
    5  5.9459274934932496e+06   1  2  0  0  2  0  0
    5  3.9734357382403612e+06   0  3  0  0  2  0  0
    5 -5.1126614963136257e+04   1  0  2  0  2  0  0
    5  1.2266330573293229e+06   0  1  2  0  2  0  0
    5 -7.2570335461499193e+05   1  0  1  1  2  0  0
    5 -1.2671299018311817e+06   0  1  1  1  2  0  0
    5 -8.7601297342085969e+06   1  0  0  2  2  0  0
    5  1.3505264289510902e+07   0  1  0  2  2  0  0
    5  6.0533646122598249e+04   2  0  0  0  3  0  0
    5  2.9585443234598992e+04   1  1  0  0  3  0  0
    5 -4.0802404084987044e+06   0  2  0  0  3  0  0
    5  2.7676595990066166e+03   0  0  2  0  3  0  0
    5  2.0526188930259261e+05   0  0  1  1  3  0  0
    5  1.2206787830794454e+06   0  0  0  2  3  0  0
    5 -1.1407852035771153e+04   1  0  0  0  4  0  0
    5  3.7367512800915894e+04   0  1  0  0  4  0  0
    5  7.8322556413994891e+02   0  0  0  0  5  0  0
 -135  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 6, NV = 7, INA = 48018
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1 -5.0608631694825559e-02   1  0  0  0  0  0  0
    1  2.4353132827980994e-01   0  1  0  0  0  0  0
    1 -1.3004166988647630e-05   0  0  0  0  1  0  0
    2 -2.6351075321584849e-01   2  0  0  0  0  0  0
    2 -7.2158428438132063e+00   1  1  0  0  0  0  0
    2  9.4904038830805234e+01   0  2  0  0  0  0  0
    2  1.2201032596843930e-01   0  0  2  0  0  0  0
    2 -5.3223895550065237e-01   0  0  1  1  0  0  0
    2 -3.3893366071132220e+00   0  0  0  2  0  0  0
    2 -2.9606336109704351e-01   1  0  0  0  1  0  0
    2  1.5005709370506715e-02   0  1  0  0  1  0  0
    2  1.2876682474712800e-01   0  0  0  0  2  0  0
    3 -1.5871212978169069e+00   3  0  0  0  0  0  0
    3  3.1873592048845211e+01   2  1  0  0  0  0  0
    3 -5.4331956598042962e+02   1  2  0  0  0  0  0
    3  3.9652640591701405e+04   0  3  0  0  0  0  0
    3 -1.8093318889080599e+01   1  0  2  0  0  0  0
    3  1.1394589361376961e+02   0  1  2  0  0  0  0
    3  1.4609080652054402e+01   1  0  1  1  0  0  0
    3 -6.3233111129004437e+03   0  1  1  1  0  0  0
    3 -3.9046102316314892e+02   1  0  0  2  0  0  0
    3 -1.2529903457450913e+04   0  1  0  2  0  0  0
    3 -4.1723936275943281e+00   2  0  0  0  1  0  0
    3 -7.9253062054704884e+01   1  1  0  0  1  0  0
    3 -3.5013473539337356e+03   0  2  0  0  1  0  0
    3 -5.0626896975871816e+00   0  0  2  0  1  0  0
    3  3.0416137217024527e+01   0  0  1  1  1  0  0
    3 -3.3085606782402715e+02   0  0  0  2  1  0  0
    3 -1.1579697195095231e+00   1  0  0  0  2  0  0
    3  6.5412990793460736e+01   0  1  0  0  2  0  0
