
tpsa, NO = 6, NV = 7, INA = 48119
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.1084706555691768e-01   0  0  0  0  0  0  0
    1 -5.2426207435138842e-09   0  0  0  0  1  0  0
    2 -2.0040397626113534e+02   1  1  0  0  0  0  0
    2  2.8330967199385407e+02   0  0  1  1  0  0  0
    2 -7.4762151986663996e+00   0  0  0  0  2  0  0
    3 -1.7919853294477696e+04   1  1  0  0  1  0  0
    3  5.8103223015201172e+02   0  0  1  1  1  0  0
    3 -8.5720859225906167e+01   0  0  0  0  3  0  0
    4  4.5924905563356178e+06   2  2  0  0  0  0  0
    4  7.1807604498271132e+06   1  1  1  1  0  0  0
    4 -4.1147623982387746e+05   0  0  2  2  0  0  0
    4  4.8204280536305177e+05   1  1  0  0  2  0  0
    4  1.0851397353858556e+05   0  0  1  1  2  0  0
    4  4.7017173321654336e+03   0  0  0  0  4  0  0
  -14  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 6, NV = 7, INA = 48120
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  7.3993202470182984e-02   0  0  0  0  0  0  0
    1 -2.1956451120423444e-09   0  0  0  0  1  0  0
    2  2.8330967199385407e+02   1  1  0  0  0  0  0
    2  6.2719933751878841e+01   0  0  1  1  0  0  0
    2 -1.9001121054832786e+00   0  0  0  0  2  0  0
    3  5.8103223015201172e+02   1  1  0  0  1  0  0
    3  1.1575618261779871e+03   0  0  1  1  1  0  0
    3  3.5293836398898222e+01   0  0  0  0  3  0  0
    4  3.5903802249135566e+06   2  2  0  0  0  0  0
    4 -8.2295247964775492e+05   1  1  1  1  0  0  0
    4 -8.7123098487259971e+05   0  0  2  2  0  0  0
    4  1.0851397353858556e+05   1  1  0  0  2  0  0
    4 -3.6378927174654564e+04   0  0  1  1  2  0  0
    4  1.3198622716064341e+02   0  0  0  0  4  0  0
  -14  0.0000000000000000e+00   0  0  0  0  0  0  0
