# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.21085 1.07399
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2842854751322248e-04  5.0988399571967837e-19  5.5840581590371275e-03  2.9038025900427066e-17  0.0000000000000000e+00  0.0000000000000000e+00
   1  1.0863790247913801e-05 -1.7690112210402208e-04  4.8355368008967930e-03 -2.6632388433385870e-03  0.0000000000000000e+00  2.5863860067141326e-02
   2 -2.6444134011850706e-04  3.7323077653783098e-05  2.9886421276025450e-03 -4.7627429400152145e-03  0.0000000000000000e+00  3.1490936151242904e-02
   3 -7.6228715933253073e-05  3.4559402844100477e-04  7.1185875027686819e-04 -5.8045241063075939e-03  0.0000000000000000e+00  1.2346312230186594e-02
   4  3.3195619890210800e-04  7.1825861710589993e-05 -1.6203198188890588e-03 -5.5314860904335170e-03  0.0000000000000000e+00 -2.2915383505055210e-02
   5  3.1535884132724600e-04 -4.8017714059995803e-04 -3.7558305738409452e-03 -4.0831544551449004e-03  0.0000000000000000e+00 -4.4521141849701837e-02
   6 -2.0723493476743551e-04 -4.4697401465798847e-04 -5.2209686942971765e-03 -1.7641563587836491e-03  0.0000000000000000e+00 -3.2520702682989608e-02
   7 -4.4169654096868363e-04  1.2703673237129674e-04 -5.4431811537477117e-03  9.4317414754069848e-04  0.0000000000000000e+00 -3.6454998589859591e-03
   8  2.6439841578312933e-05  5.5872472246692171e-04 -4.2742712391534328e-03  3.4511637297203962e-03  0.0000000000000000e+00  1.8464104599629882e-02
   9  4.1875639705764777e-04  2.4804382546841388e-04 -2.2633298019718892e-03  5.1983585370028468e-03  0.0000000000000000e+00  1.0725803944043332e-02
  10  2.1429716295976844e-04 -3.7595662831518823e-04  4.8903910870598825e-05  5.8440058042570284e-03  0.0000000000000000e+00 -2.5292549468186844e-02
  11 -2.1742117595471806e-04 -3.6121143130545891e-04  2.3392923456298951e-03  5.2106491429206149e-03  0.0000000000000000e+00 -5.3983856652137931e-02
  12 -2.4303279544000202e-04  7.1852872971164394e-05  4.3498382311481995e-03  3.4020223267882768e-03  0.0000000000000000e+00 -5.7756298362154311e-02
  13  1.0861414174257920e-04  2.0014731617007972e-04  5.5032004490218334e-03  8.6030235526984085e-04  0.0000000000000000e+00 -3.7626023728414830e-02
