
tpsa, NO = 6, NV = 7, INA = 48082
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.7036926109695488e-01   1  1  0  0  0  0  0
    2 -1.1625316303577611e+00   0  0  1  1  0  0  0
    2  4.7868782235441804e-02   0  0  0  0  2  0  0
    3 -2.9200379851038440e+00   3  0  0  0  0  0  0
    3 -1.6807925131003500e+00   2  1  0  0  0  0  0
    3 -1.6807925131003500e+00   1  2  0  0  0  0  0
    3 -2.9200379851038440e+00   0  3  0  0  0  0  0
    3  2.0941317138099294e+01   1  0  2  0  0  0  0
    3  1.0717022158060816e+01   0  1  2  0  0  0  0
    3 -1.9213685011731148e+00   1  0  1  1  0  0  0
    3 -1.9213685011731148e+00   0  1  1  1  0  0  0
    3  1.0717022158060816e+01   1  0  0  2  0  0  0
    3  2.0941317138099294e+01   0  1  0  2  0  0  0
    3 -5.3211530998909273e-01   2  0  0  0  1  0  0
    3 -2.0923007016732322e+00   1  1  0  0  1  0  0
    3 -5.3211530998909273e-01   0  2  0  0  1  0  0
    3  2.8234845569984079e+00   0  0  2  0  1  0  0
    3 -2.0923007059259255e+00   0  0  1  1  1  0  0
    3  2.8234845569984079e+00   0  0  0  2  1  0  0
    3 -4.7074496433294289e-15   1  0  0  0  2  0  0
    3 -4.7074496433294289e-15   0  1  0  0  2  0  0
    3 -1.3076845876176475e-02   0  0  0  0  3  0  0
    4 -2.1123592592376050e+02   4  0  0  0  0  0  0
    4  7.7241426383929195e+01   3  1  0  0  0  0  0
    4  1.8353674835507193e+03   2  2  0  0  0  0  0
    4  7.7241426383929195e+01   1  3  0  0  0  0  0
    4 -2.1123592592376050e+02   0  4  0  0  0  0  0
    4 -1.6590222628612827e+02   2  0  2  0  0  0  0
    4  5.1174505501099532e+01   1  1  2  0  0  0  0
    4  2.4729028817544322e+03   0  2  2  0  0  0  0
    4  3.1657344943410288e+02   0  0  4  0  0  0  0
    4 -2.3942917313936294e+02   2  0  1  1  0  0  0
    4 -1.8694835389173795e+03   1  1  1  1  0  0  0
    4 -2.3942917313936294e+02   0  2  1  1  0  0  0
    4 -1.3036081718961782e+03   0  0  3  1  0  0  0
    4  2.4729028817544322e+03   2  0  0  2  0  0  0
    4  5.1174505501099532e+01   1  1  0  2  0  0  0
    4 -1.6590222628612827e+02   0  2  0  2  0  0  0
    4  3.0568504395653599e+02   0  0  2  2  0  0  0
    4 -1.3036081718961782e+03   0  0  1  3  0  0  0
    4  3.1657344943410288e+02   0  0  0  4  0  0  0
    4 -8.3545173025812609e+00   3  0  0  0  1  0  0
    4 -1.0277206364847984e+02   2  1  0  0  1  0  0
    4 -1.0277206364847984e+02   1  2  0  0  1  0  0
    4 -8.3545173025812609e+00   0  3  0  0  1  0  0
    4 -1.7732863446895385e+02   1  0  2  0  1  0  0
    4  2.4162189544923609e+02   0  1  2  0  1  0  0
    4 -2.3402838262037429e+02   1  0  1  1  1  0  0
    4 -2.3402838262037429e+02   0  1  1  1  1  0  0
    4  2.4162189544923609e+02   1  0  0  2  1  0  0
    4 -1.7732863446895385e+02   0  1  0  2  1  0  0
    4 -1.2534100638043835e+01   2  0  0  0  2  0  0
    4  6.1410141173779785e+01   1  1  0  0  2  0  0
    4 -1.2534100638043835e+01   0  2  0  0  2  0  0
    4  6.0531837649112127e+01   0  0  2  0  2  0  0
    4 -2.5065066583211504e+01   0  0  1  1  2  0  0
    4  6.0531837649112127e+01   0  0  0  2  2  0  0
    4  1.0880075923923364e-14   1  0  0  0  3  0  0
    4  1.0880075923923364e-14   0  1  0  0  3  0  0
    4  1.1844007685309865e+00   0  0  0  0  4  0  0
    5  2.1937822494197289e+03   5  0  0  0  0  0  0
    5  4.4206673578915499e+04   4  1  0  0  0  0  0
    5  4.8121700342823075e+04   3  2  0  0  0  0  0
    5  4.8121700342823075e+04   2  3  0  0  0  0  0
    5  4.4206673578915499e+04   1  4  0  0  0  0  0
    5  2.1937822494197289e+03   0  5  0  0  0  0  0
    5  1.6852478051840933e+05   3  0  2  0  0  0  0
    5  5.9870638389999789e+04   2  1  2  0  0  0  0
    5 -4.5540676010032574e+05   1  2  2  0  0  0  0
    5  6.9436656663274553e+03   0  3  2  0  0  0  0
    5  5.4731879329636293e+04   1  0  4  0  0  0  0
    5 -4.8254142660054186e+05   0  1  4  0  0  0  0
    5 -7.9504197625774497e+04   3  0  1  1  0  0  0
    5  1.6927400781434291e+04   2  1  1  1  0  0  0
    5  1.6927400781434291e+04   1  2  1  1  0  0  0
    5 -7.9504197625774497e+04   0  3  1  1  0  0  0
    5 -1.0901763253317907e+05   1  0  3  1  0  0  0
    5 -3.4997631646423833e+05   0  1  3  1  0  0  0
    5  6.9436656663274553e+03   3  0  0  2  0  0  0
    5 -4.5540676010032574e+05   2  1  0  2  0  0  0
    5  5.9870638389999789e+04   1  2  0  2  0  0  0
    5  1.6852478051840933e+05   0  3  0  2  0  0  0
    5  1.4568169629856572e+05   1  0  2  2  0  0  0
    5  1.4568169629856572e+05   0  1  2  2  0  0  0
    5 -3.4997631646423833e+05   1  0  1  3  0  0  0
    5 -1.0901763253317907e+05   0  1  1  3  0  0  0
    5 -4.8254142660054186e+05   1  0  0  4  0  0  0
    5  5.4731879329636293e+04   0  1  0  4  0  0  0
    5 -1.0245277061698309e+04   4  0  0  0  1  0  0
    5  8.1281341508393180e+03   3  1  0  0  1  0  0
    5  1.0092724977324353e+05   2  2  0  0  1  0  0
    5  8.1281341508393180e+03   1  3  0  0  1  0  0
    5 -1.0245277061698309e+04   0  4  0  0  1  0  0
    5 -1.9919231324836892e+03   2  0  2  0  1  0  0
    5 -3.1351981818044405e+04   1  1  2  0  1  0  0
    5 -4.0512702081928664e+03   0  2  2  0  1  0  0
    5 -9.0119707268092388e+03   0  0  4  0  1  0  0
    5 -1.0848716116588599e+04   2  0  1  1  1  0  0
    5  2.2214878446888037e+04   1  1  1  1  1  0  0
    5 -1.0848716116588599e+04   0  2  1  1  1  0  0
    5 -1.3696255113793717e+04   0  0  3  1  1  0  0
    5 -4.0512702081928664e+03   2  0  0  2  1  0  0
    5 -3.1351981818044405e+04   1  1  0  2  1  0  0
    5 -1.9919231324836892e+03   0  2  0  2  1  0  0
    5  4.1761713879941708e+04   0  0  2  2  1  0  0
    5 -1.3696255113793717e+04   0  0  1  3  1  0  0
    5 -9.0119707268092388e+03   0  0  0  4  1  0  0
    5  1.6928565433274493e+03   3  0  0  0  2  0  0
    5 -9.4873672246062063e+02   2  1  0  0  2  0  0
    5 -9.4873672246062063e+02   1  2  0  0  2  0  0
    5  1.6928565433274493e+03   0  3  0  0  2  0  0
    5 -1.6990409055870314e+03   1  0  2  0  2  0  0
    5  1.5784263466640165e+04   0  1  2  0  2  0  0
    5 -4.2554301767895095e+03   1  0  1  1  2  0  0
    5 -4.2554301767895095e+03   0  1  1  1  2  0  0
    5  1.5784263466640165e+04   1  0  0  2  2  0  0
    5 -1.6990409055870314e+03   0  1  0  2  2  0  0
    5  1.4228930072099925e+02   2  0  0  0  3  0  0
    5  1.1756006413031175e+03   1  1  0  0  3  0  0
    5  1.4228930072099925e+02   0  2  0  0  3  0  0
    5 -3.2440595218081774e+02   0  0  2  0  3  0  0
    5 -6.7446942825951783e+02   0  0  1  1  3  0  0
    5 -3.2440595218081774e+02   0  0  0  2  3  0  0
    5  4.4316567079447437e-13   1  0  0  0  4  0  0
    5  4.4316567079447437e-13   0  1  0  0  4  0  0
    5 -7.0321386986639416e+00   0  0  0  0  5  0  0
    6 -4.8364257528921263e+05   6  0  0  0  0  0  0
    6  8.0649287538845707e+06   5  1  0  0  0  0  0
    6  1.2912099333943012e+06   4  2  0  0  0  0  0
    6 -1.5757483854091538e+07   3  3  0  0  0  0  0
    6  1.2912099333943012e+06   2  4  0  0  0  0  0
    6  8.0649287538845707e+06   1  5  0  0  0  0  0
    6 -4.8364257528921263e+05   0  6  0  0  0  0  0
    6 -8.8250145891329706e+07   4  0  2  0  0  0  0
    6  1.1064065992054276e+07   3  1  2  0  0  0  0
    6  1.5746687009957112e+07   2  2  2  0  0  0  0
    6  6.4513406154696262e+06   1  3  2  0  0  0  0
    6 -8.9229391293699574e+06   0  4  2  0  0  0  0
    6 -8.9393535302440776e+05   2  0  4  0  0  0  0
    6  5.6033847563434511e+07   1  1  4  0  0  0  0
    6 -4.7925992772424370e+06   0  2  4  0  0  0  0
    6  1.4376809272071451e+07   0  0  6  0  0  0  0
    6 -4.0377169185255961e+06   4  0  1  1  0  0  0
    6  6.9330436204796163e+06   3  1  1  1  0  0  0
    6 -7.4888915429639876e+07   2  2  1  1  0  0  0
    6  6.9330436204796163e+06   1  3  1  1  0  0  0
    6 -4.0377169185255961e+06   0  4  1  1  0  0  0
    6 -3.3944391798708122e+04   2  0  3  1  0  0  0
    6  1.2363996815504380e+07   1  1  3  1  0  0  0
    6  2.4425480558401294e+07   0  2  3  1  0  0  0
    6  4.5086120353713352e+06   0  0  5  1  0  0  0
    6 -8.9229391293699574e+06   4  0  0  2  0  0  0
    6  6.4513406154696262e+06   3  1  0  2  0  0  0
    6  1.5746687009957112e+07   2  2  0  2  0  0  0
    6  1.1064065992054276e+07   1  3  0  2  0  0  0
    6 -8.8250145891329706e+07   0  4  0  2  0  0  0
    6  1.9738009366757255e+07   2  0  2  2  0  0  0
    6 -1.5834432191991471e+06   1  1  2  2  0  0  0
    6  1.9738009366757255e+07   0  2  2  2  0  0  0
    6 -1.4298595596191711e+06   0  0  4  2  0  0  0
    6  2.4425480558401294e+07   2  0  1  3  0  0  0
    6  1.2363996815504380e+07   1  1  1  3  0  0  0
    6 -3.3944391798708122e+04   0  2  1  3  0  0  0
    6 -1.6454478682225598e+07   0  0  3  3  0  0  0
    6 -4.7925992772424370e+06   2  0  0  4  0  0  0
    6  5.6033847563434511e+07   1  1  0  4  0  0  0
    6 -8.9393535302440776e+05   0  2  0  4  0  0  0
    6 -1.4298595596191711e+06   0  0  2  4  0  0  0
