
tpsa, NO = 6, NV = 7, INA = 48087
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.8565774975119962e+00   3  0  0  0  0  0  0
    3 -4.9327927534528460e+00   2  1  0  0  0  0  0
    3  4.9327927534528460e+00   1  2  0  0  0  0  0
    3  2.8565774975119962e+00   0  3  0  0  0  0  0
    3  4.1959293539400626e+00   1  0  2  0  0  0  0
    3  2.4869011933847656e+00   0  1  2  0  0  0  0
    3 -5.6388355763299627e+00   1  0  1  1  0  0  0
    3  5.6388355763299627e+00   0  1  1  1  0  0  0
    3 -2.4869011933847656e+00   1  0  0  2  0  0  0
    3 -4.1959293539400626e+00   0  1  0  2  0  0  0
    3 -7.8082646271247380e-01   2  0  0  0  1  0  0
    3  7.8082646271247380e-01   0  2  0  0  1  0  0
    3  6.0718445917241404e-01   0  0  2  0  1  0  0
    3 -6.0718445917241404e-01   0  0  0  2  1  0  0
    3 -1.3815431296172851e-14   1  0  0  0  2  0  0
    3  1.3815431296172851e-14   0  1  0  0  2  0  0
    4 -1.7628900561562915e+02   4  0  0  0  0  0  0
    4  2.8108492137784208e+02   3  1  0  0  0  0  0
    4 -2.8108492137784208e+02   1  3  0  0  0  0  0
    4  1.7628900561562915e+02   0  4  0  0  0  0  0
    4  1.4973474641100946e+01   2  0  2  0  0  0  0
    4 -1.0440121560528951e+02   1  1  2  0  0  0  0
    4  5.3318813018405535e+02   0  2  2  0  0  0  0
    4  3.3278106293234998e+01   0  0  4  0  0  0  0
    4  3.1814861619347596e+02   2  0  1  1  0  0  0
    4 -3.1814861619347596e+02   0  2  1  1  0  0  0
    4 -3.1566480613354474e+02   0  0  3  1  0  0  0
    4 -5.3318813018405535e+02   2  0  0  2  0  0  0
    4  1.0440121560528951e+02   1  1  0  2  0  0  0
    4 -1.4973474641100946e+01   0  2  0  2  0  0  0
    4  3.1566480613354474e+02   0  0  1  3  0  0  0
    4 -3.3278106293234998e+01   0  0  0  4  0  0  0
    4  2.4479804082372354e+01   3  0  0  0  1  0  0
    4 -1.2543249377695659e+02   2  1  0  0  1  0  0
    4  1.2543249377695659e+02   1  2  0  0  1  0  0
    4 -2.4479804082372354e+01   0  3  0  0  1  0  0
    4 -4.6547521874542952e+01   1  0  2  0  1  0  0
    4  3.2435096484439498e+01   0  1  2  0  1  0  0
    4 -8.7541154649416072e+01   1  0  1  1  1  0  0
    4  8.7541154649416072e+01   0  1  1  1  1  0  0
    4 -3.2435096484439498e+01   1  0  0  2  1  0  0
    4  4.6547521874542952e+01   0  1  0  2  1  0  0
    4 -8.8032394695840335e+00   2  0  0  0  2  0  0
    4  8.8032394695840335e+00   0  2  0  0  2  0  0
    4  1.1924447109846056e+01   0  0  2  0  2  0  0
    4 -1.1924447109846056e+01   0  0  0  2  2  0  0
    4  2.6597176868195585e-13   1  0  0  0  3  0  0
    4 -2.6597176868195585e-13   0  1  0  0  3  0  0
    5 -4.4551205236280675e+03   5  0  0  0  0  0  0
    5 -1.1302637378500049e+03   4  1  0  0  0  0  0
    5  1.9410702793638578e+04   3  2  0  0  0  0  0
    5 -1.9410702793638578e+04   2  3  0  0  0  0  0
    5  1.1302637378500049e+03   1  4  0  0  0  0  0
    5  4.4551205236280675e+03   0  5  0  0  0  0  0
    5  3.1828238825717846e+04   3  0  2  0  0  0  0
    5 -4.0350365226989579e+03   2  1  2  0  0  0  0
    5 -1.1731285554954664e+05   1  2  2  0  0  0  0
    5  4.2863048120696385e+02   0  3  2  0  0  0  0
    5  4.9080277682612086e+03   1  0  4  0  0  0  0
    5 -5.1604885859600407e+04   0  1  4  0  0  0  0
    5  1.9117238095494529e+04   3  0  1  1  0  0  0
    5  2.3941707595245243e+03   2  1  1  1  0  0  0
    5 -2.3941707595245243e+03   1  2  1  1  0  0  0
    5 -1.9117238095494529e+04   0  3  1  1  0  0  0
    5 -2.1716865130661066e+04   1  0  3  1  0  0  0
    5 -7.4688031073925435e+04   0  1  3  1  0  0  0
    5 -4.2863048120696385e+02   3  0  0  2  0  0  0
    5  1.1731285554954664e+05   2  1  0  2  0  0  0
    5  4.0350365226989579e+03   1  2  0  2  0  0  0
    5 -3.1828238825717846e+04   0  3  0  2  0  0  0
    5  4.1885129191639615e+04   1  0  2  2  0  0  0
    5 -4.1885129191639615e+04   0  1  2  2  0  0  0
    5  7.4688031073925435e+04   1  0  1  3  0  0  0
    5  2.1716865130661066e+04   0  1  1  3  0  0  0
    5  5.1604885859600407e+04   1  0  0  4  0  0  0
    5 -4.9080277682612086e+03   0  1  0  4  0  0  0
    5 -4.4858726545638356e+03   4  0  0  0  1  0  0
    5 -2.0674810573018067e+03   3  1  0  0  1  0  0
    5  2.0674810573018067e+03   1  3  0  0  1  0  0
    5  4.4858726545638356e+03   0  4  0  0  1  0  0
    5 -2.6029232545359637e+03   2  0  2  0  1  0  0
    5 -9.4633096644482612e+03   1  1  2  0  1  0  0
    5 -1.1159920983266977e+03   0  2  2  0  1  0  0
    5 -9.7783051604684761e+02   0  0  4  0  1  0  0
    5  3.8473609425731429e+03   2  0  1  1  1  0  0
    5 -3.8473609425731429e+03   0  2  1  1  1  0  0
    5 -1.7057872295956452e+03   0  0  3  1  1  0  0
    5  1.1159920983266977e+03   2  0  0  2  1  0  0
    5  9.4633096644482612e+03   1  1  0  2  1  0  0
    5  2.6029232545359637e+03   0  2  0  2  1  0  0
    5  1.7057872295956452e+03   0  0  1  3  1  0  0
    5  9.7783051604684761e+02   0  0  0  4  1  0  0
    5  3.3957482184533455e+02   3  0  0  0  2  0  0
    5  3.7183636742119688e+01   2  1  0  0  2  0  0
    5 -3.7183636742119688e+01   1  2  0  0  2  0  0
    5 -3.3957482184533455e+02   0  3  0  0  2  0  0
    5 -1.4239951892238594e+02   1  0  2  0  2  0  0
    5  3.1264978842571709e+03   0  1  2  0  2  0  0
    5 -1.6427116058094543e+02   1  0  1  1  2  0  0
    5  1.6427116058094543e+02   0  1  1  1  2  0  0
    5 -3.1264978842571709e+03   1  0  0  2  2  0  0
    5  1.4239951892238594e+02   0  1  0  2  2  0  0
    5  2.5267134904721615e+01   2  0  0  0  3  0  0
    5 -2.5267134904721615e+01   0  2  0  0  3  0  0
    5 -9.6597910894587415e+01   0  0  2  0  3  0  0
    5  9.6597910894587415e+01   0  0  0  2  3  0  0
    5 -6.0950324881522634e-12   1  0  0  0  4  0  0
    5  6.0950324881522634e-12   0  1  0  0  4  0  0
    6 -1.9316084032460506e+05   6  0  0  0  0  0  0
    6  2.0510895863481793e+06   5  1  0  0  0  0  0
    6  1.9158064089207130e+06   4  2  0  0  0  0  0
    6 -1.9158064089207130e+06   2  4  0  0  0  0  0
    6 -2.0510895863481793e+06   1  5  0  0  0  0  0
    6  1.9316084032460506e+05   0  6  0  0  0  0  0
    6 -1.3372679057017334e+07   4  0  2  0  0  0  0
    6  1.9620981085461397e+06   3  1  2  0  0  0  0
    6  2.9583387784907841e+06   2  2  2  0  0  0  0
    6  1.0149073633779872e+06   1  3  2  0  0  0  0
    6 -3.6456986913923838e+05   0  4  2  0  0  0  0
    6  4.7679137255239370e+05   2  0  4  0  0  0  0
    6  4.3429875056762220e+06   1  1  4  0  0  0  0
    6  2.7224273279428161e+06   0  2  4  0  0  0  0
    6  7.4900890251970245e+05   0  0  6  0  0  0  0
    6 -8.4130742113999603e+05   4  0  1  1  0  0  0
    6 -3.3221457944415943e+06   3  1  1  1  0  0  0
    6  3.3221457944415943e+06   1  3  1  1  0  0  0
    6  8.4130742113999603e+05   0  4  1  1  0  0  0
    6  1.1998308238449395e+06   2  0  3  1  0  0  0
    6  3.8175846064504394e+06   1  1  3  1  0  0  0
    6  2.9740730116699655e+06   0  2  3  1  0  0  0
    6  4.8371283704622934e+05   0  0  5  1  0  0  0
    6  3.6456986913923838e+05   4  0  0  2  0  0  0
    6 -1.0149073633779872e+06   3  1  0  2  0  0  0
    6 -2.9583387784907841e+06   2  2  0  2  0  0  0
    6 -1.9620981085461397e+06   1  3  0  2  0  0  0
    6  1.3372679057017334e+07   0  4  0  2  0  0  0
    6 -1.4418218019360244e+07   2  0  2  2  0  0  0
    6  1.4418218019360244e+07   0  2  2  2  0  0  0
    6  9.8752541917673300e+05   0  0  4  2  0  0  0
    6 -2.9740730116699655e+06   2  0  1  3  0  0  0
    6 -3.8175846064504394e+06   1  1  1  3  0  0  0
    6 -1.1998308238449395e+06   0  2  1  3  0  0  0
    6 -2.7224273279428161e+06   2  0  0  4  0  0  0
    6 -4.3429875056762220e+06   1  1  0  4  0  0  0
    6 -4.7679137255239370e+05   0  2  0  4  0  0  0
    6 -9.8752541917673300e+05   0  0  2  4  0  0  0
    6 -4.8371283704622934e+05   0  0  1  5  0  0  0
    6 -7.4900890251970245e+05   0  0  0  6  0  0  0
    6  1.7369761614723480e+06   5  0  0  0  1  0  0
    6 -4.7319375490066956e+05   4  1  0  0  1  0  0
    6  1.3315881740795644e+06   3  2  0  0  1  0  0
    6 -1.3315881740795644e+06   2  3  0  0  1  0  0
    6  4.7319375490066956e+05   1  4  0  0  1  0  0
    6 -1.7369761614723480e+06   0  5  0  0  1  0  0
    6  8.1228037842970679e+05   3  0  2  0  1  0  0
    6  2.3083821311238036e+06   2  1  2  0  1  0  0
    6 -1.0308191639483867e+06   1  2  2  0  1  0  0
    6 -1.1606161614596631e+05   0  3  2  0  1  0  0
    6  1.5503880567849742e+05   1  0  4  0  1  0  0
    6  1.2816699838259300e+05   0  1  4  0  1  0  0
    6 -1.8645460666614311e+05   3  0  1  1  1  0  0
    6 -1.3121410641191001e+06   2  1  1  1  1  0  0
    6  1.3121410641191001e+06   1  2  1  1  1  0  0
    6  1.8645460666614311e+05   0  3  1  1  1  0  0
    6  6.7383757068426604e+05   1  0  3  1  1  0  0
    6 -8.3809144053003273e+05   0  1  3  1  1  0  0
    6  1.1606161614596631e+05   3  0  0  2  1  0  0
    6  1.0308191639483867e+06   2  1  0  2  1  0  0
