
tpsa, NO = 6, NV = 7, INA = 48077
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.6131867757902734e-21   2  0  0  0  0  0  0
    2  3.7980120755823662e-21   1  1  0  0  0  0  0
    2 -1.6131867757902734e-21   0  2  0  0  0  0  0
    2  1.4022897784259693e-21   0  0  2  0  0  0  0
    2 -1.3950380166579982e-21   0  0  1  1  0  0  0
    2  1.4022897784259693e-21   0  0  0  2  0  0  0
    2  2.7832770093441695e-22   1  0  0  0  1  0  0
    2  2.7832770093441695e-22   0  1  0  0  1  0  0
    2 -1.4435893223165918e-23   0  0  0  0  2  0  0
    3 -2.4258703784789284e+00   3  0  0  0  0  0  0
    3 -1.9164696732198352e+00   2  1  0  0  0  0  0
    3 -1.9164696732198352e+00   1  2  0  0  0  0  0
    3 -2.4258703784789284e+00   0  3  0  0  0  0  0
    3 -4.0656315628391226e+00   1  0  2  0  0  0  0
    3 -3.8223926744039769e+00   0  1  2  0  0  0  0
    3 -1.6412755072800365e+00   1  0  1  1  0  0  0
    3 -1.6412755072800365e+00   0  1  1  1  0  0  0
    3 -3.8223926744039769e+00   1  0  0  2  0  0  0
    3 -4.0656315628391226e+00   0  1  0  2  0  0  0
    3 -5.0186188146120880e-01   2  0  0  0  1  0  0
    3 -2.0923007016731976e+00   1  1  0  0  1  0  0
    3 -5.0186188146120880e-01   0  2  0  0  1  0  0
    3 -1.1122479195059647e+00   0  0  2  0  1  0  0
    3 -2.0923007059259531e+00   0  0  1  1  1  0  0
    3 -1.1122479195059647e+00   0  0  0  2  1  0  0
    3  1.0491979681635263e-01   1  0  0  0  2  0  0
    3  1.0491979681635263e-01   0  1  0  0  2  0  0
    3 -1.3076845876176375e-02   0  0  0  0  3  0  0
    4 -1.6944442531336210e+02   4  0  0  0  0  0  0
    4  1.1643861314985807e+02   3  1  0  0  0  0  0
    4  1.8619965384593711e+03   2  2  0  0  0  0  0
    4  1.1643861314985807e+02   1  3  0  0  0  0  0
    4 -1.6944442531336210e+02   0  4  0  0  0  0  0
    4  6.7054471271572496e+01   2  0  2  0  0  0  0
    4  4.0982439375731957e+01   1  1  2  0  0  0  0
    4 -3.5212967654614602e+02   0  2  2  0  0  0  0
    4  4.6710418633521329e+01   0  0  4  0  0  0  0
    4  2.6603747254227090e+02   2  0  1  1  0  0  0
    4 -7.2103246881754899e+02   1  1  1  1  0  0  0
    4  2.6603747254227090e+02   0  2  1  1  0  0  0
    4  4.1431339012277186e+02   0  0  3  1  0  0  0
    4 -3.5212967654614602e+02   2  0  0  2  0  0  0
    4  4.0982439375731957e+01   1  1  0  2  0  0  0
    4  6.7054471271572496e+01   0  2  0  2  0  0  0
    4  4.3855773959039118e+02   0  0  2  2  0  0  0
    4  4.1431339012277186e+02   0  0  1  3  0  0  0
    4  4.6710418633521329e+01   0  0  0  4  0  0  0
    4 -8.0889604525027234e+00   3  0  0  0  1  0  0
    4 -9.2725844100730342e+01   2  1  0  0  1  0  0
    4 -9.2725844100730342e+01   1  2  0  0  1  0  0
    4 -8.0889604525027234e+00   0  3  0  0  1  0  0
    4  6.5720696600066063e+01   1  0  2  0  1  0  0
    4 -5.8565916074358263e+01   0  1  2  0  1  0  0
    4 -1.1806203267126747e+01   1  0  1  1  1  0  0
    4 -1.1806203267126747e+01   0  1  1  1  1  0  0
    4 -5.8565916074358263e+01   1  0  0  2  1  0  0
    4  6.5720696600066063e+01   0  1  0  2  1  0  0
    4 -5.7654915682420249e+00   2  0  0  0  2  0  0
    4  6.5921010621041233e+01   1  1  0  0  2  0  0
    4 -5.7654915682420249e+00   0  2  0  0  2  0  0
    4 -1.0826467366949707e+01   0  0  2  0  2  0  0
    4  4.1426318180261390e+00   0  0  1  1  2  0  0
    4 -1.0826467366949707e+01   0  0  0  2  2  0  0
    4  1.1640504307345756e+00   1  0  0  0  3  0  0
    4  1.1640504307345756e+00   0  1  0  0  3  0  0
    4  1.1192649225827638e+00   0  0  0  0  4  0  0
    5 -8.8644321908104575e+02   5  0  0  0  0  0  0
    5  1.6882823059638082e+04   4  1  0  0  0  0  0
    5  4.7273671460408470e+04   3  2  0  0  0  0  0
    5  4.7273671460408470e+04   2  3  0  0  0  0  0
    5  1.6882823059638082e+04   1  4  0  0  0  0  0
    5 -8.8644321908104575e+02   0  5  0  0  0  0  0
    5 -1.7449405479125395e+04   3  0  2  0  0  0  0
    5 -2.4370248204526935e+04   2  1  2  0  0  0  0
    5  1.3245136130170579e+05   1  2  2  0  0  0  0
    5  4.9468595932350281e+03   0  3  2  0  0  0  0
    5  1.1459320008907071e+02   1  0  4  0  0  0  0
    5  3.0162804503388907e+04   0  1  4  0  0  0  0
    5  3.0795565416967380e+04   3  0  1  1  0  0  0
    5  6.9425908261178396e+04   2  1  1  1  0  0  0
    5  6.9425908261178396e+04   1  2  1  1  0  0  0
    5  3.0795565416967380e+04   0  3  1  1  0  0  0
    5  2.5602003882872923e+04   1  0  3  1  0  0  0
    5  8.8233875526643984e+04   0  1  3  1  0  0  0
    5  4.9468595932350281e+03   3  0  0  2  0  0  0
    5  1.3245136130170579e+05   2  1  0  2  0  0  0
    5 -2.4370248204526935e+04   1  2  0  2  0  0  0
    5 -1.7449405479125395e+04   0  3  0  2  0  0  0
    5 -3.1536719291525656e+04   1  0  2  2  0  0  0
    5 -3.1536719291525656e+04   0  1  2  2  0  0  0
    5  8.8233875526643984e+04   1  0  1  3  0  0  0
    5  2.5602003882872923e+04   0  1  1  3  0  0  0
    5  3.0162804503388907e+04   1  0  0  4  0  0  0
    5  1.1459320008907071e+02   0  1  0  4  0  0  0
    5 -6.2510804306975251e+03   4  0  0  0  1  0  0
    5  5.6149902221472221e+03   3  1  0  0  1  0  0
    5  9.9486868398898820e+04   2  2  0  0  1  0  0
    5  5.6149902221472221e+03   1  3  0  0  1  0  0
    5 -6.2510804306975251e+03   0  4  0  0  1  0  0
    5  2.2049077321215314e+03   2  0  2  0  1  0  0
    5  8.0432104736565898e+03   1  1  2  0  1  0  0
    5 -1.1182191962624097e+02   0  2  2  0  1  0  0
    5 -2.1407676409113174e+02   0  0  4  0  1  0  0
    5  1.0575527207666168e+04   2  0  1  1  1  0  0
    5  1.6152568395204391e+04   1  1  1  1  1  0  0
    5  1.0575527207666168e+04   0  2  1  1  1  0  0
    5 -4.3361915290978059e+03   0  0  3  1  1  0  0
    5 -1.1182191962624097e+02   2  0  0  2  1  0  0
    5  8.0432104736565898e+03   1  1  0  2  1  0  0
    5  2.2049077321215314e+03   0  2  0  2  1  0  0
    5  5.9506789798140471e+02   0  0  2  2  1  0  0
    5 -4.3361915290978059e+03   0  0  1  3  1  0  0
    5 -2.1407676409113174e+02   0  0  0  4  1  0  0
    5  1.6711092589898672e+03   3  0  0  0  2  0  0
    5 -3.1981722077165214e+03   2  1  0  0  2  0  0
    5 -3.1981722077165214e+03   1  2  0  0  2  0  0
    5  1.6711092589898672e+03   0  3  0  0  2  0  0
    5 -4.2718272689200461e+02   1  0  2  0  2  0  0
    5 -3.5240880689553142e+03   0  1  2  0  2  0  0
    5  4.2878995404569582e+02   1  0  1  1  2  0  0
    5  4.2878995404569582e+02   0  1  1  1  2  0  0
    5 -3.5240880689553142e+03   1  0  0  2  2  0  0
    5 -4.2718272689200461e+02   0  1  0  2  2  0  0
    5  1.2515674854055663e+02   2  0  0  0  3  0  0
    5  1.4185479613088341e+03   1  1  0  0  3  0  0
    5  1.2515674854055663e+02   0  2  0  0  3  0  0
    5  1.9836369331572826e+02   0  0  2  0  3  0  0
    5  3.5511719715769971e+02   0  0  1  1  3  0  0
    5  1.9836369331572826e+02   0  0  0  2  3  0  0
    5 -4.0011148848421776e+01   1  0  0  0  4  0  0
    5 -4.0011148848421776e+01   0  1  0  0  4  0  0
    5 -7.3185384397668178e+00   0  0  0  0  5  0  0
    6 -1.9386368341589428e+05   6  0  0  0  0  0  0
    6  4.0539348403558522e+06   5  1  0  0  0  0  0
    6  1.9420979744840707e+06   4  2  0  0  0  0  0
    6 -1.4325996455178808e+07   3  3  0  0  0  0  0
    6  1.9420979744840707e+06   2  4  0  0  0  0  0
    6  4.0539348403558522e+06   1  5  0  0  0  0  0
    6 -1.9386368341589428e+05   0  6  0  0  0  0  0
    6  3.9590381491594166e+06   4  0  2  0  0  0  0
    6  1.4390319327843832e+06   3  1  2  0  0  0  0
    6  1.4556171200825274e+06   2  2  2  0  0  0  0
    6  6.5084351166347247e+06   1  3  2  0  0  0  0
    6 -7.8535634222465567e+04   0  4  2  0  0  0  0
    6  1.5655246518055797e+06   2  0  4  0  0  0  0
    6  5.7670255606821561e+06   1  1  4  0  0  0  0
    6 -4.9440683001836168e+05   0  2  4  0  0  0  0
    6  1.4164617315566896e+06   0  0  6  0  0  0  0
    6 -1.7737086687681032e+06   4  0  1  1  0  0  0
    6 -9.9538661284384411e+06   3  1  1  1  0  0  0
    6 -8.0159591029622301e+07   2  2  1  1  0  0  0
    6 -9.9538661284384411e+06   1  3  1  1  0  0  0
    6 -1.7737086687681032e+06   0  4  1  1  0  0  0
    6 -1.0480665444314994e+06   2  0  3  1  0  0  0
    6 -1.5768450042290587e+06   1  1  3  1  0  0  0
    6 -1.6116305072441401e+07   0  2  3  1  0  0  0
    6  1.9020866035887639e+06   0  0  5  1  0  0  0
    6 -7.8535634222465567e+04   4  0  0  2  0  0  0
    6  6.5084351166347247e+06   3  1  0  2  0  0  0
    6  1.4556171200825274e+06   2  2  0  2  0  0  0
    6  1.4390319327843832e+06   1  3  0  2  0  0  0
    6  3.9590381491594166e+06   0  4  0  2  0  0  0
    6 -1.6135651342250042e+07   2  0  2  2  0  0  0
    6 -3.7279798510062709e+07   1  1  2  2  0  0  0
    6 -1.6135651342250042e+07   0  2  2  2  0  0  0
    6  3.0955869881154965e+06   0  0  4  2  0  0  0
    6 -1.6116305072441401e+07   2  0  1  3  0  0  0
    6 -1.5768450042290587e+06   1  1  1  3  0  0  0
