
tpsa, NO = 6, NV = 7, INA = 48119
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  5.4230220108988231e-02   0  0  0  0  0  0  0
    1  6.6599999821187195e-01   0  0  0  0  1  0  0
    2 -1.3239764488884089e+03   1  1  0  0  0  0  0
    2  2.8306232976355648e+02   0  0  1  1  0  0  0
    2 -2.0608960662925579e+01   0  0  0  0  2  0  0
    3 -6.3358039837590062e+04   1  1  0  0  1  0  0
    3 -6.5588706947586743e+03   0  0  1  1  1  0  0
    3 -4.1134087600552147e+02   0  0  0  0  3  0  0
    4 -5.9289836545249576e-10   3  1  0  0  0  0  0
    4  1.5590553432296319e+07   2  2  0  0  0  0  0
    4 -2.9644918272624788e-10   1  3  0  0  0  0  0
    4  5.4463321998195849e+07   1  1  1  1  0  0  0
    4  1.0121650260804098e+07   0  0  2  2  0  0  0
    4  2.0934798048870687e+06   1  1  0  0  2  0  0
    4  2.0071440340533780e+05   0  0  1  1  2  0  0
    4  1.6113220350329437e+04   0  0  0  0  4  0  0
  -16  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 6, NV = 7, INA = 48120
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  3.7004531094423554e-01   0  0  0  0  0  0  0
    1  6.6599999956554623e-01   0  0  0  0  1  0  0
    2  2.8306232976355648e+02   1  1  0  0  0  0  0
    2 -2.8744520256523077e+02   0  0  1  1  0  0  0
    2  9.2324029601469959e-01   0  0  0  0  2  0  0
    3 -6.5588706947586743e+03   1  1  0  0  1  0  0
    3 -7.4444658614798273e+03   0  0  1  1  1  0  0
    3 -5.5163813595987783e+01   0  0  0  0  3  0  0
    4  2.7231660999097925e+07   2  2  0  0  0  0  0
    4  2.0243300521608196e+07   1  1  1  1  0  0  0
    4 -2.9644918272624788e-10   0  0  3  1  0  0  0
    4  7.4722142814802378e+06   0  0  2  2  0  0  0
    4 -1.4822459136312394e-10   0  0  1  3  0  0  0
    4  2.0071440340533780e+05   1  1  0  0  2  0  0
    4  2.5051060512882259e+05   0  0  1  1  2  0  0
    4 -5.0370708825314227e+02   0  0  0  0  4  0  0
  -16  0.0000000000000000e+00   0  0  0  0  0  0  0
