# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 11.05423 5.37005
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
   0  2.2510880669235768e-04  1.3845963332833428e-08  5.4019133452481776e-03  6.3041094349918566e-07  0.0000000000000000e+00  0.0000000000000000e+00
   1 -2.0201917742202231e-04 -2.6508500707333169e-04 -3.0421310326680848e-03 -4.4691977347836370e-03  0.0000000000000000e+00 -9.8839478993855076e-02
   2 -7.8508407841197637e-05 -1.7047800137760653e-04 -7.6762038356978368e-04  5.5830549754801164e-03  0.0000000000000000e+00 -1.1482104149562972e-01
   3 -2.1083455685988041e-04 -6.2815563780291522e-05  4.1464074796232365e-03 -3.5447582652144501e-03  0.0000000000000000e+00 -8.8273633396450460e-02
   4 -3.0636491314866323e-05 -3.3860763744230699e-04 -5.2791541065903280e-03 -7.5012314761341878e-04  0.0000000000000000e+00 -1.3132782451767022e-01
   5 -6.2587329118903186e-04 -4.2714158184901956e-04  2.5057950288809197e-03  4.9106367549703990e-03  0.0000000000000000e+00 -2.2350794176833097e-01
   6 -5.1853905029343754e-04 -4.3460287963151290e-05  1.4187439867331757e-03 -5.5220518169814669e-03  0.0000000000000000e+00 -2.2275125212163935e-01
   7 -5.2188632199411740e-04  5.2763167684103070e-05 -4.5321801264624857e-03  2.8884074009760969e-03  0.0000000000000000e+00 -2.0135209895590334e-01
   8 -2.8705694677658497e-04  5.0863784372240408e-05  5.0369251334224695e-03  1.4631034140734154e-03  0.0000000000000000e+00 -2.5979410559703131e-01
   9 -7.0557821098064918e-04 -4.8006950167601975e-05 -1.8580681564186326e-03 -5.3391758830921435e-03  0.0000000000000000e+00 -3.4562302074087742e-01
  10 -3.5646039913048079e-04  4.0843327030857352e-04 -2.0675598795774682e-03  5.2998864732144331e-03  0.0000000000000000e+00 -3.3325248883105779e-01
  11 -1.5853200613543344e-04  3.2009443193624219e-04  4.9442407918106153e-03 -2.2275730741888032e-03  0.0000000000000000e+00 -3.2070328197168485e-01
  12 -9.5150548375156514e-07  1.6368036552867439e-04 -4.6446499869951764e-03 -2.2659270333383334e-03  0.0000000000000000e+00 -3.9665540602038546e-01
  13 -2.2182252092372887e-04 -1.2615610267614581e-04  1.2839941136478211e-03  5.5773073844906183e-03  0.0000000000000000e+00 -4.7079810528727994e-01
  14 -2.9371670481139183e-05  2.3886680792148100e-04  2.6506737124916166e-03 -5.0165352233679699e-03  0.0000000000000000e+00 -4.4929824031453736e-01
  15  6.3629771693968015e-05 -1.1265650718654781e-04 -5.1820828075066867e-03  1.6057490316218339e-03  0.0000000000000000e+00 -4.4722225533738053e-01
  16 -8.7819445478102168e-05 -2.9948572527610843e-04  4.2723637482664691e-03  2.9974770508792406e-03  0.0000000000000000e+00 -5.3400772358499204e-01
  17 -3.4366966206361590e-04 -4.2965958351899656e-04 -7.3229485948027783e-04 -5.6630673907780713e-03  0.0000000000000000e+00 -5.8961798069715510e-01
  18 -4.0249601955649733e-04  1.5576640156846946e-06 -3.1127773729528957e-03  4.7280046356753067e-03  0.0000000000000000e+00 -5.6215508992057550e-01
  19 -2.6077999100307283e-04 -2.3760631715281298e-04  5.3267731084290634e-03 -9.4225830218338516e-04  0.0000000000000000e+00 -5.6963868957918418e-01
