
tpsa, NO = 7, NV = 7, INA = 48085
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.7036926109696932e-01   1  1  0  0  0  0  0
    2 -1.1625316303577773e+00   0  0  1  1  0  0  0
    2  4.7868782235441804e-02   0  0  0  0  2  0  0
    3 -2.0923006985332950e+00   1  1  0  0  1  0  0
    3 -2.0923007050553326e+00   0  0  1  1  1  0  0
    3 -1.3135995945142892e-02   0  0  0  0  3  0  0
    4  2.4549720573505497e+03   2  2  0  0  0  0  0
    4 -6.1651959800621512e+02   1  1  1  1  0  0  0
    4  4.9201627158575843e+02   0  0  2  2  0  0  0
    4  8.3398778168079701e+01   1  1  0  0  2  0  0
    4  4.4221136488184882e+00   0  0  1  1  2  0  0
    4  1.2189691372843932e+00   0  0  0  0  4  0  0
    5  9.9425988495749800e+04   2  2  0  0  1  0  0
    5  9.7365539304192043e+03   1  1  1  1  1  0  0
    5  9.7682257166613017e+03   0  0  2  2  1  0  0
    5  7.2955209096348062e+02   1  1  0  0  3  0  0
    5 -3.6574973109535399e+01   0  0  1  1  3  0  0
    5 -8.1697442212906459e+00   0  0  0  0  5  0  0
    6 -2.0200005452982284e+07   3  3  0  0  0  0  0
    6  1.4551915228366852e-11   0  0  6  0  0  0  0
    6 -7.8828725477943301e+07   2  2  1  1  0  0  0
    6  4.6566128730773926e-10   2  0  2  2  0  0  0
    6 -2.4286169938642569e+07   1  1  2  2  0  0  0
    6  4.6566128730773926e-10   0  2  2  2  0  0  0
    6 -7.3720426680813599e+06   0  0  3  3  0  0  0
    6  1.4551915228366852e-11   0  0  0  6  0  0  0
    6 -2.8875539700370487e+06   2  2  0  0  2  0  0
    6 -4.4299241196808603e+05   1  1  1  1  2  0  0
    6 -2.8994414481577964e+05   0  0  2  2  2  0  0
    6 -4.1995596192650177e+04   1  1  0  0  4  0  0
    6  4.2018550274112058e+03   0  0  1  1  4  0  0
    6 -2.9080092339112532e+01   0  0  0  0  6  0  0
    7 -9.3132257461547852e-10   4  2  0  0  1  0  0
    7  2.8103403207908459e+07   3  3  0  0  1  0  0
    7 -9.3132257461547852e-10   2  4  0  0  1  0  0
    7 -4.6566128730773926e-10   0  0  6  0  1  0  0
    7  1.2332597317969928e+09   2  2  1  1  1  0  0
    7  7.4505805969238281e-09   0  0  5  1  1  0  0
    7 -7.4505805969238281e-09   2  0  2  2  1  0  0
    7  6.0132092760610163e+08   1  1  2  2  1  0  0
    7 -7.4505805969238281e-09   0  2  2  2  1  0  0
    7  1.6314680779452634e+08   0  0  3  3  1  0  0
    7  7.4505805969238281e-09   0  0  1  5  1  0  0
    7 -4.6566128730773926e-10   0  0  0  6  1  0  0
    7  6.7100140199095160e+07   2  2  0  0  3  0  0
    7  1.1906916965727791e+07   1  1  1  1  3  0  0
    7  3.8672200428393781e+06   0  0  2  2  3  0  0
    7  1.2744546032915672e+06   1  1  0  0  5  0  0
    7  3.7660129482853525e+04   0  0  1  1  5  0  0
    7  1.9803860313390189e+03   0  0  0  0  7  0  0
  -50  0.0000000000000000e+00   0  0  0  0  0  0  0
