
tpsa, NO = 7, NV = 7, INA = 48018
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    0  2.0519389577094762e-22   0  0  0  0  0  0  0
    1  9.4252867573535171e-01   1  0  0  0  0  0  0
    1  6.5947707351397673e+00   0  1  0  0  0  0  0
    1 -1.6455587726468348e-05   0  0  0  0  1  0  0
    2 -7.2562913776767801e-01   2  0  0  0  0  0  0
    2 -9.5375596948854280e+01   1  1  0  0  0  0  0
    2 -9.6775565817857091e+02   0  2  0  0  0  0  0
    2 -3.1505441673569994e+00   0  0  2  0  0  0  0
    2  4.4177315682248732e+01   0  0  1  1  0  0  0
    2  1.0284906125518010e+02   0  0  0  2  0  0  0
    2 -1.5176456054452216e+00   1  0  0  0  1  0  0
    2  3.6605796964633065e+01   0  1  0  0  1  0  0
    2  1.9185681915222041e-01   0  0  0  0  2  0  0
    3  2.0989064366105271e+02   3  0  0  0  0  0  0
    3 -1.2941216079078102e+04   2  1  0  0  0  0  0
    3  6.2172021755741109e+04   1  2  0  0  0  0  0
    3 -2.4555497858894658e+06   0  3  0  0  0  0  0
    3  1.0236501210677338e+03   1  0  2  0  0  0  0
    3 -2.2929508573707240e+03   0  1  2  0  0  0  0
    3  5.1994061009784609e+03   1  0  1  1  0  0  0
    3  1.2818289128034734e+05   0  1  1  1  0  0  0
    3 -1.0360966273020729e+04   1  0  0  2  0  0  0
    3  2.9735221556462004e+05   0  1  0  2  0  0  0
    3 -2.5413771060446770e+01   2  0  0  0  1  0  0
    3  1.5877477296907957e+03   1  1  0  0  1  0  0
    3  2.0416467012746911e+04   0  2  0  0  1  0  0
    3  2.9738203746265742e+02   0  0  2  0  1  0  0
    3  9.9144043557319515e+02   0  0  1  1  1  0  0
    3 -1.6315485917930300e+02   0  0  0  2  1  0  0
    3  4.5615260132741945e+01   1  0  0  0  2  0  0
    3 -3.6840915455244103e+03   0  1  0  0  2  0  0
    3  2.3192258346022854e+00   0  0  0  0  3  0  0
    4  2.6571136162495222e+03   4  0  0  0  0  0  0
    4 -2.4210008814275308e+04   3  1  0  0  0  0  0
    4  8.2441139772248582e+05   2  2  0  0  0  0  0
    4  7.0560613181201011e+07   1  3  0  0  0  0  0
    4 -3.6811878237228322e+08   0  4  0  0  0  0  0
    4 -1.7019783012930424e+04   2  0  2  0  0  0  0
    4 -7.3740976803576783e+05   1  1  2  0  0  0  0
    4 -1.4410504228333101e+07   0  2  2  0  0  0  0
    4 -1.2496605085166681e+05   0  0  4  0  0  0  0
    4 -3.2169159833869012e+05   2  0  1  1  0  0  0
    4  5.0049517558812927e+06   1  1  1  1  0  0  0
    4 -1.8054409929481056e+08   0  2  1  1  0  0  0
    4 -1.1369256130094989e+06   0  0  3  1  0  0  0
    4  2.2280073930320461e+04   2  0  0  2  0  0  0
    4  3.5037696770161255e+06   1  1  0  2  0  0  0
    4  2.0800567002806476e+08   0  2  0  2  0  0  0
    4  5.3561281737698466e+06   0  0  2  2  0  0  0
    4  5.9758002199186431e+06   0  0  1  3  0  0  0
    4 -1.0904670854434920e+07   0  0  0  4  0  0  0
    4  1.1296429154500052e+04   3  0  0  0  1  0  0
    4 -5.3312580199910956e+05   2  1  0  0  1  0  0
    4  5.6025275816772808e+05   1  2  0  0  1  0  0
    4 -9.1872830485855430e+07   0  3  0  0  1  0  0
    4 -1.0032660172487587e+04   1  0  2  0  1  0  0
    4 -3.2639075406648341e+05   0  1  2  0  1  0  0
    4  6.8762414142874804e+03   1  0  1  1  1  0  0
    4 -2.9334271410878742e+05   0  1  1  1  1  0  0
    4 -2.6381688578032248e+04   1  0  0  2  1  0  0
    4  2.5672133748467383e+06   0  1  0  2  1  0  0
    4 -2.1430334944007400e+03   2  0  0  0  2  0  0
    4  1.5861365900023706e+05   1  1  0  0  2  0  0
    4 -3.6639288690684189e+04   0  2  0  0  2  0  0
    4  2.5065470766321323e+03   0  0  2  0  2  0  0
    4  6.9110028679990399e+04   0  0  1  1  2  0  0
    4  9.3297228182915278e+03   0  0  0  2  2  0  0
    4  1.3509325370774709e+03   1  0  0  0  3  0  0
    4 -9.2292143723445351e+03   0  1  0  0  3  0  0
    4 -1.6626888924963728e+02   0  0  0  0  4  0  0
    5 -2.6802525995167653e+05   5  0  0  0  0  0  0
    5  1.0823758156721724e+07   4  1  0  0  0  0  0
    5 -2.5964742016031057e+08   3  2  0  0  0  0  0
    5  9.3578765024518700e+09   2  3  0  0  0  0  0
    5  4.6360375938573402e+10   1  4  0  0  0  0  0
    5  1.5911728486184711e+11   0  5  0  0  0  0  0
    5 -1.5137723192282408e+06   3  0  2  0  0  0  0
    5  1.2396278979574847e+08   2  1  2  0  0  0  0
    5 -9.6761251202190900e+08   1  2  2  0  0  0  0
    5  3.2642538876125832e+10   0  3  2  0  0  0  0
    5  2.1710733504992030e+06   1  0  4  0  0  0  0
    5 -1.7454912702628791e+07   0  1  4  0  0  0  0
    5 -5.3513886014688667e+05   3  0  1  1  0  0  0
    5 -1.3893984608117193e+08   2  1  1  1  0  0  0
    5 -7.4906359618199453e+09   1  2  1  1  0  0  0
    5 -1.3583632938970894e+10   0  3  1  1  0  0  0
    5  3.1419838045290865e+07   1  0  3  1  0  0  0
    5 -9.9586884864755070e+08   0  1  3  1  0  0  0
    5 -2.4163507345997542e+07   3  0  0  2  0  0  0
    5  4.0682063496249974e+08   2  1  0  2  0  0  0
    5 -6.3863663030612040e+09   1  2  0  2  0  0  0
    5  2.2992446252172821e+11   0  3  0  2  0  0  0
    5 -4.4883167218713000e+07   1  0  2  2  0  0  0
    5 -8.6331944910923100e+08   0  1  2  2  0  0  0
    5  9.9114735042170808e+07   1  0  1  3  0  0  0
    5  1.1616695528262783e+10   0  1  1  3  0  0  0
    5 -3.4510229622856236e+08   1  0  0  4  0  0  0
    5  1.6009135733753490e+10   0  1  0  4  0  0  0
    5  9.3576988120310256e+04   4  0  0  0  1  0  0
    5  1.7307888118275560e+07   3  1  0  0  1  0  0
    5  4.9639957530977345e+08   2  2  0  0  1  0  0
    5 -9.4246950091858768e+09   1  3  0  0  1  0  0
    5 -2.5352951557376488e+10   0  4  0  0  1  0  0
    5  3.8075361700661510e+05   2  0  2  0  1  0  0
    5 -4.2234884774038708e+06   1  1  2  0  1  0  0
    5 -1.1601936976735100e+08   0  2  2  0  1  0  0
    5  2.3052013571211305e+06   0  0  4  0  1  0  0
    5 -4.5706960948901875e+06   2  0  1  1  1  0  0
    5 -7.5330215208238333e+07   1  1  1  1  1  0  0
    5 -3.5689475013153458e+09   0  2  1  1  1  0  0
    5 -1.1106777109440118e+07   0  0  3  1  1  0  0
    5  7.8123876186800068e+06   2  0  0  2  1  0  0
    5 -4.1298378503915226e+08   1  1  0  2  1  0  0
    5  3.2119262459636921e+08   0  2  0  2  1  0  0
    5 -3.7958187656592183e+07   0  0  2  2  1  0  0
    5 -3.7777181182377666e+07   0  0  1  3  1  0  0
    5  4.2104087095026568e+07   0  0  0  4  1  0  0
    5 -2.1716001707350870e+05   3  0  0  0  2  0  0
    5  1.7436960331525665e+07   2  1  0  0  2  0  0
    5 -2.4789776172397383e+07   1  2  0  0  2  0  0
    5  4.5898463289277563e+09   0  3  0  0  2  0  0
    5 -4.2811012367473682e+04   1  0  2  0  2  0  0
    5  2.2133018617163859e+07   0  1  2  0  2  0  0
    5  8.8506158300122735e+05   1  0  1  1  2  0  0
    5 -3.8935333409545369e+07   0  1  1  1  2  0  0
    5  1.3886554934275525e+06   1  0  0  2  2  0  0
    5  1.6139599507434042e+06   0  1  0  2  2  0  0
    5 -5.6937417133135881e+04   2  0  0  0  3  0  0
    5  8.7026379798623431e+05   1  1  0  0  3  0  0
    5 -7.5793249883155609e+06   0  2  0  0  3  0  0
    5 -1.0423647978412504e+05   0  0  2  0  3  0  0
    5  1.8349233661927719e+05   0  0  1  1  3  0  0
    5  7.6965563560980139e+05   0  0  0  2  3  0  0
    5 -2.8911368471520989e+04   1  0  0  0  4  0  0
    5  1.4939770013169919e+06   0  1  0  0  4  0  0
    5 -2.1195296060191176e+03   0  0  0  0  5  0  0
    6 -7.1646111206733445e+06   6  0  0  0  0  0  0
    6  1.1947132664192334e+08   5  1  0  0  0  0  0
    6 -1.2209950321386402e+09   4  2  0  0  0  0  0
    6 -1.6252154872547723e+11   3  3  0  0  0  0  0
    6 -3.5474062927931250e+12   2  4  0  0  0  0  0
    6  2.7735786924270112e+12   1  5  0  0  0  0  0
    6 -4.4795516204961578e+13   0  6  0  0  0  0  0
    6 -7.8802079042272344e+06   4  0  2  0  0  0  0
    6 -4.5524699998190212e+09   3  1  2  0  0  0  0
    6  2.9711557457123749e+10   2  2  2  0  0  0  0
    6 -3.5093125204147321e+11   1  3  2  0  0  0  0
    6  9.7820092149866094e+12   0  4  2  0  0  0  0
    6  1.9174511011722949e+08   2  0  4  0  0  0  0
    6  7.9536011096880207e+09   1  1  4  0  0  0  0
    6  6.8037380451014595e+10   0  2  4  0  0  0  0
    6 -2.2141522634922004e+08   0  0  6  0  0  0  0
    6 -2.0188277445319879e+08   4  0  1  1  0  0  0
    6  5.4577714382343130e+09   3  1  1  1  0  0  0
    6  5.4792445533970300e+11   2  2  1  1  0  0  0
    6  5.5696941197609678e+12   1  3  1  1  0  0  0
    6 -2.3260945795451465e+13   0  4  1  1  0  0  0
    6  5.4628461621045923e+08   2  0  3  1  0  0  0
    6  4.5338934088773727e+09   1  1  3  1  0  0  0
    6  9.8365050754644995e+11   0  2  3  1  0  0  0
    6 -8.1125316624996424e+07   0  0  5  1  0  0  0
    6 -7.2040909321009231e+08   4  0  0  2  0  0  0
    6  2.3373125732180939e+10   3  1  0  2  0  0  0
    6 -1.0251982403517230e+12   2  2  0  2  0  0  0
    6  1.7317176109368023e+13   1  3  0  2  0  0  0
    6 -1.4318706114909965e+13   0  4  0  2  0  0  0
    6 -2.6567691881189985e+09   2  0  2  2  0  0  0
    6 -2.4993977526425500e+11   1  1  2  2  0  0  0
