
tpsa, NO = 8, NV = 7, INA = 48092
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -1.0089110741560117e-06   3  0  0  0  0  0  0
    3 -1.3077397426861356e-06   2  1  0  0  0  0  0
    3 -1.3077397426861356e-06   1  2  0  0  0  0  0
    3 -1.0089110741560117e-06   0  3  0  0  0  0  0
    3  2.1869099153255591e-06   1  0  2  0  0  0  0
    3  1.4069584241116270e-07   0  1  2  0  0  0  0
    3 -4.7108886279271904e-07   1  0  1  1  0  0  0
    3 -4.7108886279271904e-07   0  1  1  1  0  0  0
    3  1.4069584241116270e-07   1  0  0  2  0  0  0
    3  2.1869099153255591e-06   0  1  0  2  0  0  0
    3 -1.2127652569642047e-06   2  0  0  0  1  0  0
    3 -2.9603303451164811e-14   1  1  0  0  1  0  0
    3 -1.2127652569642047e-06   0  2  0  0  1  0  0
    3  2.2100901432640300e-07   0  0  2  0  1  0  0
    3 -1.1812096266214280e-15   0  0  1  1  1  0  0
    3  2.2100901432640300e-07   0  0  0  2  1  0  0
    3 -7.3157597372640170e-21   1  0  0  0  2  0  0
    3 -7.3157597372640170e-21   0  1  0  0  2  0  0
    3 -1.1774695213732857e-08   0  0  0  0  3  0  0
    4 -5.5765248846799374e-07   4  0  0  0  0  0  0
    4 -1.6594599622134028e-07   3  1  0  0  0  0  0
    4 -4.6166400988876536e-07   2  2  0  0  0  0  0
    4 -1.6594599622134028e-07   1  3  0  0  0  0  0
    4 -5.5765248846799374e-07   0  4  0  0  0  0  0
    4 -2.2979136577505208e-07   2  0  2  0  0  0  0
    4  2.7950129942696568e-07   1  1  2  0  0  0  0
    4 -2.3794933444786908e-08   0  2  2  0  0  0  0
    4  7.5780755238038116e-08   0  0  4  0  0  0  0
    4 -3.9410082452359541e-07   2  0  1  1  0  0  0
    4 -1.2419701255855033e-06   1  1  1  1  0  0  0
    4 -3.9410082452359541e-07   0  2  1  1  0  0  0
    4 -6.7967629178789022e-08   0  0  3  1  0  0  0
    4 -2.3794933444786908e-08   2  0  0  2  0  0  0
    4  2.7950129942696568e-07   1  1  0  2  0  0  0
    4 -2.2979136577505208e-07   0  2  0  2  0  0  0
    4 -1.5718965938230628e-07   0  0  2  2  0  0  0
    4 -6.7967629178789022e-08   0  0  1  3  0  0  0
    4  7.5780755238038116e-08   0  0  0  4  0  0  0
    4  1.1765961626756335e-07   3  0  0  0  1  0  0
    4 -8.1254814507882955e-07   2  1  0  0  1  0  0
    4 -8.1254814507882955e-07   1  2  0  0  1  0  0
    4  1.1765961626756335e-07   0  3  0  0  1  0  0
    4  8.7022243819261494e-09   1  0  2  0  1  0  0
    4  1.6659225285726982e-07   0  1  2  0  1  0  0
    4 -3.6537556551384630e-07   1  0  1  1  1  0  0
    4 -3.6537556551384630e-07   0  1  1  1  1  0  0
    4  1.6659225285726982e-07   1  0  0  2  1  0  0
    4  8.7022243819261494e-09   0  1  0  2  1  0  0
    4 -5.0739910875426066e-07   2  0  0  0  2  0  0
    4 -6.4708857178496191e-08   1  1  0  0  2  0  0
    4 -5.0739910875426066e-07   0  2  0  0  2  0  0
    4  2.7516682562244922e-07   0  0  2  0  2  0  0
    4 -4.8580315808255680e-08   0  0  1  1  2  0  0
    4  2.7516682562244922e-07   0  0  0  2  2  0  0
    4  5.6695820258988358e-22   1  0  0  0  3  0  0
    4  5.6695820258988358e-22   0  1  0  0  3  0  0
    4  1.7902147024816473e-07   0  0  0  0  4  0  0
    5  6.6748899986047872e-07   5  0  0  0  0  0  0
    5 -2.6985608166322260e-07   4  1  0  0  0  0  0
    5 -9.1357669158235026e-08   3  2  0  0  0  0  0
    5 -9.1357669158235026e-08   2  3  0  0  0  0  0
    5 -2.6985608166322260e-07   1  4  0  0  0  0  0
    5  6.6748899986047872e-07   0  5  0  0  0  0  0
    5  1.7831336313604708e-07   3  0  2  0  0  0  0
    5 -1.4665957471006365e-08   2  1  2  0  0  0  0
    5  1.6252230412483697e-08   1  2  2  0  0  0  0
    5  9.2570480363142475e-08   0  3  2  0  0  0  0
    5 -6.2417483222228147e-08   1  0  4  0  0  0  0
    5 -6.8208633707588665e-09   0  1  4  0  0  0  0
    5 -7.7231170846807908e-08   3  0  1  1  0  0  0
    5  2.3928013916961357e-07   2  1  1  1  0  0  0
    5  2.3928013916961357e-07   1  2  1  1  0  0  0
    5 -7.7231170846807908e-08   0  3  1  1  0  0  0
    5  1.7816185605697671e-08   1  0  3  1  0  0  0
    5 -2.1561483742435812e-08   0  1  3  1  0  0  0
    5  9.2570480363142475e-08   3  0  0  2  0  0  0
    5  1.6252230412483697e-08   2  1  0  2  0  0  0
    5 -1.4665957471006365e-08   1  2  0  2  0  0  0
    5  1.7831336313604708e-07   0  3  0  2  0  0  0
    5  1.3032425442218451e-07   1  0  2  2  0  0  0
    5  1.3032425442218451e-07   0  1  2  2  0  0  0
    5 -2.1561483742435812e-08   1  0  1  3  0  0  0
    5  1.7816185605697671e-08   0  1  1  3  0  0  0
    5 -6.8208633707588665e-09   1  0  0  4  0  0  0
    5 -6.2417483222228147e-08   0  1  0  4  0  0  0
    5 -1.9541943353244617e-07   4  0  0  0  1  0  0
    5 -1.4933131236079357e-07   3  1  0  0  1  0  0
    5  1.3530325454596755e-07   2  2  0  0  1  0  0
    5 -1.4933131236079357e-07   1  3  0  0  1  0  0
    5 -1.9541943353244617e-07   0  4  0  0  1  0  0
    5  5.5859536326632160e-08   2  0  2  0  1  0  0
    5  2.6740186890790427e-09   1  1  2  0  1  0  0
    5 -3.0877828881474860e-08   0  2  2  0  1  0  0
    5 -1.5612353456697859e-08   0  0  4  0  1  0  0
    5 -1.3113462026801001e-08   2  0  1  1  1  0  0
    5 -1.0837237617392574e-07   1  1  1  1  1  0  0
    5 -1.3113462026801001e-08   0  2  1  1  1  0  0
    5  5.3866924837093107e-09   0  0  3  1  1  0  0
    5 -3.0877828881474860e-08   2  0  0  2  1  0  0
    5  2.6740186890790427e-09   1  1  0  2  1  0  0
    5  5.5859536326632160e-08   0  2  0  2  1  0  0
    5  3.6267503396533552e-08   0  0  2  2  1  0  0
    5  5.3866924837093107e-09   0  0  1  3  1  0  0
    5 -1.5612353456697859e-08   0  0  0  4  1  0  0
    5  1.9178006872334520e-10   3  0  0  0  2  0  0
    5 -3.1576834469718631e-07   2  1  0  0  2  0  0
    5 -3.1576834469718631e-07   1  2  0  0  2  0  0
    5  1.9178006872334520e-10   0  3  0  0  2  0  0
    5 -2.3069632233773453e-09   1  0  2  0  2  0  0
    5  2.4578575954279598e-08   0  1  2  0  2  0  0
    5 -1.7710740608601539e-07   1  0  1  1  2  0  0
    5 -1.7710740608601539e-07   0  1  1  1  2  0  0
    5  2.4578575954279598e-08   1  0  0  2  2  0  0
    5 -2.3069632233773453e-09   0  1  0  2  2  0  0
    5  1.7495411435246696e-08   2  0  0  0  3  0  0
    5 -5.9567437454099039e-08   1  1  0  0  3  0  0
    5  1.7495411435246696e-08   0  2  0  0  3  0  0
    5 -5.0270559206406023e-08   0  0  2  0  3  0  0
    5 -5.0789818365727593e-08   0  0  1  1  3  0  0
    5 -5.0270559206406023e-08   0  0  0  2  3  0  0
    5  2.9193517473894063e-23   1  0  0  0  4  0  0
    5  2.9193517473894063e-23   0  1  0  0  4  0  0
    5 -3.7912395732996868e-08   0  0  0  0  5  0  0
    6 -2.8842953356275032e-07   6  0  0  0  0  0  0
    6  7.1777390443012579e-07   5  1  0  0  0  0  0
    6  1.6267564269901991e-07   4  2  0  0  0  0  0
    6 -2.8097493414006199e-07   3  3  0  0  0  0  0
    6  1.6267564269901991e-07   2  4  0  0  0  0  0
    6  7.1777390443012579e-07   1  5  0  0  0  0  0
    6 -2.8842953356275032e-07   0  6  0  0  0  0  0
    6 -1.6412350792434319e-06   4  0  2  0  0  0  0
    6 -2.4990477435394970e-08   3  1  2  0  0  0  0
    6  2.7806833779889475e-08   2  2  2  0  0  0  0
    6  5.2187138667086635e-08   1  3  2  0  0  0  0
    6 -3.3141928778347042e-07   0  4  2  0  0  0  0
    6  2.9881394462559307e-08   2  0  4  0  0  0  0
    6 -2.3252446685607141e-09   1  1  4  0  0  0  0
    6 -1.0838973412358416e-08   0  2  4  0  0  0  0
    6 -2.8951151307971368e-09   0  0  6  0  0  0  0
    6 -2.9424579660187215e-08   4  0  1  1  0  0  0
    6 -1.2976339873897474e-07   3  1  1  1  0  0  0
    6 -7.9848766436583585e-08   2  2  1  1  0  0  0
    6 -1.2976339873897474e-07   1  3  1  1  0  0  0
    6 -2.9424579660187215e-08   0  4  1  1  0  0  0
    6 -1.0746854660217298e-08   2  0  3  1  0  0  0
    6 -6.1710076352324283e-09   1  1  3  1  0  0  0
    6  3.4774339985722532e-08   0  2  3  1  0  0  0
    6  1.4707879327418691e-09   0  0  5  1  0  0  0
    6 -3.3141928778347042e-07   4  0  0  2  0  0  0
    6  5.2187138667086635e-08   3  1  0  2  0  0  0
    6  2.7806833779889475e-08   2  2  0  2  0  0  0
    6 -2.4990477435394970e-08   1  3  0  2  0  0  0
    6 -1.6412350792434319e-06   0  4  0  2  0  0  0
    6 -6.8331727164698564e-08   2  0  2  2  0  0  0
    6 -2.2926834023766055e-08   1  1  2  2  0  0  0
    6 -6.8331727164698564e-08   0  2  2  2  0  0  0
    6  7.2787701722131286e-09   0  0  4  2  0  0  0
    6  3.4774339985722532e-08   2  0  1  3  0  0  0
    6 -6.1710076352324283e-09   1  1  1  3  0  0  0
    6 -1.0746854660217298e-08   0  2  1  3  0  0  0
    6 -1.7079560947356784e-08   0  0  3  3  0  0  0
    6 -1.0838973412358416e-08   2  0  0  4  0  0  0
    6 -2.3252446685607141e-09   1  1  0  4  0  0  0
    6  2.9881394462559307e-08   0  2  0  4  0  0  0
    6  7.2787701722131286e-09   0  0  2  4  0  0  0
