
tpsa, NO = 8, NV = 7, INA = 48094
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -6.6239559218457811e-01   1  1  0  0  0  0  0
    2 -2.3245650129590897e-01   0  0  1  1  0  0  0
    2  9.5766249606684655e-03   0  0  0  0  2  0  0
    3 -4.7277899817288465e-08   1  1  0  0  1  0  0
    3 -2.2448293594360771e-09   0  0  1  1  1  0  0
    3 -4.3609982273084657e-04   0  0  0  0  3  0  0
    4  3.0634737332237518e+02   2  2  0  0  0  0  0
    4 -4.0667710906252177e+02   1  1  1  1  0  0  0
    4  2.3959061958483167e+02   0  0  2  2  0  0  0
    4  7.8829077504122820e+00   1  1  0  0  2  0  0
    4 -2.3939737917384374e-01   0  0  1  1  2  0  0
    4  2.2101416080020336e-01   0  0  0  0  4  0  0
    5  2.2976731541836118e+04   2  2  0  0  1  0  0
    5  1.6927596952353611e+04   1  1  1  1  1  0  0
    5  5.5342084764420989e+01   0  0  2  2  1  0  0
    5  2.1030587907173719e+02   1  1  0  0  3  0  0
    5  5.7802242571455285e+00   0  0  1  1  3  0  0
    5 -1.5601808943620110e+00   0  0  0  0  5  0  0
    6  2.9103830456733704e-11   6  0  0  0  0  0  0
    6 -1.4135377482099617e+07   3  3  0  0  0  0  0
    6  2.9103830456733704e-11   0  6  0  0  0  0  0
    6 -4.1316814664356358e+07   2  2  1  1  0  0  0
    6 -1.2803744342083544e+07   1  1  2  2  0  0  0
    6  1.4551915228366852e-11   0  0  4  2  0  0  0
    6 -5.4748059267526795e+05   0  0  3  3  0  0  0
    6  1.4551915228366852e-11   0  0  2  4  0  0  0
    6 -3.7665397231250384e+05   2  2  0  0  2  0  0
    6  1.7242541209639411e+05   1  1  1  1  2  0  0
    6 -1.1313818116134277e+05   0  0  2  2  2  0  0
    6 -6.5352542976936975e+03   1  1  0  0  4  0  0
    6  1.6261738750820100e+03   0  0  1  1  4  0  0
    6 -4.3858948437381446e+00   0  0  0  0  6  0  0
    7  2.1204510489921403e+08   3  3  0  0  1  0  0
    7 -1.1641532182693481e-10   0  0  6  0  1  0  0
    7  3.2204605109345752e+08   2  2  1  1  1  0  0
    7  2.0964798316025496e+08   1  1  2  2  1  0  0
    7  4.8946453992020465e+07   0  0  3  3  1  0  0
    7 -1.1641532182693481e-10   0  0  0  6  1  0  0
    7  2.1461771935348781e+06   2  2  0  0  3  0  0
    7 -3.7489244566570790e+06   1  1  1  1  3  0  0
    7  3.7000215077691319e+04   0  0  2  2  3  0  0
    7  2.1044135266228765e+05   1  1  0  0  5  0  0
    7 -6.1643956769114186e+02   0  0  1  1  5  0  0
    7  3.1170841834656716e+02   0  0  0  0  7  0  0
    8 -1.7881393432617188e-07   8  0  0  0  0  0  0
    8  9.5367431640625000e-07   6  2  0  0  0  0  0
    8 -5.8607671751023666e+10   4  4  0  0  0  0  0
    8  9.5367431640625000e-07   2  6  0  0  0  0  0
    8 -1.7881393432617188e-07   0  8  0  0  0  0  0
    8 -7.6293945312500000e-06   5  1  1  1  0  0  0
    8 -7.6293945312500000e-06   4  2  1  1  0  0  0
    8 -2.7700510547942358e+11   3  3  1  1  0  0  0
    8 -7.6293945312500000e-06   2  4  1  1  0  0  0
    8 -7.6293945312500000e-06   1  5  1  1  0  0  0
    8 -9.5367431640625000e-07   4  0  2  2  0  0  0
    8  3.8146972656250000e-06   3  1  2  2  0  0  0
    8 -2.6723519422903772e+11   2  2  2  2  0  0  0
    8  3.8146972656250000e-06   1  3  2  2  0  0  0
    8 -9.5367431640625000e-07   0  4  2  2  0  0  0
    8 -1.9922659729457812e+11   1  1  3  3  0  0  0
    8 -1.8275531114431183e+10   0  0  4  4  0  0  0
    8 -1.4901161193847656e-08   6  0  0  0  2  0  0
    8  5.3187688346753664e+09   3  3  0  0  2  0  0
    8 -1.4901161193847656e-08   0  6  0  0  2  0  0
    8 -1.8626451492309570e-09   0  0  6  0  2  0  0
    8  6.5294379917115030e+09   2  2  1  1  2  0  0
    8  2.9802322387695312e-08   0  0  5  1  2  0  0
    8 -5.9604644775390625e-08   2  0  2  2  2  0  0
    8  4.6955993476954136e+09   1  1  2  2  2  0  0
    8 -5.9604644775390625e-08   0  2  2  2  2  0  0
    8 -7.8703186033878899e+08   0  0  3  3  2  0  0
    8  2.9802322387695312e-08   0  0  1  5  2  0  0
    8 -1.8626451492309570e-09   0  0  0  6  2  0  0
    8 -1.2133127809612826e+08   2  2  0  0  4  0  0
    8 -1.6691684407948089e+08   1  1  1  1  4  0  0
    8  2.6872984665345240e+07   0  0  2  2  4  0  0
    8 -3.6603457426324952e+06   1  1  0  0  6  0  0
    8 -3.7549245902930317e+05   0  0  1  1  6  0  0
    8 -6.4545010958819839e+03   0  0  0  0  8  0  0
  -79  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 8, NV = 7, INA = 50244
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    2 -1.3825415166261782e-05   1  1  0  0  0  0  0
    2 -4.0772194708693144e-06   0  0  1  1  0  0  0
    2  8.6189624646016180e-06   0  0  0  0  2  0  0
    3 -2.9603303563989042e-14   1  1  0  0  1  0  0
    3 -1.1812096356153334e-15   0  0  1  1  1  0  0
    3 -1.1774695213732857e-08   0  0  0  0  3  0  0
    4  1.3345524800001911e-07   2  2  0  0  0  0  0
    4 -1.4887880289878493e-07   1  1  1  1  0  0  0
    4  7.3707994672683463e-08   0  0  2  2  0  0  0
    4  1.4807771411434961e-07   1  1  0  0  2  0  0
    4 -3.7790644063774866e-09   0  0  1  1  2  0  0
    4  1.7902147024816473e-07   0  0  0  0  4  0  0
    5  3.0028317588205391e-07   2  2  0  0  1  0  0
    5  1.8590869616652661e-07   1  1  1  1  1  0  0
    5  5.1076550025951695e-10   0  0  2  2  1  0  0
    5  1.1851571079005567e-07   1  1  0  0  3  0  0
    5  2.7373532441885285e-09   0  0  1  1  3  0  0
    5 -3.7912395732996868e-08   0  0  0  0  5  0  0
    6  2.6462592878925767e-25   6  0  0  0  0  0  0
    6 -1.2852560423440468e-07   3  3  0  0  0  0  0
    6  2.6462592878925767e-25   0  6  0  0  0  0  0
    6 -3.1569719294213826e-07   2  2  1  1  0  0  0
    6 -8.2213384413294017e-08   1  1  2  2  0  0  0
    6 -2.9541728771171485e-09   0  0  3  3  0  0  0
    6 -1.4767485637631065e-07   2  2  0  0  2  0  0
    6  5.6810279047363002e-08   1  1  1  1  2  0  0
    6 -3.1325390041942897e-08   0  0  2  2  2  0  0
    6 -1.1048625626210888e-07   1  1  0  0  4  0  0
    6  2.3103319877602619e-08   0  0  1  1  4  0  0
    6 -3.1973173410851071e-09   0  0  0  0  6  0  0
    7  5.7840461494497946e-08   3  3  0  0  1  0  0
    7  7.3821543471511075e-08   2  2  1  1  1  0  0
    7  4.0384757233182267e-08   1  1  2  2  1  0  0
    7  7.9233650698585540e-09   0  0  3  3  1  0  0
    7  2.5243573580348658e-08   2  2  0  0  3  0  0
    7 -3.7055578163462538e-08   1  1  1  1  3  0  0
    7  3.0733554942647828e-10   0  0  2  2  3  0  0
    7  1.0673284998226748e-07   1  1  0  0  5  0  0
    7 -2.6273575173862555e-10   0  0  1  1  5  0  0
    7  6.8170631092394232e-09   0  0  0  0  7  0  0
    8  1.8098520670723966e-25   6  2  0  0  0  0  0
    8 -1.1122373124674363e-08   4  4  0  0  0  0  0
    8  1.8098520670723966e-25   2  6  0  0  0  0  0
    8 -1.2167313828827370e-24   5  1  1  1  0  0  0
    8 -1.2167313828827370e-24   4  2  1  1  0  0  0
    8 -4.4176612400242028e-08   3  3  1  1  0  0  0
    8 -1.2167313828827370e-24   2  4  1  1  0  0  0
    8 -1.2167313828827370e-24   1  5  1  1  0  0  0
    8 -1.2781045107792278e-25   4  0  2  2  0  0  0
    8  5.1124180431169113e-25   3  1  2  2  0  0  0
    8 -3.5814585892402226e-08   2  2  2  2  0  0  0
    8  5.1124180431169113e-25   1  3  2  2  0  0  0
    8 -1.2781045107792278e-25   0  4  2  2  0  0  0
    8 -2.2437540150079449e-08   1  1  3  3  0  0  0
    8 -1.7296553614572836e-09   0  0  4  4  0  0  0
    8 -1.2193962798608991e-25   6  0  0  0  2  0  0
    8  4.3524708216169228e-08   3  3  0  0  2  0  0
    8 -1.2193962798608991e-25   0  6  0  0  2  0  0
    8  4.4901639586611802e-08   2  2  1  1  2  0  0
    8  1.4473041106051807e-25   0  0  5  1  2  0  0
    8 -3.4445155249371710e-25   2  0  2  2  2  0  0
    8  2.7135577962037618e-08   1  1  2  2  2  0  0
    8 -3.4445155249371710e-25   0  2  2  2  2  0  0
    8 -3.8220996062906471e-09   0  0  3  3  2  0  0
    8  1.4473041106051807e-25   0  0  1  5  2  0  0
    8 -4.2813357472679489e-08   2  2  0  0  4  0  0
    8 -4.9495797267419823e-08   1  1  1  1  4  0  0
    8  6.6964666201355530e-09   0  0  2  2  4  0  0
    8 -5.5694253257140972e-08   1  1  0  0  6  0  0
    8 -4.8012148472928084e-09   0  0  1  1  6  0  0
    8 -4.2347981690081693e-09   0  0  0  0  8  0  0
  -71  0.0000000000000000e+00   0  0  0  0  0  0  0
