
tpsa, NO = 8, NV = 7, INA = 48097
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3 -2.5385411327708947e-07   3  0  0  0  0  0  0
    3 -9.8712895897541779e-07   2  1  0  0  0  0  0
    3  9.8712895897541779e-07   1  2  0  0  0  0  0
    3  2.5385411327708947e-07   0  3  0  0  0  0  0
    3  9.6996950323054039e-07   1  0  2  0  0  0  0
    3 -3.5622340860857483e-07   0  1  2  0  0  0  0
    3 -3.5559480494055643e-07   1  0  1  1  0  0  0
    3  3.5559480494055643e-07   0  1  1  1  0  0  0
    3  3.5622340860857483e-07   1  0  0  2  0  0  0
    3 -9.6996950323054039e-07   0  1  0  2  0  0  0
    3 -4.5771940184735741e-07   2  0  0  0  1  0  0
    3  4.5771940184735741e-07   0  2  0  0  1  0  0
    3  2.3768857086628249e-07   0  0  2  0  1  0  0
    3 -2.3768857086628249e-07   0  0  0  2  1  0  0
    3 -5.5221983838514602e-21   1  0  0  0  2  0  0
    3  5.5221983838514602e-21   0  1  0  0  2  0  0
    4 -1.2332652001597262e-07   4  0  0  0  0  0  0
    4  8.0772463961135686e-08   3  1  0  0  0  0  0
    4 -8.0772463961135686e-08   1  3  0  0  0  0  0
    4  1.2332652001597262e-07   0  4  0  0  0  0  0
    4 -5.6045386534695749e-08   2  0  2  0  0  0  0
    4 -2.4618659642248817e-07   1  1  2  0  0  0  0
    4  1.4234926326487173e-07   0  2  2  0  0  0  0
    4  6.3379655057071831e-08   0  0  4  0  0  0  0
    4 -1.8004219781441407e-07   2  0  1  1  0  0  0
    4  1.8004219781441407e-07   0  2  1  1  0  0  0
    4 -1.4676656202752985e-07   0  0  3  1  0  0  0
    4 -1.4234926326487173e-07   2  0  0  2  0  0  0
    4  2.4618659642248817e-07   1  1  0  2  0  0  0
    4  5.6045386534695749e-08   0  2  0  2  0  0  0
    4  1.4676656202752985e-07   0  0  1  3  0  0  0
    4 -6.3379655057071831e-08   0  0  0  4  0  0  0
    4  1.5166691414955092e-08   3  0  0  0  1  0  0
    4 -1.8650068507092102e-07   2  1  0  0  1  0  0
    4  1.8650068507092102e-07   1  2  0  0  1  0  0
    4 -1.5166691414955092e-08   0  3  0  0  1  0  0
    4 -1.8870530981666075e-08   1  0  2  0  1  0  0
    4  1.5600240702807776e-07   0  1  2  0  1  0  0
    4 -1.0618910911442142e-07   1  0  1  1  1  0  0
    4  1.0618910911442142e-07   0  1  1  1  1  0  0
    4 -1.5600240702807776e-07   1  0  0  2  1  0  0
    4  1.8870530981666075e-08   0  1  0  2  1  0  0
    4 -1.9150154082549747e-07   2  0  0  0  2  0  0
    4  1.9150154082549747e-07   0  2  0  0  2  0  0
    4  2.9593367363830128e-07   0  0  2  0  2  0  0
    4 -2.9593367363830128e-07   0  0  0  2  2  0  0
    4  1.1483468248351203e-21   1  0  0  0  3  0  0
    4 -1.1483468248351203e-21   0  1  0  0  3  0  0
    5  6.4166480490895603e-08   5  0  0  0  0  0  0
    5  5.4380415328465981e-08   4  1  0  0  0  0  0
    5  3.3126711279810293e-08   3  2  0  0  0  0  0
    5 -3.3126711279810293e-08   2  3  0  0  0  0  0
    5 -5.4380415328465981e-08   1  4  0  0  0  0  0
    5 -6.4166480490895603e-08   0  5  0  0  0  0  0
    5 -8.3951847030148957e-09   3  0  2  0  0  0  0
    5  1.5504558544813633e-08   2  1  2  0  0  0  0
    5 -1.8110424707459629e-07   1  2  2  0  0  0  0
    5  4.0435138091203282e-08   0  3  2  0  0  0  0
    5 -2.7587247684163900e-08   1  0  4  0  0  0  0
    5 -8.6433537538511248e-08   0  1  4  0  0  0  0
    5 -1.8726475653062062e-08   3  0  1  1  0  0  0
    5  3.2971001518649062e-07   2  1  1  1  0  0  0
    5 -3.2971001518649062e-07   1  2  1  1  0  0  0
    5  1.8726475653062062e-08   0  3  1  1  0  0  0
    5 -4.7595361629329237e-08   1  0  3  1  0  0  0
    5  1.3814004162006680e-08   0  1  3  1  0  0  0
    5 -4.0435138091203282e-08   3  0  0  2  0  0  0
    5  1.8110424707459629e-07   2  1  0  2  0  0  0
    5 -1.5504558544813633e-08   1  2  0  2  0  0  0
    5  8.3951847030148957e-09   0  3  0  2  0  0  0
    5  5.2029402770646277e-08   1  0  2  2  0  0  0
    5 -5.2029402770646277e-08   0  1  2  2  0  0  0
    5 -1.3814004162006680e-08   1  0  1  3  0  0  0
    5  4.7595361629329237e-08   0  1  1  3  0  0  0
    5  8.6433537538511248e-08   1  0  0  4  0  0  0
    5  2.7587247684163900e-08   0  1  0  4  0  0  0
    5 -2.8038069084240416e-08   4  0  0  0  1  0  0
    5  3.7603651710804435e-08   3  1  0  0  1  0  0
    5 -3.7603651710804435e-08   1  3  0  0  1  0  0
    5  2.8038069084240416e-08   0  4  0  0  1  0  0
    5 -1.3135449657099905e-08   2  0  2  0  1  0  0
    5 -9.3466289456207962e-08   1  1  2  0  1  0  0
    5  1.8721772027429469e-08   0  2  2  0  1  0  0
    5 -1.1364867991268457e-08   0  0  4  0  1  0  0
    5 -4.1524746775969038e-10   2  0  1  1  1  0  0
    5  4.1524746775969038e-10   0  2  1  1  1  0  0
    5 -7.6284641290579347e-09   0  0  3  1  1  0  0
    5 -1.8721772027429469e-08   2  0  0  2  1  0  0
    5  9.3466289456207962e-08   1  1  0  2  1  0  0
    5  1.3135449657099905e-08   0  2  0  2  1  0  0
    5  7.6284641290579347e-09   0  0  1  3  1  0  0
    5  1.1364867991268457e-08   0  0  0  4  1  0  0
    5 -1.5939584795950027e-08   3  0  0  0  2  0  0
    5 -1.1808393480794339e-09   2  1  0  0  2  0  0
    5  1.1808393480794339e-09   1  2  0  0  2  0  0
    5  1.5939584795950027e-08   0  3  0  0  2  0  0
    5 -9.5430260012465379e-09   1  0  2  0  2  0  0
    5  2.5317031718273706e-07   0  1  2  0  2  0  0
    5 -3.7893455194578711e-08   1  0  1  1  2  0  0
    5  3.7893455194578711e-08   0  1  1  1  2  0  0
    5 -2.5317031718273706e-07   1  0  0  2  2  0  0
    5  9.5430260012465379e-09   0  1  0  2  2  0  0
    5  4.0489081643696659e-09   2  0  0  0  3  0  0
    5 -4.0489081643696659e-09   0  2  0  0  3  0  0
    5 -5.5155375766183424e-08   0  0  2  0  3  0  0
    5  5.5155375766183424e-08   0  0  0  2  3  0  0
    5  3.0731289816742832e-22   1  0  0  0  4  0  0
    5 -3.0731289816742832e-22   0  1  0  0  4  0  0
    6 -2.4937189991735622e-09   6  0  0  0  0  0  0
    6  3.3728066940079130e-08   5  1  0  0  0  0  0
    6 -2.4739055526429724e-08   4  2  0  0  0  0  0
    6  2.4739055526429724e-08   2  4  0  0  0  0  0
    6 -3.3728066940079130e-08   1  5  0  0  0  0  0
    6  2.4937189991735622e-09   0  6  0  0  0  0  0
    6 -2.5215957800288892e-07   4  0  2  0  0  0  0
    6  1.8494799683450613e-08   3  1  2  0  0  0  0
    6  5.8936261376583079e-08   2  2  2  0  0  0  0
    6 -1.4805316838321161e-08   1  3  2  0  0  0  0
    6  9.1378678476620292e-09   0  4  2  0  0  0  0
    6 -4.5043661285815484e-10   2  0  4  0  0  0  0
    6  1.6902196749583492e-08   1  1  4  0  0  0  0
    6  1.8073193443756880e-08   0  2  4  0  0  0  0
    6 -1.8044631067507568e-09   0  0  6  0  0  0  0
    6 -3.3353414109374837e-08   4  0  1  1  0  0  0
    6 -1.1066404126041233e-08   3  1  1  1  0  0  0
    6  1.1066404126041233e-08   1  3  1  1  0  0  0
    6  3.3353414109374837e-08   0  4  1  1  0  0  0
    6  2.2007094584232250e-08   2  0  3  1  0  0  0
    6  7.9270709193604811e-08   1  1  3  1  0  0  0
    6 -1.7380195665728271e-08   0  2  3  1  0  0  0
    6  2.7032090256662013e-09   0  0  5  1  0  0  0
    6 -9.1378678476620292e-09   4  0  0  2  0  0  0
    6  1.4805316838321161e-08   3  1  0  2  0  0  0
    6 -5.8936261376583079e-08   2  2  0  2  0  0  0
    6 -1.8494799683450613e-08   1  3  0  2  0  0  0
    6  2.5215957800288892e-07   0  4  0  2  0  0  0
    6 -8.2303383209507365e-09   2  0  2  2  0  0  0
    6  8.2303383209507365e-09   0  2  2  2  0  0  0
    6 -4.4349559232697575e-09   0  0  4  2  0  0  0
    6  1.7380195665728271e-08   2  0  1  3  0  0  0
    6 -7.9270709193604811e-08   1  1  1  3  0  0  0
    6 -2.2007094584232250e-08   0  2  1  3  0  0  0
    6 -1.8073193443756880e-08   2  0  0  4  0  0  0
    6 -1.6902196749583492e-08   1  1  0  4  0  0  0
    6  4.5043661285815484e-10   0  2  0  4  0  0  0
    6  4.4349559232697575e-09   0  0  2  4  0  0  0
    6 -2.7032090256662013e-09   0  0  1  5  0  0  0
    6  1.8044631067507568e-09   0  0  0  6  0  0  0
    6  7.2946260634943984e-08   5  0  0  0  1  0  0
    6 -8.3720743659732582e-09   4  1  0  0  1  0  0
    6 -4.4397330711409529e-08   3  2  0  0  1  0  0
    6  4.4397330711409529e-08   2  3  0  0  1  0  0
    6  8.3720743659732582e-09   1  4  0  0  1  0  0
    6 -7.2946260634943984e-08   0  5  0  0  1  0  0
    6 -1.2899676580192400e-08   3  0  2  0  1  0  0
    6  1.6765997428791988e-08   2  1  2  0  1  0  0
    6 -2.2682113096832056e-07   1  2  2  0  1  0  0
    6  3.7303332980380315e-10   0  3  2  0  1  0  0
    6 -1.0783282825083116e-09   1  0  4  0  1  0  0
    6 -1.7596430790035973e-08   0  1  4  0  1  0  0
    6 -1.9665335462777591e-08   3  0  1  1  1  0  0
    6 -6.7912420695857413e-08   2  1  1  1  1  0  0
    6  6.7912420695857413e-08   1  2  1  1  1  0  0
    6  1.9665335462777591e-08   0  3  1  1  1  0  0
    6  1.4303588364984692e-08   1  0  3  1  1  0  0
    6 -8.9950716593545763e-08   0  1  3  1  1  0  0
    6 -3.7303332980380315e-10   3  0  0  2  1  0  0
    6  2.2682113096832056e-07   2  1  0  2  1  0  0
