
tpsa, NO = 8, NV = 7, INA = 48089
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    3  1.4336654409863082e-07   3  0  0  0  0  0  0
    3 -9.2431199932284501e-07   2  1  0  0  0  0  0
    3 -9.2431199932284501e-07   1  2  0  0  0  0  0
    3  1.4336654409863082e-07   0  3  0  0  0  0  0
    3  8.0780844828389438e-07   1  0  2  0  0  0  0
    3  1.0557462250317407e-07   0  1  2  0  0  0  0
    3 -3.7448711099223564e-07   1  0  1  1  0  0  0
    3 -3.7448711099223564e-07   0  1  1  1  0  0  0
    3  1.0557462250317407e-07   1  0  0  2  0  0  0
    3  8.0780844828389438e-07   0  1  0  2  0  0  0
    3 -2.2437719503162132e-07   2  0  0  0  1  0  0
    3 -2.9603303424695032e-14   1  1  0  0  1  0  0
    3 -2.2437719503162132e-07   0  2  0  0  1  0  0
    3  1.0138966323517864e-07   0  0  2  0  1  0  0
    3 -1.1812096001516484e-15   0  0  1  1  1  0  0
    3  1.0138966323517864e-07   0  0  0  2  1  0  0
    3  1.2243007734706213e-06   1  0  0  0  2  0  0
    3  1.2243007734706213e-06   0  1  0  0  2  0  0
    3 -1.1774695213732480e-08   0  0  0  0  3  0  0
    4  3.7087886081936876e-08   4  0  0  0  0  0  0
    4  4.4590915869503257e-08   3  1  0  0  0  0  0
    4 -9.7196332613511806e-08   2  2  0  0  0  0  0
    4  4.4590915869503257e-08   1  3  0  0  0  0  0
    4  3.7087886081936876e-08   0  4  0  0  0  0  0
    4  2.4001988179056679e-08   2  0  2  0  0  0  0
    4  5.4992099518973767e-08   1  1  2  0  0  0  0
    4 -1.6766707143617925e-07   0  2  2  0  0  0  0
    4  4.3224573999500259e-08   0  0  4  0  0  0  0
    4 -7.8924726408314508e-08   2  0  1  1  0  0  0
    4 -5.6015889197622697e-07   1  1  1  1  0  0  0
    4 -7.8924726408314508e-08   0  2  1  1  0  0  0
    4 -7.3030357667784004e-08   0  0  3  1  0  0  0
    4 -1.6766707143617925e-07   2  0  0  2  0  0  0
    4  5.4992099518973767e-08   1  1  0  2  0  0  0
    4  2.4001988179056679e-08   0  2  0  2  0  0  0
    4 -1.9004990284251850e-08   0  0  2  2  0  0  0
    4 -7.3030357667784004e-08   0  0  1  3  0  0  0
    4  4.3224573999500259e-08   0  0  0  4  0  0  0
    4 -2.5135071630229265e-08   3  0  0  0  1  0  0
    4 -3.0181967210448020e-07   2  1  0  0  1  0  0
    4 -3.0181967210448020e-07   1  2  0  0  1  0  0
    4 -2.5135071630229265e-08   0  3  0  0  1  0  0
    4  3.1152583653796909e-08   1  0  2  0  1  0  0
    4  2.4446781213930155e-08   0  1  2  0  1  0  0
    4 -2.2085896996960629e-07   1  0  1  1  1  0  0
    4 -2.2085896996960629e-07   0  1  1  1  1  0  0
    4  2.4446781213930155e-08   1  0  0  2  1  0  0
    4  3.1152583653796909e-08   0  1  0  2  1  0  0
    4 -3.4571978684362361e-08   2  0  0  0  2  0  0
    4  5.5520636174063935e-07   1  1  0  0  2  0  0
    4 -3.4571978684362361e-08   0  2  0  0  2  0  0
    4  8.9511129790772679e-08   0  0  2  0  2  0  0
    4  3.8377900574956484e-08   0  0  1  1  2  0  0
    4  8.9511129790772679e-08   0  0  0  2  2  0  0
    4 -1.3052335464391241e-07   1  0  0  0  3  0  0
    4 -1.3052335464391241e-07   0  1  0  0  3  0  0
    4  4.1379534345898968e-08   0  0  0  0  4  0  0
    5 -2.8090886139690761e-09   5  0  0  0  0  0  0
    5 -1.7326518062347612e-08   4  1  0  0  0  0  0
    5  7.6236891249705231e-08   3  2  0  0  0  0  0
    5  7.6236891249705231e-08   2  3  0  0  0  0  0
    5 -1.7326518062347612e-08   1  4  0  0  0  0  0
    5 -2.8090886139690761e-09   0  5  0  0  0  0  0
    5 -8.9492791331691447e-08   3  0  2  0  0  0  0
    5 -1.5552591092340552e-07   2  1  2  0  0  0  0
    5  2.2565697669747540e-08   1  2  2  0  0  0  0
    5 -9.1179034741399021e-09   0  3  2  0  0  0  0
    5 -3.1827471201405574e-09   1  0  4  0  0  0  0
    5 -3.4553603211785145e-08   0  1  4  0  0  0  0
    5 -9.3256133322603275e-08   3  0  1  1  0  0  0
    5  3.2816524840214808e-07   2  1  1  1  0  0  0
    5  3.2816524840214808e-07   1  2  1  1  0  0  0
    5 -9.3256133322603275e-08   0  3  1  1  0  0  0
    5 -7.6937402403514848e-08   1  0  3  1  0  0  0
    5 -1.2629219668871326e-08   0  1  3  1  0  0  0
    5 -9.1179034741399021e-09   3  0  0  2  0  0  0
    5  2.2565697669747540e-08   2  1  0  2  0  0  0
    5 -1.5552591092340552e-07   1  2  0  2  0  0  0
    5 -8.9492791331691447e-08   0  3  0  2  0  0  0
    5  5.7950124301017403e-08   1  0  2  2  0  0  0
    5  5.7950124301017403e-08   0  1  2  2  0  0  0
    5 -1.2629219668871326e-08   1  0  1  3  0  0  0
    5 -7.6937402403514848e-08   0  1  1  3  0  0  0
    5 -3.4553603211785145e-08   1  0  0  4  0  0  0
    5 -3.1827471201405574e-09   0  1  0  4  0  0  0
    5  3.7476587380271150e-08   4  0  0  0  1  0  0
    5  9.1638316287853610e-08   3  1  0  0  1  0  0
    5  1.8184710495334406e-07   2  2  0  0  1  0  0
    5  9.1638316287853610e-08   1  3  0  0  1  0  0
    5  3.7476587380271150e-08   0  4  0  0  1  0  0
    5 -1.0053221123067476e-07   2  0  2  0  1  0  0
    5 -1.1457408704273250e-07   1  1  2  0  1  0  0
    5 -1.9000664435641914e-08   0  2  2  0  1  0  0
    5 -1.8195703921230468e-09   0  0  4  0  1  0  0
    5  6.0496487051752675e-08   2  0  1  1  1  0  0
    5  1.0256485340556122e-07   1  1  1  1  1  0  0
    5  6.0496487051752675e-08   0  2  1  1  1  0  0
    5 -2.2831454646263358e-08   0  0  3  1  1  0  0
    5 -1.9000664435641914e-08   2  0  0  2  1  0  0
    5 -1.1457408704273250e-07   1  1  0  2  1  0  0
    5 -1.0053221123067476e-07   0  2  0  2  1  0  0
    5  3.6099147763250048e-08   0  0  2  2  1  0  0
    5 -2.2831454646263358e-08   0  0  1  3  1  0  0
    5 -1.8195703921230468e-09   0  0  0  4  1  0  0
    5 -3.6174987070681661e-09   3  0  0  0  2  0  0
    5 -5.8083435207235942e-08   2  1  0  0  2  0  0
    5 -5.8083435207235942e-08   1  2  0  0  2  0  0
    5 -3.6174987070681661e-09   0  3  0  0  2  0  0
    5  7.3931874051519637e-08   1  0  2  0  2  0  0
    5 -1.6803943968715098e-08   0  1  2  0  2  0  0
    5  5.7902479452042957e-08   1  0  1  1  2  0  0
    5  5.7902479452042957e-08   0  1  1  1  2  0  0
    5 -1.6803943968715098e-08   1  0  0  2  2  0  0
    5  7.3931874051519637e-08   0  1  0  2  2  0  0
    5 -9.9231963851700254e-08   2  0  0  0  3  0  0
    5  1.4354555940809743e-07   1  1  0  0  3  0  0
    5 -9.9231963851700254e-08   0  2  0  0  3  0  0
    5 -1.1928811662701228e-08   0  0  2  0  3  0  0
    5  7.7386143232454545e-10   0  0  1  1  3  0  0
    5 -1.1928811662701228e-08   0  0  0  2  3  0  0
    5  3.0720390050376542e-08   1  0  0  0  4  0  0
    5  3.0720390050376542e-08   0  1  0  0  4  0  0
    5  5.6211106829523089e-09   0  0  0  0  5  0  0
    6 -2.1801250009141868e-09   6  0  0  0  0  0  0
    6 -1.0598606852176225e-08   5  1  0  0  0  0  0
    6 -1.4599243137327181e-08   4  2  0  0  0  0  0
    6 -8.7831054051074444e-08   3  3  0  0  0  0  0
    6 -1.4599243137327181e-08   2  4  0  0  0  0  0
    6 -1.0598606852176225e-08   1  5  0  0  0  0  0
    6 -2.1801250009141868e-09   0  6  0  0  0  0  0
    6  4.0363857213131417e-09   4  0  2  0  0  0  0
    6  1.0183123841528757e-07   3  1  2  0  0  0  0
    6  1.2128230751681092e-07   2  2  2  0  0  0  0
    6 -1.0623523516288875e-08   1  3  2  0  0  0  0
    6 -7.2886531975059167e-09   0  4  2  0  0  0  0
    6 -3.4150839035750664e-08   2  0  4  0  0  0  0
    6  9.9268105859144635e-10   1  1  4  0  0  0  0
    6  1.6324486396116530e-09   0  2  4  0  0  0  0
    6 -1.8697782520331979e-09   0  0  6  0  0  0  0
    6 -1.9147451848170176e-08   4  0  1  1  0  0  0
    6 -5.7804806680410666e-08   3  1  1  1  0  0  0
    6 -2.3567752659058345e-07   2  2  1  1  0  0  0
    6 -5.7804806680410666e-08   1  3  1  1  0  0  0
    6 -1.9147451848170176e-08   0  4  1  1  0  0  0
    6  6.4076903265320211e-08   2  0  3  1  0  0  0
    6  1.0444504362437685e-07   1  1  3  1  0  0  0
    6 -3.1317381939163795e-08   0  2  3  1  0  0  0
    6 -1.3023467740490243e-10   0  0  5  1  0  0  0
    6 -7.2886531975059167e-09   4  0  0  2  0  0  0
    6 -1.0623523516288875e-08   3  1  0  2  0  0  0
    6  1.2128230751681092e-07   2  2  0  2  0  0  0
    6  1.0183123841528757e-07   1  3  0  2  0  0  0
    6  4.0363857213131417e-09   0  4  0  2  0  0  0
    6 -4.5597123038144783e-08   2  0  2  2  0  0  0
    6 -1.4591960749599505e-07   1  1  2  2  0  0  0
    6 -4.5597123038144783e-08   0  2  2  2  0  0  0
    6  9.9782424516504971e-09   0  0  4  2  0  0  0
    6 -3.1317381939163795e-08   2  0  1  3  0  0  0
    6  1.0444504362437685e-07   1  1  1  3  0  0  0
    6  6.4076903265320211e-08   0  2  1  3  0  0  0
    6 -2.3358961561200192e-08   0  0  3  3  0  0  0
    6  1.6324486396116530e-09   2  0  0  4  0  0  0
    6  9.9268105859144635e-10   1  1  0  4  0  0  0
    6 -3.4150839035750664e-08   0  2  0  4  0  0  0
    6  9.9782424516504971e-09   0  0  2  4  0  0  0
    6 -1.3023467740490243e-10   0  0  1  5  0  0  0
    6 -1.8697782520331979e-09   0  0  0  6  0  0  0
    6  1.2475903243080237e-08   5  0  0  0  1  0  0
