
tpsa, NO = 8, NV = 7, INA = 48019
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    1  2.4353132827981347e-01   1  0  0  0  0  0  0
    1  1.8587589915861045e+01   0  1  0  0  0  0  0
    1 -1.9437879664638334e-04   0  0  0  0  1  0  0
    2 -8.4108900656137759e+00   2  0  0  0  0  0  0
    2 -3.1739498544036809e+02   1  1  0  0  0  0  0
    2 -1.8682334931702317e+03   0  2  0  0  0  0  0
    2  5.2791973865029407e+00   0  0  2  0  0  0  0
    2  3.2803359100840322e+02   0  0  1  1  0  0  0
    2 -2.6940956971891256e+02   0  0  0  2  0  0  0
    2 -5.8010058621800420e-02   1  0  0  0  1  0  0
    2 -1.0878176731028118e+02   0  1  0  0  1  0  0
    2  2.0818933933069377e+00   0  0  0  0  2  0  0
    3  3.5524313094258531e+01   3  0  0  0  0  0  0
    3  1.9387491188363388e+03   2  1  0  0  0  0  0
    3 -6.9400025572085025e+04   1  2  0  0  0  0  0
    3  4.8774672865044232e+05   0  3  0  0  0  0  0
    3 -5.3431805755586038e+02   1  0  2  0  0  0  0
    3 -8.9215937578935573e+03   0  1  2  0  0  0  0
    3 -2.6352001647160077e+03   1  0  1  1  0  0  0
    3 -1.5934397972810298e+05   0  1  1  1  0  0  0
    3 -8.4881144464844092e+03   1  0  0  2  0  0  0
    3  3.2399204030502238e+05   0  1  0  2  0  0  0
    3 -1.5492282512237620e+02   2  0  0  0  1  0  0
    3  1.8517177946796369e+03   1  1  0  0  1  0  0
    3  2.1386829357229522e+04   0  2  0  0  1  0  0
    3 -1.3955886017569543e+02   0  0  2  0  1  0  0
    3 -4.3640491488627845e+02   0  0  1  1  1  0  0
    3 -1.8853373730183821e+03   0  0  0  2  1  0  0
    3  5.4428707141371639e+01   1  0  0  0  2  0  0
    3 -4.7460185336751272e+02   0  1  0  0  2  0  0
    3 -1.4553361138314536e+01   0  0  0  0  3  0  0
    4  3.1820219232700956e+03   4  0  0  0  0  0  0
    4  1.1712338956048920e+05   3  1  0  0  0  0  0
    4  3.6839468842967185e+06   2  2  0  0  0  0  0
    4  1.8137334430943593e+07   1  3  0  0  0  0  0
    4 -1.4494128525507450e+08   0  4  0  0  0  0  0
    4  3.1563072796067703e+04   2  0  2  0  0  0  0
    4 -4.2753638712489582e+05   1  1  2  0  0  0  0
    4  6.0927376963901473e+06   0  2  2  0  0  0  0
    4 -7.7676222871775481e+03   0  0  4  0  0  0  0
    4  1.2045686201670970e+05   2  0  1  1  0  0  0
    4  3.3666076758536026e+06   1  1  1  1  0  0  0
    4 -3.0472640368019693e+07   0  2  1  1  0  0  0
    4 -4.6651906920668803e+05   0  0  3  1  0  0  0
    4  6.4889518181105563e+05   2  0  0  2  0  0  0
    4  9.7397124432128873e+06   1  1  0  2  0  0  0
    4 -1.8681500525969985e+08   0  2  0  2  0  0  0
    4  9.6335977897926292e+04   0  0  2  2  0  0  0
    4  8.5065486733926255e+06   0  0  1  3  0  0  0
    4 -5.5375089401005749e+06   0  0  0  4  0  0  0
    4  3.1919229935204598e+03   3  0  0  0  1  0  0
    4  1.6343437898426570e+04   2  1  0  0  1  0  0
    4 -1.0312832245765731e+06   1  2  0  0  1  0  0
    4 -2.8810522779639997e+06   0  3  0  0  1  0  0
    4  9.2723227116032667e+03   1  0  2  0  1  0  0
    4  9.6195517333065640e+04   0  1  2  0  1  0  0
    4 -2.7908723835778212e+04   1  0  1  1  1  0  0
    4  9.2890797735725692e+05   0  1  1  1  1  0  0
    4 -2.2040943099293334e+04   1  0  0  2  1  0  0
    4  1.3388230420781937e+06   0  1  0  2  1  0  0
    4 -1.6834550044514965e+03   2  0  0  0  2  0  0
    4  1.3243545810675625e+04   1  1  0  0  2  0  0
    4  4.8437943050707574e+05   0  2  0  0  2  0  0
    4  3.7322012229217751e+02   0  0  2  0  2  0  0
    4 -8.9448018740978951e+03   0  0  1  1  2  0  0
    4  7.8743142863613073e+04   0  0  0  2  2  0  0
    4  8.4741761112555309e+02   1  0  0  0  3  0  0
    4 -2.8143080206239565e+03   0  1  0  0  3  0  0
    4 -8.6367012156887640e+01   0  0  0  0  4  0  0
    5 -1.4542560300876596e+05   5  0  0  0  0  0  0
    5 -3.0267685459482810e+06   4  1  0  0  0  0  0
    5 -9.5920740186803997e+07   3  2  0  0  0  0  0
    5 -3.8626458555456769e+08   2  3  0  0  0  0  0
    5 -6.1774200656492825e+09   1  4  0  0  0  0  0
    5  5.6831949086154037e+10   0  5  0  0  0  0  0
    5 -5.5112837967417639e+04   3  0  2  0  0  0  0
    5  2.1232185502877403e+07   2  1  2  0  0  0  0
    5 -2.9868991330631447e+08   1  2  2  0  0  0  0
    5 -1.7996893584883945e+09   0  3  2  0  0  0  0
    5 -1.6120006628511166e+06   1  0  4  0  0  0  0
    5  1.3239136976206539e+07   0  1  4  0  0  0  0
    5  3.2707570852012821e+06   3  0  1  1  0  0  0
    5  7.8762385752943739e+07   2  1  1  1  0  0  0
    5  1.4428209938646643e+09   1  2  1  1  0  0  0
    5  1.1564281881154091e+10   0  3  1  1  0  0  0
    5  1.6494746584735952e+07   1  0  3  1  0  0  0
    5  4.6685030355913013e+07   0  1  3  1  0  0  0
    5 -1.0039629174628280e+07   3  0  0  2  0  0  0
    5  8.9413564765585363e+07   2  1  0  2  0  0  0
    5 -2.2867025050831017e+09   1  2  0  2  0  0  0
    5 -1.5893350952597685e+10   0  3  0  2  0  0  0
    5  3.9927114215230137e+07   1  0  2  2  0  0  0
    5 -1.6097566724017534e+09   0  1  2  2  0  0  0
    5  2.0409192813173074e+08   1  0  1  3  0  0  0
    5 -4.0124908230215349e+09   0  1  1  3  0  0  0
    5 -2.6479866980810401e+08   1  0  0  4  0  0  0
    5  5.9711001400629501e+09   0  1  0  4  0  0  0
    5  1.3647749820860717e+05   4  0  0  0  1  0  0
    5 -1.1853876545460639e+06   3  1  0  0  1  0  0
    5  2.5409664320555050e+06   2  2  0  0  1  0  0
    5 -2.4161429407597756e+08   1  3  0  0  1  0  0
    5 -4.9680751904618635e+09   0  4  0  0  1  0  0
    5 -4.2310124865541595e+05   2  0  2  0  1  0  0
    5 -7.2953274350659167e+06   1  1  2  0  1  0  0
    5 -1.2441472258259678e+08   0  2  2  0  1  0  0
    5 -3.8948870493499271e+04   0  0  4  0  1  0  0
    5 -1.0804939848243478e+06   2  0  1  1  1  0  0
    5 -7.9835192312320806e+06   1  1  1  1  1  0  0
    5  2.0077824091813514e+08   0  2  1  1  1  0  0
    5  2.8462447794575114e+06   0  0  3  1  1  0  0
    5 -1.9761046878948952e+06   2  0  0  2  1  0  0
    5 -7.8990976463924691e+07   1  1  0  2  1  0  0
    5 -8.3841298516024971e+08   0  2  0  2  1  0  0
    5  2.7499566719388310e+06   0  0  2  2  1  0  0
    5 -2.3395500850792192e+06   0  0  1  3  1  0  0
    5 -1.2953715199193881e+08   0  0  0  4  1  0  0
    5 -1.6501083125340185e+05   3  0  0  0  2  0  0
    5 -3.1341845911753131e+04   2  1  0  0  2  0  0
    5 -3.4174308377919421e+06   1  2  0  0  2  0  0
    5 -5.2955925963946700e+07   0  3  0  0  2  0  0
    5 -6.8595019326010906e+03   1  0  2  0  2  0  0
    5  2.6398847730793944e+06   0  1  2  0  2  0  0
    5  5.0189547870164795e+04   1  0  1  1  2  0  0
    5  3.0309825290665962e+06   0  1  1  1  2  0  0
    5 -2.0860332943385169e+06   1  0  0  2  2  0  0
    5 -2.9880002696433239e+07   0  1  0  2  2  0  0
    5  5.7525246618844583e+04   2  0  0  0  3  0  0
    5 -1.7253356877927590e+05   1  1  0  0  3  0  0
    5 -1.9624121158944145e+06   0  2  0  0  3  0  0
    5 -9.5731578385382018e+03   0  0  2  0  3  0  0
    5  1.6001007792234534e+05   0  0  1  1  3  0  0
    5  4.9583191014388477e+05   0  0  0  2  3  0  0
    5 -9.9386300235492999e+03   1  0  0  0  4  0  0
    5  7.7123933151297577e+04   0  1  0  0  4  0  0
    5  6.1535216112816499e+02   0  0  0  0  5  0  0
    6 -2.2759582807945660e+06   6  0  0  0  0  0  0
    6  3.2191435161458183e+07   5  1  0  0  0  0  0
    6 -7.7413864952515483e+07   4  2  0  0  0  0  0
    6  1.2335359292893394e+10   3  3  0  0  0  0  0
    6  4.0654325243135742e+10   2  4  0  0  0  0  0
    6 -9.2060596630664893e+11   1  5  0  0  0  0  0
    6 -9.0386053174219707e+12   0  6  0  0  0  0  0
    6  9.7647695579568706e+06   4  0  2  0  0  0  0
    6 -3.1222965699857026e+08   3  1  2  0  0  0  0
    6  1.0943389637077456e+10   2  2  2  0  0  0  0
    6  6.0649106774878525e+10   1  3  2  0  0  0  0
    6  1.2185979194620366e+12   0  4  2  0  0  0  0
    6  8.3803494814642578e+07   2  0  4  0  0  0  0
    6 -9.0167803772619915e+08   1  1  4  0  0  0  0
    6 -2.5459621630410466e+09   0  2  4  0  0  0  0
    6  2.0185357363864299e+07   0  0  6  0  0  0  0
    6 -1.2558517665405053e+08   4  0  1  1  0  0  0
    6 -4.0147367509086733e+09   3  1  1  1  0  0  0
    6 -7.3392932144330048e+10   2  2  1  1  0  0  0
    6 -3.0145203049858875e+11   1  3  1  1  0  0  0
    6 -1.6063812034326172e+10   0  4  1  1  0  0  0
    6 -8.6908089507146865e+07   2  0  3  1  0  0  0
    6 -6.4000646475895758e+09   1  1  3  1  0  0  0
    6  8.5803818362317848e+09   0  2  3  1  0  0  0
    6 -1.2843910434867591e+07   0  0  5  1  0  0  0
    6 -5.6277573850680029e+08   4  0  0  2  0  0  0
    6 -1.4809748937065475e+09   3  1  0  2  0  0  0
    6  8.2196867012265305e+10   2  2  0  2  0  0  0
    6  3.7517176327794326e+12   1  3  0  2  0  0  0
    6  1.4520022993260779e+13   0  4  0  2  0  0  0
    6  9.6191575874481618e+08   2  0  2  2  0  0  0
    6  2.0225443728965885e+10   1  1  2  2  0  0  0
    6  1.3047200581813286e+12   0  2  2  2  0  0  0
